partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2020-11-24 07:50:00+00:00,2020-11-24 07:55:00+00:00,2020-11-24 08:00:00+00:00,18397.01,18382.0,-0.0008158934522510819,0.0007724081250162218,-0.0011420334065154192,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-11-24 08:05:00+00:00,2020-11-24 08:10:00+00:00,2020-11-24 10:25:00+00:00,18450.99,18855.19,0.021906683598007293,0.03951061704548087,0.0,27,24,2,0.8888888888888888,0.07407407407407407,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-04 19:40:00+00:00,2020-12-04 19:45:00+00:00,2020-12-04 19:50:00+00:00,19058.64,19018.9,-0.002085143535950018,0.0,-0.0021785394970470495,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-04 19:50:00+00:00,2020-12-04 19:55:00+00:00,2020-12-04 20:10:00+00:00,19044.89,19000.51,-0.0023302838714217566,0.00021580591959313722,-0.0023570627081594964,3,1,1,0.3333333333333333,0.3333333333333333,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-12-05 04:20:00+00:00,2020-12-05 04:25:00+00:00,2020-12-05 05:15:00+00:00,18877.0,18851.48,-0.0013519097314191875,0.0034131482756794007,-0.0014303120199183894,10,8,1,0.8,0.1,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-07 22:40:00+00:00,2020-12-07 22:45:00+00:00,2020-12-07 23:10:00+00:00,19094.73,19078.99,-0.0008243112104752148,0.0010615494432233419,-0.0010332693889885114,5,3,1,0.6,0.2,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-07 23:20:00+00:00,2020-12-07 23:25:00+00:00,2020-12-08 01:20:00+00:00,19146.14,19168.01,0.001142266796335889,0.00521567271523149,-0.00012953002537319236,23,14,8,0.6086956521739131,0.34782608695652173,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-11 13:45:00+00:00,2020-12-11 13:50:00+00:00,2020-12-11 16:20:00+00:00,17953.52,18025.5,0.004009241641750538,0.010052624777759478,-0.003798140977368192,30,20,9,0.6666666666666666,0.3,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-21 15:40:00+00:00,2020-12-21 15:45:00+00:00,2020-12-21 17:20:00+00:00,23067.5,23065.97,-6.632708355902572e-05,0.01137964668906477,-0.004778151078356996,19,13,5,0.6842105263157895,0.2631578947368421,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-12-22 04:05:00+00:00,2020-12-22 04:10:00+00:00,2020-12-22 04:55:00+00:00,23084.0,22917.94,-0.007193727256974536,0.00037125281580308034,-0.007699272223184894,9,6,2,0.6666666666666666,0.2222222222222222,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-01-11 09:10:00+00:00,2021-01-11 09:15:00+00:00,2021-01-11 09:45:00+00:00,35185.08,35209.35,0.0006897810094506074,0.01260647979200269,-0.00311552510325408,6,4,1,0.6666666666666666,0.16666666666666666,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-01-11 09:50:00+00:00,2021-01-11 09:55:00+00:00,2021-01-11 10:40:00+00:00,35553.25,35549.15,-0.00011531997777980418,0.02381610682567703,-0.0014727204967197594,9,6,2,0.6666666666666666,0.2222222222222222,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
