anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
14,2022-02-20,Sunday,2022-02-20 07:00:00+00:00,2022-02-20 11:00:00+00:00,2022-02-20 11:00:00+00:00,2022-02-20 15:00:00+00:00,381.7,375.19,6.509999999999991,True,,1,0,2022-02-20 11:55:00+00:00,2022-02-20 12:00:00+00:00,True,2022-02-20 12:05:00+00:00,2022-02-20 12:10:00+00:00,H2_ARRIVAL,2022-02-20 12:10:00+00:00,5.0
14,2022-02-21,Monday,2022-02-21 07:00:00+00:00,2022-02-21 11:00:00+00:00,2022-02-21 11:00:00+00:00,2022-02-21 15:00:00+00:00,393.41,377.48,15.930000000000007,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-02-21 11:15:00+00:00,
14,2022-02-22,Tuesday,2022-02-22 07:00:00+00:00,2022-02-22 11:00:00+00:00,2022-02-22 11:00:00+00:00,2022-02-22 15:00:00+00:00,366.43,353.9,12.53000000000003,True,,1,0,2022-02-22 11:00:00+00:00,2022-02-22 11:05:00+00:00,True,2022-02-22 11:05:00+00:00,2022-02-22 11:10:00+00:00,H2_ARRIVAL,2022-02-22 12:20:00+00:00,75.0
14,2022-02-23,Wednesday,2022-02-23 07:00:00+00:00,2022-02-23 11:00:00+00:00,2022-02-23 11:00:00+00:00,2022-02-23 15:00:00+00:00,381.85,375.21,6.640000000000043,True,,1,0,2022-02-23 11:45:00+00:00,2022-02-23 11:50:00+00:00,True,2022-02-23 11:50:00+00:00,2022-02-23 11:55:00+00:00,H2_ARRIVAL,2022-02-23 12:30:00+00:00,40.0
14,2022-02-24,Thursday,2022-02-24 07:00:00+00:00,2022-02-24 11:00:00+00:00,2022-02-24 11:00:00+00:00,2022-02-24 15:00:00+00:00,342.69,323.02,19.670000000000016,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-02-25,Friday,2022-02-25 07:00:00+00:00,2022-02-25 11:00:00+00:00,2022-02-25 11:00:00+00:00,2022-02-25 15:00:00+00:00,365.4,356.41,8.989999999999952,True,,1,0,2022-02-25 12:05:00+00:00,2022-02-25 12:10:00+00:00,True,2022-02-25 12:10:00+00:00,2022-02-25 12:15:00+00:00,H2_ARRIVAL,2022-02-25 12:50:00+00:00,40.0
14,2022-02-26,Saturday,2022-02-26 07:00:00+00:00,2022-02-26 11:00:00+00:00,2022-02-26 11:00:00+00:00,2022-02-26 15:00:00+00:00,378.43,370.88,7.550000000000011,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-02-26 12:25:00+00:00,
14,2022-02-27,Sunday,2022-02-27 07:00:00+00:00,2022-02-27 11:00:00+00:00,2022-02-27 11:00:00+00:00,2022-02-27 15:00:00+00:00,379.39,369.64,9.75,True,,1,0,2022-02-27 11:25:00+00:00,2022-02-27 11:30:00+00:00,True,2022-02-27 11:30:00+00:00,2022-02-27 11:35:00+00:00,H2_ARRIVAL,2022-02-27 12:00:00+00:00,30.0
14,2022-02-28,Monday,2022-02-28 07:00:00+00:00,2022-02-28 11:00:00+00:00,2022-02-28 11:00:00+00:00,2022-02-28 15:00:00+00:00,369.3,361.75,7.550000000000011,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-02-28 12:20:00+00:00,
14,2022-03-01,Tuesday,2022-03-01 07:00:00+00:00,2022-03-01 11:00:00+00:00,2022-03-01 11:00:00+00:00,2022-03-01 15:00:00+00:00,429.36,402.05,27.310000000000002,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-03-02,Wednesday,2022-03-02 07:00:00+00:00,2022-03-02 11:00:00+00:00,2022-03-02 11:00:00+00:00,2022-03-02 15:00:00+00:00,414.83,407.53,7.300000000000011,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-02 13:15:00+00:00,
14,2022-03-03,Thursday,2022-03-03 07:00:00+00:00,2022-03-03 11:00:00+00:00,2022-03-03 11:00:00+00:00,2022-03-03 15:00:00+00:00,408.63,404.6,4.029999999999973,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-03 12:15:00+00:00,
14,2022-03-04,Friday,2022-03-04 07:00:00+00:00,2022-03-04 11:00:00+00:00,2022-03-04 11:00:00+00:00,2022-03-04 15:00:00+00:00,397.92,390.37,7.550000000000011,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-03-04 14:15:00+00:00,
14,2022-03-05,Saturday,2022-03-05 07:00:00+00:00,2022-03-05 11:00:00+00:00,2022-03-05 11:00:00+00:00,2022-03-05 15:00:00+00:00,379.79,374.03,5.760000000000048,True,,1,0,2022-03-05 11:05:00+00:00,2022-03-05 11:10:00+00:00,False,,,BREAK_DURING_K1,2022-03-05 11:20:00+00:00,
14,2022-03-06,Sunday,2022-03-06 07:00:00+00:00,2022-03-06 11:00:00+00:00,2022-03-06 11:00:00+00:00,2022-03-06 15:00:00+00:00,383.87,372.16,11.70999999999998,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-03-07,Monday,2022-03-07 07:00:00+00:00,2022-03-07 11:00:00+00:00,2022-03-07 11:00:00+00:00,2022-03-07 15:00:00+00:00,377.78,369.01,8.769999999999982,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-07 12:20:00+00:00,
14,2022-03-08,Tuesday,2022-03-08 07:00:00+00:00,2022-03-08 11:00:00+00:00,2022-03-08 11:00:00+00:00,2022-03-08 15:00:00+00:00,388.8,378.13,10.670000000000016,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-03-09,Wednesday,2022-03-09 07:00:00+00:00,2022-03-09 11:00:00+00:00,2022-03-09 11:00:00+00:00,2022-03-09 15:00:00+00:00,397.67,391.76,5.910000000000025,True,,1,0,2022-03-09 11:00:00+00:00,2022-03-09 11:05:00+00:00,True,2022-03-09 11:10:00+00:00,2022-03-09 11:15:00+00:00,H2_ARRIVAL,2022-03-09 12:35:00+00:00,85.0
14,2022-03-10,Thursday,2022-03-10 07:00:00+00:00,2022-03-10 11:00:00+00:00,2022-03-10 11:00:00+00:00,2022-03-10 15:00:00+00:00,378.82,374.77,4.050000000000011,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-10 12:00:00+00:00,
14,2022-03-11,Friday,2022-03-11 07:00:00+00:00,2022-03-11 11:00:00+00:00,2022-03-11 11:00:00+00:00,2022-03-11 15:00:00+00:00,374.35,371.22,3.1299999999999955,False,AMBIGUOUS_BOTH_BOUNDARIES,0,0,,,False,,,AMBIGUOUS_BOTH_BOUNDARIES,2022-03-11 11:20:00+00:00,
14,2022-03-12,Saturday,2022-03-12 07:00:00+00:00,2022-03-12 11:00:00+00:00,2022-03-12 11:00:00+00:00,2022-03-12 15:00:00+00:00,378.57,373.03,5.5400000000000205,True,,1,0,2022-03-12 13:05:00+00:00,2022-03-12 13:10:00+00:00,True,2022-03-12 13:10:00+00:00,2022-03-12 13:15:00+00:00,NO_H2_BY_END,,
14,2022-03-13,Sunday,2022-03-13 07:00:00+00:00,2022-03-13 11:00:00+00:00,2022-03-13 11:00:00+00:00,2022-03-13 15:00:00+00:00,375.72,370.28,5.440000000000055,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-03-13 11:40:00+00:00,
14,2022-03-14,Monday,2022-03-14 07:00:00+00:00,2022-03-14 11:00:00+00:00,2022-03-14 11:00:00+00:00,2022-03-14 15:00:00+00:00,371.35,367.75,3.6000000000000227,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-03-14 12:10:00+00:00,
14,2022-03-15,Tuesday,2022-03-15 07:00:00+00:00,2022-03-15 11:00:00+00:00,2022-03-15 11:00:00+00:00,2022-03-15 15:00:00+00:00,366.33,361.35,4.979999999999961,True,,1,0,2022-03-15 12:30:00+00:00,2022-03-15 12:35:00+00:00,True,2022-03-15 12:35:00+00:00,2022-03-15 12:40:00+00:00,H2_ARRIVAL,2022-03-15 12:40:00+00:00,5.0
14,2022-03-16,Wednesday,2022-03-16 07:00:00+00:00,2022-03-16 11:00:00+00:00,2022-03-16 11:00:00+00:00,2022-03-16 15:00:00+00:00,379.29,371.0,8.29000000000002,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-16 14:15:00+00:00,
14,2022-03-17,Thursday,2022-03-17 07:00:00+00:00,2022-03-17 11:00:00+00:00,2022-03-17 11:00:00+00:00,2022-03-17 15:00:00+00:00,385.77,382.62,3.1499999999999773,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-03-17 12:00:00+00:00,
