tf,tolerance,transition,partition,direction,high_retests,low_retests,n,share_within_group
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,3,0,14,0.04142011834319527
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,3,1,3,0.008875739644970414
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,3,3,2,0.005917159763313609
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,4,0,6,0.01775147928994083
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,5,0,4,0.011834319526627219
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,5,1,1,0.0029585798816568047
15m,TOL_0.20,ASIA_TO_LONDON,development,NO_BREAK,6,0,1,0.0029585798816568047
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,0,0,52,0.30409356725146197
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,0,1,66,0.38596491228070173
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,0,2,22,0.1286549707602339
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,0,3,14,0.08187134502923976
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,1,0,6,0.03508771929824561
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,1,1,4,0.023391812865497075
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,1,2,4,0.023391812865497075
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,1,3,1,0.005847953216374269
15m,TOL_0.20,ASIA_TO_LONDON,external,BEAR,2,2,2,0.011695906432748537
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,0,0,58,0.3240223463687151
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,0,1,7,0.03910614525139665
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,1,0,63,0.35195530726256985
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,1,1,6,0.0335195530726257
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,1,2,3,0.01675977653631285
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,2,0,30,0.16759776536312848
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,2,1,1,0.00558659217877095
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,3,0,8,0.0446927374301676
15m,TOL_0.20,ASIA_TO_LONDON,external,BULL,4,0,3,0.01675977653631285
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,0,0,72,0.4161849710982659
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,0,1,19,0.10982658959537572
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,0,2,12,0.06936416184971098
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,0,3,5,0.028901734104046242
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,0,4,1,0.005780346820809248
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,1,0,19,0.10982658959537572
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,1,1,7,0.04046242774566474
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,1,2,3,0.017341040462427744
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,1,3,2,0.011560693641618497
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,2,0,15,0.08670520231213873
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,2,1,2,0.011560693641618497
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,3,0,8,0.046242774566473986
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,3,1,1,0.005780346820809248
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,3,2,1,0.005780346820809248
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,3,3,1,0.005780346820809248
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,4,0,4,0.023121387283236993
15m,TOL_0.20,ASIA_TO_LONDON,external,NO_BREAK,5,0,1,0.005780346820809248
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,0,0,22,0.16923076923076924
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,0,1,59,0.45384615384615384
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,0,2,21,0.16153846153846155
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,0,3,4,0.03076923076923077
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,0,4,3,0.023076923076923078
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,1,0,2,0.015384615384615385
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,1,1,11,0.08461538461538462
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,1,2,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,1,3,2,0.015384615384615385
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,2,1,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,2,2,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,2,3,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,3,1,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BEAR,5,1,1,0.007692307692307693
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,0,0,28,0.21705426356589147
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,0,1,1,0.007751937984496124
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,1,0,67,0.5193798449612403
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,1,1,4,0.031007751937984496
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,1,2,4,0.031007751937984496
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,2,0,22,0.17054263565891473
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,2,1,1,0.007751937984496124
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,2,2,1,0.007751937984496124
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,BULL,4,1,1,0.007751937984496124
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,0,45,0.29605263157894735
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,1,25,0.16447368421052633
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,2,8,0.05263157894736842
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,0,3,5,0.03289473684210526
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,0,18,0.11842105263157894
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,1,7,0.046052631578947366
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,2,5,0.03289473684210526
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,1,3,1,0.006578947368421052
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,0,19,0.125
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,1,2,0.013157894736842105
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,2,3,0.019736842105263157
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,2,3,1,0.006578947368421052
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,3,0,5,0.03289473684210526
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,3,1,2,0.013157894736842105
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,3,2,1,0.006578947368421052
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,3,3,1,0.006578947368421052
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,4,0,2,0.013157894736842105
15m,TOL_0.20,ASIA_TO_LONDON,reference_validation,NO_BREAK,5,0,2,0.013157894736842105
15m,TOL_0.20,LONDON_TO_NEWYORK,august,BEAR,0,0,1,0.3333333333333333
15m,TOL_0.20,LONDON_TO_NEWYORK,august,BEAR,0,1,2,0.6666666666666666
15m,TOL_0.20,LONDON_TO_NEWYORK,august,BULL,1,0,6,0.6666666666666666
15m,TOL_0.20,LONDON_TO_NEWYORK,august,BULL,1,1,2,0.2222222222222222
15m,TOL_0.20,LONDON_TO_NEWYORK,august,BULL,2,1,1,0.1111111111111111
15m,TOL_0.20,LONDON_TO_NEWYORK,august,NO_BREAK,1,1,1,0.5
15m,TOL_0.20,LONDON_TO_NEWYORK,august,NO_BREAK,2,0,1,0.5
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,0,0,106,0.29608938547486036
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,0,1,126,0.35195530726256985
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,0,2,23,0.06424581005586592
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,0,3,8,0.0223463687150838
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,0,4,1,0.002793296089385475
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,1,0,14,0.03910614525139665
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,1,1,45,0.12569832402234637
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,1,2,13,0.036312849162011177
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,1,3,3,0.008379888268156424
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,2,0,4,0.0111731843575419
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,2,1,8,0.0223463687150838
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,2,2,3,0.008379888268156424
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,2,3,1,0.002793296089385475
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,3,0,2,0.00558659217877095
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BEAR,3,2,1,0.002793296089385475
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,0,0,92,0.2857142857142857
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,0,1,14,0.043478260869565216
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,0,2,2,0.006211180124223602
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,0,3,1,0.003105590062111801
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,1,0,106,0.32919254658385094
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,1,1,43,0.13354037267080746
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,1,2,4,0.012422360248447204
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,1,3,2,0.006211180124223602
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,2,0,27,0.08385093167701864
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,2,1,9,0.027950310559006212
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,2,2,3,0.009316770186335404
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,2,4,1,0.003105590062111801
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,3,0,7,0.021739130434782608
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,3,1,2,0.006211180124223602
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,3,2,6,0.018633540372670808
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,3,3,1,0.003105590062111801
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,4,0,1,0.003105590062111801
15m,TOL_0.20,LONDON_TO_NEWYORK,development,BULL,5,0,1,0.003105590062111801
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,0,20,0.19607843137254902
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,1,7,0.06862745098039216
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,2,10,0.09803921568627451
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,3,2,0.0196078431372549
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,4,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,0,5,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,1,0,16,0.1568627450980392
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,1,1,8,0.0784313725490196
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,1,2,2,0.0196078431372549
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,1,3,2,0.0196078431372549
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,2,0,17,0.16666666666666666
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,2,1,4,0.0392156862745098
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,2,3,2,0.0196078431372549
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,2,4,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,3,0,4,0.0392156862745098
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,3,1,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,3,2,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,3,3,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,3,4,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,development,NO_BREAK,4,3,1,0.00980392156862745
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,0,0,54,0.32727272727272727
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,0,1,66,0.4
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,0,2,20,0.12121212121212122
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,0,3,5,0.030303030303030304
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,1,0,2,0.012121212121212121
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,1,1,9,0.05454545454545454
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,1,2,2,0.012121212121212121
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,1,3,2,0.012121212121212121
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,2,1,3,0.01818181818181818
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,2,2,1,0.006060606060606061
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BEAR,3,2,1,0.006060606060606061
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,0,0,78,0.3466666666666667
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,0,1,3,0.013333333333333334
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,1,0,87,0.38666666666666666
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,1,1,6,0.02666666666666667
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,2,0,31,0.13777777777777778
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,2,1,1,0.0044444444444444444
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,2,2,2,0.008888888888888889
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,3,0,10,0.044444444444444446
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,3,1,4,0.017777777777777778
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,3,2,1,0.0044444444444444444
15m,TOL_0.20,LONDON_TO_NEWYORK,external,BULL,4,0,2,0.008888888888888889
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,0,0,63,0.47368421052631576
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,0,1,9,0.06766917293233082
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,0,2,10,0.07518796992481203
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,0,3,1,0.007518796992481203
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,0,4,3,0.022556390977443608
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,1,0,21,0.15789473684210525
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,1,1,1,0.007518796992481203
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,1,3,4,0.03007518796992481
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,2,0,6,0.045112781954887216
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,2,1,2,0.015037593984962405
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,2,2,2,0.015037593984962405
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,3,0,7,0.05263157894736842
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,3,1,1,0.007518796992481203
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,3,2,2,0.015037593984962405
15m,TOL_0.20,LONDON_TO_NEWYORK,external,NO_BREAK,3,3,1,0.007518796992481203
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,0,0,59,0.29949238578680204
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,0,1,71,0.3604060913705584
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,0,2,8,0.04060913705583756
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,0,4,2,0.01015228426395939
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,1,0,7,0.03553299492385787
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,1,1,27,0.13705583756345177
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,1,2,10,0.050761421319796954
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,1,3,4,0.02030456852791878
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,1,4,1,0.005076142131979695
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,2,0,2,0.01015228426395939
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,2,1,4,0.02030456852791878
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,2,2,1,0.005076142131979695
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BEAR,2,3,1,0.005076142131979695
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,0,0,51,0.2756756756756757
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,0,1,8,0.043243243243243246
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,0,2,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,1,0,66,0.3567567567567568
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,1,1,15,0.08108108108108109
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,1,2,5,0.02702702702702703
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,1,3,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,2,0,12,0.06486486486486487
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,2,1,7,0.03783783783783784
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,2,2,6,0.032432432432432434
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,3,0,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,3,1,5,0.02702702702702703
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,3,2,3,0.016216216216216217
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,4,0,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,4,1,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,4,2,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,BULL,4,3,1,0.005405405405405406
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,0,3,0.10344827586206896
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,1,4,0.13793103448275862
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,2,1,0.034482758620689655
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,0,4,1,0.034482758620689655
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,0,2,0.06896551724137931
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,1,3,0.10344827586206896
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,2,3,0.10344827586206896
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,3,2,0.06896551724137931
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,1,4,2,0.06896551724137931
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,2,0,2,0.06896551724137931
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,2,1,1,0.034482758620689655
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,2,3,2,0.06896551724137931
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,3,0,1,0.034482758620689655
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,4,2,1,0.034482758620689655
15m,TOL_0.20,LONDON_TO_NEWYORK,reference_validation,NO_BREAK,5,0,1,0.034482758620689655
1h,TOL_0.10,ASIA_TO_LONDON,august,BEAR,0,0,1,0.3333333333333333
1h,TOL_0.10,ASIA_TO_LONDON,august,BEAR,0,1,1,0.3333333333333333
1h,TOL_0.10,ASIA_TO_LONDON,august,BEAR,1,1,1,0.3333333333333333
1h,TOL_0.10,ASIA_TO_LONDON,august,BULL,0,0,3,0.6
1h,TOL_0.10,ASIA_TO_LONDON,august,BULL,1,0,2,0.4
1h,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,0,1,0.16666666666666666
1h,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,1,2,0.3333333333333333
1h,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,2,1,0.16666666666666666
1h,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,1,0,2,0.3333333333333333
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,0,89,0.5174418604651163
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,1,61,0.3546511627906977
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,2,3,0.01744186046511628
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,0,12,0.06976744186046512
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,1,5,0.029069767441860465
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,2,1,0.005813953488372093
1h,TOL_0.10,ASIA_TO_LONDON,development,BEAR,2,0,1,0.005813953488372093
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,0,105,0.4772727272727273
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,1,16,0.07272727272727272
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,2,1,0.004545454545454545
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,1,0,86,0.39090909090909093
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,1,1,3,0.013636363636363636
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,2,0,8,0.03636363636363636
1h,TOL_0.10,ASIA_TO_LONDON,development,BULL,2,1,1,0.004545454545454545
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,0,149,0.382051282051282
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,1,78,0.2
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,2,22,0.05641025641025641
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,3,3,0.007692307692307693
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,0,81,0.2076923076923077
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,1,23,0.05897435897435897
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,2,6,0.015384615384615385
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,3,1,0.002564102564102564
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,2,0,22,0.05641025641025641
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,2,1,4,0.010256410256410256
1h,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,3,0,1,0.002564102564102564
1h,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,0,87,0.5958904109589042
1h,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,1,47,0.3219178082191781
1h,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,2,2,0.0136986301369863
1h,TOL_0.10,ASIA_TO_LONDON,external,BEAR,1,0,3,0.02054794520547945
1h,TOL_0.10,ASIA_TO_LONDON,external,BEAR,1,1,7,0.04794520547945205
1h,TOL_0.10,ASIA_TO_LONDON,external,BULL,0,0,94,0.5662650602409639
1h,TOL_0.10,ASIA_TO_LONDON,external,BULL,0,1,6,0.03614457831325301
1h,TOL_0.10,ASIA_TO_LONDON,external,BULL,1,0,56,0.3373493975903614
1h,TOL_0.10,ASIA_TO_LONDON,external,BULL,1,1,3,0.018072289156626505
1h,TOL_0.10,ASIA_TO_LONDON,external,BULL,2,0,7,0.04216867469879518
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,0,89,0.4218009478672986
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,1,34,0.16113744075829384
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,2,17,0.08056872037914692
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,0,3,1,0.004739336492890996
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,1,0,38,0.18009478672985782
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,1,1,14,0.06635071090047394
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,1,2,3,0.014218009478672985
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,2,0,12,0.05687203791469194
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,2,1,1,0.004739336492890996
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,2,2,1,0.004739336492890996
1h,TOL_0.10,ASIA_TO_LONDON,external,NO_BREAK,3,0,1,0.004739336492890996
1h,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,0,53,0.4649122807017544
1h,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,1,43,0.37719298245614036
1h,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,0,2,5,0.043859649122807015
1h,TOL_0.10,ASIA_TO_LONDON,reference_validation,BEAR,1,0,5,0.043859649122807015
