feature,dev_q33,dev_q67,partition,tercile,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
ret_24h,-0.019672578431039624,0.017225681117162273,external,HIGH,47,0.6595744680851063,101.62251221350138,2.162181110925561,1.3445035823022418,163.136941096062,5,11
ret_24h,-0.019672578431039624,0.017225681117162273,development,LOW,67,0.6716417910447762,302.1148805060424,4.509177320985708,2.2166052047670957,65.64252076619664,4,16
ret_24h,-0.019672578431039624,0.017225681117162273,development,MID,67,0.6268656716417911,141.76562546916048,2.115904857748664,1.6355403015393297,85.04626977845811,5,8
ret_24h,-0.019672578431039624,0.017225681117162273,development,HIGH,67,0.5671641791044776,136.8711110987024,2.042852404458245,1.674292255568429,83.1703773002848,8,12
ret_24h,-0.019672578431039624,0.017225681117162273,reference_validation,LOW,35,0.5714285714285714,18.1606337957086,0.5188752513059599,1.1140383261848066,116.87427868087151,7,6
ret_24h,-0.019672578431039624,0.017225681117162273,reference_validation,MID,33,0.5454545454545454,-66.85528822970412,-2.025917825142549,0.5660862732504467,104.5793343669042,4,8
ret_24h,-0.019672578431039624,0.017225681117162273,reference_validation,HIGH,16,0.3125,-38.03012539252586,-2.3768828370328663,0.27799857655698307,47.54999874726558,7,2
ret_72h,-0.056625463380605603,0.07435204862779578,external,LOW,25,0.72,288.60625422991586,11.544250169196635,2.426349734661522,127.87633829655456,3,10
ret_72h,-0.056625463380605603,0.07435204862779578,external,MID,29,0.8275862068965517,207.61864265892737,7.159263539963013,2.5378325784982763,132.87908789452698,4,14
ret_72h,-0.056625463380605603,0.07435204862779578,external,HIGH,48,0.6041666666666666,-65.94424605858597,-1.3738384595538744,0.8593112473157329,232.82483660601523,6,10
ret_72h,-0.056625463380605603,0.07435204862779578,development,LOW,67,0.5970149253731343,119.84266006555069,1.7886964188888161,1.3362259211397143,111.32833499706157,5,10
ret_72h,-0.056625463380605603,0.07435204862779578,development,MID,67,0.6567164179104478,274.7568846532286,4.100849024675054,2.8198524773193556,117.18074418723597,12,20
ret_72h,-0.056625463380605603,0.07435204862779578,development,HIGH,67,0.6119402985074627,186.15207235512614,2.7783891396287483,2.1149389830901475,51.07890838890225,9,17
ret_72h,-0.056625463380605603,0.07435204862779578,reference_validation,LOW,31,0.6451612903225806,9.512220033529019,0.3068458075331942,1.07850467112134,107.88752639136858,7,11
ret_72h,-0.056625463380605603,0.07435204862779578,reference_validation,MID,40,0.525,-62.35665051046405,-1.5589162627616013,0.6207690954473147,97.77958894348382,8,10
ret_72h,-0.056625463380605603,0.07435204862779578,reference_validation,HIGH,13,0.15384615384615385,-33.880349349586346,-2.60618071919895,0.578611670314646,80.40172677512084,11,1
ret_7d,-0.04233385380652266,0.13745200116028414,external,LOW,33,0.8484848484848485,541.9954278893873,16.42410387543598,4.832625821709453,127.8763382965546,3,10
ret_7d,-0.04233385380652266,0.13745200116028414,external,MID,24,0.7083333333333334,105.11891284181583,4.379954701742326,2.078620891366908,49.20819665589316,3,10
