effective_ts,partition,a,b,c,pattern
2023-10-08 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-10-14 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-10-27 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-11-01 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-11-02 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-11-03 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-11-03 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-11-03 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2023-11-18 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-11-19 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-11-23 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-11-30 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-12-16 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2023-12-28 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2023-12-28 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2023-12-29 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-01-05 04:00:00+00:00,development,BULL,BEAR,BULL,BULL->BEAR->BULL
2024-01-08 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-01-18 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-01-31 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-02-04 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-02-04 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-02-06 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-02-20 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-02-22 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-02-22 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-02-22 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-03-23 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-03-27 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-03-31 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-04-19 04:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-05-03 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-05-13 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-05-15 00:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-05-24 20:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-05-25 00:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-05-26 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-05-26 20:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-05-27 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-05-29 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-05-31 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-05-31 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-06-10 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-06-12 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-06-16 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-06-16 20:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-06-17 00:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-06-28 08:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-06-28 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-07-08 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-07-10 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-07-11 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-07-11 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-07-19 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-08-15 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-08-20 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-08-20 20:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-08-21 08:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-08-21 12:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-08-29 16:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-09-18 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-09-22 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-09-24 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-09-24 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-05 20:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-06 00:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-10-06 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-08 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-08 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-10-08 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-08 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-10-13 16:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-10-27 04:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-11-05 08:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2024-11-05 12:00:00+00:00,development,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2024-11-15 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-11-15 04:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-11-15 08:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-11-18 00:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-12-02 16:00:00+00:00,development,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2024-12-09 04:00:00+00:00,development,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2024-12-18 12:00:00+00:00,development,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2024-12-27 12:00:00+00:00,development,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-01-10 20:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-01-12 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-01-21 08:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-01-22 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-01-22 20:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-01-23 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-01-25 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-01-29 16:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-02-06 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-02-07 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-02-09 04:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-02-19 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-02-19 16:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-03-05 04:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-03-06 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-03-07 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-03-07 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-03-12 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-03-12 16:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-03-17 00:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-03-21 04:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-03-27 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-03-31 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-04-04 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-04-06 00:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-04-18 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-04-18 20:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-04-19 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-04-28 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-04-28 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-04-30 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-05-03 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-05-14 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-05-15 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-05-17 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-05-17 04:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-05-27 04:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-05-29 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-06-02 00:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-06-02 04:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-06-02 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-06-06 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-06-06 20:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-07-08 04:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-07-08 16:00:00+00:00,reference_validation,BULL,BEAR,BULL,BULL->BEAR->BULL
2025-07-09 04:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-17 04:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-17 08:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-07-17 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-20 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-07-21 08:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-07-21 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-23 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-23 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-07-24 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-07-26 00:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-08-05 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-08-12 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-08-17 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-08-28 00:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-08-28 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-08-29 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-09-01 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-09-04 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-09-04 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-09-05 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-09-05 20:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-09-06 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-09-06 04:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-09-16 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-10-09 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-10-13 00:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-10-13 04:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-10-13 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-10-29 08:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-11-02 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-11-03 00:00:00+00:00,reference_validation,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2025-11-12 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-11-13 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-12-09 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-12-18 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2025-12-22 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2025-12-23 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2025-12-25 12:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2025-12-26 00:00:00+00:00,reference_validation,BULL,BEAR,BULL,BULL->BEAR->BULL
2025-12-28 20:00:00+00:00,reference_validation,BULL,BEAR,BULL,BULL->BEAR->BULL
2026-01-06 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-12 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-17 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-18 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-18 04:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-01-18 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-18 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-01-18 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-01-27 04:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-02-17 00:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-02-20 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-02-20 12:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2026-02-25 04:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-02-25 08:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2026-03-02 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-03-03 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-03-11 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-03-12 04:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-03-14 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-03-14 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-03-14 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-04-05 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-04-18 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-04-19 00:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-04-21 20:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-04-25 00:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-04-25 04:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-04-25 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-04-25 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-04-26 00:00:00+00:00,reference_validation,BEAR,BULL,BEAR,BEAR->BULL->BEAR
2026-04-26 04:00:00+00:00,reference_validation,BULL,BEAR,BULL,BULL->BEAR->BULL
2026-04-29 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-05-09 04:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-05-09 08:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2026-05-24 16:00:00+00:00,reference_validation,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2026-05-26 12:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-05-31 04:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-06-07 12:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-06-09 04:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-06-09 08:00:00+00:00,reference_validation,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2026-06-10 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-06-17 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-06-22 00:00:00+00:00,reference_validation,BULL,BEAR,BULL,BULL->BEAR->BULL
2026-06-27 16:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-07-06 12:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-07-20 08:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2026-07-24 08:00:00+00:00,reference_validation,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2026-07-27 16:00:00+00:00,reference_validation,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
