partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,case_status,k1_signal_ts,leave_ts,blind_filled,h2_after_fill,same_bar_confirmed,entry_executed,fixed_net_pnl_usd,fixed_exit_reason,fixed_e20_reached,window_status,H,L,range,F15,F65,E20_DOWN,blind_touch_bar_start,confirmation_bar_start,entry_start,entry_px,entry_fraction,fixed_exit_px,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted
development,2024-02-12,1220,2024-02-12 20:20:00+00:00,2024-02-13 01:50:00+00:00,2024-02-13 01:50:00+00:00,2024-02-13 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-12,1230,2024-02-12 20:30:00+00:00,2024-02-13 02:00:00+00:00,2024-02-13 02:00:00+00:00,2024-02-13 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1170,2024-02-13 19:30:00+00:00,2024-02-14 01:00:00+00:00,2024-02-14 01:00:00+00:00,2024-02-14 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1180,2024-02-13 19:40:00+00:00,2024-02-14 01:10:00+00:00,2024-02-14 01:10:00+00:00,2024-02-14 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1190,2024-02-13 19:50:00+00:00,2024-02-14 01:20:00+00:00,2024-02-14 01:20:00+00:00,2024-02-14 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1200,2024-02-13 20:00:00+00:00,2024-02-14 01:30:00+00:00,2024-02-14 01:30:00+00:00,2024-02-14 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1210,2024-02-13 20:10:00+00:00,2024-02-14 01:40:00+00:00,2024-02-14 01:40:00+00:00,2024-02-14 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1220,2024-02-13 20:20:00+00:00,2024-02-14 01:50:00+00:00,2024-02-14 01:50:00+00:00,2024-02-14 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-13,1230,2024-02-13 20:30:00+00:00,2024-02-14 02:00:00+00:00,2024-02-14 02:00:00+00:00,2024-02-14 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
development,2024-02-14,1170,2024-02-14 19:30:00+00:00,2024-02-15 01:00:00+00:00,2024-02-15 01:00:00+00:00,2024-02-15 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
