partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,h2_bar_start,target_name,target_extension,target_px,stop_name,stop_distance,stop_fraction,invalidation_boundary_px,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,h2_before_exit,accepted_close_above_H_before_exit
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E15,0.15,9576.25,D40,0.4,0.44999999999999996,9523.75,0.75,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9576.25,TP_E15,0.0023550961664267067,0.7775480832133533,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E15,0.15,9576.25,D50,0.5,0.35,9516.25,0.6,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9576.25,TP_E15,0.0023550961664267067,0.7775480832133533,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E15,0.15,9576.25,D60,0.6,0.25,9508.75,0.5,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9576.25,TP_E15,0.0023550961664267067,0.7775480832133533,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E20,0.2,9580.0,D30,0.3,0.55,9531.25,1.1666666666666667,2020-07-24 16:20:00+00:00,2020-07-24 16:25:00+00:00,9527.02,CLOSE_INVALIDATION,-0.0027978542457149924,-1.7989271228574961,30.0,False,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E20,0.2,9580.0,D40,0.4,0.44999999999999996,9523.75,0.875,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9580.0,TP_E20,0.002747612194164528,0.9738060970822641,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E20,0.2,9580.0,D50,0.5,0.35,9516.25,0.7,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9580.0,TP_E20,0.002747612194164528,0.9738060970822641,55.0,True,False
external,2020-07-24,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,9553.75,9565.0,9490.0,75.0,2020-07-24 16:50:00+00:00,E20,0.2,9580.0,D60,0.6,0.25,9508.75,0.5833333333333334,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9580.0,TP_E20,0.002747612194164528,0.9738060970822641,55.0,True,False
external,2020-08-05,2020-08-05 14:05:00+00:00,2020-08-05 14:20:00+00:00,11583.016,11635.96,11283.0,352.9599999999991,2020-08-05 14:30:00+00:00,E10,0.1,11671.256,D30,0.3,0.55,11477.127999999999,0.8333333333333247,2020-08-05 15:05:00+00:00,2020-08-05 15:05:00+00:00,11671.256,TP_E10,0.007618050428316758,3.4090252141583792,45.0,True,True
external,2020-08-05,2020-08-05 14:05:00+00:00,2020-08-05 14:20:00+00:00,11583.016,11635.96,11283.0,352.9599999999991,2020-08-05 14:30:00+00:00,E10,0.1,11671.256,D40,0.4,0.44999999999999996,11441.832,0.6250000000000017,2020-08-05 15:05:00+00:00,2020-08-05 15:05:00+00:00,11671.256,TP_E10,0.007618050428316758,3.4090252141583792,45.0,True,True
external,2020-08-05,2020-08-05 14:05:00+00:00,2020-08-05 14:20:00+00:00,11583.016,11635.96,11283.0,352.9599999999991,2020-08-05 14:30:00+00:00,E10,0.1,11671.256,D50,0.5,0.35,11406.536,0.5,2020-08-05 15:05:00+00:00,2020-08-05 15:05:00+00:00,11671.256,TP_E10,0.007618050428316758,3.4090252141583792,45.0,True,True
