visits_reached,first_break_visit,break_i,first_visit_delay_min,h1_h2_min,h2_h3_min,h3_h4_min,h4_h5_min,break_delay_min,break_close_excess_R,extension_before_reclaim_R,ext15_R,ext30_R,ext60_R,ext120_R,reclaim_min,reclaim15,reclaim30,reclaim60,reach_E05,reach_E10,reach_E15,reach_E20,reach_E30,reach_E40,partition,ref_min,hour,execution_start,dev_block,H,L,R,role
1,1,108163,155.0,,,,,160.0,0.3016596753602101,0.5794273208097821,0.3638519058909381,0.5794273208097821,0.5794273208097821,0.5794273208097821,110.0,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-24 18:00:00+00:00,,141.093,135.61,5.482999999999976,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-25 18:00:00+00:00,,139.341,136.368,2.973000000000013,CENTRAL
1,1,108800,460.0,,,,,465.0,0.21629416005768146,0.43673395818312927,0.43673395818312927,0.43673395818312927,0.43673395818312927,0.43673395818312927,35.0,False,False,True,True,True,True,True,True,True,external,240,18,2021-09-26 18:00:00+00:00,,140.778,135.23,5.548000000000002,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-09-27 18:00:00+00:00,,148.0,140.473,7.526999999999987,CENTRAL
2,2,109357,220.0,145.0,,,,370.0,0.04217593389567992,0.0,0.1614735754863124,0.7257703563436064,0.7257703563436064,0.7257703563436064,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-09-28 18:00:00+00:00,,134.399,128.59,5.8089999999999975,CENTRAL
1,1,109658,430.0,,,,,435.0,0.16903114186850782,0.2660899653979208,0.2660899653979208,0.2660899653979208,0.2660899653979208,0.2660899653979208,40.0,False,False,True,True,True,True,True,False,False,external,240,18,2021-09-29 18:00:00+00:00,,138.58,132.8,5.780000000000001,CENTRAL
1,1,109868,40.0,,,,,45.0,0.3411691927002806,1.0785648004948933,0.9081348592638426,1.0785648004948933,1.0785648004948933,1.0785648004948933,75.0,False,False,False,True,True,True,True,True,True,external,240,18,2021-09-30 18:00:00+00:00,,139.391,136.158,3.233000000000004,CENTRAL
1,1,110149,5.0,,,,,10.0,0.0411474253468145,0.21921780703816915,0.21921780703816915,0.21921780703816915,0.21921780703816915,0.21921780703816915,40.0,False,False,True,True,True,True,True,False,False,external,240,18,2021-10-01 18:00:00+00:00,,162.125,149.366,12.758999999999986,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-02 18:00:00+00:00,,175.0,165.005,9.995000000000005,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-03 18:00:00+00:00,,178.0,171.538,6.461999999999989,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-04 18:00:00+00:00,,172.837,162.1,10.736999999999995,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-05 18:00:00+00:00,,169.55,160.15,9.400000000000006,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-06 18:00:00+00:00,,162.042,156.141,5.9010000000000105,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-07 18:00:00+00:00,,160.344,153.602,6.74199999999999,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-08 18:00:00+00:00,,169.0,162.501,6.498999999999995,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-09 18:00:00+00:00,,160.042,156.252,3.789999999999992,CENTRAL
1,0,-1,150.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-10 18:00:00+00:00,,154.781,152.0,2.781000000000006,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-11 18:00:00+00:00,,149.692,145.5,4.192000000000007,CENTRAL
1,1,113323,35.0,,,,,40.0,0.07682078559738197,0.3629296235679223,0.24406710310965632,0.2558306055646491,0.3629296235679223,0.3629296235679223,75.0,False,False,False,True,True,True,True,True,False,external,240,18,2021-10-12 18:00:00+00:00,,149.88,140.104,9.775999999999982,CENTRAL
1,1,113656,260.0,,,,,265.0,0.1582210242587645,0.2714285714285722,0.2714285714285722,0.2714285714285722,0.31994609164420734,0.35256064690026684,10.0,True,True,True,True,True,True,True,False,False,external,240,18,2021-10-13 18:00:00+00:00,,147.993,144.283,3.710000000000008,CENTRAL
1,0,-1,630.0,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-14 18:00:00+00:00,,155.929,150.259,5.670000000000016,CENTRAL
1,1,114246,330.0,,,,,335.0,0.06779335509890706,0.0,0.14365277511042662,0.14365277511042662,0.14365277511042662,0.14365277511042662,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-15 18:00:00+00:00,,163.227,158.02,5.206999999999994,CENTRAL
1,1,114586,590.0,,,,,595.0,0.10735735735735838,1.4564564564564617,1.2297297297297396,1.338963963963973,1.4564564564564617,1.4564564564564617,,False,False,False,True,True,True,True,True,True,external,240,18,2021-10-16 18:00:00+00:00,,160.964,158.3,2.6639999999999873,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-17 18:00:00+00:00,,165.298,159.257,6.040999999999997,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-18 18:00:00+00:00,,159.799,155.5,4.299000000000007,CENTRAL
4,4,115406,275.0,15.0,15.0,60.0,,375.0,0.1556989247311813,0.1823655913978532,0.1823655913978532,0.1823655913978532,0.1823655913978532,0.1823655913978532,10.0,True,True,True,True,True,True,False,False,False,external,240,18,2021-10-19 18:00:00+00:00,,157.125,154.8,2.3249999999999886,CENTRAL
2,2,115658,65.0,125.0,,,,195.0,0.012856043110084795,0.0,0.027790608160122382,0.027790608160122382,0.027790608160122382,0.027790608160122382,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-20 18:00:00+00:00,,174.65,161.66,12.990000000000009,CENTRAL
1,1,115921,65.0,,,,,70.0,0.0010522288119403217,0.0,0.015687775014350105,0.022288119380142007,0.022288119380142007,0.022288119380142007,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-21 18:00:00+00:00,,188.402,177.948,10.45399999999998,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-22 18:00:00+00:00,,215.781,202.5,13.281000000000006,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-23 18:00:00+00:00,,201.923,195.39,6.5330000000000155,CENTRAL
1,1,116786,70.0,,,,,75.0,0.02016666666666822,0.0,0.07383333333333535,0.07383333333333535,0.12033333333333474,0.8689999999999998,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-24 18:00:00+00:00,,191.5,185.5,6.0,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-25 18:00:00+00:00,,219.156,207.545,11.611000000000018,CENTRAL
1,1,117349,0.0,,,,,10.0,0.15020130071229468,0.1628987302570444,0.1628987302570444,0.1628987302570444,0.1628987302570444,0.1628987302570444,10.0,True,True,True,True,True,True,False,False,False,external,240,18,2021-10-26 18:00:00+00:00,,208.764,202.306,6.457999999999998,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-27 18:00:00+00:00,,193.2,186.164,7.036000000000001,CENTRAL
1,1,118013,445.0,,,,,450.0,0.1293038922155688,0.0,0.1291167664670649,0.4010104790419146,0.7017215568862246,0.7017215568862246,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-28 18:00:00+00:00,,201.55,196.206,5.3440000000000225,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-10-29 18:00:00+00:00,,205.1,196.912,8.187999999999988,CENTRAL
1,1,118518,90.0,,,,,95.0,0.03219034289713225,0.0,0.04968509447166396,0.04968509447166396,0.2155353393981832,0.2155353393981832,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-10-30 18:00:00+00:00,,194.587,190.3,4.286999999999978,CENTRAL
1,1,118827,195.0,,,,,200.0,0.040503792757979315,0.22763704021754788,0.20359238585945333,0.21797624159152673,0.21933590954630028,0.22763704021754788,100.0,False,False,False,True,True,True,True,False,False,external,240,18,2021-10-31 18:00:00+00:00,,202.154,188.18,13.97399999999999,CENTRAL
