partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_fraction,entry_price,H,L,R4,stop_r4_fraction,target_r4_fraction,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,structural_winner
development,BEAR,08-12,2022-11-03 08:00:00+00:00,2022-11-03 12:00:00+00:00,2022-11-03 08:20:00+00:00,0.1,20283.72,20400.0,20270.8,129.20000000000073,0.3,0.3,1.0,20322.480000000003,20244.96,2022-11-03 08:30:00+00:00,20244.96,TP,0.0019108920848839382,0.555446042441969,True,True
development,BEAR,20-00,2022-11-03 20:00:00+00:00,2022-11-04 00:00:00+00:00,2022-11-03 22:55:00+00:00,0.05,20175.98,20304.8,20169.2,135.59999999999854,0.15,0.15,1.0,20196.32,20155.64,2022-11-03 23:00:00+00:00,20196.32,STOP,-0.0010081294688040008,-0.9040647344020004,False,True
development,BULL,04-08,2022-11-06 04:00:00+00:00,2022-11-06 08:00:00+00:00,2022-11-06 05:35:00+00:00,0.05,21171.88,21355.8,21162.2,193.59999999999852,0.25,0.25,1.0,21220.28,21123.480000000003,2022-11-06 08:00:00+00:00,21185.3,TIME,-0.0006338596289039165,-0.7169298144519582,False,True
development,BEAR,20-00,2022-11-07 20:00:00+00:00,2022-11-08 00:00:00+00:00,2022-11-07 21:55:00+00:00,0.05,20653.8,20885.6,20641.6,244.0,0.15,0.15,1.0,20690.399999999998,20617.2,2022-11-07 22:15:00+00:00,20617.2,TP,0.0017720709990412683,0.4860354995206341,True,True
development,BEAR,16-20,2022-11-09 16:00:00+00:00,2022-11-09 20:00:00+00:00,2022-11-09 17:20:00+00:00,0.05,16940.2,18008.0,16884.0,1124.0,0.25,0.25,1.0,17221.2,16659.2,2022-11-09 18:15:00+00:00,16659.2,TP,0.016587761655706544,7.8938808278532715,True,True
development,BEAR,04-08,2022-11-12 04:00:00+00:00,2022-11-12 08:00:00+00:00,2022-11-12 04:45:00+00:00,0.05,16782.29,17110.8,16765.0,345.7999999999993,0.25,0.25,1.0,16868.74,16695.84,2022-11-12 05:00:00+00:00,16695.84,TP,0.005151263623736732,2.175631811868366,True,True
development,BEAR,00-04,2022-11-21 00:00:00+00:00,2022-11-21 04:00:00+00:00,2022-11-21 00:20:00+00:00,0.05,16188.13,16587.7,16167.1,420.6000000000004,0.2,0.2,1.0,16272.25,16104.009999999998,2022-11-21 00:50:00+00:00,16272.25,STOP,-0.0051964000783290476,-2.998200039164524,False,True
development,BULL,12-16,2022-11-23 12:00:00+00:00,2022-11-23 16:00:00+00:00,2022-11-23 12:55:00+00:00,0.05,16499.725,16694.0,16489.5,204.5,0.3,0.3,1.0,16561.074999999997,16438.375,2022-11-23 13:45:00+00:00,16438.375,TP,0.0037182437889115454,1.4591218944557727,True,True
development,BULL,08-12,2022-11-27 08:00:00+00:00,2022-11-27 12:00:00+00:00,2022-11-27 08:40:00+00:00,0.1,16526.88,16594.2,16519.4,74.79999999999927,0.3,0.3,1.0,16549.32,16504.440000000002,2022-11-27 10:30:00+00:00,16549.32,STOP,-0.0013577880398477323,-1.0788940199238661,False,True
development,BULL,12-16,2022-11-30 12:00:00+00:00,2022-11-30 16:00:00+00:00,2022-11-30 12:45:00+00:00,0.05,16834.81,16926.2,16830.0,96.20000000000071,0.3,0.3,1.0,16863.670000000002,16805.95,2022-11-30 12:55:00+00:00,16805.95,TP,0.0017143050619520255,0.4571525309760127,True,True
development,BULL,04-08,2022-12-01 04:00:00+00:00,2022-12-01 08:00:00+00:00,2022-12-01 06:15:00+00:00,0.05,17087.105,17222.1,17080.0,142.09999999999854,0.25,0.25,1.0,17122.629999999997,17051.58,2022-12-01 06:50:00+00:00,17122.629999999997,STOP,-0.002079053180746406,-1.439526590373203,False,True
development,BULL,04-08,2022-12-03 04:00:00+00:00,2022-12-03 08:00:00+00:00,2022-12-03 04:35:00+00:00,0.05,17010.375,17160.0,17002.5,157.5,0.25,0.25,1.0,17049.75,16971.0,2022-12-03 06:05:00+00:00,16971.0,TP,0.0023147637838671986,0.7573818919335994,True,True
development,BULL,08-12,2022-12-03 08:00:00+00:00,2022-12-03 12:00:00+00:00,2022-12-03 08:55:00+00:00,0.1,16926.600000000002,17024.7,16915.7,109.0,0.3,0.3,1.0,16959.300000000003,16893.9,2022-12-03 09:05:00+00:00,16959.300000000003,STOP,-0.001931870546949814,-1.365935273474907,False,True
development,BULL,16-20,2022-12-05 16:00:00+00:00,2022-12-05 20:00:00+00:00,2022-12-05 16:55:00+00:00,0.05,17024.61,17302.2,17010.0,292.2000000000007,0.25,0.25,1.0,17097.66,16951.56,2022-12-05 18:15:00+00:00,17097.66,STOP,-0.004290847191213148,-2.545423595606574,False,True
development,BEAR,08-12,2022-12-07 08:00:00+00:00,2022-12-07 12:00:00+00:00,2022-12-07 08:15:00+00:00,0.1,16750.85,17036.6,16719.1,317.5,0.3,0.3,1.0,16846.1,16655.6,2022-12-07 12:00:00+00:00,16787.1,TIME,-0.0021640692860362314,-1.4820346430181157,False,False
development,SIDEWAYS,16-20,2022-12-15 16:00:00+00:00,2022-12-15 20:00:00+00:00,2022-12-15 17:10:00+00:00,0.05,17372.98,17714.6,17355.0,359.59999999999854,0.25,0.25,1.0,17462.879999999997,17283.08,2022-12-15 19:35:00+00:00,17462.879999999997,STOP,-0.0051747023251047216,-2.9873511625523608,False,True
development,BEAR,12-16,2022-12-16 12:00:00+00:00,2022-12-16 16:00:00+00:00,2022-12-16 15:25:00+00:00,0.05,16940.025,17510.5,16910.0,600.5,0.3,0.3,1.0,17120.175000000003,16759.875,2022-12-16 16:00:00+00:00,16961.8,TIME,-0.001285417229313287,-1.0427086146566436,False,False
development,BEAR,20-00,2022-12-16 20:00:00+00:00,2022-12-17 00:00:00+00:00,2022-12-16 22:55:00+00:00,0.05,16713.475,16969.5,16700.0,269.5,0.15,0.15,1.0,16753.899999999998,16673.05,2022-12-16 23:00:00+00:00,16673.05,TP,0.002418707061218524,0.809353530609262,True,True
development,BEAR,12-16,2022-12-17 12:00:00+00:00,2022-12-17 16:00:00+00:00,2022-12-17 13:45:00+00:00,0.05,16657.184999999998,16750.0,16652.3,97.70000000000071,0.3,0.3,1.0,16686.495,16627.874999999996,2022-12-17 14:05:00+00:00,16686.495,STOP,-0.0017596010370300452,-1.2798005185150227,False,True
development,BULL,04-08,2022-12-21 04:00:00+00:00,2022-12-21 08:00:00+00:00,2022-12-21 04:55:00+00:00,0.05,16783.11,16918.2,16776.0,142.20000000000073,0.25,0.25,1.0,16818.66,16747.56,2022-12-21 05:25:00+00:00,16818.66,STOP,-0.002118200977053673,-1.4591004885268366,False,False
development,BULL,20-00,2022-12-24 20:00:00+00:00,2022-12-25 00:00:00+00:00,2022-12-24 21:55:00+00:00,0.05,16817.435,16859.9,16815.2,44.70000000000073,0.15,0.15,1.0,16824.140000000003,16810.73,2022-12-24 22:20:00+00:00,16824.140000000003,STOP,-0.0003986933798169427,-0.5993466899084714,False,True
development,SIDEWAYS,12-16,2022-12-27 12:00:00+00:00,2022-12-27 16:00:00+00:00,2022-12-27 13:45:00+00:00,0.05,16804.309999999998,16874.8,16800.6,74.20000000000073,0.3,0.3,1.0,16826.57,16782.049999999996,2022-12-27 14:30:00+00:00,16782.049999999996,TP,0.0013246601615896185,0.26233008079480924,True,True
development,BEAR,16-20,2022-12-28 16:00:00+00:00,2022-12-28 20:00:00+00:00,2022-12-28 16:10:00+00:00,0.05,16571.58,16778.3,16560.7,217.59999999999852,0.25,0.25,1.0,16625.98,16517.180000000004,2022-12-28 17:30:00+00:00,16625.98,STOP,-0.003282728623341758,-2.041364311670879,False,False
