cohort_id,partition,date_utc,variant,target_name,target_ext,managed,entry_bar_start,entry_px,H,L,R,h2_bar_start,exit_reason,exit_bar_start,exit_ts,exit_px,f75_breach,f75_signal_bar,f75_state,conditional_exit,pnl_0,pnl_5,baseline_pnl_0,baseline_pnl_5,delta_vs_base_0,delta_vs_base_5
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,BASE_E15,E15,0.15,False,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,M14_E05,E05,0.05,True,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,M14_E10,E10,0.1,True,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
development|2022-04-18|2022-04-18 14:25:00+00:00,development,2022-04-18,M14_E15,E15,0.15,True,2022-04-18 14:25:00+00:00,2941.46,2947.0,2887.0,60.0,2022-04-18 17:10:00+00:00,CLOSE_INVALIDATION,2022-04-18 15:20:00+00:00,2022-04-18 15:25:00+00:00,2911.15,True,2022-04-18 14:35:00+00:00,PRE_H2,False,-5.552203327599193,-6.0468038240233835,-5.552203327599193,-6.0468038240233835,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,BASE_E05,E05,0.05,False,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1989.67,False,,NO_F75_BREACH,False,2.3491547865109434,2.0979058335942162,2.3491547865109434,2.0979058335942162,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,BASE_E10,E10,0.1,False,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1993.35,False,,NO_F75_BREACH,False,3.2790159643014243,3.02730231314492,3.2790159643014243,3.02730231314492,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,BASE_E15,E15,0.15,False,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1997.03,False,,NO_F75_BREACH,False,4.208877142091905,3.9566987926956236,4.208877142091905,3.9566987926956236,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,M14_E05,E05,0.05,True,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1989.67,False,,NO_F75_BREACH,False,2.3491547865109434,2.0979058335942162,2.3491547865109434,2.0979058335942162,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,M14_E10,E10,0.1,True,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1993.35,False,,NO_F75_BREACH,False,3.2790159643014243,3.02730231314492,3.2790159643014243,3.02730231314492,0.0,0.0
development|2022-05-19|2022-05-19 14:20:00+00:00,development,2022-05-19,M14_E15,E15,0.15,True,2022-05-19 14:20:00+00:00,1978.79,1985.99,1912.39,73.59999999999991,2022-05-19 14:20:00+00:00,TARGET,2022-05-19 15:15:00+00:00,2022-05-19 15:20:00+00:00,1997.03,False,,NO_F75_BREACH,False,4.208877142091905,3.9566987926956236,4.208877142091905,3.9566987926956236,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,BASE_E05,E05,0.05,False,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,BASE_E10,E10,0.1,False,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,BASE_E15,E15,0.15,False,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,M14_E05,E05,0.05,True,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,M14_E10,E10,0.1,True,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
development|2022-06-01|2022-06-01 14:05:00+00:00,development,2022-06-01,M14_E15,E15,0.15,True,2022-06-01 14:05:00+00:00,1965.12,1967.86,1924.0,43.8599999999999,,CLOSE_INVALIDATION,2022-06-01 14:10:00+00:00,2022-06-01 14:15:00+00:00,1943.44,True,2022-06-01 14:05:00+00:00,PRE_H2,False,-5.916202572870832,-6.410439251958378,-5.916202572870832,-6.410439251958378,0.0,0.0
