role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,loss_class,H,L,R,parent_pnl,parent_pnl_5bps,h2_eligible,h2_recovery_entry_ts,h2_recovery_exit_ts,h2_recovery_reason,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl,episode_pnl_5bps,episode_class,latent_target_recovered,latent_recovery_min,latent_target_visit
CLOCK_SUPPORT,external,,2021-10-21 17:00:00+00:00,2021-10-21 23:55:00+00:00,2021-10-22 00:10:00+00:00,L2_BREAK_FAST_FAIL_5M,191.196,177.948,13.24799999999999,-0.4890269670914104,-0.7390269670914105,True,2021-10-22 00:20:00+00:00,2021-10-22 00:30:00+00:00,TARGET,13.858030502730156,13.608030502730156,13.369003535638745,12.869003535638745,H2_ECONOMIC_RESCUE,True,20.0,2.0
CLOCK_SUPPORT,external,,2021-10-24 17:00:00+00:00,2021-10-24 20:45:00+00:00,2021-10-24 21:00:00+00:00,WIN,192.744,185.5,7.244,7.516706097206671,7.266706097206671,False,,,NONE,0.0,0.0,7.516706097206671,7.266706097206671,PARENT_WIN,False,,
CLOCK_SUPPORT,external,,2021-10-26 17:00:00+00:00,2021-10-26 17:55:00+00:00,2021-10-26 18:05:00+00:00,L2_BREAK_FAST_FAIL_5M,208.504,202.306,6.197999999999979,-0.0695430303495059,-0.3195430303495059,True,2021-10-26 18:25:00+00:00,2021-10-26 22:05:00+00:00,REFERENCE_INVALIDATION,-16.373786594022167,-16.623786594022167,-16.443329624371675,-16.943329624371675,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-10-28 17:00:00+00:00,2021-10-29 01:25:00+00:00,2021-10-29 01:35:00+00:00,L2_BREAK_FAST_FAIL_5M,201.55,196.5,5.050000000000011,-2.331927561399161,-2.581927561399161,False,,,NONE,0.0,0.0,-2.331927561399161,-2.581927561399161,RESIDUAL_LATENT_RECOVERABLE,True,10.0,1.0
CLOCK_SUPPORT,external,,2021-10-29 17:00:00+00:00,2021-10-29 17:30:00+00:00,2021-10-30 04:55:00+00:00,L1_NEVER_BREAK_TIME,204.987,195.8,9.186999999999983,-19.179265026562643,-19.429265026562643,False,,,NONE,0.0,0.0,-19.179265026562643,-19.429265026562643,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CLOCK_SUPPORT,external,,2021-10-30 17:00:00+00:00,2021-10-31 00:00:00+00:00,2021-10-31 04:55:00+00:00,L1_NEVER_BREAK_TIME,196.807,190.3,6.506999999999977,-11.234356501547191,-11.484356501547191,False,,,NONE,0.0,0.0,-11.234356501547191,-11.484356501547191,RESIDUAL_LATENT_RECOVERABLE,True,615.0,3.0
CLOCK_SUPPORT,external,,2021-10-31 17:00:00+00:00,2021-10-31 21:15:00+00:00,2021-10-31 23:00:00+00:00,L5_BREAK_FAIL_LATE,202.154,185.47,16.683999999999997,-0.0717274948801582,-0.3217274948801583,True,2021-10-31 23:10:00+00:00,2021-11-01 00:15:00+00:00,TARGET,16.506227925245142,16.256227925245142,16.434500430364984,15.934500430364984,H2_ECONOMIC_RESCUE,True,75.0,2.0
CLOCK_SUPPORT,external,,2021-11-01 17:00:00+00:00,2021-11-01 20:05:00+00:00,2021-11-02 04:55:00+00:00,L1_NEVER_BREAK_TIME,205.965,200.701,5.26400000000001,-3.5564294904474325,-3.806429490447433,True,2021-11-02 06:00:00+00:00,2021-11-02 11:15:00+00:00,TARGET,5.111548078557071,4.861548078557071,1.5551185881096385,1.055118588109638,H2_ECONOMIC_RESCUE,True,380.0,3.0
CLOCK_SUPPORT,external,,2021-11-02 17:00:00+00:00,2021-11-02 17:05:00+00:00,2021-11-02 17:30:00+00:00,L4_BREAK_FAIL_30M,212.281,203.919,8.361999999999995,-0.3321069714199987,-0.5821069714199987,True,2021-11-02 17:45:00+00:00,2021-11-02 18:05:00+00:00,TARGET,7.878236865286992,7.628236865286992,7.546129893866993,7.046129893866993,H2_ECONOMIC_RESCUE,True,35.0,2.0
CLOCK_SUPPORT,external,,2021-11-03 17:00:00+00:00,2021-11-03 18:15:00+00:00,2021-11-03 18:25:00+00:00,WIN,229.508,220.855,8.65300000000002,7.540477891838204,7.290477891838204,False,,,NONE,0.0,0.0,7.540477891838204,7.290477891838204,PARENT_WIN,False,,
