partition,entry_name,target_name,risk_name,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,tp,stop,time_exit,median_hold
POOLED_MAJOR,F85,E10,D60,160,119,0.74375,0.952191563021927,-0.1083860666118032,-17.34177065788851,5,2.3550039023284124,-7.3336431683657555,160,119,0.74375,0.8212981848512786,-0.4276313419533901,-68.42101471254242,5,2.1037520263152536,-7.826463115223881,115,30,15,60.0
external,F85,E15,D30,56,37,0.6607142857142857,1.424535530099833,0.8831992807553234,49.45915972229811,3,3.7185234135936445,-5.03794291441344,56,37,0.6607142857142857,1.2381804055018073,0.5354304865386397,29.98410724616382,3,3.4665901185344077,-5.53305741424902,34,17,5,55.0
development,F85,E15,D30,70,38,0.5428571428571428,0.742243941446702,-0.5531902532975685,-38.7233177308298,5,2.185839327391315,-4.2255068623515575,70,38,0.5428571428571428,0.6138378797928383,-0.9162361893101224,-64.13653325170857,5,1.9346719913956427,-4.7214333922242115,38,31,1,47.5
reference_validation,F85,E15,D30,34,19,0.5588235294117647,0.7541696456965435,-0.5900533376480801,-20.061813480034722,3,2.9060046827940726,-5.183471734260136,34,19,0.5588235294117647,0.634782059517448,-0.9563236830750826,-32.51500522455281,3,2.654477444072057,-5.678440778003935,18,15,1,32.5
august,F85,E15,D30,1,0,0.0,0.0,-2.5543367252602196,-2.5543367252602196,1,,-2.5543367252602196,1,0,0.0,0.0,-3.0519335901025175,-3.0519335901025175,1,,-3.0519335901025175,0,1,0,35.0
POOLED_MAJOR,F85,E15,D30,160,94,0.5875,0.9732275887653391,-0.058287321803540036,-9.325971488566406,5,2.8463762421880983,-4.65371024843016,160,94,0.5875,0.8250218551285624,-0.4166714451881098,-66.66743123009756,5,2.5948788027867047,-5.149208788911469,90,63,7,45.0
external,F85,E15,D40,56,41,0.7321428571428571,1.5651867374546247,1.1486760972761325,64.32586144746342,3,3.7075274625990144,-5.03794291441344,56,41,0.7321428571428571,1.3782309822658003,0.818613137189616,45.8423356826185,3,3.455599662767606,-5.53305741424902,38,11,7,60.0
development,F85,E15,D40,70,41,0.5857142857142857,0.7299358181376804,-0.6152221261537293,-43.06554883076105,5,2.011048702947949,-4.969434989788956,70,41,0.5857142857142857,0.608921829833044,-0.9710420113076186,-67.9729407915333,5,1.7562327795149328,-5.464617963312424,40,26,4,50.0
reference_validation,F85,E15,D40,34,20,0.5882352941176471,0.7465154543096634,-0.6946186288898275,-23.617033382254135,3,3.137805464178312,-5.613439072640631,34,20,0.5882352941176471,0.6421549355409919,-1.053311639839482,-35.812595754542386,3,2.886162382986846,-6.107978363922284,19,14,1,45.0
august,F85,E15,D40,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
POOLED_MAJOR,F85,E15,D40,160,102,0.6375,0.9935687287784359,-0.014729504784698477,-2.3567207655517564,5,2.782658908339464,-5.047230066728792,160,102,0.6375,0.8533415986494987,-0.36214500539660743,-57.94320086345719,5,2.531193311683622,-5.542335284053334,97,51,12,50.0
external,F85,E15,D50,56,45,0.8035714285714286,1.4942345743705627,1.0913246443561242,61.114180083942955,2,3.6027362190059313,-9.481741468842776,56,44,0.7857142857142857,1.336148472716455,0.7747709207220795,43.38717156043646,2,3.3582015448678897,-7.713236226471454,41,7,8,77.5
development,F85,E15,D50,70,45,0.6428571428571429,0.7300046873542744,-0.6636363447021466,-46.454544129150264,5,2.011048702947949,-6.432558908732111,70,45,0.6428571428571429,0.6184490939885328,-1.005052133882197,-70.35364937175379,5,1.7562327795149328,-6.926279489532994,44,22,4,60.0
reference_validation,F85,E15,D50,34,22,0.6470588235294118,0.9702592779690618,-0.0730649093285328,-2.484206917170115,3,3.4478371307768545,-5.91313849481036,34,22,0.6470588235294118,0.8413028926624334,-0.4174999543054806,-14.19499844638634,3,3.19603911122125,-6.407378236444677,21,11,2,47.5
august,F85,E15,D50,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
POOLED_MAJOR,F85,E15,D50,160,112,0.7,1.0321048245733113,0.07609643148514109,12.175429037622573,5,2.7749177209560165,-6.323878040675595,160,111,0.69375,0.8978388165639611,-0.25725922661064804,-41.16147625770368,5,2.5271064618658916,-6.709135006529465,106,40,14,65.0
external,F85,E15,D60,56,45,0.8035714285714286,1.5001638799959272,1.100052066258549,61.60291571047874,2,3.6027362190059313,-4.958864523322825,56,44,0.7857142857142857,1.3412220020559327,0.783489619564129,43.87541869559122,2,3.3582015448678897,-5.448355321009446,41,5,10,82.5
development,F85,E15,D60,70,47,0.6714285714285714,0.7713060520051755,-0.5602213546322664,-39.21549482425865,5,2.2209887349546436,-6.536636783660999,70,47,0.6714285714285714,0.6574636714908338,-0.8945479743150803,-62.61835820205562,5,1.7599687185887007,-7.030253338599845,46,17,7,62.5
reference_validation,F85,E15,D60,34,23,0.6764705882352942,0.8894176802524615,-0.3014830937908391,-10.25042518888853,3,3.3696062455625513,-7.347126112088587,34,23,0.6764705882352942,0.7787787902877717,-0.6383141115388004,-21.702679792319213,3,3.117847321901635,-7.839932582741116,22,9,3,50.0
august,F85,E15,D60,1,0,0.0,0.0,-4.028245372507944,-4.028245372507944,1,,-4.028245372507944,1,0,0.0,0.0,-4.524369065288958,-4.524369065288958,1,,-4.524369065288958,0,1,0,65.0
POOLED_MAJOR,F85,E15,D60,160,115,0.71875,1.0313345156416307,0.07585622310832221,12.136995697331555,5,2.7785700150968045,-7.3336431683657555,160,114,0.7125,0.9012305199722693,-0.25278512061739755,-40.44561929878361,5,2.531193311683622,-7.428358226911863,109,31,20,70.0
external,F85,E20,D30,56,35,0.625,1.261435804787948,0.6102039365534946,34.1714204469957,4,4.269858922173642,-5.03794291441344,56,35,0.625,1.0971651036849872,0.24478534240230276,13.707979174528955,4,4.017650097125025,-5.53305741424902,30,18,8,60.0
development,F85,E20,D30,70,33,0.4714285714285714,0.625045886574378,-0.9226204278863503,-64.58342995204453,7,2.408529378555358,-4.171879384155963,70,33,0.4714285714285714,0.5213319422478138,-1.3031870946510076,-91.22309662557053,7,2.157250753178808,-4.667859514706485,33,34,3,57.5
