source_tf,family,mode,partition,candidate_n,raw_candidate_wr,long_n,short_n,median_hours,weekly_coverage,weekly_wr
D1,R12_LOW,HOLD,development,115,0.4260869565217391,67,48,2.0,0.2948717948717949,0.5
D1,R12_LOW,HOLD,external,60,0.43333333333333335,35,25,1.0,0.22330097087378642,0.5652173913043478
D1,R12_LOW,HOLD,reference_validation,82,0.3780487804878049,40,42,2.0,0.345679012345679,0.32142857142857145
D1,R12_LOW,RECLAIM,development,115,0.4260869565217391,67,48,2.0,0.2948717948717949,0.5
D1,R12_LOW,RECLAIM,external,60,0.43333333333333335,35,25,1.0,0.22330097087378642,0.5652173913043478
D1,R12_LOW,RECLAIM,reference_validation,82,0.3780487804878049,40,42,2.0,0.345679012345679,0.32142857142857145
D1,R12_LOW,WICK,development,89,0.38202247191011235,59,30,2.0,0.2692307692307692,0.4523809523809524
D1,R12_LOW,WICK,external,45,0.4222222222222222,30,15,1.0,0.20388349514563106,0.47619047619047616
D1,R12_LOW,WICK,reference_validation,56,0.44642857142857145,33,23,2.0,0.3333333333333333,0.37037037037037035
D1,R3_HIGH,BODY,development,274,0.45985401459854014,144,130,3.0,0.6730769230769231,0.4380952380952381
D1,R3_HIGH,BODY,external,221,0.4072398190045249,117,104,2.0,0.6990291262135923,0.3333333333333333
D1,R3_HIGH,BODY,reference_validation,169,0.3905325443786982,86,83,6.0,0.7160493827160493,0.3620689655172414
D1,R3_HIGH,HOLD,development,325,0.47692307692307695,148,177,3.0,0.7435897435897436,0.39655172413793105
D1,R3_HIGH,HOLD,external,250,0.396,123,127,2.0,0.7281553398058253,0.38666666666666666
D1,R3_HIGH,HOLD,reference_validation,184,0.3532608695652174,91,93,5.5,0.7407407407407407,0.2833333333333333
D1,R3_HIGH,RECLAIM,development,324,0.4783950617283951,148,176,3.0,0.7435897435897436,0.39655172413793105
D1,R3_HIGH,RECLAIM,external,250,0.396,123,127,2.0,0.7281553398058253,0.38666666666666666
D1,R3_HIGH,RECLAIM,reference_validation,184,0.3532608695652174,91,93,5.5,0.7407407407407407,0.2833333333333333
D1,R3_HIGH,WICK,development,229,0.48034934497816595,90,139,4.0,0.6602564102564102,0.4563106796116505
D1,R3_HIGH,WICK,external,199,0.40703517587939697,92,107,2.0,0.6990291262135923,0.4305555555555556
D1,R3_HIGH,WICK,reference_validation,144,0.3680555555555556,69,75,5.0,0.6790123456790124,0.3090909090909091
D1,R3_LOW,BODY,development,266,0.3609022556390977,128,138,3.0,0.6153846153846154,0.3541666666666667
D1,R3_LOW,BODY,external,135,0.37037037037037035,63,72,2.0,0.5631067961165048,0.3620689655172414
D1,R3_LOW,BODY,reference_validation,158,0.43037974683544306,71,87,4.0,0.691358024691358,0.48214285714285715
D1,R3_LOW,HOLD,development,316,0.379746835443038,170,146,3.0,0.6730769230769231,0.4095238095238095
D1,R3_LOW,HOLD,external,163,0.37423312883435583,83,80,2.0,0.6116504854368932,0.38095238095238093
D1,R3_LOW,HOLD,reference_validation,178,0.398876404494382,89,89,3.0,0.7407407407407407,0.48333333333333334
D1,R3_LOW,RECLAIM,development,315,0.38095238095238093,169,146,3.0,0.6730769230769231,0.4095238095238095
D1,R3_LOW,RECLAIM,external,162,0.3765432098765432,82,80,2.0,0.6116504854368932,0.38095238095238093
D1,R3_LOW,RECLAIM,reference_validation,177,0.3954802259887006,89,88,3.0,0.7283950617283951,0.4745762711864407
D1,R3_LOW,WICK,development,236,0.4067796610169492,142,94,3.0,0.6538461538461539,0.4117647058823529
D1,R3_LOW,WICK,external,120,0.4083333333333333,70,50,2.0,0.5533980582524272,0.43859649122807015
D1,R3_LOW,WICK,reference_validation,125,0.432,70,55,4.0,0.6790123456790124,0.45454545454545453
D1,R6_HIGH,BODY,development,184,0.44021739130434784,98,86,3.0,0.47435897435897434,0.44594594594594594
D1,R6_HIGH,BODY,external,154,0.4025974025974026,79,75,2.0,0.5533980582524272,0.42105263157894735
D1,R6_HIGH,BODY,reference_validation,111,0.42342342342342343,53,58,6.0,0.5185185185185185,0.4523809523809524
