tf,partition,transition,date_utc,previous_session_high,previous_session_low,midpoint,active_session_start,active_session_end,status,side,signal_level,signal_k,signal_bar_start,signal_ts,setup_status,filled,entry_ts,entry_px,stop_px,target_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
15m,external,LONDON_TO_NEWYORK,2021-03-23,55389.98,53877.0,54633.490000000005,2021-03-23 13:30:00+00:00,2021-03-23 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-03-24,55665.06,53600.0,54632.53,2021-03-24 08:00:00+00:00,2021-03-24 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-03-24,57080.0,55484.69,56282.345,2021-03-24 13:30:00+00:00,2021-03-24 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-03-25,53255.2,51500.0,52377.6,2021-03-25 08:00:00+00:00,2021-03-25 13:30:00+00:00,SIGNAL,LONG,HIGH,36.0,2021-03-25 11:00:00+00:00,2021-03-25 11:05:00+00:00,SIGNAL,True,2021-03-25 11:45:00+00:00,52377.6,51500.0,53255.2,2021-03-25 12:10:00+00:00,51500.0,SL_RANGE_EDGE,-0.016755254154447674,-8.777627077223837,25.0
15m,external,LONDON_TO_NEWYORK,2021-03-25,53160.2,50452.08,51806.14,2021-03-25 13:30:00+00:00,2021-03-25 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-03-26,53600.0,51260.0,52430.0,2021-03-26 08:00:00+00:00,2021-03-26 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-03-26,53850.0,52550.0,53200.0,2021-03-26 13:30:00+00:00,2021-03-26 20:00:00+00:00,,LONG,HIGH,,2021-03-26 16:20:00+00:00,2021-03-26 16:25:00+00:00,SIGNAL,False,,,52550.0,53850.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-03-29,56200.0,54931.15,55565.575,2021-03-29 08:00:00+00:00,2021-03-29 13:30:00+00:00,,LONG,HIGH,,2021-03-29 08:05:00+00:00,2021-03-29 08:10:00+00:00,SIGNAL,False,,,54931.15,56200.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-03-29,58490.11,55942.99,57216.55,2021-03-29 13:30:00+00:00,2021-03-29 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-03-30,58350.0,57110.0,57730.0,2021-03-30 08:00:00+00:00,2021-03-30 13:30:00+00:00,,LONG,HIGH,,2021-03-30 08:00:00+00:00,2021-03-30 08:05:00+00:00,SIGNAL,False,,,57110.0,58350.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-03-30,59560.0,57772.0,58666.0,2021-03-30 13:30:00+00:00,2021-03-30 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-03-31,59920.0,57400.0,58660.0,2021-03-31 08:00:00+00:00,2021-03-31 13:30:00+00:00,SIGNAL,SHORT,LOW,1.0,2021-03-31 08:05:00+00:00,2021-03-31 08:10:00+00:00,SIGNAL,True,2021-03-31 13:25:00+00:00,58660.0,59920.0,57400.0,2021-03-31 13:30:00+00:00,58537.01,TIME_EXIT_SESSION_END,0.0020966587112171142,0.6483293556085571,5.0
15m,external,LONDON_TO_NEWYORK,2021-03-31,58663.41,56812.0,57737.705,2021-03-31 13:30:00+00:00,2021-03-31 20:00:00+00:00,,LONG,HIGH,,2021-03-31 13:30:00+00:00,2021-03-31 13:35:00+00:00,SIGNAL,False,,,56812.0,58663.41,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-01,59427.21,58552.86,58990.035,2021-04-01 08:00:00+00:00,2021-04-01 13:30:00+00:00,SIGNAL,LONG,HIGH,4.0,2021-04-01 08:20:00+00:00,2021-04-01 08:25:00+00:00,SIGNAL,True,2021-04-01 08:50:00+00:00,58990.035,58552.86,59427.21,2021-04-01 11:00:00+00:00,58552.86,SL_RANGE_EDGE,-0.007410997467623193,-4.105498733811596,130.0
15m,external,LONDON_TO_NEWYORK,2021-04-01,59592.22,58150.0,58871.11,2021-04-01 13:30:00+00:00,2021-04-01 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-02,60397.85,58520.0,59458.925,2021-04-02 08:00:00+00:00,2021-04-02 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-02,59780.0,59250.0,59515.0,2021-04-02 13:30:00+00:00,2021-04-02 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-05,58450.26,56852.1,57651.18,2021-04-05 08:00:00+00:00,2021-04-05 13:30:00+00:00,SIGNAL,SHORT,LOW,5.0,2021-04-05 08:25:00+00:00,2021-04-05 08:30:00+00:00,SIGNAL,True,2021-04-05 10:50:00+00:00,57651.18,58450.26,56852.1,2021-04-05 13:30:00+00:00,57938.7,TIME_EXIT_SESSION_END,-0.004987235300300874,-2.893617650150437,160.0
15m,external,LONDON_TO_NEWYORK,2021-04-05,58186.12,56808.94,57497.53,2021-04-05 13:30:00+00:00,2021-04-05 20:00:00+00:00,,LONG,HIGH,,2021-04-05 13:35:00+00:00,2021-04-05 13:40:00+00:00,SIGNAL,False,,,56808.94,58186.12,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-06,59626.18,58401.4,59013.79,2021-04-06 08:00:00+00:00,2021-04-06 13:30:00+00:00,SIGNAL,SHORT,LOW,0.0,2021-04-06 08:00:00+00:00,2021-04-06 08:05:00+00:00,SIGNAL,True,2021-04-06 08:05:00+00:00,59013.79,59626.18,58401.4,2021-04-06 11:20:00+00:00,58401.4,TP_RANGE_EDGE,0.010377066106074473,4.788533053037236,195.0
15m,external,LONDON_TO_NEWYORK,2021-04-06,59116.71,58340.48,58728.595,2021-04-06 13:30:00+00:00,2021-04-06 20:00:00+00:00,,SHORT,LOW,,2021-04-06 13:45:00+00:00,2021-04-06 13:50:00+00:00,SIGNAL,False,,,59116.71,58340.48,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-07,58720.0,57245.46,57982.729999999996,2021-04-07 08:00:00+00:00,2021-04-07 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-07,57992.99,55669.32,56831.155,2021-04-07 13:30:00+00:00,2021-04-07 20:00:00+00:00,,SHORT,LOW,,2021-04-07 19:00:00+00:00,2021-04-07 19:05:00+00:00,SIGNAL,False,,,57992.99,55669.32,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-08,57415.03,55759.13,56587.08,2021-04-08 08:00:00+00:00,2021-04-08 13:30:00+00:00,SIGNAL,LONG,HIGH,4.0,2021-04-08 08:20:00+00:00,2021-04-08 08:25:00+00:00,SIGNAL,True,2021-04-08 10:10:00+00:00,56587.08,55759.13,57415.03,2021-04-08 12:45:00+00:00,57415.03,TP_RANGE_EDGE,0.014631431768523884,6.9157158842619415,155.0
15m,external,LONDON_TO_NEWYORK,2021-04-08,57632.9,56401.0,57016.95,2021-04-08 13:30:00+00:00,2021-04-08 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-09,58466.0,57700.0,58083.0,2021-04-09 08:00:00+00:00,2021-04-09 13:30:00+00:00,SIGNAL,SHORT,LOW,6.0,2021-04-09 08:30:00+00:00,2021-04-09 08:35:00+00:00,SIGNAL,True,2021-04-09 10:00:00+00:00,58083.0,58466.0,57700.0,2021-04-09 10:15:00+00:00,58466.0,SL_RANGE_EDGE,-0.0065940120172856,-3.6970060086428,15.0
15m,external,LONDON_TO_NEWYORK,2021-04-09,58950.0,57711.34,58330.67,2021-04-09 13:30:00+00:00,2021-04-09 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-12,61449.91,59672.67,60561.29,2021-04-12 08:00:00+00:00,2021-04-12 13:30:00+00:00,SIGNAL,SHORT,LOW,23.0,2021-04-12 09:55:00+00:00,2021-04-12 10:00:00+00:00,SIGNAL,True,2021-04-12 12:40:00+00:00,60561.29,61449.91,59672.67,2021-04-12 13:30:00+00:00,60479.08,TIME_EXIT_SESSION_END,0.0013574677818124492,0.2787338909062246,50.0
15m,external,LONDON_TO_NEWYORK,2021-04-12,61000.0,59500.0,60250.0,2021-04-12 13:30:00+00:00,2021-04-12 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-13,61550.0,59873.01,60711.505000000005,2021-04-13 08:00:00+00:00,2021-04-13 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-13,63478.0,61126.47,62302.235,2021-04-13 13:30:00+00:00,2021-04-13 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-14,64986.11,63131.11,64058.61,2021-04-14 08:00:00+00:00,2021-04-14 13:30:00+00:00,SIGNAL,SHORT,LOW,17.0,2021-04-14 09:25:00+00:00,2021-04-14 09:30:00+00:00,SIGNAL,True,2021-04-14 10:15:00+00:00,64058.61,64986.11,63131.11,2021-04-14 13:30:00+00:00,64149.38,TIME_EXIT_SESSION_END,-0.0014169836029847005,-1.1084918014923502,195.0
15m,external,LONDON_TO_NEWYORK,2021-04-14,64903.71,63101.84,64002.774999999994,2021-04-14 13:30:00+00:00,2021-04-14 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-15,63560.0,62410.14,62985.07,2021-04-15 08:00:00+00:00,2021-04-15 13:30:00+00:00,,SHORT,LOW,,2021-04-15 10:20:00+00:00,2021-04-15 10:25:00+00:00,SIGNAL,False,,,63560.0,62410.14,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-15,63223.6,62157.89,62690.744999999995,2021-04-15 13:30:00+00:00,2021-04-15 20:00:00+00:00,SIGNAL,LONG,HIGH,1.0,2021-04-15 13:35:00+00:00,2021-04-15 13:40:00+00:00,SIGNAL,True,2021-04-15 14:55:00+00:00,62690.744999999995,62157.89,63223.6,2021-04-15 19:25:00+00:00,63223.6,TP_RANGE_EDGE,0.008499739475101187,3.8498697375505935,270.0
15m,external,ASIA_TO_LONDON,2021-04-16,63600.0,61111.0,62355.5,2021-04-16 08:00:00+00:00,2021-04-16 13:30:00+00:00,,SHORT,LOW,,2021-04-16 08:55:00+00:00,2021-04-16 09:00:00+00:00,SIGNAL,False,,,63600.0,61111.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-16,61737.97,60100.0,60918.985,2021-04-16 13:30:00+00:00,2021-04-16 20:00:00+00:00,,LONG,HIGH,,2021-04-16 15:50:00+00:00,2021-04-16 15:55:00+00:00,SIGNAL,False,,,60100.0,61737.97,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-19,57487.0,55677.9,56582.45,2021-04-19 08:00:00+00:00,2021-04-19 13:30:00+00:00,SIGNAL,LONG,HIGH,0.0,2021-04-19 08:00:00+00:00,2021-04-19 08:05:00+00:00,SIGNAL,True,2021-04-19 10:00:00+00:00,56582.45,55677.9,57487.0,2021-04-19 13:30:00+00:00,56286.07,TIME_EXIT_SESSION_END,-0.005238019916069314,-3.019009958034657,210.0
15m,external,LONDON_TO_NEWYORK,2021-04-19,57532.7,56052.74,56792.72,2021-04-19 13:30:00+00:00,2021-04-19 20:00:00+00:00,,SHORT,LOW,,2021-04-19 14:05:00+00:00,2021-04-19 14:10:00+00:00,SIGNAL,False,,,57532.7,56052.74,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-20,55798.52,53330.82,54564.67,2021-04-20 08:00:00+00:00,2021-04-20 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-20,56450.0,54248.41,55349.205,2021-04-20 13:30:00+00:00,2021-04-20 20:00:00+00:00,SIGNAL,LONG,HIGH,5.0,2021-04-20 13:55:00+00:00,2021-04-20 14:00:00+00:00,SIGNAL,True,2021-04-20 14:55:00+00:00,55349.205,54248.41,56450.0,2021-04-20 19:00:00+00:00,56450.0,TP_RANGE_EDGE,0.019888180869083838,9.54409043454192,245.0
15m,external,ASIA_TO_LONDON,2021-04-21,56756.78,54948.28,55852.53,2021-04-21 08:00:00+00:00,2021-04-21 13:30:00+00:00,,SHORT,LOW,,2021-04-21 08:00:00+00:00,2021-04-21 08:05:00+00:00,SIGNAL,False,,,56756.78,54948.28,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-21,55740.0,54257.88,54998.94,2021-04-21 13:30:00+00:00,2021-04-21 20:00:00+00:00,,LONG,HIGH,,2021-04-21 13:30:00+00:00,2021-04-21 13:35:00+00:00,SIGNAL,False,,,54257.88,55740.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-22,54845.0,52505.0,53675.0,2021-04-22 08:00:00+00:00,2021-04-22 13:30:00+00:00,,LONG,HIGH,,2021-04-22 11:15:00+00:00,2021-04-22 11:20:00+00:00,SIGNAL,False,,,52505.0,54845.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-22,55470.51,53080.29,54275.4,2021-04-22 13:30:00+00:00,2021-04-22 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-23,52152.0,47705.18,49928.59,2021-04-23 08:00:00+00:00,2021-04-23 13:30:00+00:00,SIGNAL,SHORT,LOW,1.0,2021-04-23 08:05:00+00:00,2021-04-23 08:10:00+00:00,SIGNAL,True,2021-04-23 11:25:00+00:00,49928.59,52152.0,47705.18,2021-04-23 13:30:00+00:00,48970.35,TIME_EXIT_SESSION_END,0.019192210314771474,9.196105157385736,125.0
15m,external,LONDON_TO_NEWYORK,2021-04-23,50320.0,47546.16,48933.08,2021-04-23 13:30:00+00:00,2021-04-23 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-26,53092.0,48763.0,50927.5,2021-04-26 08:00:00+00:00,2021-04-26 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-26,53952.0,52285.43,53118.715,2021-04-26 13:30:00+00:00,2021-04-26 20:00:00+00:00,SIGNAL,LONG,HIGH,0.0,2021-04-26 13:30:00+00:00,2021-04-26 13:35:00+00:00,SIGNAL,True,2021-04-26 16:20:00+00:00,53118.715,52285.43,53952.0,2021-04-26 17:15:00+00:00,53952.0,TP_RANGE_EDGE,0.015687220596356743,7.443610298178371,55.0
15m,external,ASIA_TO_LONDON,2021-04-27,54869.09,53225.14,54047.115,2021-04-27 08:00:00+00:00,2021-04-27 13:30:00+00:00,,LONG,HIGH,,2021-04-27 08:05:00+00:00,2021-04-27 08:10:00+00:00,SIGNAL,False,,,53225.14,54869.09,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-27,55300.0,54322.45,54811.225,2021-04-27 13:30:00+00:00,2021-04-27 20:00:00+00:00,SIGNAL,SHORT,LOW,2.0,2021-04-27 13:40:00+00:00,2021-04-27 13:45:00+00:00,SIGNAL,True,2021-04-27 14:25:00+00:00,54811.225,55300.0,54322.45,2021-04-27 15:45:00+00:00,55300.0,SL_RANGE_EDGE,-0.008917425217188635,-4.858712608594318,80.0
15m,external,ASIA_TO_LONDON,2021-04-28,55733.0,53852.0,54792.5,2021-04-28 08:00:00+00:00,2021-04-28 13:30:00+00:00,SIGNAL,SHORT,LOW,17.0,2021-04-28 09:25:00+00:00,2021-04-28 09:30:00+00:00,SIGNAL,True,2021-04-28 11:05:00+00:00,54792.5,55733.0,53852.0,2021-04-28 13:30:00+00:00,54829.55,TIME_EXIT_SESSION_END,-0.0006761874344116681,-0.738093717205834,145.0
15m,external,LONDON_TO_NEWYORK,2021-04-28,55343.7,53951.79,54647.744999999995,2021-04-28 13:30:00+00:00,2021-04-28 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-04-29,55222.02,53460.0,54341.009999999995,2021-04-29 08:00:00+00:00,2021-04-29 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-04-29,54746.31,53750.0,54248.155,2021-04-29 13:30:00+00:00,2021-04-29 20:00:00+00:00,,SHORT,LOW,,2021-04-29 13:30:00+00:00,2021-04-29 13:35:00+00:00,SIGNAL,False,,,54746.31,53750.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-04-30,54568.58,53043.62,53806.100000000006,2021-04-30 08:00:00+00:00,2021-04-30 13:30:00+00:00,,LONG,HIGH,,2021-04-30 08:00:00+00:00,2021-04-30 08:05:00+00:00,SIGNAL,False,,,53043.62,54568.58,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-04-30,54923.0,54100.0,54511.5,2021-04-30 13:30:00+00:00,2021-04-30 20:00:00+00:00,,LONG,HIGH,,2021-04-30 13:30:00+00:00,2021-04-30 13:35:00+00:00,SIGNAL,False,,,54100.0,54923.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-03,58907.6,56559.8,57733.7,2021-05-03 08:00:00+00:00,2021-05-03 13:30:00+00:00,,LONG,HIGH,,2021-05-03 08:00:00+00:00,2021-05-03 08:05:00+00:00,SIGNAL,False,,,56559.8,58907.6,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-03,59056.59,58320.01,58688.3,2021-05-03 13:30:00+00:00,2021-05-03 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-05-04,57253.76,54450.31,55852.035,2021-05-04 08:00:00+00:00,2021-05-04 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-04,56670.0,55503.12,56086.56,2021-05-04 13:30:00+00:00,2021-05-04 20:00:00+00:00,,SHORT,LOW,,2021-05-04 13:40:00+00:00,2021-05-04 13:45:00+00:00,SIGNAL,False,,,56670.0,55503.12,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-05,55462.8,52880.38,54171.59,2021-05-05 08:00:00+00:00,2021-05-05 13:30:00+00:00,,LONG,HIGH,,2021-05-05 08:30:00+00:00,2021-05-05 08:35:00+00:00,SIGNAL,False,,,52880.38,55462.8,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-05,56159.0,54750.87,55454.935,2021-05-05 13:30:00+00:00,2021-05-05 20:00:00+00:00,,LONG,HIGH,,2021-05-05 13:30:00+00:00,2021-05-05 13:35:00+00:00,SIGNAL,False,,,54750.87,56159.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-06,57674.98,56423.01,57048.995,2021-05-06 08:00:00+00:00,2021-05-06 13:30:00+00:00,,LONG,HIGH,,2021-05-06 10:05:00+00:00,2021-05-06 10:10:00+00:00,SIGNAL,False,,,56423.01,57674.98,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-06,58450.0,56848.04,57649.020000000004,2021-05-06 13:30:00+00:00,2021-05-06 20:00:00+00:00,,SHORT,LOW,,2021-05-06 14:10:00+00:00,2021-05-06 14:15:00+00:00,SIGNAL,False,,,58450.0,56848.04,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-07,57179.13,55300.0,56239.565,2021-05-07 08:00:00+00:00,2021-05-07 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-07,57730.36,55645.25,56687.805,2021-05-07 13:30:00+00:00,2021-05-07 20:00:00+00:00,,LONG,HIGH,,2021-05-07 15:45:00+00:00,2021-05-07 15:50:00+00:00,SIGNAL,False,,,55645.25,57730.36,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-10,59654.0,58088.88,58871.44,2021-05-10 08:00:00+00:00,2021-05-10 13:30:00+00:00,,SHORT,LOW,,2021-05-10 08:05:00+00:00,2021-05-10 08:10:00+00:00,SIGNAL,False,,,59654.0,58088.88,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-10,58695.57,57446.09,58070.83,2021-05-10 13:30:00+00:00,2021-05-10 20:00:00+00:00,,SHORT,LOW,,2021-05-10 13:30:00+00:00,2021-05-10 13:35:00+00:00,SIGNAL,False,,,58695.57,57446.09,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-11,56500.0,54541.33,55520.665,2021-05-11 08:00:00+00:00,2021-05-11 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-11,56262.61,54821.0,55541.805,2021-05-11 13:30:00+00:00,2021-05-11 20:00:00+00:00,SIGNAL,SHORT,LOW,0.0,2021-05-11 13:30:00+00:00,2021-05-11 13:35:00+00:00,SIGNAL,True,2021-05-11 13:50:00+00:00,55541.805,56262.61,54821.0,2021-05-11 16:05:00+00:00,56262.61,SL_RANGE_EDGE,-0.012977702111049538,-6.8888510555247695,135.0
15m,external,ASIA_TO_LONDON,2021-05-12,58049.99,56600.0,57324.994999999995,2021-05-12 08:00:00+00:00,2021-05-12 13:30:00+00:00,,SHORT,LOW,,2021-05-12 08:25:00+00:00,2021-05-12 08:30:00+00:00,SIGNAL,False,,,58049.99,56600.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-12,57265.0,55867.0,56566.0,2021-05-12 13:30:00+00:00,2021-05-12 20:00:00+00:00,SIGNAL,SHORT,LOW,0.0,2021-05-12 13:30:00+00:00,2021-05-12 13:35:00+00:00,SIGNAL,True,2021-05-12 13:45:00+00:00,56566.0,57265.0,55867.0,2021-05-12 15:05:00+00:00,55867.0,TP_RANGE_EDGE,0.01235724640243252,5.778623201216259,80.0
15m,external,ASIA_TO_LONDON,2021-05-13,51358.0,45596.32,48477.16,2021-05-13 08:00:00+00:00,2021-05-13 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-13,50963.89,48500.0,49731.945,2021-05-13 13:30:00+00:00,2021-05-13 20:00:00+00:00,SIGNAL,LONG,HIGH,7.0,2021-05-13 14:05:00+00:00,2021-05-13 14:10:00+00:00,SIGNAL,True,2021-05-13 15:40:00+00:00,49731.945,48500.0,50963.89,2021-05-13 16:50:00+00:00,48500.0,SL_RANGE_EDGE,-0.024771703580063087,-12.785851790031543,70.0
15m,external,ASIA_TO_LONDON,2021-05-14,50414.05,48870.41,49642.23,2021-05-14 08:00:00+00:00,2021-05-14 13:30:00+00:00,,LONG,HIGH,,2021-05-14 08:10:00+00:00,2021-05-14 08:15:00+00:00,SIGNAL,False,,,48870.41,50414.05,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,LONDON_TO_NEWYORK,2021-05-14,51000.0,49941.05,50470.525,2021-05-14 13:30:00+00:00,2021-05-14 20:00:00+00:00,,LONG,HIGH,,2021-05-14 13:45:00+00:00,2021-05-14 13:50:00+00:00,SIGNAL,False,,,49941.05,51000.0,,,RANGE_BROKE_BEFORE_FILL,,,
15m,external,ASIA_TO_LONDON,2021-05-17,46655.0,42200.0,44427.5,2021-05-17 08:00:00+00:00,2021-05-17 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-17,45874.2,44428.0,45151.1,2021-05-17 13:30:00+00:00,2021-05-17 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-05-18,45846.61,43189.26,44517.935,2021-05-18 08:00:00+00:00,2021-05-18 13:30:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-18,45692.56,43300.0,44496.28,2021-05-18 13:30:00+00:00,2021-05-18 20:00:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-05-19,43615.93,38500.0,41057.965,2021-05-19 08:00:00+00:00,2021-05-19 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-19,40853.0,28688.0,34770.5,2021-05-19 13:30:00+00:00,2021-05-19 20:00:00+00:00,,,,,,,NO_RETEST,False,,,,,,,NO_RETEST,,,
15m,external,ASIA_TO_LONDON,2021-05-20,40800.0,34882.0,37841.0,2021-05-20 08:00:00+00:00,2021-05-20 13:30:00+00:00,,,,,,,BREAK_BEFORE_RETEST,False,,,,,,,BREAK_BEFORE_RETEST,,,
15m,external,LONDON_TO_NEWYORK,2021-05-20,42460.0,38737.2,40598.6,2021-05-20 13:30:00+00:00,2021-05-20 20:00:00+00:00,,SHORT,LOW,,2021-05-20 16:35:00+00:00,2021-05-20 16:40:00+00:00,SIGNAL,False,,,42460.0,38737.2,,,RANGE_BROKE_BEFORE_FILL,,,
