hold_min,entry_ts,exit_ts,clock_min_utc,clock_utc,clock_wib,votes,active_lbs,entry_price,exit_price,gross_pnl,wib_day,year,implementation_cost_0bps,net_0bps,implementation_cost_2bps,net_2bps,implementation_cost_5bps,net_5bps,implementation_cost_10bps,net_10bps
360,2025-09-26 15:15:00+00:00,2025-09-26 21:15:00+00:00,915,15:15,22:15,2,240;360,940.63,955.78,8.053113338932405,2025-09-26,2025,0.75,7.303113338932405,0.95,7.103113338932405,1.25,6.803113338932405,1.75,6.303113338932405
360,2025-10-08 15:15:00+00:00,2025-10-08 21:15:00+00:00,915,15:15,22:15,2,240;360,1300.87,1309.12,3.170954822541838,2025-10-08,2025,0.75,2.420954822541838,0.95,2.220954822541838,1.25,1.9209548225418378,1.75,1.4209548225418378
360,2025-10-15 15:15:00+00:00,2025-10-15 21:15:00+00:00,915,15:15,22:15,3,180;240;360,1173.24,1153.02,-8.617162728853442,2025-10-15,2025,0.75,-9.367162728853442,0.95,-9.567162728853441,1.25,-9.867162728853442,1.75,-10.367162728853442
360,2025-10-22 15:00:00+00:00,2025-10-22 21:00:00+00:00,900,15:00,22:00,2,180;360,1080.41,1064.85,-7.2009700021289005,2025-10-22,2025,0.75,-7.9509700021289005,0.95,-8.1509700021289,1.25,-8.450970002128901,1.75,-8.950970002128901
360,2025-10-23 15:00:00+00:00,2025-10-23 21:00:00+00:00,900,15:00,22:00,2,180;240,1084.88,1112.74,12.84012978393919,2025-10-23,2025,0.75,12.09012978393919,0.95,11.89012978393919,1.25,11.59012978393919,1.75,11.09012978393919
360,2025-11-03 15:00:00+00:00,2025-11-03 21:00:00+00:00,900,15:00,22:00,2,240;360,1020.57,985.62,-17.122784326405853,2025-11-03,2025,0.75,-17.872784326405853,0.95,-18.072784326405852,1.25,-18.372784326405853,1.75,-18.872784326405853
360,2025-11-24 15:00:00+00:00,2025-11-24 21:00:00+00:00,900,15:00,22:00,2,180;240,838.65,873.98,21.0636141417755,2025-11-24,2025,0.75,20.3136141417755,0.95,20.1136141417755,1.25,19.8136141417755,1.75,19.3136141417755
360,2025-12-03 15:00:00+00:00,2025-12-03 21:00:00+00:00,900,15:00,22:00,2,180;240,896.16,908.64,6.963042313872533,2025-12-03,2025,0.75,6.213042313872533,0.95,6.013042313872533,1.25,5.713042313872533,1.75,5.213042313872533
480,2022-01-14 15:30:00+00:00,2022-01-14 23:30:00+00:00,930,15:30,22:30,2,180;360,479.33,488.11,9.158617236559394,2022-01-14,2022,0.75,8.408617236559394,0.95,8.208617236559395,1.25,7.908617236559394,1.75,7.408617236559394
480,2022-01-25 15:00:00+00:00,2022-01-25 23:00:00+00:00,900,15:00,22:00,3,180;240;360,367.94,381.94,19.02484100668587,2022-01-25,2022,0.75,18.27484100668587,0.95,18.074841006685872,1.25,17.77484100668587,1.75,17.27484100668587
480,2022-01-28 15:00:00+00:00,2022-01-28 23:00:00+00:00,900,15:00,22:00,3,180;240;360,379.95,383.86,5.145413870246118,2022-01-28,2022,0.75,4.395413870246118,0.95,4.195413870246118,1.25,3.8954138702461183,1.75,3.3954138702461183
480,2022-02-18 15:15:00+00:00,2022-02-18 23:15:00+00:00,915,15:15,22:15,2,180;240,401.58,398.6,-3.7103441406444064,2022-02-18,2022,0.75,-4.460344140644406,0.95,-4.660344140644407,1.25,-4.960344140644406,1.75,-5.460344140644406
480,2022-02-25 15:45:00+00:00,2022-02-25 23:45:00+00:00,945,15:45,22:45,2,180;240,367.24,373.74,8.849798496895763,2022-02-25,2022,0.75,8.099798496895763,0.95,7.899798496895763,1.25,7.5997984968957635,1.75,7.0997984968957635
480,2022-03-01 15:00:00+00:00,2022-03-01 23:00:00+00:00,900,15:00,22:00,2,180;240,404.13,407.51,4.181822680820522,2022-03-01,2022,0.75,3.431822680820522,0.95,3.231822680820522,1.25,2.931822680820522,1.75,2.431822680820522
480,2022-03-02 15:00:00+00:00,2022-03-02 23:00:00+00:00,900,15:00,22:00,2,180;240,412.9,409.09,-4.613707919593125,2022-03-02,2022,0.75,-5.363707919593125,0.95,-5.563707919593125,1.25,-5.863707919593125,1.75,-6.363707919593125
480,2022-03-04 15:00:00+00:00,2022-03-04 23:00:00+00:00,900,15:00,22:00,2,180;240,389.87,375.1,-18.942211506399545,2022-03-04,2022,0.75,-19.692211506399545,0.95,-19.892211506399544,1.25,-20.192211506399545,1.75,-20.692211506399545
480,2022-03-10 15:30:00+00:00,2022-03-10 23:30:00+00:00,930,15:30,22:30,2,240;360,366.49,372.26,7.871974678708808,2022-03-10,2022,0.75,7.121974678708808,0.95,6.921974678708808,1.25,6.621974678708808,1.75,6.121974678708808
480,2022-04-13 15:00:00+00:00,2022-04-13 23:00:00+00:00,900,15:00,22:00,2,180;240,413.79,423.42,11.636337272529538,2022-04-13,2022,0.75,10.886337272529538,0.95,10.686337272529538,1.25,10.386337272529538,1.75,9.886337272529538
480,2022-04-27 15:00:00+00:00,2022-04-27 23:00:00+00:00,900,15:00,22:00,3,180;240;360,386.63,389.7,3.9702040710756963,2022-04-27,2022,0.75,3.2202040710756963,0.95,3.020204071075696,1.25,2.7202040710756963,1.75,2.2202040710756963
480,2022-04-28 15:15:00+00:00,2022-04-28 23:15:00+00:00,915,15:15,22:15,2,180;240,405.11,406.63,1.876033669867421,2022-04-28,2022,0.75,1.126033669867421,0.95,0.926033669867421,1.25,0.6260336698674209,1.75,0.12603366986742093
480,2022-05-19 15:15:00+00:00,2022-05-19 23:15:00+00:00,915,15:15,22:15,2,180;240,304.09,304.8,1.1674175408596739,2022-05-19,2022,0.75,0.41741754085967386,0.95,0.2174175408596739,1.25,-0.08258245914032614,1.75,-0.5825824591403261
480,2022-05-25 15:00:00+00:00,2022-05-25 23:00:00+00:00,900,15:00,22:00,2,180;240,328.35,328.92,0.8679762448606565,2022-05-25,2022,0.75,0.1179762448606565,0.95,-0.08202375513934346,1.25,-0.3820237551393435,1.75,-0.8820237551393435
480,2022-05-30 15:00:00+00:00,2022-05-30 23:00:00+00:00,900,15:00,22:00,3,180;240;360,312.84,321.87,14.43229766014581,2022-05-30,2022,0.75,13.68229766014581,0.95,13.48229766014581,1.25,13.18229766014581,1.75,12.68229766014581
480,2022-05-31 15:00:00+00:00,2022-05-31 23:00:00+00:00,900,15:00,22:00,3,180;240;360,318.6,322.26,5.743879472692981,2022-05-31,2022,0.75,4.993879472692981,0.95,4.793879472692981,1.25,4.493879472692981,1.75,3.9938794726929814
480,2022-06-17 15:30:00+00:00,2022-06-17 23:30:00+00:00,930,15:30,22:30,3,180;240;360,215.76,216.9,2.641824249165774,2022-06-17,2022,0.75,1.891824249165774,0.95,1.691824249165774,1.25,1.391824249165774,1.75,0.891824249165774
480,2022-06-20 15:00:00+00:00,2022-06-20 23:00:00+00:00,900,15:00,22:00,2,240;360,217.43,215.74,-3.886308237133785,2022-06-20,2022,0.75,-4.636308237133785,0.95,-4.836308237133785,1.25,-5.136308237133785,1.75,-5.636308237133785
480,2022-06-23 15:00:00+00:00,2022-06-23 23:00:00+00:00,900,15:00,22:00,3,180;240;360,227.69,228.43,1.6250164697615377,2022-06-23,2022,0.75,0.8750164697615377,0.95,0.6750164697615377,1.25,0.3750164697615377,1.75,-0.12498353023846231
480,2022-06-24 15:00:00+00:00,2022-06-24 23:00:00+00:00,900,15:00,22:00,2,180;240,236.6,240.74,8.74894336432801,2022-06-24,2022,0.75,7.99894336432801,0.95,7.79894336432801,1.25,7.49894336432801,1.75,6.99894336432801
480,2022-06-28 15:30:00+00:00,2022-06-28 23:30:00+00:00,930,15:30,22:30,3,180;240;360,238.03,227.47,-22.182077889341684,2022-06-28,2022,0.75,-22.932077889341684,0.95,-23.132077889341684,1.25,-23.432077889341684,1.75,-23.932077889341684
480,2022-06-29 15:15:00+00:00,2022-06-29 23:15:00+00:00,915,15:15,22:15,2,240;360,218.25,219.62,3.1386025200458296,2022-06-29,2022,0.75,2.3886025200458296,0.95,2.18860252004583,1.25,1.8886025200458296,1.75,1.3886025200458296
480,2022-06-30 15:00:00+00:00,2022-06-30 23:00:00+00:00,900,15:00,22:00,3,180;240;360,210.99,213.12,5.047632589222228,2022-06-30,2022,0.75,4.297632589222228,0.95,4.097632589222227,1.25,3.7976325892222276,1.75,3.2976325892222276
480,2022-08-02 15:15:00+00:00,2022-08-02 23:15:00+00:00,915,15:15,22:15,2,240;360,282.79,284.03,2.192439619505556,2022-08-02,2022,0.75,1.442439619505556,0.95,1.242439619505556,1.25,0.942439619505556,1.75,0.442439619505556
480,2022-08-04 15:00:00+00:00,2022-08-04 23:00:00+00:00,900,15:00,22:00,2,180;240,306.84,310.89,6.599530700039128,2022-08-04,2022,0.75,5.849530700039128,0.95,5.6495307000391275,1.25,5.349530700039128,1.75,4.849530700039128
480,2022-08-22 15:00:00+00:00,2022-08-22 23:00:00+00:00,900,15:00,22:00,2,180;360,294.43,300.0,9.458954590225169,2022-08-22,2022,0.75,8.708954590225169,0.95,8.50895459022517,1.25,8.208954590225169,1.75,7.708954590225169
480,2022-09-08 15:00:00+00:00,2022-09-08 23:00:00+00:00,900,15:00,22:00,2,180;240,282.1,280.85,-2.215526409074796,2022-09-08,2022,0.75,-2.965526409074796,0.95,-3.165526409074796,1.25,-3.465526409074796,1.75,-3.965526409074796
480,2022-11-01 15:45:00+00:00,2022-11-01 23:45:00+00:00,945,15:45,22:45,2,180;240,318.84,325.08,9.785472337222446,2022-11-01,2022,0.75,9.035472337222446,0.95,8.835472337222447,1.25,8.535472337222446,1.75,8.035472337222446
480,2022-11-15 15:00:00+00:00,2022-11-15 23:00:00+00:00,900,15:00,22:00,2,240;360,278.33,275.39,-5.2815003772500235,2022-11-15,2022,0.75,-6.0315003772500235,0.95,-6.231500377250024,1.25,-6.5315003772500235,1.75,-7.0315003772500235
480,2022-11-16 15:00:00+00:00,2022-11-16 23:00:00+00:00,900,15:00,22:00,2,240;360,271.73,271.82,0.16560556434691603,2022-11-16,2022,0.75,-0.5843944356530839,0.95,-0.7843944356530839,1.25,-1.084394435653084,1.75,-1.584394435653084
480,2022-11-28 15:00:00+00:00,2022-11-28 23:00:00+00:00,900,15:00,22:00,2,180;240,295.14,292.65,-4.218337060378141,2022-11-28,2022,0.75,-4.968337060378141,0.95,-5.168337060378141,1.25,-5.468337060378141,1.75,-5.968337060378141
480,2022-12-14 15:45:00+00:00,2022-12-14 23:45:00+00:00,945,15:45,22:45,2,240;360,272.65,268.39,-7.812213460480454,2022-12-14,2022,0.75,-8.562213460480454,0.95,-8.762213460480453,1.25,-9.062213460480454,1.75,-9.562213460480454
480,2022-12-19 15:00:00+00:00,2022-12-19 23:00:00+00:00,900,15:00,22:00,2,240;360,248.14,240.14,-16.119932296284357,2022-12-19,2022,0.75,-16.869932296284357,0.95,-17.069932296284357,1.25,-17.369932296284357,1.75,-17.869932296284357
480,2023-01-17 15:15:00+00:00,2023-01-17 23:15:00+00:00,915,15:15,22:15,2,180;240,302.72,301.57,-1.8994450317125298,2023-01-17,2023,0.75,-2.6494450317125295,0.95,-2.8494450317125297,1.25,-3.1494450317125295,1.75,-3.6494450317125295
480,2023-01-23 15:00:00+00:00,2023-01-23 23:00:00+00:00,900,15:00,22:00,3,180;240;360,302.49,306.07,5.917550993421243,2023-01-23,2023,0.75,5.167550993421243,0.95,4.967550993421243,1.25,4.667550993421243,1.75,4.167550993421243
480,2023-02-16 15:00:00+00:00,2023-02-16 23:00:00+00:00,900,15:00,22:00,2,180;240,318.29,307.34,-17.201294417041133,2023-02-16,2023,0.75,-17.951294417041133,0.95,-18.151294417041132,1.25,-18.451294417041133,1.75,-18.951294417041133
480,2023-02-17 15:00:00+00:00,2023-02-17 23:00:00+00:00,900,15:00,22:00,3,180;240;360,309.67,313.38,5.9902476830173725,2023-02-17,2023,0.75,5.2402476830173725,0.95,5.040247683017372,1.25,4.7402476830173725,1.75,4.2402476830173725
480,2023-02-22 15:45:00+00:00,2023-02-22 23:45:00+00:00,945,15:45,22:45,2,240;360,304.59,312.38,12.787681801766343,2023-02-22,2023,0.75,12.037681801766343,0.95,11.837681801766344,1.25,11.537681801766343,1.75,11.037681801766343
480,2023-02-23 15:15:00+00:00,2023-02-23 23:15:00+00:00,915,15:15,22:15,2,240;360,309.15,307.96,-1.924632055636419,2023-02-23,2023,0.75,-2.674632055636419,0.95,-2.874632055636419,1.25,-3.174632055636419,1.75,-3.674632055636419
480,2023-03-24 15:00:00+00:00,2023-03-24 23:00:00+00:00,900,15:00,22:00,2,180;360,321.86,321.5,-0.5592493630771355,2023-03-24,2023,0.75,-1.3092493630771354,0.95,-1.5092493630771355,1.25,-1.8092493630771354,1.75,-2.3092493630771354
480,2023-04-12 15:00:00+00:00,2023-04-12 23:00:00+00:00,900,15:00,22:00,2,180;240,320.55,319.55,-1.5598190609889253,2023-04-12,2023,0.75,-2.309819060988925,0.95,-2.5098190609889253,1.25,-2.809819060988925,1.75,-3.309819060988925
480,2023-04-28 15:15:00+00:00,2023-04-28 23:15:00+00:00,915,15:15,22:15,2,180;240,321.41,324.01,4.044678136958971,2023-04-28,2023,0.75,3.2946781369589706,0.95,3.0946781369589704,1.25,2.7946781369589706,1.75,2.2946781369589706
