feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
breakout_down_24h,15,validation_2025,POSITIVE,633,0.3981042654028436,0.4786729857819905,-0.08056872037914692,0.12006319115323855,0.00315955766192733,0.0005364806866952065,0.010468247763009364,-0.012248781067903503
breakout_down_24h,15,validation_2026,ZERO,25231,0.2968570409416987,0.31691173556339425,-0.020054694621695568,0.38575561808885894,0.0004756054060481154,-7.829014327098704e-05,0.006473677781849263,-0.006877950101146446
breakout_down_24h,15,validation_2026,POSITIVE,386,0.34974093264248707,0.3471502590673575,0.002590673575129543,0.30310880829015546,0.0,0.0015320397818112674,0.007625644580869229,-0.007540613764599136
breakout_down_24h,30,development,ZERO,69302,0.41118582436293327,0.4251248160226256,-0.013938991659692312,0.16309774609679376,0.0005916135176473983,0.00021270543303941736,0.009942766873197506,-0.010203810359662502
breakout_down_24h,30,development,POSITIVE,872,0.4426605504587156,0.4713302752293578,-0.02866972477064217,0.08256880733944955,0.0034403669724770644,0.00393040823706281,0.012375575541700212,-0.012027265739686266
breakout_down_24h,30,validation_2025,ZERO,34407,0.3953846600982358,0.4112244601389252,-0.01583980004068941,0.1925189641642689,0.0008719155985700584,0.0001613250161325297,0.009078731954159869,-0.00937538049433817
breakout_down_24h,30,validation_2025,POSITIVE,633,0.3981042654028436,0.4660347551342812,-0.06793048973143762,0.13428120063191154,0.001579778830963665,-0.00027654867256632354,0.010106528270964255,-0.011900191938579718
breakout_down_24h,30,validation_2026,ZERO,25231,0.2972930125639095,0.31683246799571957,-0.01953945543181007,0.38539891403432286,0.0004756054060481154,-8.169267216717735e-05,0.006481287894626542,-0.006886087768440796
breakout_down_24h,30,validation_2026,POSITIVE,386,0.32124352331606215,0.35233160621761656,-0.031088082901554404,0.32642487046632124,0.0,0.00194735487061104,0.007348371710329316,-0.00709628529755163
breakout_down_24h,60,development,ZERO,69300,0.41145743145743147,0.42525252525252527,-0.013795093795093805,0.16271284271284273,0.0005772005772005772,0.000224462571914108,0.009961668649720035,-0.010207696438567393
breakout_down_24h,60,development,POSITIVE,872,0.4208715596330275,0.4610091743119266,-0.04013761467889909,0.11353211009174312,0.0045871559633027525,0.002758743348292514,0.011253280865526571,-0.011781002860765943
breakout_down_24h,60,validation_2025,ZERO,34407,0.39564623477780686,0.41081756619292586,-0.015171331415119005,0.19263521957741156,0.000900979451855727,0.00015894460780407904,0.00908518012813797,-0.009369541051294172
breakout_down_24h,60,validation_2025,POSITIVE,633,0.38388625592417064,0.4881516587677725,-0.10426540284360186,0.12796208530805686,0.0,0.00015902464882056044,0.009857310264010488,-0.012211668928086894
breakout_down_24h,60,validation_2026,ZERO,25231,0.2970155760770481,0.3173873409694424,-0.020371764892394284,0.3851611113312988,0.00043597162221077244,-7.868439688418771e-05,0.006480881399870464,-0.0068855932203388814
breakout_down_24h,60,validation_2026,POSITIVE,386,0.3393782383419689,0.3160621761658031,0.023316062176165775,0.34196891191709844,0.0025906735751295338,0.0013347591587716812,0.0073818603245331404,-0.007175189135252835
