partition,k,entry_fraction,ttl,exit_reason,n
development,1,F65,T45,TP_RANGE_EDGE,40
development,1,F65,T45,TTL_EXPIRED,14
development,1,F65,T60,RANGE_BROKE_BEFORE_FILL,77
development,1,F65,T60,SL_RANGE_EDGE,27
development,1,F65,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F65,T60,TIME_EXIT_SESSION_END,8
development,1,F65,T60,TP_RANGE_EDGE,41
development,1,F65,T60,TTL_EXPIRED,10
development,1,F65,T90,RANGE_BROKE_BEFORE_FILL,77
development,1,F65,T90,SL_RANGE_EDGE,28
development,1,F65,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F65,T90,TIME_EXIT_SESSION_END,10
development,1,F65,T90,TP_RANGE_EDGE,41
development,1,F65,T90,TTL_EXPIRED,7
development,1,F70,FULL,NO_FILL,3
development,1,F70,FULL,RANGE_BROKE_BEFORE_FILL,75
development,1,F70,FULL,SL_RANGE_EDGE,28
development,1,F70,FULL,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,FULL,TIME_EXIT_SESSION_END,9
development,1,F70,FULL,TP_RANGE_EDGE,48
development,1,F70,T15,RANGE_BROKE_BEFORE_FILL,54
development,1,F70,T15,SL_RANGE_EDGE,21
development,1,F70,T15,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,T15,TIME_EXIT_SESSION_END,4
development,1,F70,T15,TP_RANGE_EDGE,37
development,1,F70,T15,TTL_EXPIRED,47
development,1,F70,T30,RANGE_BROKE_BEFORE_FILL,70
development,1,F70,T30,SL_RANGE_EDGE,24
development,1,F70,T30,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,T30,TIME_EXIT_SESSION_END,5
development,1,F70,T30,TP_RANGE_EDGE,46
development,1,F70,T30,TTL_EXPIRED,18
development,1,F70,T45,RANGE_BROKE_BEFORE_FILL,70
development,1,F70,T45,SL_RANGE_EDGE,27
development,1,F70,T45,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,T45,TIME_EXIT_SESSION_END,8
development,1,F70,T45,TP_RANGE_EDGE,47
development,1,F70,T45,TTL_EXPIRED,11
development,1,F70,T60,RANGE_BROKE_BEFORE_FILL,73
development,1,F70,T60,SL_RANGE_EDGE,27
development,1,F70,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,T60,TIME_EXIT_SESSION_END,9
development,1,F70,T60,TP_RANGE_EDGE,47
development,1,F70,T60,TTL_EXPIRED,7
development,1,F70,T90,RANGE_BROKE_BEFORE_FILL,73
development,1,F70,T90,SL_RANGE_EDGE,27
development,1,F70,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,T90,TIME_EXIT_SESSION_END,9
development,1,F70,T90,TP_RANGE_EDGE,47
development,1,F70,T90,TTL_EXPIRED,7
development,1,F75,FULL,NO_FILL,3
development,1,F75,FULL,RANGE_BROKE_BEFORE_FILL,62
development,1,F75,FULL,SL_RANGE_EDGE,28
development,1,F75,FULL,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,FULL,TIME_EXIT_SESSION_END,9
development,1,F75,FULL,TP_RANGE_EDGE,61
development,1,F75,T15,RANGE_BROKE_BEFORE_FILL,47
development,1,F75,T15,SL_RANGE_EDGE,22
development,1,F75,T15,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,T15,TIME_EXIT_SESSION_END,5
development,1,F75,T15,TP_RANGE_EDGE,51
development,1,F75,T15,TTL_EXPIRED,38
development,1,F75,T30,RANGE_BROKE_BEFORE_FILL,58
development,1,F75,T30,SL_RANGE_EDGE,26
development,1,F75,T30,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,T30,TIME_EXIT_SESSION_END,8
development,1,F75,T30,TP_RANGE_EDGE,57
development,1,F75,T30,TTL_EXPIRED,14
development,1,F75,T45,RANGE_BROKE_BEFORE_FILL,58
development,1,F75,T45,SL_RANGE_EDGE,27
development,1,F75,T45,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,T45,TIME_EXIT_SESSION_END,9
development,1,F75,T45,TP_RANGE_EDGE,59
development,1,F75,T45,TTL_EXPIRED,10
development,1,F75,T60,RANGE_BROKE_BEFORE_FILL,61
development,1,F75,T60,SL_RANGE_EDGE,28
development,1,F75,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,T60,TIME_EXIT_SESSION_END,9
development,1,F75,T60,TP_RANGE_EDGE,61
development,1,F75,T60,TTL_EXPIRED,4
development,1,F75,T90,RANGE_BROKE_BEFORE_FILL,61
development,1,F75,T90,SL_RANGE_EDGE,28
development,1,F75,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,T90,TIME_EXIT_SESSION_END,9
development,1,F75,T90,TP_RANGE_EDGE,61
development,1,F75,T90,TTL_EXPIRED,4
development,1,F80,FULL,NO_FILL,1
development,1,F80,FULL,RANGE_BROKE_BEFORE_FILL,53
development,1,F80,FULL,SL_RANGE_EDGE,24
development,1,F80,FULL,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,FULL,TIME_EXIT_SESSION_END,10
development,1,F80,FULL,TP_RANGE_EDGE,75
development,1,F80,T15,RANGE_BROKE_BEFORE_FILL,43
development,1,F80,T15,SL_RANGE_EDGE,21
development,1,F80,T15,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,T15,TIME_EXIT_SESSION_END,8
development,1,F80,T15,TP_RANGE_EDGE,68
development,1,F80,T15,TTL_EXPIRED,23
development,1,F80,T30,RANGE_BROKE_BEFORE_FILL,50
development,1,F80,T30,SL_RANGE_EDGE,22
development,1,F80,T30,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,T30,TIME_EXIT_SESSION_END,9
development,1,F80,T30,TP_RANGE_EDGE,72
development,1,F80,T30,TTL_EXPIRED,10
development,1,F80,T45,RANGE_BROKE_BEFORE_FILL,50
development,1,F80,T45,SL_RANGE_EDGE,24
development,1,F80,T45,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,T45,TIME_EXIT_SESSION_END,9
development,1,F80,T45,TP_RANGE_EDGE,73
development,1,F80,T45,TTL_EXPIRED,7
development,1,F80,T60,RANGE_BROKE_BEFORE_FILL,53
development,1,F80,T60,SL_RANGE_EDGE,24
development,1,F80,T60,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,T60,TIME_EXIT_SESSION_END,9
development,1,F80,T60,TP_RANGE_EDGE,75
development,1,F80,T60,TTL_EXPIRED,2
development,1,F80,T90,RANGE_BROKE_BEFORE_FILL,53
development,1,F80,T90,SL_RANGE_EDGE,24
development,1,F80,T90,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,T90,TIME_EXIT_SESSION_END,9
development,1,F80,T90,TP_RANGE_EDGE,75
development,1,F80,T90,TTL_EXPIRED,2
development,2,F50,FULL,NO_ELIGIBLE_5M,1
development,2,F50,FULL,NO_FILL,2
development,2,F50,FULL,RANGE_BROKE_BEFORE_FILL,32
development,2,F50,FULL,SL_RANGE_EDGE,4
development,2,F50,FULL,TIME_EXIT_SESSION_END,2
development,2,F50,FULL,TP_RANGE_EDGE,3
development,2,F50,T15,NO_ELIGIBLE_5M,1
development,2,F50,T15,RANGE_BROKE_BEFORE_FILL,20
development,2,F50,T15,SL_RANGE_EDGE,2
development,2,F50,T15,TTL_EXPIRED,21
development,2,F50,T30,NO_ELIGIBLE_5M,1
development,2,F50,T30,RANGE_BROKE_BEFORE_FILL,25
development,2,F50,T30,SL_RANGE_EDGE,2
development,2,F50,T30,TP_RANGE_EDGE,1
development,2,F50,T30,TTL_EXPIRED,15
development,2,F50,T45,NO_ELIGIBLE_5M,1
development,2,F50,T45,RANGE_BROKE_BEFORE_FILL,28
development,2,F50,T45,SL_RANGE_EDGE,3
development,2,F50,T45,TP_RANGE_EDGE,1
development,2,F50,T45,TTL_EXPIRED,11
development,2,F50,T60,NO_ELIGIBLE_5M,1
development,2,F50,T60,RANGE_BROKE_BEFORE_FILL,29
development,2,F50,T60,SL_RANGE_EDGE,3
development,2,F50,T60,TP_RANGE_EDGE,1
development,2,F50,T60,TTL_EXPIRED,10
development,2,F50,T90,NO_ELIGIBLE_5M,1
development,2,F50,T90,RANGE_BROKE_BEFORE_FILL,31
development,2,F50,T90,SL_RANGE_EDGE,3
development,2,F50,T90,TIME_EXIT_SESSION_END,2
development,2,F50,T90,TP_RANGE_EDGE,1
development,2,F50,T90,TTL_EXPIRED,6
development,2,F60,FULL,NO_ELIGIBLE_5M,1
development,2,F60,FULL,NO_FILL,1
development,2,F60,FULL,RANGE_BROKE_BEFORE_FILL,29
development,2,F60,FULL,SL_RANGE_EDGE,4
development,2,F60,FULL,TIME_EXIT_SESSION_END,3
development,2,F60,FULL,TP_RANGE_EDGE,6
development,2,F60,T15,NO_ELIGIBLE_5M,1
development,2,F60,T15,RANGE_BROKE_BEFORE_FILL,20
development,2,F60,T15,SL_RANGE_EDGE,2
development,2,F60,T15,TIME_EXIT_SESSION_END,1
development,2,F60,T15,TP_RANGE_EDGE,4
development,2,F60,T15,TTL_EXPIRED,16
development,2,F60,T30,NO_ELIGIBLE_5M,1
development,2,F60,T30,RANGE_BROKE_BEFORE_FILL,23
development,2,F60,T30,SL_RANGE_EDGE,2
development,2,F60,T30,TIME_EXIT_SESSION_END,1
development,2,F60,T30,TP_RANGE_EDGE,4
development,2,F60,T30,TTL_EXPIRED,13
development,2,F60,T45,NO_ELIGIBLE_5M,1
development,2,F60,T45,RANGE_BROKE_BEFORE_FILL,26
development,2,F60,T45,SL_RANGE_EDGE,3
development,2,F60,T45,TIME_EXIT_SESSION_END,2
development,2,F60,T45,TP_RANGE_EDGE,4
development,2,F60,T45,TTL_EXPIRED,8
development,2,F60,T60,NO_ELIGIBLE_5M,1
development,2,F60,T60,RANGE_BROKE_BEFORE_FILL,27
development,2,F60,T60,SL_RANGE_EDGE,3
development,2,F60,T60,TIME_EXIT_SESSION_END,3
development,2,F60,T60,TP_RANGE_EDGE,5
development,2,F60,T60,TTL_EXPIRED,5
development,2,F60,T90,NO_ELIGIBLE_5M,1
development,2,F60,T90,RANGE_BROKE_BEFORE_FILL,28
development,2,F60,T90,SL_RANGE_EDGE,3
development,2,F60,T90,TIME_EXIT_SESSION_END,3
development,2,F60,T90,TP_RANGE_EDGE,5
development,2,F60,T90,TTL_EXPIRED,4
development,2,F65,FULL,NO_ELIGIBLE_5M,1
development,2,F65,FULL,NO_FILL,1
development,2,F65,FULL,RANGE_BROKE_BEFORE_FILL,25
development,2,F65,FULL,SL_RANGE_EDGE,4
