track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts,body_ratio,extension,ref_hour
H4,20,240,CLASSIC,,2023-07-28 04:00:00+00:00,LONG,-0.005169655743199329,SL,2023-07-27 20:00:00+00:00,2023-07-28 00:00:00+00:00,0.23328149300155124,0.13793103448275276,20
H4,20,240,CLASSIC,,2023-07-30 04:00:00+00:00,SHORT,-0.0008037566424687324,TP,2023-07-29 20:00:00+00:00,2023-07-30 00:00:00+00:00,0.7217068645639474,0.6813725490196022,20
H4,20,240,CLASSIC,,2023-07-31 04:00:00+00:00,LONG,-0.007636992635608851,TIME,2023-07-30 20:00:00+00:00,2023-07-31 00:00:00+00:00,0.5097897026830998,0.5141791044776092,20
H4,20,240,CLASSIC,,2023-08-01 04:00:00+00:00,SHORT,0.001674867540362447,TP,2023-07-31 20:00:00+00:00,2023-08-01 00:00:00+00:00,0.6140055163959571,1.5420765027322445,20
H4,20,240,CLASSIC,,2023-08-11 04:00:00+00:00,SHORT,-0.003755048349188993,SL,2023-08-10 20:00:00+00:00,2023-08-11 00:00:00+00:00,0.28013029315960913,0.19607843137255118,20
H4,20,240,CLASSIC,,2023-08-17 04:00:00+00:00,SHORT,0.005958934836873988,TP,2023-08-16 20:00:00+00:00,2023-08-17 00:00:00+00:00,0.1454955879335133,0.14416101099929354,20
H4,20,240,CLASSIC,,2023-08-19 04:00:00+00:00,SHORT,0.003228683365050501,TP,2023-08-18 20:00:00+00:00,2023-08-19 00:00:00+00:00,0.3505892255892247,0.12545824847250212,20
H4,20,240,CLASSIC,,2023-08-21 04:00:00+00:00,SHORT,0.0016253834826359128,TP,2023-08-20 20:00:00+00:00,2023-08-21 00:00:00+00:00,0.7589900535577672,0.27791411042944336,20
H4,20,240,CLASSIC,,2023-08-22 04:00:00+00:00,SHORT,0.0025799164433112933,TP,2023-08-21 20:00:00+00:00,2023-08-22 00:00:00+00:00,0.620865139949108,0.11905882352940834,20
H4,20,240,CLASSIC,,2023-08-28 04:00:00+00:00,SHORT,0.0003960079993846079,TP,2023-08-27 20:00:00+00:00,2023-08-28 00:00:00+00:00,0.7027914614121433,0.23529411764706967,20
H4,20,240,CLASSIC,,2023-08-30 04:00:00+00:00,SHORT,0.005028678705002289,TP,2023-08-29 20:00:00+00:00,2023-08-30 00:00:00+00:00,0.6504460665044582,0.38657342657342864,20
H4,20,240,CLASSIC,,2023-09-07 04:00:00+00:00,LONG,-0.006704340047861411,SL,2023-09-06 20:00:00+00:00,2023-09-07 00:00:00+00:00,0.6425602660016604,0.36235119047619196,20
H4,20,240,CLASSIC,,2023-09-11 04:00:00+00:00,SHORT,0.003928065020173123,TP,2023-09-10 20:00:00+00:00,2023-09-11 00:00:00+00:00,0.4486894713460641,0.10955961331900689,20
H4,20,240,CLASSIC,,2023-09-12 04:00:00+00:00,LONG,0.004743165478784896,TP,2023-09-11 20:00:00+00:00,2023-09-12 00:00:00+00:00,0.7660341100168153,1.7956521739130458,20
H4,20,240,CLASSIC,,2023-09-18 04:00:00+00:00,LONG,0.0012883900893936886,TP,2023-09-17 20:00:00+00:00,2023-09-18 00:00:00+00:00,0.34545930384715845,0.8088829071332564,20
H4,20,240,CLASSIC,,2023-09-22 04:00:00+00:00,LONG,0.0008894593284716769,TP,2023-09-21 20:00:00+00:00,2023-09-22 00:00:00+00:00,0.31625615763547155,0.04402515723269271,20
H4,20,240,CLASSIC,,2023-10-06 04:00:00+00:00,LONG,0.0008361941273853936,TP,2023-10-05 20:00:00+00:00,2023-10-06 00:00:00+00:00,0.7317682317682291,0.3698523698523565,20
H4,20,240,CLASSIC,,2023-10-08 04:00:00+00:00,LONG,-0.005396613190730757,SL,2023-10-07 20:00:00+00:00,2023-10-08 00:00:00+00:00,0.680458306810964,0.9341262580055156,20
H4,20,240,CLASSIC,,2023-10-11 04:00:00+00:00,SHORT,-0.007059115134052161,SL,2023-10-10 20:00:00+00:00,2023-10-11 00:00:00+00:00,0.813943541488451,2.0479680213190763,20
H4,20,240,CLASSIC,,2023-10-13 04:00:00+00:00,LONG,-9.541642540960996e-05,TP,2023-10-12 20:00:00+00:00,2023-10-13 00:00:00+00:00,0.1877761413843898,0.03058510638296875,20
H4,20,240,CLASSIC,,2023-10-15 04:00:00+00:00,LONG,0.0002955893626682151,TP,2023-10-14 20:00:00+00:00,2023-10-15 00:00:00+00:00,0.36726128016789367,0.0186528497409628,20
H4,20,240,CLASSIC,,2023-10-20 04:00:00+00:00,LONG,0.003711666193293718,TP,2023-10-19 20:00:00+00:00,2023-10-20 00:00:00+00:00,0.62595238095238,1.1132632961260542,20
H4,20,240,CLASSIC,,2023-10-23 04:00:00+00:00,LONG,0.004394433974853453,TP,2023-10-22 20:00:00+00:00,2023-10-23 00:00:00+00:00,0.7828378663293271,1.8326891220320207,20
H4,20,240,CLASSIC,,2023-10-28 04:00:00+00:00,LONG,0.0023584029235215755,TP,2023-10-27 20:00:00+00:00,2023-10-28 00:00:00+00:00,0.5454262601120166,0.4549258273107565,20
H4,20,240,CLASSIC,,2023-10-29 04:00:00+00:00,SHORT,-0.005531664753832986,SL,2023-10-28 20:00:00+00:00,2023-10-29 00:00:00+00:00,0.684585492227954,0.5985401459854015,20
H4,20,240,CLASSIC,,2023-10-30 04:00:00+00:00,SHORT,-0.011614772176937014,SL,2023-10-29 20:00:00+00:00,2023-10-30 00:00:00+00:00,0.6305652826413124,0.3562157484857255,20
H4,20,240,CLASSIC,,2023-10-31 04:00:00+00:00,SHORT,0.00248890703947119,TP,2023-10-30 20:00:00+00:00,2023-10-31 00:00:00+00:00,0.6365171249397067,0.36703296703295635,20
H4,20,240,CLASSIC,,2023-11-01 04:00:00+00:00,SHORT,-0.010364388220703345,SL,2023-10-31 20:00:00+00:00,2023-11-01 00:00:00+00:00,0.7975504322766664,0.031127129750983258,20
H4,20,240,CLASSIC,,2023-11-03 04:00:00+00:00,SHORT,0.004180491117384335,TP,2023-11-02 20:00:00+00:00,2023-11-03 00:00:00+00:00,0.44783057851239194,0.06345177664974619,20
H4,20,240,CLASSIC,,2023-11-05 04:00:00+00:00,LONG,-0.01279138284729858,TIME,2023-11-04 20:00:00+00:00,2023-11-05 00:00:00+00:00,0.533717302615798,0.03877192982455885,20
H4,20,240,CLASSIC,,2023-11-09 04:00:00+00:00,LONG,0.008923667210708976,TP,2023-11-08 20:00:00+00:00,2023-11-09 00:00:00+00:00,0.6142899495997663,0.4019736842105263,20
H4,20,240,CLASSIC,,2023-11-11 04:00:00+00:00,SHORT,-0.0016969555527976397,TIME,2023-11-10 20:00:00+00:00,2023-11-11 00:00:00+00:00,0.5310317301935873,0.03224489795918961,20
H4,20,240,CLASSIC,,2023-11-13 04:00:00+00:00,SHORT,0.002349360605502672,TP,2023-11-12 20:00:00+00:00,2023-11-13 00:00:00+00:00,0.24264334958801845,0.065752461322071,20
H4,20,240,CLASSIC,,2023-11-17 04:00:00+00:00,LONG,-0.018290927200041718,SL,2023-11-16 20:00:00+00:00,2023-11-17 00:00:00+00:00,0.5525815921257137,0.3459530026109644,20
H4,20,240,CLASSIC,,2023-11-27 04:00:00+00:00,SHORT,0.0043773373945590905,TP,2023-11-26 20:00:00+00:00,2023-11-27 00:00:00+00:00,0.3683255572835601,0.024406934306562624,20
