partition,feature,winner_mean,loser_mean,winner_median,loser_median,smd,abs_smd,auc_oriented,n
development,week_ret_aligned,0.0007349639173878578,-0.0004325450778937905,0.0007086586180257703,-0.0005060918175077145,0.022245686787821465,0.022245686787821465,0.5100746312791256,40836
development,week_range_pct,0.07502866194019857,0.07587147796214927,0.06725039309041747,0.06753763025858747,-0.01738403627655921,0.01738403627655921,0.5038322891051573,40836
development,day_pos_aligned,0.5095206190091294,0.493248079872092,0.5165181701525341,0.48774235753363254,0.06142407801812297,0.06142407801812297,0.5179248474259814,40836
development,day_ret_aligned,0.0007178540470926378,-0.0004975017318925231,0.00026758460832992936,-0.00016532701161342533,0.05854730323939001,0.05854730323939001,0.5171612566230195,40836
development,day_range_pct,0.028388061846643428,0.028820876922217655,0.022418043473107788,0.022870493293341336,-0.019331624830916543,0.019331624830916543,0.5046675467063847,40836
development,hours_into_week,64.83903623016813,65.39358503174073,65.0,65.0,-0.014558673347947974,0.014558673347947974,0.5041832540490918,40836
development,hours_remaining,103.16096376983187,102.60641496825927,103.0,103.0,0.014558673347947974,0.014558673347947974,0.5041832540490919,40836
development,hour_sin,0.05331936896619072,0.05689098398164158,1.2246467991473532e-16,1.2246467991473532e-16,-0.0050859126913942836,0.0050859126913942836,0.5014789570565592,40836
development,hour_cos,0.007831347696398686,-0.006972728034716265,6.123233995736766e-17,-1.8369701987210297e-16,0.02085790686856084,0.02085790686856084,0.5057696167329895,40836
development,dow_sin,0.24025446182342353,0.23314804484292195,0.43388373911755823,0.43388373911755823,0.011467382155726794,0.011467382155726794,0.5030152050261091,40836
development,dow_cos,-0.08406421495724549,-0.08976135900460565,-0.22252093395631434,-0.22252093395631434,0.007663850666105731,0.007663850666105731,0.5028714387561031,40836
external,aligned_ret1,7.680988047241293e-05,-5.2748967382503784e-05,-1.556056246854176e-06,1.556056246854176e-06,0.014554069895729233,0.014554069895729233,0.50113712219147,27366
external,aligned_ret3,5.678488196791579e-05,-3.917123233657004e-05,-8.80560930318075e-05,5.943548280878952e-05,0.006324803871134302,0.006324803871134302,0.5008435952883284,27366
external,aligned_ret6,0.00040198981605744406,-0.00027244729146412214,-1.9138657082473642e-06,-4.4335312461285525e-06,0.0318539899234123,0.0318539899234123,0.506768137998708,27366
external,aligned_ret12,0.0009313677319499345,-0.0006344073810820117,0.0002816146816966847,-0.00022905517914478812,0.0532941995676377,0.0532941995676377,0.5162801806137198,27366
external,aligned_ret24,0.00022635784911269658,-0.00015450627142727725,-0.00045156903508225543,0.0003377392531325185,0.00891843177790925,0.00891843177790925,0.500350276140068,27366
external,aligned_ret48,0.0006249606930623231,-0.0004149450748955029,0.000827038454772222,-0.0006206310259219694,0.01785720901534036,0.01785720901534036,0.509569390671439,27366
external,eff3,-0.003219128052060683,0.0021568307138644482,-0.009578631471425434,0.007081072181691522,-0.008108613662630212,0.008108613662630212,0.5023422408916893,27366
external,eff6,0.007382055980657548,-0.005104878662364946,-5.126032645944766e-05,-0.0002247622268763839,0.02577311422360867,0.02577311422360867,0.5060295107786623,27366
external,eff12,0.013163255037207307,-0.009092268423343396,0.00699194070612125,-0.00571566057525241,0.06113246737404938,0.06113246737404938,0.5161875798315109,27366
external,eff24,0.0016252892389116824,-0.0012242872076093424,-0.005230287146509112,0.003666817078973988,0.01020198993307678,0.01020198993307678,0.5005777111131495,27366
external,dirfrac3,0.5010546616042909,0.49940709846254494,0.6666666666666666,0.33333333333333337,0.006027377821185901,0.006027377821185901,0.5023092725514093,27366
external,dirfrac6,0.5033297173506901,0.4978328426561989,0.5,0.5,0.02955344954879616,0.02955344954879616,0.5075224731413929,27366
external,dirfrac12,0.505423973964925,0.49638636735361463,0.5,0.5,0.07007445458452508,0.07007445458452508,0.5204835081560989,27366
external,ema8_dist_aligned,0.02478153941819594,-0.01696828624180816,0.008445463539219294,-0.0070511498548079775,0.0555275333024937,0.0555275333024937,0.5100059189980855,27366
external,ema21_dist_aligned,0.04202797072972103,-0.028809885818300664,0.016285992803885485,-0.01128597919612058,0.05496755213625034,0.05496755213625034,0.5131085636245276,27366
external,ema55_dist_aligned,0.06033882329208971,-0.04047087635717342,0.14413960100593687,-0.10525099352531198,0.047860250131354774,0.047860250131354774,0.5149344141833104,27366
external,ema8_slope3_aligned,0.00017537699263721503,-0.00011904775066467544,3.807539656353054e-05,-2.9704999534474474e-05,0.035943855223391746,0.035943855223391746,0.5088073540446221,27366
external,ema21_slope3_aligned,0.00012827997915695479,-8.710327806060596e-05,5.017454683653444e-05,-3.6921515878085565e-05,0.03997275198203818,0.03997275198203818,0.5112784437044908,27366
external,atr_pct,0.011630987609976483,0.012474521040067093,0.010131118399470097,0.010446505733302159,-0.10355191887200123,0.10355191887200123,0.5204391899684337,27366
external,tr_atr,1.0001248545683756,1.005631660686184,0.8650930201658635,0.8619338826093788,-0.00988963212585722,0.00988963212585722,0.5001769289839106,27366
external,trmean3_over24,0.9972560886208754,1.0045272552169326,0.9074259284095789,0.909097087217836,-0.0184277341474995,0.0184277341474995,0.5017403413519552,27366
external,trmean6_over24,0.9971370594621431,1.0023975393457494,0.9479075238822894,0.9504999731853339,-0.018783745838535988,0.018783745838535988,0.502862412658849,27366
external,range3_atr,1.7438376199956962,1.7552476237984276,1.5378035856307422,1.5443374858766679,-0.013760366743185417,0.013760366743185417,0.5014464817713133,27366
external,range6_atr,2.485864313146932,2.5036029164619693,2.2762105799479344,2.288402820616721,-0.017725569835686208,0.017725569835686208,0.5032876022273601,27366
external,range12_atr,3.5372265337537003,3.5718178224250425,3.317101557258794,3.3473095432250317,-0.03239076937580234,0.03239076937580234,0.5095437135130407,27366
external,range24_atr,5.1835033229424035,5.230049678429023,4.929726272670444,4.969850627683551,-0.030835046157663255,0.030835046157663255,0.5081272891538796,27366
external,range_vs_med12,1.189756294235939,1.2002147663735934,0.9782951710833545,0.978735898447883,-0.011677658825252167,0.011677658825252167,0.5001815975581649,27366
external,body_aligned,0.002958259890854442,-0.0021337057470180746,-0.0011788932118529675,0.0010734924292125888,0.010706594004240452,0.010706594004240452,0.5026176673665018,27366
external,supportive_wick,0.2913506166501743,0.2983908100490113,0.25824865120482504,0.2685866024335145,-0.03464516001276426,0.03464516001276426,0.5100337751941106,27366
external,opposing_wick,0.30220834755326553,0.2910369336015795,0.27376543388648455,0.25849453036491576,0.054982934765104775,0.054982934765104775,0.515900953214188,27366
external,close_loc_aligned,0.4960502644938816,0.5026100853502069,0.4927962337874565,0.5043046344135876,-0.023680855492861898,0.023680855492861898,0.5068053895618043,27366
external,sweep_reclaim3,0.157204845416742,0.15480863591756625,0.0,0.0,0.006607401012125712,0.006607401012125712,0.5011981047495879,27366
external,sweep_reclaim6,0.10585789188211897,0.10218351324828263,0.0,0.0,0.01205361645252064,0.01205361645252064,0.5018371893169181,27366
external,breakout3,0.11815223286928223,0.12113591756624141,0.0,0.0,-0.009183731802115824,0.009183731802115824,0.5014918423484795,27366
external,breakout6,0.0804556138130537,0.08255642787046123,0.0,0.0,-0.007669269498239674,0.007669269498239674,0.5010504070287038,27366
external,pos12_aligned,0.5026796714304502,0.4980891367881711,0.5085010855575361,0.49384363206038484,0.017351931508347296,0.017351931508347296,0.5051827245586434,27366
external,pos24_aligned,0.5000471647503487,0.4998363765041546,0.49568574078517447,0.5022557774370564,0.0007896206461316205,0.0007896206461316205,0.5004934799423856,27366
external,pos48_aligned,0.5013842587861549,0.49900774136346204,0.5055028097213986,0.4962289538493648,0.008814368948112408,0.008814368948112408,0.5026511818523448,27366
external,forward12_atr,1.7476060433787644,1.8004685370601476,1.507689638638181,1.545541177641826,-0.04518391775208948,0.04518391775208948,0.5080897021409705,27366
external,forward24_atr,2.5828352754214974,2.621527981475304,2.2851660571632455,2.277309141726569,-0.022866121528736544,0.022866121528736544,0.5026256488541966,27366
external,forward48_atr,3.762491873286442,3.803470608312364,3.34680699301222,3.4114972149430467,-0.01662082580865315,0.01662082580865315,0.5039312721995697,27366
external,adverse12_atr,1.789620490374935,1.771349285364895,1.5343391868123812,1.5262868653621813,0.015612284194385548,0.015612284194385548,0.5022949535573338,27366
external,adverse24_atr,2.600668047520906,2.6085216969537193,2.249372537335832,2.2996525510550088,-0.004639688231976876,0.004639688231976876,0.5017805371109292,27366
external,adverse48_atr,3.782209858464388,3.7894701337004286,3.392848340398369,3.372572666496281,-0.0029442017710594693,0.0029442017710594693,0.5013760927568744,27366
