hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net,blocked_by_open_until
2,1185,150,300,RV_HIGH__RANGE_MID,2023-01-23 19:45:00+00:00,2023-01-24 00:45:00+00:00,4.023908568885477,3.273908568885477,2023-01-24 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-01-27 19:30:00+00:00,2023-01-28 00:30:00+00:00,-0.3959593440169551,-1.145959344016955,2023-01-28 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-01-27 19:45:00+00:00,2023-01-28 00:45:00+00:00,-0.32364070902209585,-1.0736407090220959,2023-01-28 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-02-08 19:30:00+00:00,2023-02-09 00:30:00+00:00,1.8467893809611067,1.0967893809611067,2023-02-09 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-08 19:45:00+00:00,2023-02-09 00:45:00+00:00,1.1792452830189013,0.4292452830189013,2023-02-09 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-02-09 19:15:00+00:00,2023-02-10 00:15:00+00:00,-19.827879763489513,-20.577879763489513,2023-02-10 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-02-16 19:15:00+00:00,2023-02-17 00:15:00+00:00,-20.638670166229215,-21.388670166229215,2023-02-17 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-02-27 19:45:00+00:00,2023-02-28 00:45:00+00:00,2.614749902871914,1.864749902871914,2023-02-28 00:30:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-03-10 19:30:00+00:00,2023-03-11 00:30:00+00:00,7.98613326527573,7.23613326527573,2023-03-11 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-03-10 19:45:00+00:00,2023-03-11 00:45:00+00:00,4.719047148084875,3.969047148084875,2023-03-11 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-06-06 19:45:00+00:00,2023-06-07 00:45:00+00:00,3.0238396646915837,2.2738396646915837,2023-06-07 00:30:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-06-21 19:45:00+00:00,2023-06-22 00:45:00+00:00,10.835748380497801,10.085748380497801,2023-06-22 00:30:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-08-08 19:30:00+00:00,2023-08-09 00:30:00+00:00,-0.9777691820047759,-1.727769182004776,2023-08-09 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-08-08 19:45:00+00:00,2023-08-09 00:45:00+00:00,-1.1858536532897574,-1.9358536532897574,2023-08-09 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-08-28 19:45:00+00:00,2023-08-29 00:45:00+00:00,2.8426192227945037,2.0926192227945037,2023-08-29 00:30:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-10-04 19:45:00+00:00,2023-10-05 00:45:00+00:00,2.436765924265315,1.6867659242653148,2023-10-05 00:30:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:15:00+00:00,2023-10-12 00:15:00+00:00,1.1964561801933635,0.4464561801933635,2023-10-12 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:30:00+00:00,2023-10-12 00:30:00+00:00,1.2214043906442171,0.47140439064421713,2023-10-12 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-10-11 19:45:00+00:00,2023-10-12 00:45:00+00:00,-0.7197973050788897,-1.4697973050788897,2023-10-12 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-12 19:30:00+00:00,2023-10-13 00:30:00+00:00,4.496967161681654,3.7469671616816536,2023-10-13 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-10-25 19:15:00+00:00,2023-10-26 00:15:00+00:00,-0.46399042949857017,-1.2139904294985702,2023-10-26 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-10-25 19:30:00+00:00,2023-10-26 00:30:00+00:00,1.1657813810455893,0.41578138104558926,2023-10-26 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:15:00+00:00,2023-11-29 00:15:00+00:00,-4.617872282569106,-5.367872282569106,2023-11-29 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:30:00+00:00,2023-11-29 00:30:00+00:00,-3.639356520979053,-4.389356520979053,2023-11-29 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-11-28 19:45:00+00:00,2023-11-29 00:45:00+00:00,-4.365100489259037,-5.115100489259037,2023-11-29 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-07 19:15:00+00:00,2023-12-08 00:15:00+00:00,4.014553290095341,3.264553290095341,2023-12-08 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-07 19:30:00+00:00,2023-12-08 00:30:00+00:00,7.27970829629059,6.52970829629059,2023-12-08 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:15:00+00:00,2023-12-13 00:15:00+00:00,3.764723082686847,3.014723082686847,2023-12-13 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:30:00+00:00,2023-12-13 00:30:00+00:00,6.422861343379592,5.672861343379592,2023-12-13 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-12 19:45:00+00:00,2023-12-13 00:45:00+00:00,5.2746819845446415,4.5246819845446415,2023-12-13 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-21 19:45:00+00:00,2023-12-22 00:45:00+00:00,4.841422609196274,4.091422609196274,2023-12-22 00:15:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2023-12-27 19:30:00+00:00,2023-12-28 00:30:00+00:00,10.097380506888976,9.347380506888976,2023-12-28 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-27 19:45:00+00:00,2023-12-28 00:45:00+00:00,17.650767415409724,16.900767415409724,2023-12-28 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2023-12-28 19:15:00+00:00,2023-12-29 00:15:00+00:00,-2.992977042601407,-3.742977042601407,2023-12-29 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2023-12-28 19:45:00+00:00,2023-12-29 00:45:00+00:00,-1.7696763116486198,-2.51967631164862,2023-12-29 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-01-11 19:30:00+00:00,2024-01-12 00:30:00+00:00,-0.030679434424685674,-0.7806794344246857,2024-01-12 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-01-11 19:45:00+00:00,2024-01-12 00:45:00+00:00,-0.1724005823307862,-0.9224005823307861,2024-01-12 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-01-22 19:15:00+00:00,2024-01-23 00:15:00+00:00,-6.601669534187202,-7.351669534187202,2024-01-23 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-01-24 19:30:00+00:00,2024-01-25 00:30:00+00:00,3.1458596427927734,2.3958596427927734,2024-01-25 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-01-24 19:45:00+00:00,2024-01-25 00:45:00+00:00,5.456634118322724,4.706634118322724,2024-01-25 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:15:00+00:00,2024-03-12 00:15:00+00:00,3.0295569534548923,2.2795569534548923,2024-03-12 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:30:00+00:00,2024-03-12 00:30:00+00:00,2.7166279808985605,1.9666279808985605,2024-03-12 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:45:00+00:00,2024-03-12 00:45:00+00:00,4.542297987598912,3.7922979875989116,2024-03-12 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-03-18 19:45:00+00:00,2024-03-19 00:45:00+00:00,-0.8916476619969167,-1.6416476619969167,2024-03-19 00:30:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-04-10 19:15:00+00:00,2024-04-11 00:15:00+00:00,5.29009799970855,4.54009799970855,2024-04-11 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-04-16 19:30:00+00:00,2024-04-17 00:30:00+00:00,2.5675636022183745,1.8175636022183745,2024-04-17 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-04-16 19:45:00+00:00,2024-04-17 00:45:00+00:00,4.7756585338728,4.0256585338728,2024-04-17 00:15:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-05-28 19:15:00+00:00,2024-05-29 00:15:00+00:00,4.399318747543552,3.6493187475435516,2024-05-29 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-05-28 19:30:00+00:00,2024-05-29 00:30:00+00:00,3.8906331763474333,3.1406331763474333,2024-05-29 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-05-28 19:45:00+00:00,2024-05-29 00:45:00+00:00,2.0681201752555975,1.3181201752555975,2024-05-29 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-06-14 19:15:00+00:00,2024-06-15 00:15:00+00:00,16.66242196661885,15.91242196661885,2024-06-15 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-06-14 19:30:00+00:00,2024-06-15 00:30:00+00:00,13.189913595485837,12.439913595485837,2024-06-15 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-06-14 19:45:00+00:00,2024-06-15 00:45:00+00:00,14.289623435394383,13.539623435394383,2024-06-15 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-06-17 19:45:00+00:00,2024-06-18 00:45:00+00:00,-10.19078339976129,-10.94078339976129,2024-06-18 00:30:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-07-15 19:15:00+00:00,2024-07-16 00:15:00+00:00,12.848047750781497,12.098047750781497,2024-07-16 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-07-31 19:15:00+00:00,2024-08-01 00:15:00+00:00,-10.388486422039426,-11.138486422039426,2024-08-01 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-08-01 19:15:00+00:00,2024-08-02 00:15:00+00:00,15.923679595875099,15.173679595875099,2024-08-02 00:00:00+00:00
