partition,side,swing_level_ts,swing_level,retest_ts,entry_ts,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,LONG,2021-11-09 00:00:00+00:00,68675.16,2021-11-10 12:00:00+00:00,2021-11-10 16:00:00+00:00,68398.96,65850.0,73496.88000000002,0.0372660636945358,True,2021-11-10 20:50:00+00:00,65850.0,-0.03726606369453578,-19.03303184726789,SL,290.0
development,LONG,2022-01-01 04:00:00+00:00,47566.66,2022-01-01 12:00:00+00:00,2022-01-01 16:00:00+00:00,47194.77,46755.01,48074.289999999986,0.009317981632286688,True,2022-01-02 04:50:00+00:00,46755.01,-0.009317981632286698,-5.05899081614335,SL,770.0
development,SHORT,2022-01-03 20:00:00+00:00,45665.4,2022-01-04 16:00:00+00:00,2022-01-04 20:00:00+00:00,46058.09,46986.54,44201.18999999999,0.020158239301716688,True,2022-01-05 10:05:00+00:00,46986.54,-0.020158239301716785,-10.479119650858392,SL,845.0
development,SHORT,2022-01-07 04:00:00+00:00,40900.0,2022-01-07 12:00:00+00:00,2022-01-07 16:00:00+00:00,41297.14,42791.45,38308.520000000004,0.03618434593775738,True,2022-01-11 16:40:00+00:00,42791.45,-0.03618434593775732,-18.49217296887866,SL,5800.0
development,SHORT,2022-01-21 00:00:00+00:00,38200.0,2022-01-21 12:00:00+00:00,2022-01-21 16:00:00+00:00,38831.88,39029.55,38436.539999999986,0.005090405100139513,True,2022-01-21 16:20:00+00:00,39029.55,-0.005090405100139472,-2.945202550069736,SL,20.0
development,SHORT,2022-01-24 12:00:00+00:00,32853.83,2022-05-09 08:00:00+00:00,2022-05-09 12:00:00+00:00,33108.0,33789.2,31745.600000000006,0.020575087592122662,True,2022-05-09 16:50:00+00:00,31745.600000000006,0.04115017518424535,20.17508759212268,TP_2R,290.0
development,SHORT,2022-05-10 00:00:00+00:00,29701.4,2022-05-11 12:00:00+00:00,2022-05-11 16:00:00+00:00,30971.4,32067.9,28778.4,0.03540363044615354,True,2022-05-11 20:50:00+00:00,28778.4,0.07080726089230704,35.00363044615352,TP_2R,290.0
development,SHORT,2022-05-11 12:00:00+00:00,29000.0,2022-05-11 20:00:00+00:00,2022-05-12 00:00:00+00:00,29077.9,29655.0,27923.700000000004,0.01984668769065161,True,2022-05-12 00:25:00+00:00,29655.0,-0.019846687690651565,-10.323343845325782,SL,25.0
development,SHORT,2022-05-11 20:00:00+00:00,27651.0,2022-05-12 04:00:00+00:00,2022-05-12 08:00:00+00:00,28151.4,28600.0,27254.200000000004,0.01593526432077973,True,2022-05-12 10:40:00+00:00,28600.0,-0.01593526432077974,-8.36763216038987,SL,160.0
development,SHORT,2022-06-12 04:00:00+00:00,27162.7,2022-06-12 12:00:00+00:00,2022-06-12 16:00:00+00:00,28077.8,28337.7,27557.999999999996,0.009256423224041821,True,2022-06-12 19:15:00+00:00,27557.999999999996,0.018512846448083597,8.856423224041798,TP_2R,195.0
