partition,tf,week,week_start,signal_ts,signal_idx,side,eligible,net_positive,sr_dist,sr_sweep,sr_room,pw_dist,pw_sweep,pw_pos,orb_near,orb_state,orb_reclaim,fvg_dist,fvg_touch,fib_dist,fib_touch,body_align,reject_wick,entry_ts,exit_ts,entry,sl,tp,risk_frac,net_ret,reason,prob,route,threshold
external,H4,2020-W52,2020-12-21 00:00:00+00:00,2020-12-21 12:00:00+00:00,2113,LONG,True,1,0.9804993738853243,1.0,1.695666527530075,9.0,0.0,0.5,0.27405798201343595,-0.7756830341896586,0.0,9.0,0.0,9.0,0.0,0.5793932379615225,0.9868079535536732,2020-12-21 16:00:00+00:00,2020-12-22 12:00:00+00:00,23099.26,22346.31714285714,23921.500637142854,0.03259597308064661,0.009980021437916266,TIME,0.5084207231340875,MODEL_TRIGGER,0.4999535863744016
external,H4,2020-W53,2020-12-28 00:00:00+00:00,2020-12-30 04:00:00+00:00,2165,SHORT,True,1,0.030983583942611574,1.0,3.605035177265832,9.0,0.0,0.5,0.10696647813491639,-0.7670713201820932,0.0,9.0,0.0,9.0,0.0,-0.4507656228445332,0.30282797627259,2020-12-30 08:00:00+00:00,2020-12-30 08:00:00+00:00,28437.38,29162.280000000002,27627.16786,0.025491096577814124,0.026991096577814122,TP,0.5090645440706707,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W01,2021-01-04 00:00:00+00:00,2021-01-08 12:00:00+00:00,2221,SHORT,True,1,0.44747520092880805,1.0,5.336746927088598,9.0,0.0,0.5,0.5155394550957251,-1.3124497222288793,0.0,9.0,0.0,9.0,0.0,0.25303784499187487,0.35265770424709764,2021-01-08 16:00:00+00:00,2021-01-08 20:00:00+00:00,40877.97,42935.290714285715,38698.01537571429,0.050328348356968644,0.051828348356968534,TP,0.4980224714252464,FORCED_FALLBACK,0.4999535863744016
external,H4,2021-W02,2021-01-11 00:00:00+00:00,2021-01-11 16:00:00+00:00,2240,LONG,True,1,0.47105585631911046,1.0,4.081946376772531,9.0,0.0,0.5,0.5465248159306305,-1.5256390851166601,0.0,9.0,0.0,9.0,0.0,0.27518241061931503,0.48538745280339124,2021-01-11 20:00:00+00:00,2021-01-11 20:00:00+00:00,32284.74,29873.285000000003,34793.04922,0.07469333809099901,0.07619333809099899,TP,0.5028972744617711,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W03,2021-01-18 00:00:00+00:00,2021-01-20 16:00:00+00:00,2294,LONG,True,0,1.064378356870667,1.0,2.1324157654640383,9.0,0.0,0.5,0.18596408712621817,-0.3882612761319091,0.0,9.0,0.0,9.0,0.0,0.7809461819584089,0.6427058035480439,2021-01-20 20:00:00+00:00,2021-01-21 08:00:00+00:00,35227.77,33946.01714285714,36615.20616714285,0.036384728784787025,-0.03788472878478705,SL,0.5254740520404824,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W04,2021-01-25 00:00:00+00:00,2021-01-25 04:00:00+00:00,2321,SHORT,True,0,0.4454187006212848,1.0,4.417222635696543,9.0,0.0,0.5,0.345720961651641,-0.41291283813216767,0.0,9.0,0.0,9.0,0.0,0.21805443223818452,0.25836759402604476,2021-01-25 08:00:00+00:00,2021-01-25 12:00:00+00:00,33377.97,34396.24785714286,32259.558232857144,0.030507483143608106,-0.03200748314360807,SL,0.5138450228783717,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W05,2021-02-01 00:00:00+00:00,2021-02-02 20:00:00+00:00,2373,SHORT,True,0,0.36540485599473715,1.0,3.218233724253035,9.0,0.0,0.5,1.2675157113063071,-1.632006909364576,0.0,9.0,0.0,9.0,0.0,0.29311896159581874,0.22877411543193515,2021-02-03 00:00:00+00:00,2021-02-03 00:00:00+00:00,35504.07,36532.90142857143,34368.72636142857,0.028977844753331886,-0.030477844753331984,SL,0.5222627055796238,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W06,2021-02-08 00:00:00+00:00,2021-02-12 12:00:00+00:00,2431,LONG,True,0,1.95994155678988,0.0,1.2987879540735783,9.0,0.0,0.5,0.2464670842871782,-0.7726275191803803,0.0,0.6652203746753957,1.0,0.5228418424990946,1.0,-0.34158518334487187,0.5692534293978789,2021-02-12 16:00:00+00:00,2021-02-13 12:00:00+00:00,47083.34,45392.81,48915.120019999995,0.03590505686300081,-0.0005661240260354515,TIME,0.43105405795523993,FORCED_FALLBACK,0.4999535863744016
external,H4,2021-W07,2021-02-15 00:00:00+00:00,2021-02-17 08:00:00+00:00,2460,SHORT,True,0,0.0183897812909726,1.0,4.190108885032564,9.0,0.0,0.5,0.6931292188168324,-1.1617034891201867,0.0,9.0,0.0,9.0,0.0,-0.1285684974143706,0.30109441455602737,2021-02-17 12:00:00+00:00,2021-02-18 08:00:00+00:00,51373.56,52811.315,49781.68431999999,0.02798628321650283,-0.0038231794720866006,TIME,0.5054295013354421,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W08,2021-02-22 00:00:00+00:00,2021-02-26 12:00:00+00:00,2515,LONG,True,0,1.725919879596335,0.0,2.333777003193932,9.0,0.0,0.5,0.10268628618912064,0.3520017844843011,0.0,9.0,0.0,9.0,0.0,0.5817958089131071,0.2870372413049288,2021-02-26 16:00:00+00:00,2021-02-26 20:00:00+00:00,47620.54,45580.735,49803.20662,0.0428345625648092,-0.04433456256480922,SL,0.4638522425780778,FORCED_FALLBACK,0.4999535863744016
