cohort,horizon_min,threshold_pct,n,tp_hit_rate,up_touch_rate,down_touch_rate,symmetric_first_touch_wr,median_mfe_pct,p75_mfe_pct,median_mae_pct
5M_ON_WHILE_1H_4H_BULL,15,0.3,3841,0.19526165061181983,0.19526165061181983,0.18562874251497005,0.5126452494873548,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,15,0.4,3841,0.13121582921114294,0.13121582921114294,0.11637594376464462,0.5299684542586751,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,15,0.5,3841,0.08747721947409529,0.08747721947409529,0.0757615204373861,0.5358851674641149,0.12728582005536726,0.2636881029917548,-0.12603836058617812
5M_ON_WHILE_1H_4H_BULL,30,0.1,3841,0.4251497005988024,0.4251497005988024,0.5376204113512106,0.44159004867495943,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.15,3841,0.43035667794845095,0.43035667794845095,0.4587347045040354,0.4840409956076135,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.2,3841,0.39703202291070033,0.39703202291070033,0.38713876594636815,0.5063081009296149,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.25,3841,0.3462639937516272,0.3462639937516272,0.3285602707628222,0.5131172839506173,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.3,3841,0.30486852382192137,0.30486852382192137,0.28091642801353817,0.5204444444444445,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.4,3841,0.23197084092684198,0.23197084092684198,0.2028117677688102,0.5335329341317365,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,30,0.5,3841,0.17781827649049728,0.17781827649049728,0.1455350169226764,0.5499194847020934,0.182877134394821,0.39358140577121503,-0.18232762121336288
5M_ON_WHILE_1H_4H_BULL,60,0.1,3840,0.43671875,0.43671875,0.5526041666666667,0.4414319557778363,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.15,3840,0.4630208333333333,0.4630208333333333,0.49635416666666665,0.4826275787187839,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.2,3840,0.4544270833333333,0.4544270833333333,0.45208333333333334,0.5012927319735708,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.25,3840,0.43125,0.43125,0.41067708333333336,0.5122177544076709,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.3,3840,0.4,0.4,0.3765625,0.5150905432595574,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.4,3840,0.3419270833333333,0.3419270833333333,0.30364583333333334,0.5296490520371118,0.2720385238191514,0.6013758069465469,-0.2655738837824384
5M_ON_WHILE_1H_4H_BULL,60,0.5,3840,0.28515625,0.28515625,0.23880208333333333,0.544234592445328,0.2720385238191514,0.6013758069465469,-0.2655738837824384
