hour_wib,component_rank,character_rule,raw_component_id,component_size,lookback_min,hold_min,dev_n,dev_wr,dev_net,dev_exp,dev_pf,dev_dd,dev_ls,dev_H1_exp,dev_H1_pf,dev_H2_exp,dev_H2_pf,dev_min_half_exp,dev_positive_anchors
5,2,RV_LOW__RANGE_MID,2,3,240,240,78,0.7051282051282052,208.1071105284825,2.668039878570289,2.62383135445574,68.38357952578872,6,2.896589529795297,4.517250024729298,2.5838373754873905,2.3284657080257576,2.5838373754873905,4
5,2,RV_LOW__RANGE_MID,2,3,240,360,78,0.7435897435897436,266.58729988007485,3.4177858958983958,2.9605159758803508,58.37146458132429,4,1.16522331000772,1.9807453516650184,4.247677374910749,3.1806889215431107,1.16522331000772,4
5,2,RV_LOW__RANGE_MID,2,3,240,480,78,0.7307692307692307,311.2450856349234,3.990321610704146,3.5710013753472745,47.79480623696933,3,2.460203658974558,3.926919394148709,4.554049277130837,3.510247562295368,2.460203658974558,4
5,3,EFF_HIGH__RV_LOW,2,2,240,360,92,0.6304347826086957,131.12232080451994,1.4252426174404342,1.6195713213175094,66.71232539880185,7,0.886876108318321,1.4202599379668763,1.5944435203073837,1.675581972237448,0.886876108318321,4
5,3,EFF_HIGH__RV_LOW,2,2,240,480,92,0.5543478260869565,113.67253654791656,1.2355710494338756,1.5080555335201298,85.5674792980869,9,2.0696639917518,2.251941511487159,0.9734275532768142,1.3636635800360406,0.9734275532768142,4
6,1,DRIVE_DOWN__STR_B60_80,1,3,180,120,73,0.6438356164383562,63.36178686738664,0.8679696831148854,1.5217160002437773,41.95383602515861,3,1.8434433026723365,2.139564998165316,0.1066244190700454,1.0627352963527694,0.1066244190700454,4
6,1,DRIVE_DOWN__STR_B60_80,1,3,180,240,73,0.6438356164383562,101.48357126870296,1.3901859077904517,1.6754846071733045,47.04761929016719,4,1.7760744551986778,1.8915907095152815,1.0890046024962263,1.5162159020153034,1.0890046024962263,4
6,1,DRIVE_DOWN__STR_B60_80,1,3,180,360,73,0.684931506849315,159.08718611279858,2.179276522093131,1.7921103632619375,66.00810773818958,6,1.287922136599793,1.3554631359613851,2.8749677497952484,2.38843907116606,1.287922136599793,3
6,2,RV_LOW__RANGE_MID,1,3,120,240,74,0.581081081081081,155.10834898396666,2.096058770053604,1.8562587858847217,103.56450327536328,5,2.690376710102076,2.306409513189082,1.8605743032419444,1.715087245049452,1.8605743032419444,4
6,2,RV_LOW__RANGE_MID,1,3,120,360,74,0.581081081081081,156.71019150164014,2.1177052905627045,1.8334038987680368,99.74397333635532,7,2.5501545719220977,2.095098881584559,1.9463574620995483,1.7414234159839166,1.9463574620995483,4
6,2,RV_LOW__RANGE_MID,1,3,120,480,74,0.5540540540540541,147.37667107113188,1.9915766360963767,1.7405289290867916,103.77000231403976,7,2.9635970037023887,2.2607886267580004,1.6064364904411643,1.568923571986807,1.6064364904411643,3
6,3,DRIVE_DOWN__RV_LOW,1,2,180,240,177,0.576271186440678,207.7253168347352,1.1735893606482215,1.752731903460176,79.87847135685527,8,0.8610692599228834,1.4877437255351986,1.300085591894192,1.8810545738735285,0.8610692599228834,4
6,3,DRIVE_DOWN__RV_LOW,1,2,180,360,177,0.6045197740112994,349.44048576578894,1.9742400325750784,2.1483965997904373,92.05962707404456,6,1.7564426796387054,2.03832430260217,2.062396104001706,2.191954425667244,1.7564426796387054,4
7,1,DRIVE_DOWN__STR_B40_60,1,3,240,240,86,0.5697674418604651,228.2496670864354,2.6540658963539,2.391559228615406,32.157618533261,6,3.406450034458663,3.482247364583703,2.162122421439247,1.957951943858899,2.162122421439247,4
7,1,DRIVE_DOWN__STR_B40_60,1,3,240,360,86,0.6162790697674418,251.7726655586162,2.9275891344025142,2.198449217131423,71.94242359156566,8,3.2638495603809323,2.5758434205123657,2.707726548185855,2.008160608729028,2.707726548185855,4
7,1,DRIVE_DOWN__STR_B40_60,1,3,240,480,86,0.627906976744186,353.86493397709614,4.114708534617397,2.5099660839038025,82.29357656431264,6,5.416118828856376,3.514584085530565,3.2637864191534502,2.053351236277793,3.2637864191534502,4
7,2,DRIVE_DOWN__STR_B20_40,1,3,360,240,86,0.5813953488372093,164.2506637359789,1.909891438790452,1.8697189926029056,39.529337757390806,7,2.721828513198824,1.863414838604463,1.3526797210592156,1.8785773038110036,1.3526797210592156,4
7,2,DRIVE_DOWN__STR_B20_40,1,3,360,360,86,0.5697674418604651,136.7593959363076,1.5902255341431115,1.5499488570962634,46.391209448290574,6,0.5495834230363501,1.1213491917261549,2.3043916888242237,2.303452440405682,0.5495834230363501,4
7,2,DRIVE_DOWN__STR_B20_40,1,3,360,480,86,0.5930232558139535,243.27592127682755,2.8287897822886925,1.8123499638777136,85.68340310523602,4,1.556885879577106,1.2808222227210329,3.701665009639781,2.7906035012749637,1.556885879577106,4
7,3,DRIVE_DOWN__EFF_MID,1,3,180,360,159,0.5723270440251572,319.84736583572254,2.0116186530548585,1.8086672911166803,124.49264792112992,13,1.0847982324279524,1.341216006222505,2.6198445540912667,2.288226003495236,1.0847982324279524,4
7,3,DRIVE_DOWN__EFF_MID,1,3,240,360,149,0.5503355704697986,260.3172493015178,1.7470956328960925,1.6429445677067296,102.65058741641386,10,1.5003364726166266,1.5093787407942925,1.938040221207584,1.7627566106762849,1.5003364726166266,4
7,3,DRIVE_DOWN__EFF_MID,1,3,180,480,159,0.5660377358490566,356.58889425382824,2.2426974481372843,1.7416708348995962,89.28125101168426,9,2.1691496269053343,1.707446834670445,2.290963205820752,1.7646557898188788,2.1691496269053343,4
8,1,EFF_LOW__RANGE_MID,1,2,360,120,68,0.5588235294117647,78.8502092566859,1.1595619008336162,1.6474508041243754,40.95895717607314,7,1.63529645984926,4.014676578275038,0.9613391679104314,1.4159513025724495,0.9613391679104314,4
8,1,EFF_LOW__RANGE_MID,1,2,360,240,68,0.6176470588235294,142.68706595723938,2.09833920525352,2.8594872481993194,30.85324806656328,5,1.7703138906005529,2.611212988446548,2.2350164196922573,2.959119026297913,1.7703138906005529,4
8,2,RV_MID__RANGE_MID,1,2,360,240,142,0.5704225352112676,188.1221411029568,1.324803810584203,1.7264858373486534,71.82679842544864,8,0.4566557371390938,1.2199128834135742,2.0576560803755286,2.278009544290224,0.4566557371390938,4
8,2,RV_MID__RANGE_MID,1,2,360,360,142,0.5563380281690141,191.3216017912204,1.3473352238818337,1.492615426273478,123.28783940784903,9,0.5693573242813097,1.174074216812136,2.004069814453704,1.8778830831800484,0.5693573242813097,4
8,3,DRIVE_DOWN__STR_B0_20,2,2,240,240,86,0.5697674418604651,155.4110275131158,1.807104971082742,2.002788808308452,37.99805315357818,5,0.1888225430356468,1.0762277722768152,2.674041986107972,2.856367663071408,0.1888225430356468,3
8,3,DRIVE_DOWN__STR_B0_20,2,2,360,240,90,0.5555555555555556,116.2093801356366,1.2912153348404063,1.7867262220844142,33.97834972272795,9,0.4183865040134262,1.160476655028393,1.749820313749498,2.5433975470974435,0.4183865040134262,4
9,1,EFF_MID__EXT_HIGH,1,3,360,240,78,0.6153846153846154,131.06285644407453,1.6802930313342888,1.7959903631885128,57.01381245054197,4,0.5440519003064993,1.1638226475811744,2.3527622721466543,2.6868054782170536,0.5440519003064993,3
9,1,EFF_MID__EXT_HIGH,1,3,360,360,78,0.6025641025641025,196.4920974108757,2.519129453985585,2.080374358773708,60.75671552947972,5,1.7221466894408692,1.5715686491029752,2.9908131309610293,2.550848458270591,1.7221466894408692,4
9,1,EFF_MID__EXT_HIGH,1,3,360,480,78,0.6153846153846154,285.6065350524241,3.661622244261847,2.507884237384205,49.16583877840105,7,3.2968054457583964,2.27152140489928,3.877534227049604,2.663485899168746,3.2968054457583964,4
