clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate
570,09:30,reference_validation,411,87,27,0.5555555555555556,0.5326963728372436,-1.2446451999810375,-33.60542039948801,0.5555555555555556,0.25925925925925924
570,09:30,august,14,3,0,,,,0.0,,
600,10:00,external,523,120,33,0.6060606060606061,1.4189320088407822,0.7087073560630544,23.387342750080794,0.45454545454545453,0.5151515151515151
600,10:00,development,782,134,39,0.7692307692307693,1.9880422745800201,1.076203045659057,41.97191878070323,0.6666666666666666,0.23076923076923078
600,10:00,reference_validation,411,88,28,0.5357142857142857,0.5199402675404229,-1.0940881232511646,-30.63446745103261,0.42857142857142855,0.4642857142857143
600,10:00,august,14,3,0,,,,0.0,,
630,10:30,external,523,131,41,0.6097560975609756,1.4414530017585208,0.8959887039446803,36.735536861731894,0.5121951219512195,0.43902439024390244
630,10:30,development,782,137,44,0.5909090909090909,0.7025262508445675,-0.7749547369516393,-34.09800842587213,0.5454545454545454,0.3181818181818182
630,10:30,reference_validation,411,82,25,0.6,1.4020943162663961,0.6464717252752732,16.16179313188183,0.52,0.44
630,10:30,august,14,3,0,,,,0.0,,
660,11:00,external,523,105,25,0.52,0.9084103778262931,-0.1860322837488956,-4.65080709372239,0.4,0.56
660,11:00,development,782,122,37,0.6486486486486487,2.537769387936513,1.5070597314710432,55.7612100644286,0.5135135135135135,0.43243243243243246
660,11:00,reference_validation,411,81,26,0.5384615384615384,0.6696641416905373,-0.8350169593284882,-21.710440942540693,0.38461538461538464,0.5
660,11:00,august,14,3,0,,,,0.0,,
690,11:30,external,523,107,27,0.5185185185185185,0.6890767012912078,-0.7816940091793348,-21.10573824784204,0.3333333333333333,0.5185185185185185
690,11:30,development,782,113,27,0.6666666666666666,1.2704730568917253,0.47482920086550207,12.820388423368556,0.5925925925925926,0.25925925925925924
690,11:30,reference_validation,411,70,20,0.4,0.2652369899903538,-1.9308894555956329,-38.61778911191266,0.2,0.65
690,11:30,august,14,3,0,,,,0.0,,
720,12:00,external,523,104,27,0.4074074074074074,0.34338328760546016,-2.0744885215493536,-56.01119008183255,0.3333333333333333,0.48148148148148145
720,12:00,development,782,116,31,0.6451612903225806,1.3235992851745115,0.4607777971554625,14.284111711819339,0.6451612903225806,0.2903225806451613
720,12:00,reference_validation,411,65,18,0.5555555555555556,0.4931885969238521,-1.3109133592257738,-23.596440466063928,0.3333333333333333,0.5
720,12:00,august,14,1,0,,,,0.0,,
750,12:30,external,522,111,26,0.4230769230769231,0.4783603267520102,-1.6253923600438884,-42.2602013611411,0.34615384615384615,0.5
750,12:30,development,781,126,30,0.5333333333333333,0.707683369926281,-0.5573116655277097,-16.71934996583129,0.4666666666666667,0.43333333333333335
750,12:30,reference_validation,410,58,18,0.5,0.832587252309499,-0.2997725463379579,-5.395905834083242,0.3333333333333333,0.5555555555555556
750,12:30,august,13,1,0,,,,0.0,,
780,13:00,external,522,107,21,0.38095238095238093,0.6383166934041313,-0.9916798936794807,-20.825277767269096,0.3333333333333333,0.5238095238095238
780,13:00,development,781,126,33,0.5757575757575758,0.7846481640404566,-0.36882588708988007,-12.171254273966042,0.5151515151515151,0.3939393939393939
780,13:00,reference_validation,410,63,16,0.25,0.1584692002320935,-1.9739808750660466,-31.583694001056745,0.0625,0.8125
780,13:00,august,13,2,1,0.0,0.0,-3.5839490568151273,-3.5839490568151273,0.0,1.0
810,13:30,external,522,113,23,0.2608695652173913,0.3166154006769364,-2.4352018744834583,-56.00964311311954,0.21739130434782608,0.6086956521739131
810,13:30,development,781,138,39,0.48717948717948717,0.8511156027195068,-0.25457838464460775,-9.928557001139701,0.46153846153846156,0.4358974358974359
810,13:30,reference_validation,410,73,17,0.47058823529411764,0.4306472751532934,-1.4670847887444254,-24.940441408655232,0.23529411764705882,0.6470588235294118
810,13:30,august,13,2,1,0.0,0.0,-2.634630912572033,-2.634630912572033,0.0,1.0
840,14:00,external,522,118,31,0.41935483870967744,0.40730590244907616,-2.1520517295275594,-66.71360361535434,0.3548387096774194,0.45161290322580644
840,14:00,development,781,140,35,0.45714285714285713,0.5956631783118146,-0.7464151394622623,-26.124529881179182,0.34285714285714286,0.5428571428571428
