local_date,action,baseline_win,baseline_failed_before_H,baseline_exit_type,baseline_net_return,transition,entry_ts,entry_px,H,R,ext_R,stop_R,target_px,stop_px,gross_rr,exit_type,exit_ts,exit_px,same_bar_collision,gross_return,net_return,gross_win,net_win,pnl_usd_500,executed,trade_legs,triggered,repair_reentered,trigger_ts,trigger_r,first_leg_exit_ts,first_leg_exit_px,repair_entry_ts,repair_entry_px,repair_signal_ts
2024-07-11,BASELINE,False,True,SL,-0.009283284523541267,L_TO_L,2024-07-11 14:30:00+00:00,532.68,539.9,13.819999999999936,0.3,0.3,544.0459999999999,528.534,2.741437530149566,SL,2024-07-11 15:30:00+00:00,528.534,False,-0.007783284523541267,-0.009283284523541267,False,False,-4.641642261770634,True,1,False,False,,,,,,,
2024-08-15,BASELINE,True,False,TP,0.008474807266114994,W_TO_W,2024-08-15 14:30:00+00:00,527.93,528.78,14.720000000000027,0.3,0.3,533.196,523.5139999999999,1.1924818840579738,TP,2024-08-15 16:15:00+00:00,533.196,False,0.009974807266114993,0.008474807266114994,True,True,4.237403633057497,True,1,False,False,,,,,,,
2024-08-27,BASELINE,False,True,SL,-0.006657219018605219,L_TO_L,2024-08-27 14:20:00+00:00,551.46,556.0,9.480000000000018,0.3,0.3,558.844,548.616,2.5963431786216185,SL,2024-08-27 16:40:00+00:00,548.616,False,-0.005157219018605219,-0.006657219018605219,False,False,-3.3286095093026096,True,1,False,False,,,,,,,
2024-09-04,BASELINE,True,False,SESSION_CLOSE,0.005756836651968302,W_TO_W,2024-09-04 15:25:00+00:00,505.73,513.19,17.670000000000073,0.3,0.3,518.4910000000001,500.429,2.4072816449726417,SESSION_CLOSE,2024-09-04 19:55:00+00:00,509.4,False,0.007256836651968301,0.005756836651968302,True,True,2.8784183259841507,True,1,False,False,,,,,,,
2024-10-11,BASELINE,True,False,TP,0.005611032843180487,W_TO_W,2024-10-11 13:50:00+00:00,567.85,569.2,8.960000000000036,0.3,0.3,571.888,565.162,1.5022321428571535,TP,2024-10-11 15:10:00+00:00,571.888,False,0.007111032843180487,0.005611032843180487,True,True,2.8055164215902435,True,1,False,False,,,,,,,
2024-11-08,BASELINE,False,True,SL,-0.005186921044711355,L_TO_L,2024-11-08 14:55:00+00:00,598.06,601.94,7.350000000000023,0.3,0.3,604.1450000000001,595.8549999999999,2.7596371882086337,SL,2024-11-08 15:05:00+00:00,595.8549999999999,False,-0.0036869210447113554,-0.005186921044711355,False,False,-2.5934605223556777,True,1,False,False,,,,,,,
2024-12-09,BASELINE,False,True,SL,-0.011231768650460992,L_TO_L,2024-12-09 16:00:00+00:00,715.8,731.28,23.220000000000027,0.3,0.3,738.246,708.834,3.2222222222222223,SL,2024-12-09 20:25:00+00:00,708.834,False,-0.009731768650460992,-0.011231768650460992,False,False,-5.615884325230496,True,1,False,False,,,,,,,
2024-12-13,BASELINE,True,False,TP,0.022575246577462516,W_TO_W,2024-12-13 16:05:00+00:00,710.73,721.55,20.969999999999914,0.3,0.3,727.8409999999999,704.4390000000001,2.719917342234945,TP,2024-12-13 19:55:00+00:00,727.8409999999999,False,0.024075246577462517,0.022575246577462516,True,True,11.287623288731258,True,1,False,False,,,,,,,
2024-12-16,BASELINE,True,False,TP,0.0047173195760983905,W_TO_W,2024-12-16 15:15:00+00:00,715.26,716.2,11.690000000000055,0.3,0.3,719.7070000000001,711.7529999999999,1.268035357855728,TP,2024-12-16 16:00:00+00:00,719.7070000000001,False,0.00621731957609839,0.0047173195760983905,True,True,2.358659788049195,True,1,False,False,,,,,,,
2022-01-03,T05_EXIT_REENTER_FRESH_MICROHL,False,True,SL,-0.006343466424682363,L_TO_L,2022-01-03 15:00:00+00:00,528.96,532.54,8.539999999999964,,,,,,REPAIR_SL,2022-01-03 15:50:00+00:00,526.838,,,-0.009975708269083446,,False,-4.987854134541723,True,2,True,True,2022-01-03 15:05:00+00:00,0.05,2022-01-03 15:10:00+00:00,527.83,2022-01-03 15:15:00+00:00,529.4,2022-01-03 15:10:00+00:00
2022-01-12,T05_EXIT_REENTER_FRESH_MICROHL,True,False,SESSION_CLOSE,0.00850395166489887,W_TO_W,2022-01-12 14:50:00+00:00,480.81,482.69,24.889999999999986,0.3,0.3,490.157,473.343,1.2517744743538235,SESSION_CLOSE,2022-01-12 20:55:00+00:00,485.62,False,0.010003951664898869,0.00850395166489887,True,True,4.2519758324494346,True,1,False,False,,0.05,,,,,
2022-02-01,T05_EXIT_REENTER_FRESH_MICROHL,False,True,SESSION_CLOSE,-0.002852722353736957,L_TO_L,2022-02-01 17:40:00+00:00,384.41,387.66,8.720000000000027,,,,,,REPAIR_SL,2022-02-01 19:20:00+00:00,382.694,,,-0.009919407911840868,,False,-4.959703955920435,True,2,True,True,2022-02-01 17:45:00+00:00,0.05,2022-02-01 17:50:00+00:00,384.36,2022-02-01 17:55:00+00:00,385.31,2022-02-01 17:50:00+00:00
2022-02-14,T05_EXIT_REENTER_FRESH_MICROHL,False,True,SL,-0.009937569940069056,L_TO_L,2022-02-14 14:55:00+00:00,402.13,404.03,11.309999999999945,,,,,,REPAIR_SL,2022-02-14 19:00:00+00:00,398.27700000000004,,,-0.013138228252280056,,False,-6.569114126140028,True,2,True,True,2022-02-14 14:55:00+00:00,0.05,2022-02-14 15:00:00+00:00,401.45,2022-02-14 15:15:00+00:00,401.67,2022-02-14 15:10:00+00:00
