clock,side,partition,reference_start,execution_start,H,L,k1,clean,leave_bar,eligible_start,terminal,terminal_bar
RAW_0530,LONG,development,2022-01-25 05:30:00+00:00,2022-01-25 11:00:00+00:00,2454.24,2349.6,2022-01-25 12:40:00+00:00,True,2022-01-25 12:45:00+00:00,2022-01-25 12:50:00+00:00,H2,2022-01-25 14:20:00+00:00
LONDON,LONG,development,2022-01-25 08:00:00+00:00,2022-01-25 13:30:00+00:00,2460.7,2371.63,2022-01-25 14:35:00+00:00,True,2022-01-25 14:45:00+00:00,2022-01-25 14:50:00+00:00,H2,2022-01-25 17:20:00+00:00
RAW_0530,LONG,development,2022-01-26 05:30:00+00:00,2022-01-26 11:00:00+00:00,2539.0,2443.29,2022-01-26 11:00:00+00:00,True,2022-01-26 11:05:00+00:00,2022-01-26 11:10:00+00:00,H2,2022-01-26 11:40:00+00:00
LONDON,LONG,development,2022-01-26 08:00:00+00:00,2022-01-26 13:30:00+00:00,2592.36,2459.01,2022-01-26 13:30:00+00:00,False,,,BREAK_DURING_K1,2022-01-26 13:40:00+00:00
ALT_0330,LONG,development,2022-01-27 03:30:00+00:00,2022-01-27 09:00:00+00:00,2444.0,2351.58,2022-01-27 09:20:00+00:00,False,,,BREAK_DURING_K1,2022-01-27 09:40:00+00:00
RAW_2330,LONG,development,2022-01-27 23:30:00+00:00,2022-01-28 05:00:00+00:00,2461.17,2361.91,2022-01-28 06:00:00+00:00,False,,,BREAK_DURING_K1,2022-01-28 06:05:00+00:00
ALT_0330,LONG,development,2022-01-31 03:30:00+00:00,2022-01-31 09:00:00+00:00,2533.0,2475.33,2022-01-31 09:00:00+00:00,True,2022-01-31 09:10:00+00:00,2022-01-31 09:15:00+00:00,H2,2022-01-31 09:35:00+00:00
RAW_0530,LONG,development,2022-02-01 05:30:00+00:00,2022-02-01 11:00:00+00:00,2795.0,2716.53,2022-02-01 13:25:00+00:00,True,2022-02-01 13:30:00+00:00,2022-02-01 13:35:00+00:00,H2,2022-02-01 13:40:00+00:00
LONDON,LONG,development,2022-02-01 08:00:00+00:00,2022-02-01 13:30:00+00:00,2795.0,2716.59,2022-02-01 13:40:00+00:00,True,2022-02-01 13:45:00+00:00,2022-02-01 13:50:00+00:00,H2,2022-02-01 13:50:00+00:00
SHORT_2000,SHORT,development,2022-02-01 20:00:00+00:00,2022-02-02 01:30:00+00:00,2804.88,2748.5,2022-02-02 01:30:00+00:00,True,2022-02-02 01:40:00+00:00,2022-02-02 01:45:00+00:00,H2,2022-02-02 02:00:00+00:00
ALT_0330,LONG,development,2022-02-02 03:30:00+00:00,2022-02-02 09:00:00+00:00,2789.04,2739.2,2022-02-02 12:10:00+00:00,True,2022-02-02 12:20:00+00:00,2022-02-02 12:25:00+00:00,H2,2022-02-02 12:40:00+00:00
ALT_0330,LONG,development,2022-02-04 03:30:00+00:00,2022-02-04 09:00:00+00:00,2860.58,2674.44,2022-02-04 10:05:00+00:00,True,2022-02-04 10:10:00+00:00,2022-02-04 10:15:00+00:00,H2,2022-02-04 15:05:00+00:00
RAW_0530,LONG,development,2022-02-04 05:30:00+00:00,2022-02-04 11:00:00+00:00,2872.89,2753.86,2022-02-04 15:10:00+00:00,False,,,BREAK_DURING_K1,2022-02-04 15:15:00+00:00
ALT_0330,LONG,development,2022-02-07 03:30:00+00:00,2022-02-07 09:00:00+00:00,3111.96,3045.2,2022-02-07 14:35:00+00:00,False,,,BREAK_DURING_K1,2022-02-07 14:40:00+00:00
RAW_0530,LONG,development,2022-02-07 05:30:00+00:00,2022-02-07 11:00:00+00:00,3104.38,3046.72,2022-02-07 14:30:00+00:00,False,,,BREAK_DURING_K1,2022-02-07 14:35:00+00:00
ALT_0330,LONG,development,2022-02-09 03:30:00+00:00,2022-02-09 09:00:00+00:00,3111.99,3052.5,2022-02-09 09:05:00+00:00,True,2022-02-09 09:20:00+00:00,2022-02-09 09:25:00+00:00,H2,2022-02-09 09:25:00+00:00
LONDON,LONG,development,2022-02-09 08:00:00+00:00,2022-02-09 13:30:00+00:00,3208.26,3066.48,2022-02-09 14:40:00+00:00,True,2022-02-09 14:50:00+00:00,2022-02-09 14:55:00+00:00,H2,2022-02-09 16:45:00+00:00
SHORT_2000,SHORT,development,2022-02-09 20:00:00+00:00,2022-02-10 01:30:00+00:00,3269.16,3207.21,2022-02-10 01:30:00+00:00,True,2022-02-10 01:35:00+00:00,2022-02-10 01:40:00+00:00,H2,2022-02-10 02:45:00+00:00
ALT_0330,LONG,development,2022-02-10 03:30:00+00:00,2022-02-10 09:00:00+00:00,3206.57,3155.11,2022-02-10 09:20:00+00:00,True,2022-02-10 09:30:00+00:00,2022-02-10 09:35:00+00:00,H2,2022-02-10 09:55:00+00:00
ALT_0330,LONG,development,2022-02-11 03:30:00+00:00,2022-02-11 09:00:00+00:00,3111.06,3039.0,2022-02-11 10:55:00+00:00,True,2022-02-11 11:00:00+00:00,2022-02-11 11:05:00+00:00,H2,2022-02-11 12:20:00+00:00
SHORT_2000,SHORT,development,2022-02-13 20:00:00+00:00,2022-02-14 01:30:00+00:00,2908.0,2840.72,2022-02-14 01:30:00+00:00,False,,,BREAK_DURING_K1,2022-02-14 01:35:00+00:00
LONDON,LONG,development,2022-02-14 08:00:00+00:00,2022-02-14 13:30:00+00:00,2943.33,2845.07,2022-02-14 13:30:00+00:00,True,2022-02-14 13:35:00+00:00,2022-02-14 13:40:00+00:00,H2,2022-02-14 14:05:00+00:00
RAW_2330,LONG,development,2022-02-14 23:30:00+00:00,2022-02-15 05:00:00+00:00,3037.7,2911.85,2022-02-15 07:30:00+00:00,False,,,BREAK_DURING_K1,2022-02-15 07:35:00+00:00
ALT_0330,LONG,development,2022-02-15 03:30:00+00:00,2022-02-15 09:00:00+00:00,3086.0,3005.58,2022-02-15 09:35:00+00:00,False,,,BREAK_DURING_K1,2022-02-15 09:40:00+00:00
SHORT_2000,SHORT,development,2022-02-16 20:00:00+00:00,2022-02-17 01:30:00+00:00,3178.0,3114.98,2022-02-17 03:15:00+00:00,True,2022-02-17 03:20:00+00:00,2022-02-17 03:25:00+00:00,H2,2022-02-17 03:25:00+00:00
RAW_2330,LONG,development,2022-02-17 23:30:00+00:00,2022-02-18 05:00:00+00:00,2917.97,2860.1,2022-02-18 08:15:00+00:00,True,2022-02-18 08:20:00+00:00,2022-02-18 08:25:00+00:00,H2,2022-02-18 08:40:00+00:00
RAW_2330,LONG,development,2022-02-20 23:30:00+00:00,2022-02-21 05:00:00+00:00,2749.0,2603.11,2022-02-21 05:25:00+00:00,True,2022-02-21 05:30:00+00:00,2022-02-21 05:35:00+00:00,H2,2022-02-21 07:25:00+00:00
ALT_0330,LONG,development,2022-02-22 03:30:00+00:00,2022-02-22 09:00:00+00:00,2553.93,2495.0,2022-02-22 09:35:00+00:00,True,2022-02-22 09:40:00+00:00,2022-02-22 09:45:00+00:00,H2,2022-02-22 10:10:00+00:00
LONDON,LONG,development,2022-02-22 08:00:00+00:00,2022-02-22 13:30:00+00:00,2622.62,2512.67,2022-02-22 13:55:00+00:00,True,2022-02-22 14:00:00+00:00,2022-02-22 14:05:00+00:00,H2,2022-02-22 14:45:00+00:00
ALT_0330,LONG,development,2022-02-23 03:30:00+00:00,2022-02-23 09:00:00+00:00,2721.0,2611.38,2022-02-23 09:10:00+00:00,True,2022-02-23 09:15:00+00:00,2022-02-23 09:20:00+00:00,H2,2022-02-23 09:40:00+00:00
RAW_0530,LONG,development,2022-02-23 05:30:00+00:00,2022-02-23 11:00:00+00:00,2723.32,2641.62,2022-02-23 11:20:00+00:00,False,,,BREAK_DURING_K1,2022-02-23 11:25:00+00:00
SHORT_2000,SHORT,development,2022-02-23 20:00:00+00:00,2022-02-24 01:30:00+00:00,2639.99,2542.97,2022-02-24 02:50:00+00:00,False,,,BREAK_DURING_K1,2022-02-24 02:55:00+00:00
ALT_0330,LONG,development,2022-02-24 03:30:00+00:00,2022-02-24 09:00:00+00:00,2442.21,2298.72,2022-02-24 14:50:00+00:00,True,2022-02-24 15:00:00+00:00,2022-02-24 15:05:00+00:00,H2,2022-02-24 15:10:00+00:00
RAW_0530,LONG,development,2022-02-24 05:30:00+00:00,2022-02-24 11:00:00+00:00,2422.0,2298.72,2022-02-24 14:30:00+00:00,False,,,BREAK_DURING_K1,2022-02-24 14:35:00+00:00
LONDON,LONG,development,2022-02-24 08:00:00+00:00,2022-02-24 13:30:00+00:00,2422.0,2329.05,2022-02-24 14:30:00+00:00,False,,,BREAK_DURING_K1,2022-02-24 14:35:00+00:00
ALT_0330,LONG,development,2022-02-28 03:30:00+00:00,2022-02-28 09:00:00+00:00,2658.0,2565.0,2022-02-28 12:20:00+00:00,True,2022-02-28 12:45:00+00:00,2022-02-28 12:50:00+00:00,H2,2022-02-28 14:15:00+00:00
RAW_0530,LONG,development,2022-02-28 05:30:00+00:00,2022-02-28 11:00:00+00:00,2658.0,2565.0,2022-02-28 12:20:00+00:00,True,2022-02-28 12:45:00+00:00,2022-02-28 12:50:00+00:00,H2,2022-02-28 14:15:00+00:00
RAW_0530,LONG,development,2022-03-02 05:30:00+00:00,2022-03-02 11:00:00+00:00,3027.33,2950.0,2022-03-02 12:15:00+00:00,True,2022-03-02 12:20:00+00:00,2022-03-02 12:25:00+00:00,OPPOSITE,2022-03-02 13:15:00+00:00
RAW_0530,LONG,development,2022-03-03 05:30:00+00:00,2022-03-03 11:00:00+00:00,2920.0,2870.0,2022-03-03 11:15:00+00:00,True,2022-03-03 11:20:00+00:00,2022-03-03 11:25:00+00:00,H2,2022-03-03 11:25:00+00:00
LONDON,LONG,development,2022-03-03 08:00:00+00:00,2022-03-03 13:30:00+00:00,2934.48,2877.35,2022-03-03 14:00:00+00:00,True,2022-03-03 14:05:00+00:00,2022-03-03 14:10:00+00:00,OPPOSITE,2022-03-03 15:05:00+00:00
ALT_0330,LONG,development,2022-03-08 03:30:00+00:00,2022-03-08 09:00:00+00:00,2587.94,2493.66,2022-03-08 09:35:00+00:00,True,2022-03-08 09:40:00+00:00,2022-03-08 09:45:00+00:00,H2,2022-03-08 10:35:00+00:00
RAW_0530,LONG,development,2022-03-10 05:30:00+00:00,2022-03-10 11:00:00+00:00,2608.63,2570.0,2022-03-10 12:25:00+00:00,True,2022-03-10 12:35:00+00:00,2022-03-10 12:40:00+00:00,H2,2022-03-10 13:30:00+00:00
RAW_2330,LONG,development,2022-03-10 23:30:00+00:00,2022-03-11 05:00:00+00:00,2615.0,2520.5,2022-03-11 07:25:00+00:00,True,2022-03-11 07:30:00+00:00,2022-03-11 07:35:00+00:00,H2,2022-03-11 11:20:00+00:00
ALT_0330,LONG,development,2022-03-11 03:30:00+00:00,2022-03-11 09:00:00+00:00,2619.0,2531.87,2022-03-11 11:20:00+00:00,False,,,BREAK_DURING_K1,2022-03-11 11:30:00+00:00
RAW_0530,LONG,development,2022-03-11 05:30:00+00:00,2022-03-11 11:00:00+00:00,2619.0,2546.28,2022-03-11 11:20:00+00:00,False,,,BREAK_DURING_K1,2022-03-11 11:30:00+00:00
RAW_2330,LONG,development,2022-03-13 23:30:00+00:00,2022-03-14 05:00:00+00:00,2606.07,2496.85,2022-03-14 09:55:00+00:00,True,2022-03-14 10:00:00+00:00,2022-03-14 10:05:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-03-14 03:30:00+00:00,2022-03-14 09:00:00+00:00,2606.07,2524.28,2022-03-14 09:55:00+00:00,True,2022-03-14 10:00:00+00:00,2022-03-14 10:05:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-03-15 03:30:00+00:00,2022-03-15 09:00:00+00:00,2563.16,2504.5,2022-03-15 14:30:00+00:00,True,2022-03-15 14:35:00+00:00,2022-03-15 14:40:00+00:00,H2,2022-03-15 14:50:00+00:00
RAW_0530,LONG,development,2022-03-15 05:30:00+00:00,2022-03-15 11:00:00+00:00,2563.16,2504.5,2022-03-15 14:30:00+00:00,True,2022-03-15 14:35:00+00:00,2022-03-15 14:40:00+00:00,H2,2022-03-15 14:50:00+00:00
ALT_0330,LONG,development,2022-03-16 03:30:00+00:00,2022-03-16 09:00:00+00:00,2684.13,2605.0,2022-03-16 09:05:00+00:00,True,2022-03-16 09:10:00+00:00,2022-03-16 09:15:00+00:00,H2,2022-03-16 09:15:00+00:00
LONDON,LONG,development,2022-03-16 08:00:00+00:00,2022-03-16 13:30:00+00:00,2703.25,2642.94,2022-03-16 14:15:00+00:00,False,,,BREAK_DURING_K1,2022-03-16 14:20:00+00:00
LONDON,LONG,development,2022-03-17 08:00:00+00:00,2022-03-17 13:30:00+00:00,2818.49,2750.5,2022-03-17 13:55:00+00:00,False,,,BREAK_DURING_K1,2022-03-17 14:00:00+00:00
ALT_0330,LONG,development,2022-03-18 03:30:00+00:00,2022-03-18 09:00:00+00:00,2814.0,2768.55,2022-03-18 12:35:00+00:00,False,,,BREAK_DURING_K1,2022-03-18 12:40:00+00:00
RAW_2330,LONG,development,2022-03-20 23:30:00+00:00,2022-03-21 05:00:00+00:00,2876.41,2830.5,2022-03-21 07:10:00+00:00,True,2022-03-21 07:15:00+00:00,2022-03-21 07:20:00+00:00,H2,2022-03-21 07:40:00+00:00
RAW_0530,LONG,development,2022-03-21 05:30:00+00:00,2022-03-21 11:00:00+00:00,2920.0,2851.37,2022-03-21 11:15:00+00:00,False,,,BREAK_DURING_K1,2022-03-21 11:20:00+00:00
LONDON,LONG,development,2022-03-21 08:00:00+00:00,2022-03-21 13:30:00+00:00,2938.5,2873.0,2022-03-21 13:40:00+00:00,True,2022-03-21 13:45:00+00:00,2022-03-21 13:50:00+00:00,H2,2022-03-21 15:15:00+00:00
RAW_0530,LONG,development,2022-03-22 05:30:00+00:00,2022-03-22 11:00:00+00:00,3028.68,2964.0,2022-03-22 14:35:00+00:00,True,2022-03-22 14:40:00+00:00,2022-03-22 14:45:00+00:00,NO_H2,
LONDON,LONG,development,2022-03-22 08:00:00+00:00,2022-03-22 13:30:00+00:00,3027.92,2984.71,2022-03-22 14:35:00+00:00,True,2022-03-22 14:40:00+00:00,2022-03-22 14:45:00+00:00,OPPOSITE,2022-03-22 19:55:00+00:00
SHORT_2000,SHORT,development,2022-03-22 20:00:00+00:00,2022-03-23 01:30:00+00:00,3015.0,2922.25,2022-03-23 04:25:00+00:00,True,2022-03-23 04:35:00+00:00,2022-03-23 04:40:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-03-23 03:30:00+00:00,2022-03-23 09:00:00+00:00,2969.27,2915.51,2022-03-23 10:25:00+00:00,True,2022-03-23 10:30:00+00:00,2022-03-23 10:35:00+00:00,H2,2022-03-23 14:05:00+00:00
ALT_0330,LONG,development,2022-03-25 03:30:00+00:00,2022-03-25 09:00:00+00:00,3147.41,3092.0,2022-03-25 10:55:00+00:00,True,2022-03-25 11:05:00+00:00,2022-03-25 11:10:00+00:00,H2,2022-03-25 11:10:00+00:00
RAW_2330,LONG,development,2022-03-27 23:30:00+00:00,2022-03-28 05:00:00+00:00,3337.64,3274.3,2022-03-28 05:10:00+00:00,True,2022-03-28 05:15:00+00:00,2022-03-28 05:20:00+00:00,H2,2022-03-28 09:45:00+00:00
RAW_0530,LONG,development,2022-03-28 05:30:00+00:00,2022-03-28 11:00:00+00:00,3357.76,3303.24,2022-03-28 11:00:00+00:00,True,2022-03-28 11:05:00+00:00,2022-03-28 11:10:00+00:00,H2,2022-03-28 13:25:00+00:00
RAW_2330,LONG,development,2022-03-29 23:30:00+00:00,2022-03-30 05:00:00+00:00,3405.57,3332.0,2022-03-30 05:55:00+00:00,False,,,BREAK_DURING_K1,2022-03-30 06:00:00+00:00
SHORT_2000,SHORT,development,2022-03-29 20:00:00+00:00,2022-03-30 01:30:00+00:00,3429.45,3336.0,2022-03-30 01:40:00+00:00,True,2022-03-30 01:45:00+00:00,2022-03-30 01:50:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-03-30 03:30:00+00:00,2022-03-30 09:00:00+00:00,3417.35,3360.63,2022-03-30 11:30:00+00:00,True,2022-03-30 11:35:00+00:00,2022-03-30 11:40:00+00:00,OPPOSITE,2022-03-30 14:05:00+00:00
RAW_0530,LONG,development,2022-03-30 05:30:00+00:00,2022-03-30 11:00:00+00:00,3417.35,3379.52,2022-03-30 11:30:00+00:00,True,2022-03-30 11:35:00+00:00,2022-03-30 11:40:00+00:00,OPPOSITE,2022-03-30 13:35:00+00:00
RAW_2330,LONG,development,2022-03-30 23:30:00+00:00,2022-03-31 05:00:00+00:00,3423.24,3376.11,2022-03-31 10:00:00+00:00,True,2022-03-31 10:10:00+00:00,2022-03-31 10:15:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-04-01 03:30:00+00:00,2022-04-01 09:00:00+00:00,3292.47,3228.82,2022-04-01 11:15:00+00:00,False,,,BREAK_DURING_K1,2022-04-01 11:20:00+00:00
RAW_0530,LONG,development,2022-04-01 05:30:00+00:00,2022-04-01 11:00:00+00:00,3292.47,3243.33,2022-04-01 11:15:00+00:00,False,,,BREAK_DURING_K1,2022-04-01 11:20:00+00:00
ALT_0330,LONG,development,2022-04-07 03:30:00+00:00,2022-04-07 09:00:00+00:00,3232.69,3167.0,2022-04-07 11:05:00+00:00,True,2022-04-07 11:15:00+00:00,2022-04-07 11:20:00+00:00,H2,2022-04-07 11:30:00+00:00
RAW_0530,LONG,development,2022-04-07 05:30:00+00:00,2022-04-07 11:00:00+00:00,3232.69,3193.09,2022-04-07 11:05:00+00:00,True,2022-04-07 11:15:00+00:00,2022-04-07 11:20:00+00:00,H2,2022-04-07 11:30:00+00:00
SHORT_2000,SHORT,development,2022-04-10 20:00:00+00:00,2022-04-11 01:30:00+00:00,3296.0,3172.59,2022-04-11 02:00:00+00:00,True,2022-04-11 02:05:00+00:00,2022-04-11 02:10:00+00:00,H2,2022-04-11 02:20:00+00:00
RAW_2330,LONG,development,2022-04-12 23:30:00+00:00,2022-04-13 05:00:00+00:00,3065.8,3004.19,2022-04-13 05:55:00+00:00,True,2022-04-13 06:05:00+00:00,2022-04-13 06:10:00+00:00,NO_H2,
LONDON,LONG,development,2022-04-13 08:00:00+00:00,2022-04-13 13:30:00+00:00,3058.34,2995.23,2022-04-13 13:45:00+00:00,False,,,BREAK_DURING_K1,2022-04-13 13:50:00+00:00
LONDON,LONG,development,2022-04-18 08:00:00+00:00,2022-04-18 13:30:00+00:00,2947.0,2887.0,2022-04-18 13:30:00+00:00,True,2022-04-18 13:35:00+00:00,2022-04-18 13:40:00+00:00,H2,2022-04-18 17:10:00+00:00
ALT_0330,LONG,development,2022-04-19 03:30:00+00:00,2022-04-19 09:00:00+00:00,3050.73,3027.66,2022-04-19 10:25:00+00:00,True,2022-04-19 10:35:00+00:00,2022-04-19 10:40:00+00:00,H2,2022-04-19 10:40:00+00:00
RAW_0530,LONG,development,2022-04-19 05:30:00+00:00,2022-04-19 11:00:00+00:00,3054.58,3027.66,2022-04-19 11:20:00+00:00,True,2022-04-19 11:30:00+00:00,2022-04-19 11:35:00+00:00,H2,2022-04-19 11:50:00+00:00
RAW_2330,LONG,development,2022-04-19 23:30:00+00:00,2022-04-20 05:00:00+00:00,3106.2,3066.0,2022-04-20 06:05:00+00:00,True,2022-04-20 06:10:00+00:00,2022-04-20 06:15:00+00:00,H2,2022-04-20 07:05:00+00:00
ALT_0330,LONG,development,2022-04-20 03:30:00+00:00,2022-04-20 09:00:00+00:00,3113.99,3074.88,2022-04-20 09:45:00+00:00,True,2022-04-20 09:50:00+00:00,2022-04-20 09:55:00+00:00,H2,2022-04-20 10:25:00+00:00
RAW_0530,LONG,development,2022-04-21 05:30:00+00:00,2022-04-21 11:00:00+00:00,3138.47,3064.6,2022-04-21 11:05:00+00:00,False,,,BREAK_DURING_K1,2022-04-21 11:25:00+00:00
ALT_0330,LONG,development,2022-04-25 03:30:00+00:00,2022-04-25 09:00:00+00:00,2877.33,2791.3,2022-04-25 13:35:00+00:00,True,2022-04-25 13:45:00+00:00,2022-04-25 13:50:00+00:00,H2,2022-04-25 13:50:00+00:00
SHORT_2000,SHORT,development,2022-04-25 20:00:00+00:00,2022-04-26 01:30:00+00:00,3043.0,2988.31,2022-04-26 02:40:00+00:00,True,2022-04-26 02:45:00+00:00,2022-04-26 02:50:00+00:00,H2,2022-04-26 07:05:00+00:00
RAW_2330,LONG,development,2022-04-26 23:30:00+00:00,2022-04-27 05:00:00+00:00,2847.77,2780.79,2022-04-27 05:10:00+00:00,True,2022-04-27 05:20:00+00:00,2022-04-27 05:25:00+00:00,H2,2022-04-27 05:30:00+00:00
RAW_2330,LONG,development,2022-04-27 23:30:00+00:00,2022-04-28 05:00:00+00:00,2914.64,2866.95,2022-04-28 07:45:00+00:00,True,2022-04-28 07:50:00+00:00,2022-04-28 07:55:00+00:00,H2,2022-04-28 08:15:00+00:00
RAW_2330,LONG,development,2022-05-01 23:30:00+00:00,2022-05-02 05:00:00+00:00,2868.0,2820.95,2022-05-02 06:00:00+00:00,True,2022-05-02 06:10:00+00:00,2022-05-02 06:15:00+00:00,OPPOSITE,2022-05-02 09:45:00+00:00
ALT_0330,LONG,development,2022-05-04 03:30:00+00:00,2022-05-04 09:00:00+00:00,2848.0,2788.0,2022-05-04 10:15:00+00:00,False,,,BREAK_DURING_K1,2022-05-04 10:25:00+00:00
SHORT_2000,SHORT,development,2022-05-08 20:00:00+00:00,2022-05-09 01:30:00+00:00,2564.09,2507.0,2022-05-09 01:45:00+00:00,False,,,BREAK_DURING_K1,2022-05-09 01:55:00+00:00
RAW_2330,LONG,development,2022-05-10 23:30:00+00:00,2022-05-11 05:00:00+00:00,2392.45,2318.7,2022-05-11 05:10:00+00:00,False,,,BREAK_DURING_K1,2022-05-11 05:15:00+00:00
SHORT_2000,SHORT,development,2022-05-11 20:00:00+00:00,2022-05-12 01:30:00+00:00,2193.7,2002.0,2022-05-12 03:30:00+00:00,True,2022-05-12 03:35:00+00:00,2022-05-12 03:40:00+00:00,H2,2022-05-12 03:50:00+00:00
RAW_0530,LONG,development,2022-05-12 05:30:00+00:00,2022-05-12 11:00:00+00:00,1991.99,1775.43,2022-05-12 11:05:00+00:00,True,2022-05-12 11:10:00+00:00,2022-05-12 11:15:00+00:00,H2,2022-05-12 11:20:00+00:00
RAW_2330,LONG,development,2022-05-12 23:30:00+00:00,2022-05-13 05:00:00+00:00,2110.59,1939.33,2022-05-13 05:05:00+00:00,False,,,BREAK_DURING_K1,2022-05-13 05:15:00+00:00
ALT_0330,LONG,development,2022-05-13 03:30:00+00:00,2022-05-13 09:00:00+00:00,2144.66,2047.03,2022-05-13 14:25:00+00:00,True,2022-05-13 14:30:00+00:00,2022-05-13 14:35:00+00:00,H2,2022-05-13 14:35:00+00:00
RAW_0530,LONG,development,2022-05-13 05:30:00+00:00,2022-05-13 11:00:00+00:00,2144.66,2047.03,2022-05-13 14:25:00+00:00,True,2022-05-13 14:30:00+00:00,2022-05-13 14:35:00+00:00,H2,2022-05-13 14:35:00+00:00
LONDON,LONG,development,2022-05-13 08:00:00+00:00,2022-05-13 13:30:00+00:00,2135.56,2047.57,2022-05-13 14:00:00+00:00,True,2022-05-13 14:15:00+00:00,2022-05-13 14:20:00+00:00,H2,2022-05-13 14:20:00+00:00
SHORT_2000,SHORT,development,2022-05-17 20:00:00+00:00,2022-05-18 01:30:00+00:00,2110.89,2040.02,2022-05-18 03:35:00+00:00,False,,,BREAK_DURING_K1,2022-05-18 03:40:00+00:00
RAW_2330,LONG,development,2022-05-18 23:30:00+00:00,2022-05-19 05:00:00+00:00,1970.0,1901.7,2022-05-19 06:55:00+00:00,True,2022-05-19 07:00:00+00:00,2022-05-19 07:05:00+00:00,NO_H2,
SHORT_2000,SHORT,development,2022-05-18 20:00:00+00:00,2022-05-19 01:30:00+00:00,1980.69,1906.61,2022-05-19 01:55:00+00:00,True,2022-05-19 02:05:00+00:00,2022-05-19 02:10:00+00:00,H2,2022-05-19 02:10:00+00:00
LONDON,LONG,development,2022-05-19 08:00:00+00:00,2022-05-19 13:30:00+00:00,1985.99,1912.39,2022-05-19 13:35:00+00:00,True,2022-05-19 13:40:00+00:00,2022-05-19 13:45:00+00:00,H2,2022-05-19 14:20:00+00:00
RAW_2330,LONG,development,2022-05-22 23:30:00+00:00,2022-05-23 05:00:00+00:00,2058.5,2018.83,2022-05-23 06:40:00+00:00,True,2022-05-23 06:50:00+00:00,2022-05-23 06:55:00+00:00,H2,2022-05-23 07:00:00+00:00
LONDON,LONG,development,2022-05-25 08:00:00+00:00,2022-05-25 13:30:00+00:00,1981.87,1933.0,2022-05-25 13:35:00+00:00,True,2022-05-25 13:40:00+00:00,2022-05-25 13:45:00+00:00,H2,2022-05-25 13:45:00+00:00
SHORT_2000,SHORT,development,2022-05-26 20:00:00+00:00,2022-05-27 01:30:00+00:00,1847.69,1748.0,2022-05-27 01:50:00+00:00,False,,,BREAK_DURING_K1,2022-05-27 01:55:00+00:00
RAW_2330,LONG,development,2022-05-29 23:30:00+00:00,2022-05-30 05:00:00+00:00,1889.85,1801.52,2022-05-30 05:40:00+00:00,True,2022-05-30 05:45:00+00:00,2022-05-30 05:50:00+00:00,H2,2022-05-30 05:50:00+00:00
ALT_0330,LONG,development,2022-05-30 03:30:00+00:00,2022-05-30 09:00:00+00:00,1920.0,1868.46,2022-05-30 14:10:00+00:00,True,2022-05-30 14:25:00+00:00,2022-05-30 14:30:00+00:00,NO_H2,
LONDON,LONG,development,2022-05-30 08:00:00+00:00,2022-05-30 13:30:00+00:00,1915.0,1872.22,2022-05-30 14:10:00+00:00,False,,,BREAK_DURING_K1,2022-05-30 14:15:00+00:00
SHORT_2000,SHORT,development,2022-05-31 20:00:00+00:00,2022-06-01 01:30:00+00:00,1959.69,1929.0,2022-06-01 03:15:00+00:00,True,2022-06-01 03:20:00+00:00,2022-06-01 03:25:00+00:00,H2,2022-06-01 03:30:00+00:00
LONDON,LONG,development,2022-06-01 08:00:00+00:00,2022-06-01 13:30:00+00:00,1967.86,1924.0,2022-06-01 13:30:00+00:00,True,2022-06-01 13:40:00+00:00,2022-06-01 13:45:00+00:00,OPPOSITE,2022-06-01 14:25:00+00:00
RAW_2330,LONG,development,2022-06-01 23:30:00+00:00,2022-06-02 05:00:00+00:00,1838.07,1801.12,2022-06-02 10:45:00+00:00,True,2022-06-02 10:50:00+00:00,2022-06-02 10:55:00+00:00,NO_H2,
ALT_0330,LONG,development,2022-06-02 03:30:00+00:00,2022-06-02 09:00:00+00:00,1836.62,1801.12,2022-06-02 10:45:00+00:00,True,2022-06-02 10:50:00+00:00,2022-06-02 10:55:00+00:00,H2,2022-06-02 11:45:00+00:00
ALT_0330,LONG,development,2022-06-06 03:30:00+00:00,2022-06-06 09:00:00+00:00,1905.0,1866.49,2022-06-06 09:00:00+00:00,True,2022-06-06 09:05:00+00:00,2022-06-06 09:10:00+00:00,H2,2022-06-06 09:20:00+00:00
LONDON,LONG,development,2022-06-07 08:00:00+00:00,2022-06-07 13:30:00+00:00,1779.26,1735.45,2022-06-07 14:30:00+00:00,False,,,BREAK_DURING_K1,2022-06-07 14:35:00+00:00
RAW_2330,LONG,development,2022-06-08 23:30:00+00:00,2022-06-09 05:00:00+00:00,1803.53,1776.32,2022-06-09 05:05:00+00:00,False,,,BREAK_DURING_K1,2022-06-09 05:20:00+00:00
ALT_0330,LONG,development,2022-06-09 03:30:00+00:00,2022-06-09 09:00:00+00:00,1819.41,1793.0,2022-06-09 09:05:00+00:00,False,,,BREAK_DURING_K1,2022-06-09 09:10:00+00:00
SHORT_2000,SHORT,development,2022-06-12 20:00:00+00:00,2022-06-13 01:30:00+00:00,1488.18,1341.0,2022-06-13 02:15:00+00:00,True,2022-06-13 02:20:00+00:00,2022-06-13 02:25:00+00:00,H2,2022-06-13 02:50:00+00:00
