hour_wib,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
14,DRIVE_UP__RANGE_MID,1,2,8,2,0.25,0.2952124088686434,0.67427081682492,0.5471293379264527,0.8351994240565734,1.390826542110154,73.67379572711246,0.5583333333333333,0.5833333333333333,240,240,240,240,360,LB240/H240;LB240/H360
14,DRIVE_UP__RANGE_MID,2,2,7,2,0.2857142857142857,0.1749008320896314,0.32910085117364063,0.6797302709795022,0.787232321929145,1.2997256889306947,120.20375911380194,0.6099290780141844,0.624113475177305,282,120,120,360,480,LB120/H360;LB120/H480
14,DRIVE_UP__RV_HIGH,1,1,5,2,0.4,0.8232537180688534,0.8232537180688534,1.202239788100902,1.202239788100902,1.3626734192191636,107.41283684755822,0.6129032258064516,0.6129032258064516,124,120,120,360,360,LB120/H360
14,DRIVE_UP__RV_HIGH,2,2,7,3,0.42857142857142855,0.3598823148970791,0.5445658181478286,0.8245942535205789,1.257490444998536,1.5023797474342433,118.77248114394968,0.6206896551724138,0.6538230884557721,231,240,360,360,360,LB240/H360;LB360/H360
14,DRIVE_UP__RV_MID,1,1,5,1,0.2,0.2742517713010549,0.2742517713010549,0.8031743197910168,0.8031743197910168,1.490173109654814,51.02050867810773,0.6071428571428571,0.6071428571428571,140,180,180,240,240,LB180/H240
14,DRIVE_UP__STR_B20_40,1,2,6,2,0.3333333333333333,0.6347070424867264,0.6796121786183384,0.9764773444480832,1.050011587300443,1.5799848358384947,97.28454543602616,0.6162790697674418,0.627906976744186,172,60,60,240,360,LB60/H240;LB60/H360
14,DRIVE_UP__STR_B40_60,1,1,4,1,0.25,0.5322514019653477,0.5322514019653477,0.7247225428173544,0.7247225428173544,1.3490180158967242,32.47762385631472,0.6081081081081081,0.6081081081081081,74,360,360,240,240,LB360/H240
14,DRIVE_UP__STR_B40_60,2,3,7,3,0.42857142857142855,0.3514424859237809,0.7914022291774797,1.4100054053816984,1.6834970497021564,1.6490708640823626,108.81050527283357,0.5697674418604651,0.6046511627906976,258,60,120,360,480,LB120/H360;LB60/H480;LB120/H480
14,DRIVE_UP__STR_B60_80,1,2,8,3,0.375,0.3310181707828991,0.635637289872097,0.5724520911973328,0.8367015086022301,1.3884093875514054,55.21492161756134,0.5666666666666667,0.5888888888888889,180,240,240,240,360,LB240/H240;LB240/H360
14,DRIVE_UP__STR_B60_80,2,1,5,2,0.4,0.3756158863615104,0.3756158863615104,1.226074686932918,1.226074686932918,1.43810079867439,81.64756882209949,0.6666666666666666,0.6666666666666666,84,120,120,360,360,LB120/H360
