role,partition,dev_block,execution_start,entry_ts,exit_ts,H,L,R,signal_ts,confirm_ts,confirm_close_R,eventual_E40,terminal,terminal_ts,e10_retest,e10_retest_before_E40,e10_retest_ts,e10_retest_min,e10_retest_to_E40,e05_retest,e05_retest_before_E40,e05_retest_ts,e05_retest_min,e05_retest_to_E40,H_touch,H_touch_before_E40,min_low_R,min_close_R,max_high_R,ref_min,hour
CLOCK_SUPPORT,development,1.0,2022-10-17 16:00:00+00:00,2022-10-17 23:35:00+00:00,2022-10-17 23:55:00+00:00,31.19,30.39,0.8000000000000007,2022-10-18 00:20:00+00:00,2022-10-18 00:30:00+00:00,0.3374999999999992,False,H_FAIL,2022-10-18 01:30:00+00:00,True,True,2022-10-18 00:45:00+00:00,15.0,False,True,True,2022-10-18 01:20:00+00:00,50.0,False,True,True,-0.07500000000000277,-0.06250000000000083,0.3374999999999992,360,16
CLOCK_SUPPORT,development,2.0,2023-01-02 16:00:00+00:00,2023-01-02 19:45:00+00:00,2023-01-02 20:05:00+00:00,11.234,10.832,0.40199999999999925,2023-01-02 20:30:00+00:00,2023-01-02 20:40:00+00:00,0.2263681592039788,True,E40,2023-01-02 21:55:00+00:00,True,True,2023-01-02 20:50:00+00:00,10.0,True,False,False,,,False,False,False,0.07462686567164034,0.11442786069651607,0.4278606965174152,360,16
CLOCK_SUPPORT,development,2.0,2023-01-27 16:00:00+00:00,2023-01-27 17:00:00+00:00,2023-01-27 17:35:00+00:00,24.219,23.31,0.9090000000000025,2023-01-27 17:40:00+00:00,2023-01-27 17:50:00+00:00,0.3410341034103387,True,E40,2023-01-27 17:55:00+00:00,False,False,,,False,False,False,,,False,False,False,0.3179317931793148,0.32783278327832505,0.4070407040704031,360,16
CLOCK_SUPPORT,development,2.0,2023-04-22 16:00:00+00:00,2023-04-22 16:00:00+00:00,2023-04-22 16:55:00+00:00,21.721,21.2,0.5210000000000008,2023-04-22 17:10:00+00:00,2023-04-22 17:20:00+00:00,0.2245681381957787,False,H_FAIL,2023-04-22 18:15:00+00:00,True,True,2023-04-22 17:45:00+00:00,25.0,False,True,True,2023-04-22 18:15:00+00:00,55.0,False,True,True,-0.03262955854126571,-0.0038387715930880777,0.28023032629558653,360,16
CLOCK_SUPPORT,development,2.0,2023-04-25 16:00:00+00:00,2023-04-25 17:55:00+00:00,2023-04-25 18:05:00+00:00,21.163,20.726,0.43700000000000117,2023-04-25 18:15:00+00:00,2023-04-25 18:25:00+00:00,0.12814645308924666,False,H_FAIL,2023-04-25 18:40:00+00:00,True,True,2023-04-25 18:30:00+00:00,5.0,False,True,True,2023-04-25 18:40:00+00:00,15.0,False,True,True,-0.04576659038901492,-0.04576659038901492,0.25629290617848516,360,16
CLOCK_SUPPORT,development,2.0,2023-06-16 16:00:00+00:00,2023-06-16 17:05:00+00:00,2023-06-16 17:15:00+00:00,15.094,14.315,0.7789999999999999,2023-06-16 17:20:00+00:00,2023-06-16 17:30:00+00:00,0.17586649550706093,True,E40,2023-06-16 18:05:00+00:00,True,True,2023-06-16 17:45:00+00:00,15.0,True,False,False,,,False,False,False,0.05905006418485386,0.10783055198973224,0.4890885750962776,360,16
CLOCK_SUPPORT,development,3.0,2023-08-12 16:00:00+00:00,2023-08-12 16:15:00+00:00,2023-08-12 16:30:00+00:00,24.703,24.484,0.21899999999999764,2023-08-12 16:35:00+00:00,2023-08-12 16:45:00+00:00,0.19634703196346906,False,H_FAIL,2023-08-12 17:35:00+00:00,True,True,2023-08-12 17:10:00+00:00,25.0,False,True,True,2023-08-12 17:15:00+00:00,30.0,False,True,True,-0.1826484018264821,-0.15525114155250816,0.37899543378996736,360,16
CLOCK_SUPPORT,development,3.0,2023-11-04 16:00:00+00:00,2023-11-04 22:20:00+00:00,2023-11-04 22:40:00+00:00,42.287,40.811,1.475999999999999,2023-11-04 22:50:00+00:00,2023-11-04 23:00:00+00:00,0.24593495934959334,False,H_FAIL,2023-11-04 23:45:00+00:00,True,True,2023-11-04 23:10:00+00:00,10.0,False,True,True,2023-11-04 23:15:00+00:00,15.0,False,True,True,-0.04132791327913278,-0.02777777777777564,0.2967479674796766,360,16
CLOCK_SUPPORT,development,3.0,2023-12-11 16:00:00+00:00,2023-12-11 16:35:00+00:00,2023-12-11 16:55:00+00:00,70.014,66.936,3.0779999999999887,2023-12-11 17:20:00+00:00,2023-12-11 17:30:00+00:00,0.13937621832358793,False,H_FAIL,2023-12-11 17:45:00+00:00,True,True,2023-12-11 17:35:00+00:00,5.0,False,True,True,2023-12-11 17:35:00+00:00,5.0,False,True,True,-0.04678362573099148,-0.03151397011045957,0.1445743989603668,360,16
CLOCK_SUPPORT,development,3.0,2023-12-23 16:00:00+00:00,2023-12-23 16:45:00+00:00,2023-12-23 17:00:00+00:00,97.645,94.75,2.894999999999996,2023-12-23 17:05:00+00:00,2023-12-23 17:15:00+00:00,0.14887737478410984,False,H_FAIL,2023-12-23 17:20:00+00:00,True,True,2023-12-23 17:20:00+00:00,5.0,False,True,True,2023-12-23 17:20:00+00:00,5.0,False,True,True,-0.02936096718479926,-0.020725388601037082,0.1675302245250432,360,16
CLOCK_SUPPORT,development,4.0,2024-02-10 16:00:00+00:00,2024-02-10 18:50:00+00:00,2024-02-10 19:05:00+00:00,109.12,107.134,1.9860000000000042,2024-02-10 19:20:00+00:00,2024-02-10 19:30:00+00:00,0.13695871097683324,False,H_FAIL,2024-02-10 19:50:00+00:00,True,True,2024-02-10 19:35:00+00:00,5.0,False,True,True,2024-02-10 19:45:00+00:00,15.0,False,True,True,-0.10271903323263207,-0.08610271903323571,0.21500503524672285,360,16
CLOCK_SUPPORT,development,4.0,2024-03-06 16:00:00+00:00,2024-03-07 00:35:00+00:00,2024-03-07 01:10:00+00:00,132.83,125.3,7.530000000000015,2024-03-07 01:15:00+00:00,2024-03-07 01:25:00+00:00,0.20079681274900363,True,E40,2024-03-07 01:50:00+00:00,True,True,2024-03-07 01:30:00+00:00,5.0,True,False,False,,,False,False,False,0.05976095617529718,0.1545816733067709,0.507304116865868,360,16
CLOCK_SUPPORT,development,4.0,2024-05-30 16:00:00+00:00,2024-05-30 16:45:00+00:00,2024-05-30 17:10:00+00:00,169.791,165.021,4.77000000000001,2024-05-30 17:15:00+00:00,2024-05-30 17:25:00+00:00,0.2970649895178194,True,E40,2024-05-30 17:30:00+00:00,False,False,,,False,False,False,,,False,False,False,0.2968553459119484,0.4316561844863717,0.4465408805031427,360,16
CLOCK_SUPPORT,development,4.0,2024-06-17 16:00:00+00:00,2024-06-17 17:35:00+00:00,2024-06-17 17:45:00+00:00,144.668,140.698,3.969999999999999,2024-06-17 18:00:00+00:00,2024-06-17 18:10:00+00:00,0.20075566750629653,True,E40,2024-06-17 18:15:00+00:00,False,False,,,False,False,False,,,False,False,False,0.19168765743072944,0.3780856423173817,0.4823677581863961,360,16
CLOCK_SUPPORT,development,5.0,2024-07-06 16:00:00+00:00,2024-07-06 16:20:00+00:00,2024-07-06 17:15:00+00:00,142.109,137.679,4.430000000000007,2024-07-06 17:20:00+00:00,2024-07-06 17:30:00+00:00,0.12460496613995296,False,H_FAIL,2024-07-06 17:50:00+00:00,True,True,2024-07-06 17:35:00+00:00,5.0,False,True,True,2024-07-06 17:40:00+00:00,10.0,False,True,True,-0.0602708803611728,-0.014446952595941597,0.15823927765236848,360,16
CLOCK_SUPPORT,development,5.0,2024-07-19 16:00:00+00:00,2024-07-19 16:00:00+00:00,2024-07-19 17:05:00+00:00,169.0,160.25,8.75,2024-07-19 17:10:00+00:00,2024-07-19 17:20:00+00:00,0.12674285714285816,False,H_FAIL,2024-07-19 18:20:00+00:00,True,True,2024-07-19 17:25:00+00:00,5.0,False,True,True,2024-07-19 17:30:00+00:00,10.0,False,True,True,-0.07485714285714298,-0.06685714285714377,0.19062857142857215,360,16
CLOCK_SUPPORT,development,5.0,2024-08-21 16:00:00+00:00,2024-08-21 18:20:00+00:00,2024-08-21 18:40:00+00:00,142.42,138.689,3.7309999999999945,2024-08-21 18:55:00+00:00,2024-08-21 19:05:00+00:00,0.19512195121951478,False,H_FAIL,2024-08-21 19:15:00+00:00,True,True,2024-08-21 19:15:00+00:00,10.0,False,True,True,2024-08-21 19:15:00+00:00,10.0,False,True,True,-0.018493701420527607,-0.009380863039398724,0.20611096220852496,360,16
