clock,side,level,partition,k1,clean,clean_h2_rate,fills,fill_rate,h2,opposite,no_h2,h2_hit_rate,resolved_h2_wr,median_min_to_h2,median_mae_ru,tail_fraction,screen
LONDON,LONG,F80,POOLED_MAJOR,378,250,0.812,149,0.596,114,17,18,0.7651006711409396,0.8702290076335878,30.0,0.21693363844393365,-0.10935116737748236,SCREEN_PASS
LONDON,LONG,F75,external,120,79,0.8481012658227848,42,0.5316455696202531,31,1,10,0.7380952380952381,0.96875,40.0,0.21146734957379892,0.14020267250281265,
LONDON,LONG,F75,development,173,121,0.8181818181818182,65,0.5371900826446281,48,12,5,0.7384615384615385,0.8,35.0,0.22266666666666124,-0.16947434859638766,
LONDON,LONG,F75,reference_validation,85,50,0.74,31,0.62,22,6,3,0.7096774193548387,0.7857142857142857,20.0,0.33503026967529,-0.19738317757009527,
LONDON,LONG,F75,august,4,3,0.6666666666666666,2,0.6666666666666666,1,1,0,0.5,0.5,5.0,0.5979373470327531,-0.31627864587714133,
LONDON,LONG,F75,POOLED_MAJOR,378,250,0.812,138,0.552,101,19,18,0.7318840579710145,0.8416666666666667,35.0,0.22571108103964593,-0.14081395004731054,SCREEN_PASS
RAW_2330,LONG,F95,external,80,51,0.8235294117647058,34,0.6666666666666666,29,0,5,0.8529411764705882,1.0,10.0,0.15256143042464015,0.45373587499821044,
RAW_2330,LONG,F95,development,168,120,0.75,61,0.5083333333333333,51,1,9,0.8360655737704918,0.9807692307692307,15.0,0.11346153846153939,0.4671428571428578,
RAW_2330,LONG,F95,reference_validation,76,54,0.7777777777777778,35,0.6481481481481481,29,0,6,0.8285714285714286,1.0,15.0,0.08004714959279602,0.5867312790345814,
RAW_2330,LONG,F95,august,2,2,1.0,1,0.5,1,0,0,1.0,1.0,10.0,0.14736842105262782,0.8026315789473721,
RAW_2330,LONG,F95,POOLED_MAJOR,324,225,0.7733333333333333,130,0.5777777777777777,109,1,20,0.8384615384615385,0.990909090909091,15.0,0.12999170500176394,0.512268374905631,SCREEN_PASS
RAW_2330,LONG,F90,external,80,51,0.8235294117647058,39,0.7647058823529411,33,0,6,0.8461538461538461,1.0,25.0,0.14478178368121608,0.3752647476026637,
RAW_2330,LONG,F90,development,168,120,0.75,74,0.6166666666666667,52,2,20,0.7027027027027027,0.9629629629629629,22.5,0.15996940937686926,0.15945252111031527,
RAW_2330,LONG,F90,reference_validation,76,54,0.7777777777777778,35,0.6481481481481481,27,1,7,0.7714285714285715,0.9642857142857143,25.0,0.11208599651365314,0.504351615265876,
RAW_2330,LONG,F90,august,2,2,1.0,1,0.5,1,0,0,1.0,1.0,10.0,0.09736842105262788,0.8026315789473721,
