character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_trades,H1_exp,H1_pf,H2_trades,H2_exp,H2_pf,min_half_exp,positive_anchors,dev_eligible
DRIVE_UP__EXT_HIGH,120,480,154,0.44805194805194803,-111.67272104081955,-0.725147539226101,0.8545777398026955,290.1454402302164,13,63,-0.7936852481876138,0.847018881667634,91,-0.6776983560988995,0.8601791990679353,-0.7936852481876138,1,False
DRIVE_UP__EXT_HIGH,180,120,145,0.43448275862068964,-82.16040870593523,-0.5666235083167946,0.7436177184871897,104.12972121763485,10,63,-0.971313454498787,0.5348406735437414,82,-0.2557031838111176,0.8890061563606888,-0.971313454498787,1,False
DRIVE_UP__EXT_HIGH,180,240,145,0.503448275862069,-56.724892150060946,-0.391206152759041,0.8522903819914017,138.5837238905129,10,63,0.2146351428845971,1.0963377952183346,82,-0.856669587216958,0.71171218296115,-0.856669587216958,1,False
DRIVE_UP__EXT_HIGH,180,360,145,0.5862068965517241,19.90460421183385,0.13727313249540585,1.040411649577072,88.87104074090674,7,63,0.1919813559365208,1.0622438410636417,82,0.09524120472967144,1.0261868728644485,0.09524120472967144,2,False
DRIVE_UP__EXT_HIGH,180,480,145,0.47586206896551725,-137.33113680948105,-0.9471112883412486,0.8211427202425551,322.6975809805398,11,63,-0.22508553804214512,0.9513483238482413,82,-1.5018383891808038,0.7414741745965637,-1.5018383891808038,2,False
DRIVE_UP__EXT_HIGH,240,120,156,0.4807692307692308,-43.18079748003921,-0.2767999838464052,0.8653041199062412,90.83090909523813,8,71,-0.7021762904666435,0.6550994524888689,85,0.07851434285991152,1.0379118733613535,-0.7021762904666435,2,False
DRIVE_UP__EXT_HIGH,240,240,156,0.5576923076923077,-36.587357560718054,-0.23453434333793624,0.9039526454368587,93.47144627750114,7,71,-0.2315202568035052,0.8984679209914128,85,-0.2370519920902258,0.9080067263950087,-0.2370519920902258,1,False
DRIVE_UP__EXT_HIGH,240,360,156,0.6089743589743589,82.08188086593813,0.5261659029867829,1.1713998509126418,123.12621268228828,8,71,0.09201061233766503,1.028876458433095,85,0.8888132634113401,1.2990148890305464,0.09201061233766503,3,False
DRIVE_UP__EXT_HIGH,240,480,156,0.5256410256410257,-77.09579731318787,-0.4942038289306915,0.8959387423566282,338.8092681659666,10,71,-1.1779730290020176,0.7649656745366873,85,0.07694456171712222,1.016986741072687,-1.1779730290020176,3,False
DRIVE_UP__EXT_HIGH,360,120,157,0.4394904458598726,-59.147289756697404,-0.37673432966049303,0.8235000311241074,99.50961472195435,14,78,-0.5705334033553707,0.7066470361107726,79,-0.185388408797196,0.9201488502729892,-0.5705334033553707,1,False
DRIVE_UP__EXT_HIGH,360,240,157,0.49044585987261147,-92.98072514158275,-0.5922339180992532,0.7852987512708337,120.56884905930261,16,78,-0.8184970711253555,0.6963521576519951,79,-0.3688348556177851,0.8692295580413479,-0.8184970711253555,0,False
DRIVE_UP__EXT_HIGH,360,360,157,0.535031847133758,2.1713046743148254,0.013829966078438378,1.0042401191537238,137.7418394176915,11,78,-0.8924162824645441,0.7170340046062513,79,0.9086047431208766,1.2697576225739469,-0.8924162824645441,2,False
DRIVE_UP__EXT_HIGH,360,480,157,0.4968152866242038,-120.60309713590809,-0.7681725932223445,0.8265727154766382,328.85455435368385,15,78,-2.6817786227961102,0.37851564648613156,79,1.1212105752175758,1.2468450429104583,-2.6817786227961102,1,False
DRIVE_UP__STR_B0_20,60,120,94,0.32978723404255317,-228.43808693711418,-2.430192414224619,0.19966876315944412,230.97844814810557,14,28,-4.787976946303798,0.10278137374220914,66,-1.4299201884940578,0.306110858091484,-4.787976946303798,0,False
DRIVE_UP__STR_B0_20,60,240,94,0.3829787234042553,-191.6712275571547,-2.0390556123101566,0.36444274293042045,210.52511257678117,6,28,-5.089315240594972,0.11065738159288827,66,-0.7450060730378103,0.6521327012626057,-5.089315240594972,0,False
DRIVE_UP__STR_B0_20,60,360,94,0.4574468085106383,-163.5802131745098,-1.7402150337713809,0.5691889775357379,184.13761874838548,9,28,-4.898957356809187,0.22183762752570071,66,-0.4001425330886745,0.8701778832531023,-4.898957356809187,0,False
DRIVE_UP__STR_B0_20,60,480,94,0.4148936170212766,-240.6939780304496,-2.5605742343664852,0.5312392251658453,258.4091850386534,8,28,-6.278588669499194,0.17853182044469204,66,-0.9832347770374578,0.7832990268756038,-6.278588669499194,0,False
DRIVE_UP__STR_B0_20,120,120,96,0.3645833333333333,-72.58324743070179,-0.7560754940698103,0.6115553442016135,92.23007885882542,9,27,0.0479333705060466,1.0274815629410632,69,-1.0706876584690588,0.47140781206536325,-1.0706876584690588,0,False
DRIVE_UP__STR_B0_20,120,240,96,0.4583333333333333,-117.00005020886304,-1.2187505230089901,0.5367792736009546,150.79051507519748,8,27,-1.233739312780858,0.6235992530867853,69,-1.2128853444026069,0.48995203477187516,-1.233739312780858,0,False
DRIVE_UP__STR_B0_20,120,360,96,0.5625,-35.525313262251075,-0.370055346481782,0.8806872034678397,97.07532920035831,5,27,-0.8074185114545492,0.7524621748279181,69,-0.19891323844896042,0.9345433105504719,-0.8074185114545492,2,False
DRIVE_UP__STR_B0_20,120,480,96,0.5208333333333334,21.728069594137963,0.22633405827227046,1.0524899999057278,90.85761898481971,8,27,-1.3429164273047935,0.7355956959839146,69,0.840388596106774,1.2094799962421154,-1.3429164273047935,3,False
DRIVE_UP__STR_B0_20,180,120,94,0.35106382978723405,-106.64027826561762,-1.1344710453789109,0.4301887304087921,107.21171126094461,9,31,-1.415472554947542,0.3909311737142011,63,-0.9962004613054576,0.45475961378245294,-1.415472554947542,0,False
DRIVE_UP__STR_B0_20,180,240,94,0.44680851063829785,-126.53028364805094,-1.3460668473196908,0.5155448829584022,141.04629930332547,8,31,-3.3228160110071165,0.21718150159471006,63,-0.3733807509020686,0.8184890995638967,-3.3228160110071165,0,False
DRIVE_UP__STR_B0_20,180,360,94,0.5106382978723404,-38.62938593100264,-0.41095091415960255,0.8715881123862984,141.36551799088812,9,31,-2.8727937435815742,0.3939057310417543,63,0.8004320653972404,1.3276860416556455,-2.8727937435815742,1,False
DRIVE_UP__STR_B0_20,180,480,94,0.4148936170212766,-136.97971950795662,-1.4572310585952832,0.7054443554571751,180.4929886376189,8,31,-4.943606274238122,0.3184489601851262,63,0.2582869046575428,1.0677491857309305,-4.943606274238122,1,False
