partition,dev_block,entry_ts,warning_ts,terminal_label,terminal_event_ts,H,L,R,available_5x1m,ohlc_parity,five_open,five_high,five_low,five_close,agg_open,agg_high,agg_low,agg_close
development,2.0,2023-02-17 17:05:00+00:00,2023-02-17 17:05:00+00:00,FAILED_BREAK,2023-02-17 17:50:00+00:00,22.986,22.435,0.5510000000000019,True,True,22.884,23.086,22.884,23.016,22.884,23.086,22.884,23.016
development,2.0,2023-02-18 15:00:00+00:00,2023-02-18 15:25:00+00:00,RECOVER_E40,2023-02-18 15:50:00+00:00,23.365,22.931,0.4339999999999975,True,True,23.425,23.432,23.379,23.396,23.425,23.432,23.379,23.396
development,2.0,2023-02-19 15:10:00+00:00,2023-02-19 15:10:00+00:00,FAILED_BREAK,2023-02-19 15:20:00+00:00,24.539,23.497,1.0420000000000016,True,True,24.363,24.79,24.363,24.622,24.363,24.79,24.363,24.622
development,2.0,2023-02-22 18:05:00+00:00,2023-02-22 18:05:00+00:00,FAILED_BREAK,2023-02-22 18:55:00+00:00,23.8,23.2,0.6000000000000014,True,True,23.743,23.841,23.741,23.827,23.743,23.841,23.741,23.827
development,2.0,2023-02-27 15:05:00+00:00,2023-02-27 15:10:00+00:00,FAILED_BREAK,2023-02-27 15:20:00+00:00,23.32,22.612,0.708000000000002,True,True,23.306,23.37,23.292,23.368,23.306,23.37,23.292,23.368
development,2.0,2023-03-02 19:00:00+00:00,2023-03-02 19:00:00+00:00,FAILED_BREAK,2023-03-02 19:10:00+00:00,22.096,21.654,0.4420000000000001,True,True,22.061,22.148,22.045,22.105,22.061,22.148,22.045,22.105
development,2.0,2023-03-12 17:25:00+00:00,2023-03-12 17:25:00+00:00,RECOVER_E40,2023-03-12 17:30:00+00:00,18.277,17.776,0.5010000000000012,True,True,17.989,18.41,17.986,18.281,17.989,18.41,17.986,18.281
development,2.0,2023-03-16 19:20:00+00:00,2023-03-16 19:20:00+00:00,FAILED_BREAK,2023-03-16 19:25:00+00:00,19.85,19.018,0.8320000000000007,True,True,19.713,19.91,19.7,19.853,19.713,19.91,19.7,19.853
development,2.0,2023-03-17 21:40:00+00:00,2023-03-17 21:40:00+00:00,FAILED_BREAK,2023-03-17 21:45:00+00:00,20.72,19.8,0.9199999999999982,True,True,20.52,20.811,20.515,20.763,20.52,20.811,20.515,20.763
development,2.0,2023-03-22 15:15:00+00:00,2023-03-22 15:15:00+00:00,FAILED_BREAK,2023-03-22 15:25:00+00:00,22.949,22.095,0.8540000000000028,True,True,22.91,23.094,22.905,22.962,22.91,23.094,22.905,22.962
development,2.0,2023-03-31 15:00:00+00:00,2023-03-31 15:00:00+00:00,FAILED_BREAK,2023-03-31 15:15:00+00:00,20.917,20.206,0.7110000000000021,True,True,20.875,20.951,20.874,20.944,20.875,20.951,20.874,20.944
