zone,filter,partition,raw_n,filtered_n,accepted_n,blocked_open,filter_retention,accepted_retention,zone_wins,zone_wr,zone_pf,zone_expectancy,zone_total_net,portfolio_candidates,portfolio_accepted,portfolio_skipped_open,portfolio_wr,portfolio_pf,portfolio_expectancy,portfolio_total_net
RAW_0530,K1_SECOND_HALF__TOUCH_SECOND_HALF,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,BASE,external,20,20,18,2,1.0,0.9,14,0.7777777777777778,4.00494877367374,1.9660324163201384,35.38858349376249,67,65,2,0.7692307692307693,2.976202954405591,1.9515870937216857,126.85316109190957
RAW_2330,BASE,development,31,31,30,1,1.0,0.967741935483871,20,0.6666666666666666,1.5039322251721263,0.33494823468734186,10.048447040620255,91,90,1,0.6888888888888889,1.4244268351437426,0.48143770796801105,43.32939371712099
RAW_2330,BASE,reference_validation,19,19,19,0,1.0,1.0,14,0.7368421052631579,1.9665617927185992,0.6598140408013458,12.53646677522557,42,42,0,0.8095238095238095,2.426235973958972,0.8043768773361234,33.78382884811718
RAW_2330,BASE,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,TOUCH_FIRST_HALF,external,20,13,13,0,0.65,0.65,11,0.8461538461538461,4.0066884570712835,2.1055997192081835,27.372796349706384,60,60,0,0.7833333333333333,2.9317637158613743,1.9806228991308916,118.8373739478535
RAW_2330,TOUCH_FIRST_HALF,development,31,25,25,0,0.8064516129032258,0.8064516129032258,17,0.68,1.6695366392098234,0.43271280914965826,10.817820228741457,85,85,0,0.6941176470588235,1.4485853934347295,0.5188090224146142,44.09876690524221
RAW_2330,TOUCH_FIRST_HALF,reference_validation,19,14,14,0,0.7368421052631579,0.7368421052631579,11,0.7857142857142857,3.217677626486328,1.02631948678867,14.36847281504138,37,37,0,0.8378378378378378,3.071133390684719,0.9625901321062973,35.615834887933
RAW_2330,TOUCH_FIRST_HALF,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,TOUCH_SECOND_HALF,external,20,7,5,2,0.35,0.25,3,0.6,3.9990231427805623,1.6031574288112196,8.015787144056098,54,52,2,0.75,2.8058975742621857,1.9130839373500617,99.48036474220321
