horizon_bars,horizon_minutes,feature,partition,later_h2_n,failure_n,later_h2_median,failure_median,failure_minus_h2_median_gap,expected_direction_ok,partitions_expected_direction,consistent_3of3
8,40,adverse_close_r,reference_validation,5,5,0.13629737609329445,0.34491249491249965,0.2086151188192052,True,3,True
8,40,adverse_close_r,POOLED_MAJOR,29,29,0.1590772693173433,0.21966980100590794,0.06059253168856463,True,3,True
8,40,favorable_close_r,external,12,10,0.029103343055126588,0.007402330363263153,-0.021701012691863433,True,3,True
8,40,favorable_close_r,development,12,14,0.01004440764714826,0.0,-0.01004440764714826,True,3,True
8,40,favorable_close_r,reference_validation,5,5,0.009048723897910364,0.0,-0.009048723897910364,True,3,True
8,40,favorable_close_r,POOLED_MAJOR,29,29,0.02008881529429652,0.0,-0.02008881529429652,True,3,True
8,40,net_close_progress_r,external,12,10,-0.04704546583586287,-0.13792846301482653,-0.09088299717896367,True,3,True
8,40,net_close_progress_r,development,12,14,-0.07858784065489866,-0.18190053466411715,-0.1033126940092185,True,3,True
8,40,net_close_progress_r,reference_validation,5,5,-0.055701328150311515,-0.20699007294465982,-0.1512887447943483,True,3,True
8,40,net_close_progress_r,POOLED_MAJOR,29,29,-0.06635714939163642,-0.15791342576935946,-0.09155627637772304,True,3,True
8,40,wrong_side_close_fraction,external,12,10,0.875,0.9375,0.0625,True,3,True
8,40,wrong_side_close_fraction,development,12,14,0.9375,1.0,0.0625,True,3,True
8,40,wrong_side_close_fraction,reference_validation,5,5,0.875,1.0,0.125,True,3,True
8,40,wrong_side_close_fraction,POOLED_MAJOR,29,29,0.875,1.0,0.125,True,3,True
8,40,lower_low_step_fraction,external,12,10,0.42857142857142855,0.42857142857142855,0.0,False,1,False
8,40,lower_low_step_fraction,development,12,14,0.42857142857142855,0.2857142857142857,-0.14285714285714285,True,1,False
8,40,lower_low_step_fraction,reference_validation,5,5,0.42857142857142855,0.42857142857142855,0.0,False,1,False
8,40,lower_low_step_fraction,POOLED_MAJOR,29,29,0.42857142857142855,0.42857142857142855,0.0,False,1,False
8,40,higher_high_step_fraction,external,12,10,0.42857142857142855,0.5714285714285714,0.14285714285714285,True,2,False
8,40,higher_high_step_fraction,development,12,14,0.42857142857142855,0.5714285714285714,0.14285714285714285,True,2,False
8,40,higher_high_step_fraction,reference_validation,5,5,0.5714285714285714,0.5714285714285714,0.0,False,2,False
8,40,higher_high_step_fraction,POOLED_MAJOR,29,29,0.42857142857142855,0.5714285714285714,0.14285714285714285,True,2,False
