partition,regime,clock_block,obs_start,obs_end,fraction,entry_label,fill_ts,entry_price,H,L,R4,LOCAL_R,variant,stop_multiple,target_multiple,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,hold_minutes
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,0.05,F05,2022-12-31 20:15:00+00:00,16564.365,16609.3,16562.0,47.29999999999927,2.3650000000016007,S2_T2,2.0,2.0,1.0,16569.095000000005,16559.635,2022-12-31 20:15:00+00:00,16569.095000000005,STOP_FILL_BAR,-0.00028555275134321183,-0.542776375671606,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S1_T1,1.0,1.0,1.0,16625.489999999998,16610.0,2023-01-03 17:20:00+00:00,16625.489999999998,STOP_FILL_BAR,-0.00046606804954577063,-0.6330340247728854,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S1_T1_5,1.0,1.5,1.5,16625.489999999998,16606.127500000002,2023-01-03 17:20:00+00:00,16625.489999999998,STOP_FILL_BAR,-0.00046606804954577063,-0.6330340247728854,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S1_T2,1.0,2.0,2.0,16625.489999999998,16602.255,2023-01-03 17:20:00+00:00,16625.489999999998,STOP_FILL_BAR,-0.00046606804954577063,-0.6330340247728854,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S1_5_T1_5,1.5,1.5,1.0,16629.362499999996,16606.127500000002,2023-01-03 17:20:00+00:00,16629.362499999996,STOP_FILL_BAR,-0.0006991020743185465,-0.7495510371592733,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S1_5_T2,1.5,2.0,1.3333333333333333,16629.362499999996,16602.255,2023-01-03 17:20:00+00:00,16629.362499999996,STOP_FILL_BAR,-0.0006991020743185465,-0.7495510371592733,False,0.0
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,0.05,F05,2023-01-03 17:20:00+00:00,16617.745,16764.9,16610.0,154.90000000000146,7.744999999998981,S2_T2,2.0,2.0,1.0,16633.234999999997,16602.255,2023-01-03 17:45:00+00:00,16602.255,TP,0.0009321360990915413,0.06606804954577061,True,25.0
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S1_T1,1.0,1.0,1.0,16798.390000000003,16777.7,2023-01-04 20:50:00+00:00,16798.390000000003,STOP_FILL_BAR,-0.0006162123106056223,-0.7081061553028112,False,0.0
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S1_T1_5,1.0,1.5,1.5,16798.390000000003,16772.5275,2023-01-04 20:50:00+00:00,16798.390000000003,STOP_FILL_BAR,-0.0006162123106056223,-0.7081061553028112,False,0.0
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S1_T2,1.0,2.0,2.0,16798.390000000003,16767.355,2023-01-04 20:50:00+00:00,16798.390000000003,STOP_FILL_BAR,-0.0006162123106056223,-0.7081061553028112,False,0.0
