partition,tolerance,tol_value,side,signal_ts,entry_ts,swing_level_ts,swing_level,prior_touches,touch_bucket,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
development,TOL_0.10,0.001,LONG,2024-02-15 00:00:00+00:00,2024-02-15 04:00:00+00:00,2024-02-14 12:00:00+00:00,52100.0,0,0,52379.9,51732.6,53674.50000000001,0.01235779373385598,True,2024-02-15 07:40:00+00:00,51732.6,-0.012357793733855926,-6.5788968669279635,SL,220.0
development,TOL_0.10,0.001,LONG,2024-02-26 12:00:00+00:00,2024-02-26 16:00:00+00:00,2024-02-15 00:00:00+00:00,52568.3,5,4+,52872.2,50990.0,56636.59999999999,0.03559904827111407,True,2024-02-27 02:05:00+00:00,56636.59999999999,0.07119809654222808,35.199048271114044,TP_2R,605.0
development,TOL_0.10,0.001,LONG,2024-02-28 04:00:00+00:00,2024-02-28 08:00:00+00:00,2024-02-27 00:00:00+00:00,57780.0,0,0,58299.9,56932.2,61035.30000000001,0.023459731491820814,True,2024-02-28 13:25:00+00:00,61035.30000000001,0.04691946298364158,23.05973149182079,TP_2R,325.0
development,TOL_0.10,0.001,LONG,2024-03-04 08:00:00+00:00,2024-03-04 12:00:00+00:00,2024-02-28 16:00:00+00:00,64300.0,1,1,65313.9,64078.2,67785.30000000002,0.018919403067341016,True,2024-03-04 20:35:00+00:00,67785.30000000002,0.03783880613468216,18.51940306734108,TP_2R,515.0
development,TOL_0.10,0.001,LONG,2024-03-08 16:00:00+00:00,2024-03-08 20:00:00+00:00,2024-03-05 00:00:00+00:00,68824.7,2,2,68921.9,66120.0,74525.69999999998,0.04065326115501741,True,2024-03-15 09:05:00+00:00,66120.0,-0.04065326115501744,-20.72663057750872,SL,9425.0
development,TOL_0.10,0.001,LONG,2024-11-06 00:00:00+00:00,2024-11-06 04:00:00+00:00,2024-03-13 08:00:00+00:00,73755.0,1,1,74367.1,69272.7,84555.90000000002,0.06850341078245634,True,2024-11-11 16:00:00+00:00,84555.90000000002,0.13700682156491273,68.10341078245636,TP_2R,7920.0
development,TOL_0.10,0.001,LONG,2024-11-13 12:00:00+00:00,2024-11-13 16:00:00+00:00,2024-11-11 20:00:00+00:00,89800.0,2,2,92608.0,87551.0,102722.0,0.05460651347615757,True,2024-11-14 21:05:00+00:00,87551.0,-0.054606513476157525,-27.70325673807876,SL,1745.0
development,TOL_0.10,0.001,LONG,2024-11-20 08:00:00+00:00,2024-11-20 12:00:00+00:00,2024-11-13 16:00:00+00:00,93421.1,1,1,93485.2,92730.2,94995.2,0.008076144673167517,True,2024-11-21 01:20:00+00:00,94995.2,0.016152289346335058,7.67614467316753,TP_2R,800.0
development,TOL_0.10,0.001,LONG,2024-11-22 00:00:00+00:00,2024-11-22 04:00:00+00:00,2024-11-21 08:00:00+00:00,98438.9,1,1,98888.9,97860.1,100946.49999999997,0.010403594336674676,True,2024-11-22 13:25:00+00:00,97860.1,-0.010403594336674704,-5.601797168337352,SL,565.0
development,TOL_0.10,0.001,LONG,2024-12-05 00:00:00+00:00,2024-12-05 04:00:00+00:00,2024-11-22 04:00:00+00:00,99537.6,1,1,103084.7,97970.5,113313.09999999999,0.04961163004791203,True,2024-12-05 20:30:00+00:00,97970.5,-0.049611630047912025,-25.20581502395601,SL,990.0
development,TOL_0.10,0.001,LONG,2024-12-16 04:00:00+00:00,2024-12-16 08:00:00+00:00,2024-12-05 00:00:00+00:00,104630.4,1,1,104950.0,104439.3,105971.4,0.0048661267270128355,True,2024-12-16 10:10:00+00:00,104439.3,-0.0048661267270128095,-2.8330633635064046,SL,130.0
development,TOL_0.10,0.001,LONG,2024-12-17 00:00:00+00:00,2024-12-17 04:00:00+00:00,2024-12-16 00:00:00+00:00,106665.8,1,1,106824.4,105623.0,109227.19999999998,0.011246494246632738,True,2024-12-17 22:40:00+00:00,105623.0,-0.01124649424663271,-6.023247123316356,SL,1120.0
reference_validation,TOL_0.10,0.001,LONG,2025-01-03 16:00:00+00:00,2025-01-03 20:00:00+00:00,2025-01-02 20:00:00+00:00,97822.4,0,0,98545.6,97353.6,100929.6,0.012095923105648552,True,2025-01-05 14:15:00+00:00,97353.6,-0.012095923105648554,-6.447961552824277,SL,2535.0
reference_validation,TOL_0.10,0.001,LONG,2025-01-06 00:00:00+00:00,2025-01-06 04:00:00+00:00,2025-01-03 16:00:00+00:00,98949.0,1,1,99005.0,97872.6,101269.79999999999,0.011437806171405426,True,2025-01-06 15:15:00+00:00,101269.79999999999,0.02287561234281088,11.03780617140544,TP_2R,675.0
reference_validation,TOL_0.10,0.001,SHORT,2025-01-09 16:00:00+00:00,2025-01-09 20:00:00+00:00,2025-01-01 08:00:00+00:00,92796.5,2,2,91858.2,94644.8,86284.99999999999,0.030335887269726663,True,2025-01-10 07:40:00+00:00,94644.8,-0.03033588726972658,-15.56794363486329,SL,700.0
reference_validation,TOL_0.10,0.001,SHORT,2025-01-13 08:00:00+00:00,2025-01-13 12:00:00+00:00,2025-01-09 12:00:00+00:00,91747.0,1,1,90827.5,93626.1,85230.29999999999,0.030812253997963238,True,2025-01-13 20:50:00+00:00,93626.1,-0.030812253997963168,-15.806126998981584,SL,530.0
reference_validation,TOL_0.10,0.001,LONG,2025-01-17 12:00:00+00:00,2025-01-17 16:00:00+00:00,2025-01-06 16:00:00+00:00,102444.0,2,2,103946.3,102137.1,107564.7,0.017405140923726935,True,2025-01-19 22:45:00+00:00,102137.1,-0.017405140923726914,-9.102570461863458,SL,3285.0
reference_validation,TOL_0.10,0.001,LONG,2025-01-20 04:00:00+00:00,2025-01-20 08:00:00+00:00,2025-01-19 20:00:00+00:00,106450.0,0,0,107178.8,101519.5,118497.40000000001,0.052802419881543765,True,2025-01-20 17:05:00+00:00,101519.5,-0.05280241988154377,-26.801209940771884,SL,545.0
reference_validation,TOL_0.10,0.001,SHORT,2025-02-25 12:00:00+00:00,2025-02-25 16:00:00+00:00,2025-01-13 12:00:00+00:00,88909.0,1,1,87206.8,89499.9,82620.60000000002,0.026294967823609985,True,2025-02-26 20:15:00+00:00,82620.60000000002,0.05258993564721992,25.89496782360996,TP_2R,1695.0
reference_validation,TOL_0.10,0.001,SHORT,2025-02-28 00:00:00+00:00,2025-02-28 04:00:00+00:00,2025-02-26 20:00:00+00:00,82222.0,0,0,80429.2,84858.6,71570.39999999998,0.05507203851337585,True,2025-02-28 16:40:00+00:00,84858.6,-0.05507203851337583,-27.936019256687914,SL,760.0
reference_validation,TOL_0.10,0.001,SHORT,2025-04-07 00:00:00+00:00,2025-04-07 04:00:00+00:00,2025-02-28 08:00:00+00:00,78200.2,3,3,77669.5,79311.5,74385.5,0.021140859668209527,True,2025-04-07 14:10:00+00:00,79311.5,-0.021140859668209444,-10.970429834104722,SL,610.0
