partition,entry_tf,regime,exit_type,n,win_rate,mean_return,median_return,profit_factor,median_hold_h,median_mfe,median_mae,p90_adverse,max_losing_streak
development,15m,R4,X_COMPOSITE,241,0.22406639004149378,-0.0002720954731719692,-0.0028594075352638137,0.9341807763772065,3.0,0.004792691276465755,-0.004604816104646248,-0.012384850945511339,10
reference_validation,15m,R4,X_COMPOSITE,121,0.2809917355371901,0.0002515915526769873,-0.0022764411523564787,1.0742462173727956,3.75,0.0037513785047087467,-0.004302453453816302,-0.009344349778260264,8
august,15m,R4,X_COMPOSITE,6,0.0,-0.001470955232322065,-0.0014636675055478277,0.0,4.0,0.00204192821705651,-0.0017355619200202788,-0.0027384416258610655,6
external,15m,R1H4,X_ENTRY_STRUCT50,81,0.2839506172839506,0.0001092546168102445,-0.004222707346671961,1.0196434906403986,4.5,0.008058211845136887,-0.007840945728103121,-0.017077495254916086,12
development,15m,R1H4,X_ENTRY_STRUCT50,111,0.25225225225225223,0.00034137595040851875,-0.003104502234450468,1.0723046041860023,4.25,0.0055105049760413305,-0.005320846122388367,-0.014679005540889412,12
reference_validation,15m,R1H4,X_ENTRY_STRUCT50,64,0.28125,-0.00024202592253901901,-0.0043414598867738685,0.9451130365159277,4.5,0.00428623577375109,-0.005429128633844926,-0.01169625312615935,6
august,15m,R1H4,X_ENTRY_STRUCT50,2,0.0,-0.0018255918032253904,-0.0018255918032253904,0.0,4.625,0.003736141197723808,-0.002391822770807739,-0.0031186652962825966,2
external,15m,R1H4,X_1H_WEAK,67,0.29850746268656714,0.003000068152840089,-0.0046958655152744555,1.3599638786241672,11.0,0.012495172216069328,-0.011277729828621741,-0.025306612171841537,9
development,15m,R1H4,X_1H_WEAK,94,0.32978723404255317,0.0016014420589929466,-0.00463923886405293,1.241665576365509,8.5,0.009183770615942777,-0.008644073852101919,-0.023258714204319565,8
reference_validation,15m,R1H4,X_1H_WEAK,57,0.3684210526315789,0.000681436526002873,-0.004837774715400367,1.1238344052388944,8.75,0.007127231483309515,-0.007173913043478253,-0.014870256365516065,6
august,15m,R1H4,X_1H_WEAK,2,0.0,-0.0032709086934177845,-0.0032709086934177845,0.0,7.25,0.003736141197723808,-0.004403950371957122,-0.005004405840175974,2
external,15m,R1H4,X_4H_WEAK,55,0.34545454545454546,0.007973407606172659,-0.011226937345179877,1.4867809674908132,37.25,0.019737295341933025,-0.023644337912045343,-0.05494259680714704,7
development,15m,R1H4,X_4H_WEAK,68,0.3382352941176471,0.006726351933902573,-0.009488988739009663,1.4980797724148962,48.0,0.016113851331822304,-0.020165760520996834,-0.03874371824500509,13
reference_validation,15m,R1H4,X_4H_WEAK,40,0.325,-0.001740369831605687,-0.00970446010883974,0.8211533038097221,44.875,0.020830524521231797,-0.014438997923173436,-0.026149976548870878,6
august,15m,R1H4,X_4H_WEAK,1,0.0,-0.0069715806112186085,-0.0069715806112186085,0.0,119.5,0.011786173958859614,-0.009408234561549045,-0.009408234561549045,1
external,15m,R1H4,X_COMPOSITE,81,0.2839506172839506,0.00012107370291264065,-0.004222707346671961,1.0218148663716184,4.5,0.008058211845136887,-0.007840945728103121,-0.01704327502074099,12
development,15m,R1H4,X_COMPOSITE,111,0.25225225225225223,0.00034137595040851875,-0.003104502234450468,1.0723046041860023,4.25,0.0055105049760413305,-0.005320846122388367,-0.014679005540889412,12
reference_validation,15m,R1H4,X_COMPOSITE,64,0.28125,-0.00024202592253901901,-0.0043414598867738685,0.9451130365159277,4.5,0.00428623577375109,-0.005429128633844926,-0.01169625312615935,6
august,15m,R1H4,X_COMPOSITE,2,0.0,-0.0018255918032253904,-0.0018255918032253904,0.0,4.625,0.003736141197723808,-0.002391822770807739,-0.0031186652962825966,2
