motif,lead_feature,current_feature,lag_min,partition,side,lead_bucket,current_bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,validation_2025,RIGHT,LOW,LOW,3563,0.33595284872298625,0.45719898961549255,-0.1212461408925063,0.2065674992983441,0.000280662363177098,-0.00035752592062909816,0.00786958965711082,-0.010027736291871259
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,validation_2026,LEFT,HIGH,LOW,2533,0.30161863403079353,0.44176865377023294,-0.1401500197394394,0.25582313462297673,0.0007895775759968417,-0.00048814504881444787,0.007288629737609131,-0.009615384615384692
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,30,validation_2026,RIGHT,LOW,LOW,1944,0.21502057613168724,0.4022633744855967,-0.18724279835390945,0.38271604938271603,0.0,-0.0014565444545276418,0.005225369840885619,-0.008603248230753813
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,development,LEFT,HIGH,LOW,8233,0.40204056844406655,0.48512085509534797,-0.08308028665128142,0.11113810275719664,0.001700473703388801,0.00030677871393991474,0.010988056460369267,-0.012523338949861018
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,development,RIGHT,LOW,LOW,7401,0.3895419537900284,0.4533171193082016,-0.06377516551817325,0.15646534252128091,0.0006755843804891231,0.00012062041465066287,0.009648092027954691,-0.01077040698925924
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,validation_2025,LEFT,HIGH,LOW,4133,0.3488991047665134,0.5223808371642874,-0.17348173239777398,0.12751028308734574,0.0012097749818533753,-0.0007458405048768046,0.008874439855900196,-0.012397562513133065
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,validation_2025,RIGHT,LOW,LOW,3509,0.3448275862068966,0.4713593616414933,-0.1265317754345967,0.18381305215161015,0.0,-0.0008160109946744321,0.008063940626561017,-0.010664327593370548
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,validation_2026,LEFT,HIGH,LOW,2501,0.3074770091963215,0.42223110755697724,-0.11475409836065575,0.2686925229908037,0.001599360255897641,-0.0005686341407938889,0.007248611967920926,-0.00914285714285712
D2_Volume_to_OILow,quotevol_z_24h,oi_chg_15m,60,validation_2026,RIGHT,LOW,LOW,1998,0.23573573573573572,0.4039039039039039,-0.16816816816816818,0.35985985985985985,0.0005005005005005005,-0.0009812443747865829,0.005677570154850375,-0.008622707287853859
E1_OI_to_UpImpulse,oi_chg_15m,impulse5m_prev,15,development,LEFT,HIGH,UP_IMPULSE,924,0.4967532467532468,0.474025974025974,0.022727272727272763,0.023809523809523808,0.005411255411255411,0.0010782430227889162,0.018322810980656246,-0.01559227611017966
E1_OI_to_UpImpulse,oi_chg_15m,impulse5m_prev,15,development,RIGHT,LOW,UP_IMPULSE,889,0.5163104611923509,0.45219347581552305,0.06411698537682786,0.01687289088863892,0.014623172103487065,0.002270024862176978,0.01892368559035229,-0.015609160786166254
E1_OI_to_UpImpulse,oi_chg_15m,impulse5m_prev,15,validation_2025,LEFT,HIGH,UP_IMPULSE,297,0.5218855218855218,0.4511784511784512,0.07070707070707066,0.016835016835016835,0.010101010101010102,-0.0017072558373085744,0.015798744908070095,-0.01780574060366813
E1_OI_to_UpImpulse,oi_chg_15m,impulse5m_prev,15,validation_2025,RIGHT,LOW,UP_IMPULSE,318,0.44339622641509435,0.5251572327044025,-0.08176100628930816,0.025157232704402517,0.006289308176100629,0.002155493686400445,0.016099771838651966,-0.014524289444830307
E1_OI_to_UpImpulse,oi_chg_15m,impulse5m_prev,15,validation_2026,LEFT,HIGH,UP_IMPULSE,115,0.4608695652173913,0.4956521739130435,-0.034782608695652195,0.043478260869565216,0.0,-0.0008010486454994581,0.01274395572385667,-0.014343707713125875
