hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
2,1170,150,300,RV_HIGH__RANGE_MID,2024-01-24 19:30:00+00:00,2024-01-25 00:30:00+00:00,3.1458596427927734,2.3958596427927734
2,1185,150,300,RV_HIGH__RANGE_MID,2024-01-24 19:45:00+00:00,2024-01-25 00:45:00+00:00,5.456634118322724,4.706634118322724
2,1140,150,300,RV_HIGH__RANGE_MID,2024-02-20 19:00:00+00:00,2024-02-21 00:00:00+00:00,14.495892176890427,13.745892176890427
2,1170,150,300,RV_HIGH__RANGE_MID,2024-03-07 19:30:00+00:00,2024-03-08 00:30:00+00:00,3.0223216713672114,2.2723216713672114
2,1140,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:00:00+00:00,2024-03-12 00:00:00+00:00,0.8810442589383976,0.13104425893839755
2,1155,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:15:00+00:00,2024-03-12 00:15:00+00:00,3.0295569534548923,2.2795569534548923
2,1170,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:30:00+00:00,2024-03-12 00:30:00+00:00,2.7166279808985605,1.9666279808985605
2,1185,150,300,RV_HIGH__RANGE_MID,2024-03-11 19:45:00+00:00,2024-03-12 00:45:00+00:00,4.542297987598912,3.7922979875989116
2,1170,150,300,RV_HIGH__RANGE_MID,2024-03-18 19:30:00+00:00,2024-03-19 00:30:00+00:00,2.4950057138622808,1.7450057138622808
2,1185,150,300,RV_HIGH__RANGE_MID,2024-03-18 19:45:00+00:00,2024-03-19 00:45:00+00:00,-0.8916476619969167,-1.6416476619969167
2,1185,150,300,RV_HIGH__RANGE_MID,2024-03-22 19:45:00+00:00,2024-03-23 00:45:00+00:00,-0.9292538091912603,-1.6792538091912603
2,1140,150,300,RV_HIGH__RANGE_MID,2024-04-04 19:00:00+00:00,2024-04-05 00:00:00+00:00,-7.76279064266619,-8.51279064266619
2,1140,150,300,RV_HIGH__RANGE_MID,2024-04-10 19:00:00+00:00,2024-04-11 00:00:00+00:00,7.218735255851162,6.468735255851162
2,1155,150,300,RV_HIGH__RANGE_MID,2024-04-10 19:15:00+00:00,2024-04-11 00:15:00+00:00,5.29009799970855,4.54009799970855
2,1155,150,300,RV_HIGH__RANGE_MID,2024-04-16 19:15:00+00:00,2024-04-17 00:15:00+00:00,2.811225322238541,2.061225322238541
