role,partition,dev_block,execution_start,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,signal_ts,confirm_ts,reentry_ts,reentry_price,reentry_R,exit_ts,exit_price,exit_reason,floor_close_ts,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,ref_width_pct,parent_mfe_R,parent_mae_R,parent_hold_min,exit_to_signal_min,signal_to_confirm_min,confirm_to_e20_min,confirm_close_R,confirm_body_R,running_mfe_R_to_confirm,running_mae_R_to_confirm,preconfirm_30m_return_R,preexit_60m_return_R,preexit_60m_range_R,preentry_30m_return_R,preentry_30m_range_R,preentry_60m_return_R,preentry_60m_range_R,last_completed_close_R_before_e20,lane,scope
CENTRAL,external,,2021-09-06 15:00:00+00:00,146.347,135.721,10.626000000000005,2021-09-06 15:10:00+00:00,2021-09-06 15:20:00+00:00,-0.9805462360007455,-1.2305462360007455,2021-09-06 15:30:00+00:00,2021-09-06 15:40:00+00:00,2021-09-06 15:45:00+00:00,148.47220000000002,0.2,2021-09-06 15:55:00+00:00,150.59740000000002,TARGET,,7.156895364923588,6.906895364923588,6.176349128922842,5.676349128922842,True,True,0.072608252987762,0.14313946922642443,0.10511951816299814,10.0,10.0,10.0,5.0,0.2948428383210973,0.02136269527573911,0.31996988518727687,0.07895727460944836,0.26058723884810614,0.1964991530208915,0.3866930171278004,0.32185206098249447,0.3989271597967252,0.4936947110860134,0.555241859589686,0.2948428383210973,G_MAE145,OOS
CENTRAL,reference_validation,,2025-01-22 15:00:00+00:00,264.9,252.08,12.819999999999965,2025-01-22 19:50:00+00:00,2025-01-22 20:05:00+00:00,-0.3963759909399456,-0.6463759909399456,2025-01-22 20:10:00+00:00,2025-01-22 20:20:00+00:00,2025-01-22 20:25:00+00:00,267.46399999999994,0.2,2025-01-22 20:30:00+00:00,270.02799999999996,TARGET,,4.793168426405092,4.543168426405092,4.396792435465146,3.8967924354651466,True,True,0.04839562098905234,0.1638065522620927,0.12636505460218478,15.0,5.0,10.0,5.0,0.18096723868955197,-0.03120124804992031,0.37441497659906586,0.033541341653662335,0.17706708268331084,0.938377535101409,1.0366614664586606,0.15678627145086219,0.4680187207488312,0.8611544461778511,1.126365054602187,0.18096723868955197,G_MAE145,OOS
CENTRAL,reference_validation,,2025-05-04 15:00:00+00:00,146.6,144.57,2.030000000000001,2025-05-04 15:00:00+00:00,2025-05-04 15:45:00+00:00,-0.03410641200540798,-0.284106412005408,2025-05-04 15:50:00+00:00,2025-05-04 16:00:00+00:00,2025-05-04 16:05:00+00:00,147.006,0.2,2025-05-04 16:15:00+00:00,146.7,E10_FLOOR,2025-05-04 16:10:00+00:00,-1.0407738459655147,-1.2907738459655147,-1.0748802579709227,-1.5748802579709227,False,False,0.01384720327421556,0.2857142857142917,0.13300492610836534,45.0,5.0,10.0,5.0,0.2019704433497519,0.1379310344827591,0.22660098522167868,0.13300492610836534,0.14285714285713885,0.24137931034483193,0.4679802955665106,0.17241379310344537,0.359605911330044,0.05911330049261304,0.4187192118226571,0.2019704433497519,G_MAE145,OOS
CENTRAL,reference_validation,,2025-06-19 15:00:00+00:00,146.45,142.84,3.609999999999985,2025-06-19 22:05:00+00:00,2025-06-19 22:25:00+00:00,0.0,-0.25,2025-06-19 22:30:00+00:00,2025-06-19 22:40:00+00:00,2025-06-19 22:45:00+00:00,147.172,0.2,2025-06-19 22:55:00+00:00,146.76,E10_FLOOR,2025-06-19 22:50:00+00:00,-1.399722773353651,-1.649722773353651,-1.399722773353651,-1.899722773353651,False,False,0.024650051212017656,0.05817174515235701,0.14127423822714488,20.0,5.0,10.0,5.0,0.18836565096953176,0.008310249307479574,0.27423822714681806,0.002770083102490567,0.18005540166205217,0.29639889196675834,0.41828254847645346,0.14958448753462444,0.3240997229916876,0.36842105263157604,0.5761772853185575,0.18836565096953176,G_MAE145,OOS
CENTRAL,reference_validation,,2025-07-02 15:00:00+00:00,150.59,147.03,3.5600000000000023,2025-07-02 15:10:00+00:00,2025-07-02 15:30:00+00:00,-0.23241915133803692,-0.4824191513380369,2025-07-02 15:50:00+00:00,2025-07-02 16:00:00+00:00,2025-07-02 16:05:00+00:00,151.302,0.2,2025-07-02 16:10:00+00:00,152.014,TARGET,,2.352910073892045,2.102910073892045,2.120490922554008,1.620490922554008,True,True,0.023640347964672303,0.2219101123595482,0.13202247191011196,20.0,20.0,10.0,5.0,0.2837078651685366,0.10393258426966413,0.2977528089887645,0.13202247191011196,0.2949438202247141,0.26685393258427426,0.654494382022467,0.2977528089887645,0.3483146067415754,0.36797752808988804,0.42977528089887646,0.2837078651685366,G_MAE145,OOS
CENTRAL,reference_validation,,2025-09-26 15:00:00+00:00,198.18,190.72,7.460000000000008,2025-09-26 16:10:00+00:00,2025-09-26 16:35:00+00:00,-0.378443838934317,-0.628443838934317,2025-09-26 16:40:00+00:00,2025-09-26 16:50:00+00:00,2025-09-26 17:00:00+00:00,199.672,0.2,2025-09-26 17:25:00+00:00,201.16400000000002,TARGET,,3.7361272486878816,3.4861272486878816,3.3576834097535646,2.8576834097535646,True,True,0.03764254717933196,0.14209115281501355,0.1005361930294905,25.0,5.0,10.0,10.0,0.14209115281501355,-0.020107238605895052,0.19839142091152656,0.034852546916892636,0.045576407506702825,0.33378016085790974,0.47989276139410303,0.19034852546916703,0.2386058981233243,0.35790884718498456,0.5321715817694362,0.17024128686326817,G_MAE145,OOS
CENTRAL,reference_validation,,2025-10-12 15:00:00+00:00,188.82,178.02,10.799999999999983,2025-10-12 15:05:00+00:00,2025-10-12 15:45:00+00:00,-0.34424319457682095,-0.594243194576821,2025-10-12 15:50:00+00:00,2025-10-12 16:00:00+00:00,2025-10-12 16:05:00+00:00,190.98,0.2,2025-10-12 16:10:00+00:00,193.14,TARGET,,5.655042412818112,5.405042412818112,5.310799218241291,4.810799218241291,True,True,0.057197330791229656,0.24907407407407425,0.13703703703703632,40.0,5.0,10.0,5.0,0.3759259259259267,0.1777777777777769,0.3944444444444469,0.013888888888889436,0.37407407407407395,0.5000000000000013,1.0907407407407426,0.3342592592592584,0.5138888888888907,0.39629629629629703,0.5314814814814831,0.3759259259259267,G_MAE145,OOS
CENTRAL,reference_validation,,2026-07-17 15:00:00+00:00,74.97,73.32,1.6500000000000057,2026-07-17 16:40:00+00:00,2026-07-17 16:55:00+00:00,-0.13338668800849662,-0.3833866880084966,2026-07-17 17:05:00+00:00,2026-07-17 17:15:00+00:00,2026-07-17 17:25:00+00:00,75.3,0.2,2026-07-17 18:20:00+00:00,75.04,E10_FLOOR,2026-07-17 18:15:00+00:00,-1.7264276228419195,-1.9764276228419198,-1.8598143108504162,-2.3598143108504166,False,False,0.02200880352140864,0.07272727272727524,0.10303030303030371,15.0,10.0,10.0,10.0,0.13939393939394132,-0.042424242424238146,0.3696969696969681,0.05454545454545642,0.1333333333333322,0.10303030303030371,0.32727272727272994,0.151515151515151,0.4242424242424245,0.2242424242424176,0.5878787878787851,0.11515151515151338,G_MAE145,OOS
CLOCK_SUPPORT,external,,2020-09-21 16:00:00+00:00,2.7324,2.4576,0.2748000000000004,2020-09-21 18:10:00+00:00,2020-09-21 18:40:00+00:00,-0.27448397013613013,-0.5244839701361301,2020-09-21 18:50:00+00:00,2020-09-21 19:00:00+00:00,2020-09-21 19:05:00+00:00,2.78736,0.2,2020-09-21 20:10:00+00:00,2.8423200000000004,TARGET,,9.85879111417265,9.608791114172648,9.58430714403652,9.084307144036519,True,True,0.10057092665788331,0.09425036390101892,0.02729257641921497,30.0,10.0,10.0,5.0,0.24999999999999878,0.09679767103347779,0.25254730713245926,0.02729257641921497,0.2416302765647733,0.05494905385735033,0.19359534206695883,0.25982532751091714,0.2798398835516743,0.2583697234352243,0.2922125181950515,0.24999999999999878,G_MAE145,OOS
CLOCK_SUPPORT,external,,2021-07-25 16:00:00+00:00,28.444,26.526,1.9179999999999993,2021-07-26 00:20:00+00:00,2021-07-26 00:30:00+00:00,-0.33398959358738045,-0.5839895935873805,2021-07-26 00:35:00+00:00,2021-07-26 00:45:00+00:00,2021-07-26 00:50:00+00:00,28.8276,0.2,2021-07-26 00:55:00+00:00,29.211199999999998,TARGET,,6.653346098877466,6.403346098877466,6.319356505290086,5.819356505290086,True,True,0.06743074110532975,0.09906152241918736,0.06517205422314915,10.0,5.0,10.0,5.0,0.29197080291970934,0.13138686131386995,0.31074035453597515,0.011991657977059278,0.33263816475495406,0.35766423357664245,0.42231491136600574,0.2825860271115755,0.3759124087591243,0.49530761209593493,0.540145985401459,0.29197080291970934,G_MAE145,OOS
CLOCK_SUPPORT,external,,2021-09-02 16:00:00+00:00,123.66,114.5,9.159999999999997,2021-09-02 16:45:00+00:00,2021-09-02 17:05:00+00:00,-1.9731521914927996,-2.2231521914928,2021-09-02 17:10:00+00:00,2021-09-02 17:20:00+00:00,2021-09-02 17:25:00+00:00,125.49199999999999,0.2,2021-09-02 17:30:00+00:00,127.324,TARGET,,7.299270072992692,7.049270072992692,5.326117881499892,4.826117881499892,True,True,0.07407407407407404,0.1281659388646296,0.13438864628820907,20.0,5.0,10.0,5.0,0.12947598253275192,0.07598253275109151,0.17194323144104842,0.06331877729257626,0.08897379912663735,0.3335152838427956,0.47314410480349395,0.094323144104804,0.2822052401746719,0.3528384279475983,0.4982532751091697,0.12947598253275192,G_MAE145,OOS
CLOCK_SUPPORT,reference_validation,,2025-01-22 16:00:00+00:00,264.9,252.08,12.819999999999965,2025-01-22 19:50:00+00:00,2025-01-22 20:05:00+00:00,-0.3963759909399456,-0.6463759909399456,2025-01-22 20:10:00+00:00,2025-01-22 20:20:00+00:00,2025-01-22 20:25:00+00:00,267.46399999999994,0.2,2025-01-22 20:30:00+00:00,270.02799999999996,TARGET,,4.793168426405092,4.543168426405092,4.396792435465146,3.8967924354651466,True,True,0.04839562098905234,0.1638065522620927,0.12636505460218478,15.0,5.0,10.0,5.0,0.18096723868955197,-0.03120124804992031,0.37441497659906586,0.033541341653662335,0.17706708268331084,0.938377535101409,1.0366614664586606,0.15678627145086219,0.4680187207488312,0.8611544461778511,1.126365054602187,0.18096723868955197,G_MAE145,OOS
