partition,mode,depth,depth_name,opportunities,n,exec_rate,wr,pf,exp,net,max_ls,median_actual_f,median_mae_r,median_mfe_r,tp_rate
development,BLIND_LIMIT,0.7,F70,173,62,0.3583815028901734,0.6451612903225806,1.0829075509086703,0.1955581021919112,12.124602335898494,3,0.7,0.2974644985974757,0.4161631131927384,0.5967741935483871
development,BLIND_LIMIT,0.725,F72.5,173,63,0.36416184971098264,0.6825396825396826,1.1776350542811684,0.3771668513470907,23.761511634866714,3,0.7250000000000003,0.2733946566674501,0.40236660929432877,0.6349206349206349
development,BLIND_LIMIT,0.75,F75,173,65,0.37572254335260113,0.6923076923076923,1.0816821753098027,0.17403342795442162,11.312172817037405,3,0.75,0.2735732009925558,0.3773666092943229,0.6461538461538462
development,BLIND_LIMIT,0.775,F77.5,173,67,0.3872832369942196,0.7164179104477612,1.0258085597868567,0.055437124561057614,3.71428734559086,3,0.7750000000000004,0.2417807242657508,0.353725616397663,0.6567164179104478
development,BLIND_LIMIT,0.8,F80,173,69,0.3988439306358382,0.7536231884057971,1.045056209480992,0.09148046870030371,6.3121523403209565,3,0.8,0.22766602369799332,0.3353383458646636,0.6956521739130435
development,BLIND_NEXT_OPEN,0.65,F65,173,52,0.30057803468208094,0.5961538461538461,1.3412157881494156,0.7915492682515276,41.16056194907944,3,0.6376442357411243,0.2942751314725002,0.45073487040306315,0.5384615384615384
development,BLIND_NEXT_OPEN,0.675,F67.5,173,57,0.32947976878612717,0.631578947368421,1.4284937047759148,0.9248262227173288,52.715094694887746,3,0.6639655750530901,0.27863894139886364,0.4216324486730126,0.5789473684210527
development,BLIND_NEXT_OPEN,0.7,F70,173,62,0.3583815028901734,0.6451612903225806,1.246705427993202,0.5407312520201933,33.525337625251986,3,0.7006303488794301,0.25544922720308627,0.38910097122386117,0.5967741935483871
development,BLIND_NEXT_OPEN,0.725,F72.5,173,63,0.36416184971098264,0.6825396825396826,1.264947148122741,0.5429444152370019,34.20549815993112,3,0.7297762478485454,0.22855843565257072,0.37191770064394586,0.6349206349206349
development,BLIND_NEXT_OPEN,0.75,F75,173,65,0.37572254335260113,0.6923076923076923,1.1367652611920949,0.2776877674251227,18.049704882632973,3,0.7464476021314368,0.259589652096349,0.3660490736104124,0.6461538461538462
