partition,seed_ts,anchor_4h_ts,on_1d,stage_index,ret72,eventually_d1,positive72,good_d1_72h,m15_fast_gap,m15_slow_gap,m15_price_pos,m15_bull,h1_fast_gap,h1_slow_gap,h1_price_pos,h1_bull,h4_fast_gap,h4_slow_gap,h4_price_pos,h4_bull,d1_fast_gap,d1_slow_gap,d1_price_pos,d1_bull,score
reference_validation,2025-11-23 10:05:00+00:00,2025-11-30 08:00:00+00:00,,3,0.008539339389470824,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 10:40:00+00:00,2025-11-30 08:00:00+00:00,,3,0.006792995810947167,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 11:55:00+00:00,2025-11-30 08:00:00+00:00,,3,0.008802088104368222,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 13:20:00+00:00,2025-11-30 08:00:00+00:00,,3,0.0007578996014094841,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 13:50:00+00:00,2025-11-30 08:00:00+00:00,,3,0.0013163107368574511,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 14:25:00+00:00,2025-11-30 08:00:00+00:00,,3,0.0060743432246157525,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 15:40:00+00:00,2025-11-30 08:00:00+00:00,,3,0.001255814755823259,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-23 18:35:00+00:00,2025-11-30 08:00:00+00:00,,3,0.033392725767886544,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-24 03:30:00+00:00,2025-11-30 08:00:00+00:00,,3,0.042358056663149846,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-24 16:15:00+00:00,2025-11-30 08:00:00+00:00,,3,0.050038405155388155,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-24 20:30:00+00:00,2025-11-30 08:00:00+00:00,,3,0.028706146670028243,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-25 13:35:00+00:00,2025-11-30 08:00:00+00:00,,3,0.04635743429373829,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
