tf,transition,partition,setup_status,exit_reason,n
1h,LONDON_TO_NEWYORK,development,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
1h,LONDON_TO_NEWYORK,development,SIGNAL,SL_RANGE_EDGE,132
1h,LONDON_TO_NEWYORK,development,SIGNAL,TIME_EXIT_SESSION_END,39
1h,LONDON_TO_NEWYORK,development,SIGNAL,TP_RANGE_EDGE,99
1h,LONDON_TO_NEWYORK,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,91
1h,LONDON_TO_NEWYORK,external,NO_RETEST,NO_RETEST,63
1h,LONDON_TO_NEWYORK,external,SIGNAL,NO_FILL_MIDPOINT,11
1h,LONDON_TO_NEWYORK,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,251
1h,LONDON_TO_NEWYORK,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
1h,LONDON_TO_NEWYORK,external,SIGNAL,SL_RANGE_EDGE,34
1h,LONDON_TO_NEWYORK,external,SIGNAL,TIME_EXIT_SESSION_END,31
1h,LONDON_TO_NEWYORK,external,SIGNAL,TP_RANGE_EDGE,40
1h,LONDON_TO_NEWYORK,reference_validation,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,6
1h,LONDON_TO_NEWYORK,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,69
1h,LONDON_TO_NEWYORK,reference_validation,NO_RETEST,NO_RETEST,3
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,NO_FILL_MIDPOINT,4
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,174
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_RANGE_EDGE,70
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,7
1h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TP_RANGE_EDGE,76
4h,ASIA_TO_LONDON,august,NO_RETEST,NO_RETEST,1
4h,ASIA_TO_LONDON,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,7
4h,ASIA_TO_LONDON,august,SIGNAL,SL_RANGE_EDGE,4
4h,ASIA_TO_LONDON,august,SIGNAL,TIME_EXIT_SESSION_END,2
4h,ASIA_TO_LONDON,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,3
4h,ASIA_TO_LONDON,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,61
4h,ASIA_TO_LONDON,development,NO_RETEST,NO_RETEST,111
4h,ASIA_TO_LONDON,development,SIGNAL,NO_FILL_MIDPOINT,65
4h,ASIA_TO_LONDON,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,330
4h,ASIA_TO_LONDON,development,SIGNAL,SL_RANGE_EDGE,65
4h,ASIA_TO_LONDON,development,SIGNAL,SL_SAME_5M_CONSERVATIVE,1
4h,ASIA_TO_LONDON,development,SIGNAL,TIME_EXIT_SESSION_END,95
4h,ASIA_TO_LONDON,development,SIGNAL,TP_RANGE_EDGE,51
4h,ASIA_TO_LONDON,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,78
4h,ASIA_TO_LONDON,external,NO_RETEST,NO_RETEST,72
4h,ASIA_TO_LONDON,external,SIGNAL,NO_FILL_MIDPOINT,37
4h,ASIA_TO_LONDON,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,232
4h,ASIA_TO_LONDON,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,1
4h,ASIA_TO_LONDON,external,SIGNAL,SL_RANGE_EDGE,35
4h,ASIA_TO_LONDON,external,SIGNAL,TIME_EXIT_SESSION_END,37
4h,ASIA_TO_LONDON,external,SIGNAL,TP_RANGE_EDGE,31
4h,ASIA_TO_LONDON,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,31
4h,ASIA_TO_LONDON,reference_validation,NO_RETEST,NO_RETEST,45
4h,ASIA_TO_LONDON,reference_validation,SIGNAL,NO_FILL_MIDPOINT,35
4h,ASIA_TO_LONDON,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,198
4h,ASIA_TO_LONDON,reference_validation,SIGNAL,SL_RANGE_EDGE,33
4h,ASIA_TO_LONDON,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,49
4h,ASIA_TO_LONDON,reference_validation,SIGNAL,TP_RANGE_EDGE,20
4h,LONDON_TO_NEWYORK,august,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,3
4h,LONDON_TO_NEWYORK,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,6
4h,LONDON_TO_NEWYORK,august,SIGNAL,SL_RANGE_EDGE,1
4h,LONDON_TO_NEWYORK,august,SIGNAL,TIME_EXIT_SESSION_END,2
4h,LONDON_TO_NEWYORK,august,SIGNAL,TP_RANGE_EDGE,2
4h,LONDON_TO_NEWYORK,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,10
4h,LONDON_TO_NEWYORK,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,132
4h,LONDON_TO_NEWYORK,development,NO_RETEST,NO_RETEST,20
4h,LONDON_TO_NEWYORK,development,SIGNAL,NO_FILL_MIDPOINT,10
4h,LONDON_TO_NEWYORK,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,338
4h,LONDON_TO_NEWYORK,development,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
4h,LONDON_TO_NEWYORK,development,SIGNAL,SL_RANGE_EDGE,132
4h,LONDON_TO_NEWYORK,development,SIGNAL,TIME_EXIT_SESSION_END,39
4h,LONDON_TO_NEWYORK,development,SIGNAL,TP_RANGE_EDGE,99
4h,LONDON_TO_NEWYORK,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,91
4h,LONDON_TO_NEWYORK,external,NO_RETEST,NO_RETEST,63
4h,LONDON_TO_NEWYORK,external,SIGNAL,NO_FILL_MIDPOINT,11
4h,LONDON_TO_NEWYORK,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,251
4h,LONDON_TO_NEWYORK,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
4h,LONDON_TO_NEWYORK,external,SIGNAL,SL_RANGE_EDGE,34
4h,LONDON_TO_NEWYORK,external,SIGNAL,TIME_EXIT_SESSION_END,31
4h,LONDON_TO_NEWYORK,external,SIGNAL,TP_RANGE_EDGE,40
4h,LONDON_TO_NEWYORK,reference_validation,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,6
4h,LONDON_TO_NEWYORK,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,69
4h,LONDON_TO_NEWYORK,reference_validation,NO_RETEST,NO_RETEST,3
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,NO_FILL_MIDPOINT,4
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,174
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_RANGE_EDGE,70
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,7
4h,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TP_RANGE_EDGE,76
5m,ASIA_TO_LONDON,august,NO_RETEST,NO_RETEST,1
5m,ASIA_TO_LONDON,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,7
5m,ASIA_TO_LONDON,august,SIGNAL,SL_RANGE_EDGE,4
5m,ASIA_TO_LONDON,august,SIGNAL,TIME_EXIT_SESSION_END,2
5m,ASIA_TO_LONDON,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,3
5m,ASIA_TO_LONDON,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,61
5m,ASIA_TO_LONDON,development,NO_RETEST,NO_RETEST,111
5m,ASIA_TO_LONDON,development,SIGNAL,NO_FILL_MIDPOINT,65
5m,ASIA_TO_LONDON,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,330
5m,ASIA_TO_LONDON,development,SIGNAL,SL_RANGE_EDGE,65
5m,ASIA_TO_LONDON,development,SIGNAL,SL_SAME_5M_CONSERVATIVE,1
5m,ASIA_TO_LONDON,development,SIGNAL,TIME_EXIT_SESSION_END,95
5m,ASIA_TO_LONDON,development,SIGNAL,TP_RANGE_EDGE,51
5m,ASIA_TO_LONDON,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,78
5m,ASIA_TO_LONDON,external,NO_RETEST,NO_RETEST,72
5m,ASIA_TO_LONDON,external,SIGNAL,NO_FILL_MIDPOINT,37
5m,ASIA_TO_LONDON,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,232
