local_date,partition,london_open_utc,ny_open_utc,ny_close_utc,london_utc_offset_hours,ny_utc_offset_hours,reference_minutes,reference_bars,duration_regime,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2020-04-27,external,2020-04-27 07:00:00+00:00,2020-04-27 13:30:00+00:00,2020-04-27 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.395,16.097,0.29799999999999827,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-04-27 13:30:00+00:00,
2020-04-28,external,2020-04-28 07:00:00+00:00,2020-04-28 13:30:00+00:00,2020-04-28 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.44,16.25,0.19000000000000128,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-28 14:55:00+00:00,
2020-04-29,external,2020-04-29 07:00:00+00:00,2020-04-29 13:30:00+00:00,2020-04-29 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.13,16.532,0.597999999999999,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-29 16:20:00+00:00,
2020-04-30,external,2020-04-30 07:00:00+00:00,2020-04-30 13:30:00+00:00,2020-04-30 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.799,16.32,1.4789999999999992,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-05-01,external,2020-05-01 07:00:00+00:00,2020-05-01 13:30:00+00:00,2020-05-01 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.838,17.27,0.5680000000000014,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-05-01 13:30:00+00:00,
2020-05-04,external,2020-05-04 07:00:00+00:00,2020-05-04 13:30:00+00:00,2020-05-04 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.816,16.327,0.4889999999999972,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-04 13:45:00+00:00,
2020-05-05,external,2020-05-05 07:00:00+00:00,2020-05-05 13:30:00+00:00,2020-05-05 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.229,16.606,0.6229999999999976,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-05-05 15:00:00+00:00,
2020-05-06,external,2020-05-06 07:00:00+00:00,2020-05-06 13:30:00+00:00,2020-05-06 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.139,16.8,0.33899999999999864,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-05-06 19:40:00+00:00,
2020-05-07,external,2020-05-07 07:00:00+00:00,2020-05-07 13:30:00+00:00,2020-05-07 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.662,16.379,0.2829999999999977,True,,1,0,2020-05-07 14:10:00+00:00,2020-05-07 14:15:00+00:00,True,2020-05-07 14:20:00+00:00,2020-05-07 14:25:00+00:00,H2_ARRIVAL,2020-05-07 14:25:00+00:00,5.0
2020-05-08,external,2020-05-08 07:00:00+00:00,2020-05-08 13:30:00+00:00,2020-05-08 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.077,16.817,0.26000000000000156,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-08 16:15:00+00:00,
2020-05-11,external,2020-05-11 07:00:00+00:00,2020-05-11 13:30:00+00:00,2020-05-11 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.322,14.563,0.7589999999999986,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-11 16:35:00+00:00,
2020-05-12,external,2020-05-12 07:00:00+00:00,2020-05-12 13:30:00+00:00,2020-05-12 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.98,15.264,0.7160000000000011,True,,1,0,2020-05-12 13:55:00+00:00,2020-05-12 14:00:00+00:00,False,,,BREAK_DURING_K1,2020-05-12 14:00:00+00:00,
2020-05-13,external,2020-05-13 07:00:00+00:00,2020-05-13 13:30:00+00:00,2020-05-13 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.116,15.627,0.488999999999999,True,,1,0,2020-05-13 14:00:00+00:00,2020-05-13 14:05:00+00:00,True,2020-05-13 14:05:00+00:00,2020-05-13 14:10:00+00:00,H2_ARRIVAL,2020-05-13 14:10:00+00:00,5.0
2020-05-14,external,2020-05-14 07:00:00+00:00,2020-05-14 13:30:00+00:00,2020-05-14 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.693,16.175,0.5180000000000007,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-14 17:30:00+00:00,
