role,partition,dev_block,execution_start,episode_class,loss_class,H,L,R,h2_exit_ts,has_reclaim,reclaim_ts,reclaim_min,initial_consecutive_closes_above_H,first_failure_min,max_close_R_before_first_failure,max_high_R_before_first_failure,max_adverse_R_before_first_failure,E40_before_first_failure,E40_eventually_after_reclaim,reclaim_failure_cycles
CENTRAL,development,3.0,2023-07-06 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,20.066,18.803,1.262999999999998,2023-07-07 00:25:00+00:00,True,2023-07-07 00:40:00+00:00,15.0,2.0,10.0,0.05621536025336629,0.11243072050672977,0.07680126682501814,False,False,4.0
CENTRAL,development,3.0,2023-07-10 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,21.3,20.764,0.5360000000000014,2023-07-10 22:40:00+00:00,True,2023-07-10 23:00:00+00:00,20.0,6.0,30.0,0.16231343283582,0.3059701492537267,0.12873134328358002,False,True,6.0
CENTRAL,development,3.0,2023-07-18 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,25.7,24.8,0.8999999999999986,2023-07-19 00:40:00+00:00,True,2023-07-19 00:40:00+00:00,0.0,79.0,,0.8766666666666697,0.9877777777777786,0.0488888888888895,True,True,1.0
CENTRAL,development,3.0,2023-07-25 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,23.58,23.063,0.5169999999999995,2023-07-26 03:35:00+00:00,True,2023-07-26 03:40:00+00:00,5.0,1.0,5.0,0.01547388781431853,0.04255319148936565,0.09864603481624455,False,True,6.0
CENTRAL,development,3.0,2023-07-29 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,25.345,24.9,0.4450000000000003,2023-07-30 07:25:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,3.0,2023-08-08 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,24.253,23.214,1.0390000000000017,2023-08-09 02:30:00+00:00,True,2023-08-09 03:15:00+00:00,45.0,43.0,,0.2540904716073137,0.26179018286814054,0.006737247353225638,False,False,1.0
CENTRAL,development,3.0,2023-08-12 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,24.788,24.491,0.2970000000000006,2023-08-12 21:00:00+00:00,True,2023-08-12 21:35:00+00:00,35.0,1.0,5.0,0.05387205387204783,0.057239057239055306,0.12794612794612856,False,True,6.0
CENTRAL,development,3.0,2023-09-10 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,18.388,17.733,0.6550000000000011,2023-09-10 22:50:00+00:00,True,2023-09-11 05:55:00+00:00,425.0,1.0,5.0,0.010687022900760129,0.044274809160305136,0.1297709923664133,False,False,1.0
CENTRAL,development,3.0,2023-09-19 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L1_NEVER_BREAK_TIME,20.162,19.804,0.3580000000000005,2023-09-20 14:20:00+00:00,True,2023-09-20 14:20:00+00:00,0.0,21.0,105.0,0.41620111731843773,0.6089385474860326,0.07821229050278954,True,True,4.0
CENTRAL,development,3.0,2023-09-23 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,19.449,19.28,0.1690000000000004,2023-09-23 19:15:00+00:00,True,2023-09-23 19:15:00+00:00,0.0,1.0,5.0,0.10059171597632793,0.13609467455621085,0.10650887573964875,False,True,9.0
CENTRAL,development,3.0,2023-09-27 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,19.284,18.755,0.5289999999999999,2023-09-28 01:05:00+00:00,True,2023-09-28 01:20:00+00:00,15.0,3.0,15.0,0.09829867674858149,0.13610586011342674,0.060491493383742975,False,False,3.0
CENTRAL,development,3.0,2023-10-04 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,23.148,22.543,0.6050000000000004,2023-10-04 22:25:00+00:00,True,2023-10-04 22:25:00+00:00,0.0,13.0,65.0,0.20330578512396863,0.24958677685950362,0.013223140495866302,False,True,3.0
CENTRAL,development,3.0,2023-10-09 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L1_NEVER_BREAK_TIME,22.374,21.5,0.8739999999999988,2023-10-10 08:25:00+00:00,True,2023-10-10 08:30:00+00:00,5.0,1.0,5.0,0.024027459954234352,0.029748283752860226,0.0732265446224258,False,False,2.0
CENTRAL,development,3.0,2023-10-12 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L1_NEVER_BREAK_TIME,21.455,20.82,0.634999999999998,2023-10-13 12:05:00+00:00,True,2023-10-13 12:10:00+00:00,5.0,26.0,130.0,0.21417322834646174,0.22834645669291903,0.04724409448818532,False,False,2.0
CENTRAL,development,3.0,2023-10-15 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,21.908,21.64,0.2680000000000007,2023-10-15 19:05:00+00:00,True,2023-10-15 19:05:00+00:00,0.0,5.0,25.0,0.17537313432834672,0.2537313432835734,0.13432835820895997,False,True,4.0
CENTRAL,development,3.0,2023-10-22 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L3_BREAK_FAST_FAIL_10M,28.895,28.28,0.6149999999999984,2023-10-22 20:55:00+00:00,True,2023-10-22 20:55:00+00:00,0.0,2.0,10.0,0.06178861788617943,0.11544715447154746,0.05203252032520343,False,True,6.0
