role,partition,loss_class,episode_class,n,gross_loss,gross_loss_5bps,median_loss,q90_loss,h2_eligible_rate,latent_target_rate
CLOCK_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,26,148.64358268455643,160.89358268455646,2.0433508362566464,17.48814514325481,0.8846153846153846,0.0
CLOCK_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,5,84.68571507949592,86.93571507949592,10.838572262874047,33.82220338491473,0.8,1.0
CLOCK_SUPPORT,external,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,8,42.06155395386685,46.06155395386685,2.1806025702876264,11.00461708772692,1.0,0.0
CLOCK_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,18,42.29010896291302,50.29010896291302,2.5081401500176015,3.662840653728151,0.7777777777777778,1.0
CLOCK_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,15,49.14373125736854,55.89373125736854,2.0422611915913436,7.066681573370914,0.8,1.0
CLOCK_SUPPORT,external,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,4,30.944623708237636,32.194623708237636,8.926442120600786,12.443620733455463,0.25,1.0
CLOCK_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,12,56.88709735952979,61.88709735952979,1.6071876764674196,8.111079854217612,0.6666666666666666,0.0
CLOCK_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,15,12.363353471859407,18.86335347185941,0.7062944965531837,1.5126553496073833,0.7333333333333333,1.0
CLOCK_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,22,136.16785446431942,141.91785446431942,5.4310303623640035,10.497810098601047,0.045454545454545456,0.0
CLOCK_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,10,9.782133368757995,14.032133368757995,0.700218686130516,2.081226200438163,0.7,0.0
