episode_id,partition,origin_state,outcome,transition,resume,n_intervals,first_sideways_ts,age2_source_start,age2_source_end,frozen_boundary,path_class,first_break_pos,first_reclaim_pos,first_rebreak_pos,break_to_reclaim_min,reclaim_to_rebreak_min,confirmation_bar_start,confirmation_complete_ts,eligible_open_ts,exit_effective_ts,confirmation_to_exit_hours,eligible_before_exit,age2_final_4h_beyond
663,development,BEAR,TRANSITION,True,False,2,2022-04-18 20:00:00+00:00,2022-04-18 20:00:00+00:00,2022-04-19 00:00:00+00:00,40574.1,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-04-19 04:00:00+00:00,,False,True
665,development,BULL,TRANSITION,True,False,3,2022-04-21 20:00:00+00:00,2022-04-21 20:00:00+00:00,2022-04-22 00:00:00+00:00,40800.0,FAILED_RECLAIM,8.0,14.0,15.0,30.0,5.0,2022-04-21 21:10:00+00:00,2022-04-21 21:15:00+00:00,2022-04-21 21:15:00+00:00,2022-04-22 08:00:00+00:00,10.75,True,True
667,development,BEAR,TRANSITION,True,False,2,2022-04-25 20:00:00+00:00,2022-04-25 20:00:00+00:00,2022-04-26 00:00:00+00:00,40000.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-04-26 04:00:00+00:00,,False,True
670,development,BEAR,TRANSITION,True,False,3,2022-04-28 04:00:00+00:00,2022-04-28 04:00:00+00:00,2022-04-28 08:00:00+00:00,39470.0,FAILED_RECLAIM,42.0,43.0,44.0,5.0,5.0,2022-04-28 07:35:00+00:00,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,2022-04-28 16:00:00+00:00,8.333333333333334,True,False
673,development,BEAR,RESUME,False,True,2,2022-05-02 04:00:00+00:00,2022-05-02 04:00:00+00:00,2022-05-02 08:00:00+00:00,38680.6,FAILED_RECLAIM,1.0,2.0,8.0,5.0,30.0,2022-05-02 04:35:00+00:00,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,2022-05-02 12:00:00+00:00,7.333333333333333,True,True
677,development,BEAR,RESUME,False,True,2,2022-05-03 08:00:00+00:00,2022-05-03 08:00:00+00:00,2022-05-03 12:00:00+00:00,39222.0,NO_BREAK,,,,,,,,,2022-05-03 16:00:00+00:00,,False,False
689,development,BEAR,TRANSITION,True,False,2,2022-05-15 12:00:00+00:00,2022-05-15 12:00:00+00:00,2022-05-15 16:00:00+00:00,30352.2,FAILED_RECLAIM,1.0,3.0,4.0,10.0,5.0,2022-05-15 12:15:00+00:00,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,2022-05-15 20:00:00+00:00,7.666666666666667,True,False
691,development,BULL,TRANSITION,True,False,2,2022-05-16 08:00:00+00:00,2022-05-16 08:00:00+00:00,2022-05-16 12:00:00+00:00,28602.3,NO_BREAK,,,,,,,,,2022-05-16 16:00:00+00:00,,False,False
694,development,BULL,TRANSITION,True,False,2,2022-05-18 04:00:00+00:00,2022-05-18 04:00:00+00:00,2022-05-18 08:00:00+00:00,29280.0,NO_BREAK,,,,,,,,,2022-05-18 12:00:00+00:00,,False,False
696,development,BEAR,TRANSITION,True,False,2,2022-05-19 16:00:00+00:00,2022-05-19 16:00:00+00:00,2022-05-19 20:00:00+00:00,30794.0,NO_BREAK,,,,,,,,,2022-05-20 00:00:00+00:00,,False,False
709,development,BEAR,TRANSITION,True,False,3,2022-05-29 12:00:00+00:00,2022-05-29 12:00:00+00:00,2022-05-29 16:00:00+00:00,29265.7,BREAK_RECLAIM_NO_REBREAK,2.0,37.0,,,,,,,2022-05-30 00:00:00+00:00,,False,False
711,development,BULL,TRANSITION,True,False,2,2022-06-01 16:00:00+00:00,2022-06-01 16:00:00+00:00,2022-06-01 20:00:00+00:00,31222.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-06-02 00:00:00+00:00,,False,True
715,development,BEAR,RESUME,False,True,2,2022-06-05 16:00:00+00:00,2022-06-05 16:00:00+00:00,2022-06-05 20:00:00+00:00,29988.0,FAILED_RECLAIM,2.0,4.0,17.0,10.0,65.0,2022-06-05 17:20:00+00:00,2022-06-05 17:25:00+00:00,2022-06-05 17:25:00+00:00,2022-06-06 00:00:00+00:00,6.583333333333333,True,True
