activation,ext,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,activation_px,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
E40,0.4,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42526.72,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E50,0.5,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42478.15,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E05,0.05,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39985.88,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39985.88,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39985.88,PROFIT_CEILING_HIT,0.5844062462873171,True,0.39655172413793327,0.050000000000002764,0.1260869565217454,0.3465517241379305
E10,0.1,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39966.159999999996,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39966.159999999996,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
E15,0.15,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39946.439999999995,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39946.439999999995,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
E20,0.2,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39926.72,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39926.72,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
E25,0.25,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39907.0,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39907.0,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
E30,0.3,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39887.28,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,0,39887.28,2022-04-15 14:30:00+00:00,2022-04-15 14:30:00+00:00,39975.7,PROFIT_CEILING_GAP_OPEN,0.7114505615409387,True,0.39655172413793327,0.07581135902637258,0.19117647058824283,0.3207403651115607
E40,0.4,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39847.84,2022-04-15 20:00:00+00:00,False,,0,,2022-04-15 14:45:00+00:00,2022-04-15 14:50:00+00:00,40620.0,PRE_ACT_CLOSE_INVALIDATION_F65,-7.32928149326233,False,,,,
E50,0.5,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,40261.96,39808.399999999994,2022-04-15 20:00:00+00:00,False,,0,,2022-04-15 14:45:00+00:00,2022-04-15 14:50:00+00:00,40620.0,PRE_ACT_CLOSE_INVALIDATION_F65,-7.32928149326233,False,,,,
E05,0.05,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38229.515,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38229.515,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38229.515,PROFIT_CEILING_HIT,0.6693929530998236,True,1.830363680742023,0.05000000000000178,0.027316975596746958,1.7803636807420211
E10,0.1,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38209.03,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38209.03,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38209.03,PROFIT_CEILING_HIT,0.9367411913747795,True,1.830363680742023,0.10000000000000356,0.054633951193493915,1.7303636807420193
E15,0.15,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38188.545,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38188.545,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,True,1.830363680742023,0.11837930192824102,0.0646752900386717,1.7119843788137818
E20,0.2,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38168.06,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38168.06,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,True,1.830363680742023,0.11837930192824102,0.0646752900386717,1.7119843788137818
E25,0.25,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38147.575,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38147.575,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,True,1.830363680742023,0.11837930192824102,0.0646752900386717,1.7119843788137818
E30,0.3,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38127.090000000004,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,0,38127.090000000004,2022-05-03 13:50:00+00:00,2022-05-03 13:50:00+00:00,38201.5,PROFIT_CEILING_GAP_OPEN,1.0350146711995527,True,1.830363680742023,0.11837930192824102,0.0646752900386717,1.7119843788137818
E40,0.4,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38086.12,2022-05-03 20:00:00+00:00,True,2022-05-03 16:40:00+00:00,0,38086.12,2022-05-03 16:45:00+00:00,2022-05-03 16:45:00+00:00,38183.6,PROFIT_CEILING_GAP_OPEN,1.2686262633460736,True,1.830363680742023,0.16206980717598712,0.08854513935191535,1.6682938735660358
E50,0.5,development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,38516.305,38045.15,2022-05-03 20:00:00+00:00,True,2022-05-03 18:00:00+00:00,1,37823.6,2022-05-03 18:35:00+00:00,2022-05-03 18:35:00+00:00,37823.6,PROFIT_CEILING_HIT,5.966959960147744,True,1.830363680742023,1.0407615328289102,0.5686091478863857,0.7896021479131128
E05,0.05,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29373.765,2022-05-16 20:00:00+00:00,True,2022-05-16 15:35:00+00:00,0,29373.765,2022-05-16 15:40:00+00:00,2022-05-16 15:40:00+00:00,29491.3,PROFIT_CEILING_GAP_OPEN,0.5578513265153798,True,0.41920294016308685,-0.08498908923854363,0.0,0.5041920294016304
E10,0.1,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29330.23,2022-05-16 20:00:00+00:00,True,2022-05-16 15:35:00+00:00,0,29330.23,2022-05-16 15:40:00+00:00,2022-05-16 15:40:00+00:00,29491.3,PROFIT_CEILING_GAP_OPEN,0.5578513265153798,True,0.41920294016308685,-0.08498908923854363,0.0,0.5041920294016304
E15,0.15,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29286.695,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29286.695,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29286.695,PROFIT_CEILING_HIT,4.020110325926652,True,0.41920294016308685,0.14999999999999938,0.357821917808218,0.26920294016308743
E20,0.2,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29243.16,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29243.16,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29243.16,PROFIT_CEILING_HIT,4.75679538024777,True,0.41920294016308685,0.19999999999999915,0.4770958904109573,0.2192029401630877
E25,0.25,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29199.625,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29199.625,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29208.5,PROFIT_CEILING_GAP_OPEN,5.343300582562449,True,0.41920294016308685,0.23980705179740336,0.572054794520546,0.1793958883656835
E30,0.3,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29156.09,2022-05-16 20:00:00+00:00,True,2022-05-16 16:40:00+00:00,0,29156.09,2022-05-16 16:45:00+00:00,2022-05-16 16:45:00+00:00,29208.5,PROFIT_CEILING_GAP_OPEN,5.343300582562449,True,0.41920294016308685,0.23980705179740336,0.572054794520546,0.1793958883656835
E40,0.4,development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,29983.255,29069.02,2022-05-16 20:00:00+00:00,True,2022-05-16 16:45:00+00:00,0,29069.02,2022-05-16 16:50:00+00:00,2022-05-16 16:50:00+00:00,29307.7,PROFIT_CEILING_GAP_OPEN,3.6646705747835466,True,0.41920294016308685,0.125875732169517,0.30027397260273575,0.2933272079935698
