family,lookback_min,state_bin,hold_min,year,N,WR,net,exp,PF,DD,LS
TREND,60,LOW,360,2024,127,54.330708661417326,-43.996613910885536,-0.3464300307943743,0.8991669388634693,94.74681862809015,4
TREND,60,LOW,720,2022,122,41.80327868852459,-272.6031585416283,-2.2344521191936746,0.6399313010372676,324.7812112985953,8
TREND,60,LOW,720,2023,93,41.935483870967744,-77.6667301189926,-0.8351261303117484,0.7476698693962787,142.7222959649496,6
TREND,60,LOW,720,2024,126,57.14285714285714,-95.90539485774892,-0.7611539274424517,0.842447625025693,152.2658612373898,5
TREND,60,LOW,960,2022,122,54.91803278688525,-118.10044640765189,-0.9680364459643598,0.8464316962626891,263.21347561903553,7
TREND,60,LOW,960,2023,93,40.86021505376344,-63.54074887350343,-0.6832338588548756,0.792481939160337,134.30631448334074,8
TREND,60,LOW,960,2024,126,51.587301587301596,-54.32504370409306,-0.4311511405086751,0.9097540678449492,181.10697418195912,6
TREND,60,MID,60,2022,121,36.36363636363637,-124.24226819677021,-1.0267956049319853,0.46983943814256995,141.0802711178074,10
TREND,60,MID,60,2023,185,28.10810810810811,-130.5566444330632,-0.7057115915300715,0.386786900345517,131.06067057418355,11
TREND,60,MID,60,2024,121,33.88429752066116,-77.14188783906462,-0.6375362631327655,0.5471219523380754,80.7384833080439,12
TREND,60,MID,120,2022,121,37.1900826446281,-163.9085092142246,-1.3546157786299555,0.5051539254006953,173.32648455212424,7
TREND,60,MID,120,2023,185,37.83783783783784,-125.29017474618,-0.6772441878171892,0.5455292280340156,139.61549569308428,8
TREND,60,MID,120,2024,121,45.45454545454545,-30.737811821475617,-0.2540315026568233,0.831380927902802,53.81424298310922,6
TREND,60,MID,240,2022,121,44.62809917355372,-74.8659414768242,-0.6187267890646628,0.8206476300886367,126.2692209946585,8
TREND,60,MID,240,2023,185,44.32432432432433,-88.47178397564096,-0.478225859327789,0.7435976957546866,135.24558216500412,9
TREND,60,MID,240,2024,121,45.45454545454545,-65.44018131019781,-0.5408279447123786,0.746236123577458,90.24158868747176,7
TREND,60,MID,360,2022,121,44.62809917355372,-69.18402511690226,-0.571768802619027,0.8523157063251584,159.20887280962359,6
TREND,60,MID,360,2023,185,42.7027027027027,-60.15828657299266,-0.3251799274215819,0.8291250645456123,124.10719093575307,7
TREND,60,MID,360,2024,121,43.80165289256198,-53.6163825286136,-0.4431105994100297,0.7977108055907868,82.86439367908761,8
TREND,60,MID,720,2022,121,38.84297520661157,-379.75494850944233,-3.1384706488383665,0.513216867312197,394.61485447189693,7
TREND,60,MID,720,2023,185,41.62162162162162,64.58348718077694,0.3490999307069024,1.1405302769785797,111.05424581319087,7
TREND,60,MID,720,2024,121,51.2396694214876,87.70789428256187,0.7248586304343956,1.2753704909647046,79.85502271728812,7
TREND,60,MID,960,2022,121,39.66942148760331,-388.2686058529912,-3.2088314533305056,0.543829055314818,388.26860585299085,6
TREND,60,MID,960,2023,185,43.24324324324324,41.93005185678207,0.22664892895557875,1.082461708597258,143.13566650266654,8
TREND,60,MID,960,2024,121,46.28099173553719,68.36587844572499,0.5650072598820247,1.185858184496478,97.9430337743256,5
TREND,60,HIGH,60,2022,122,35.24590163934426,-25.262971527488556,-0.20707353711056192,0.9023251256074096,97.74893225073184,9
TREND,60,HIGH,60,2023,87,28.735632183908045,-66.61117797491964,-0.765645723849651,0.5114526591698915,69.84277715607624,13
TREND,60,HIGH,60,2024,118,28.8135593220339,-133.23408438145248,-1.129102410012309,0.4330456372204346,134.61154191005775,9
TREND,60,HIGH,120,2022,122,39.34426229508197,-45.36448933250895,-0.371840076495975,0.8595217627295713,104.60137293491724,12
