rule,n,wins,wr,pnl,exp,pf
last_upper_gt_lower=False AND balance_gate=False,24,11,0.4583333333333333,23.838760817643198,0.9932817007351332,1.5587961220256046
last_upper_gt_lower=True AND rejection_expansion_composite=False,24,11,0.4583333333333333,18.415129044274668,0.7672970435114445,1.439971510672587
upper_gt_prev1=True AND upper_localmax4=False,22,10,0.45454545454545453,16.401995192690272,0.745545236031376,1.4081905322518282
upper_localmax4=False AND upper_share_gt_prev3median=True,22,10,0.45454545454545453,25.406897497064712,1.1548589771393052,1.6558152809996745
f636_morphology=False AND balance_gate=True,11,5,0.45454545454545453,-8.087389724494923,-0.7352172476813567,0.6422181141982148
last_upper_gt_lower=True AND upper_gt_prev1=False,11,5,0.45454545454545453,7.122147170733754,0.6474679246121595,1.4453375172396503
wick_dominant=False AND balance_gate=True,11,5,0.45454545454545453,-8.087389724494923,-0.7352172476813567,0.6422181141982148
upper_gt_prev1=True AND body_contract3median=False,20,9,0.45,16.961315956559204,0.8480657978279602,1.4259537051314706
last_upper_gt_lower=True AND upper_localmax4=False,18,8,0.4444444444444444,18.28472599999875,1.0158181111110416,1.628227196779346
upper_gt_prev1=True AND f636_morphology=False,18,8,0.4444444444444444,4.225140841351914,0.234730046741773,1.1187850891919546
upper_gt_prev1=True AND wick_dominant=False,18,8,0.4444444444444444,4.225140841351914,0.234730046741773,1.1187850891919546
upper_gt_prev2max=True AND body_lt_prev1=False,9,4,0.4444444444444444,0.13008415251300853,0.014453794723667614,1.0061216071770827
body_contract3median=False AND upper_share_gt_prev3median=True,25,11,0.44,18.95059104903899,0.7580236419615596,1.3706473872134903
upper_share_gt_prev3median=True AND f636_morphology=False,23,10,0.43478260869565216,6.214415933831699,0.27019199712311737,1.1325647195900608
upper_share_gt_prev3median=True AND wick_dominant=False,23,10,0.43478260869565216,6.214415933831699,0.27019199712311737,1.1325647195900608
last_red=False,37,16,0.43243243243243246,21.184464155334688,0.5725530852793159,1.2944064104103488
upper_share_gt_prev3median=True AND balance_gate=False,14,6,0.42857142857142855,10.174433902710565,0.7267452787650404,1.356695944652103
body_lt_prev1=True AND balance_gate=False,7,3,0.42857142857142855,0.2932008193761577,0.041885831339451104,1.0229376106845485
upper_gt_prev2max=False AND upper_share_gt_prev3median=True,19,8,0.42105263157894735,22.707607121807946,1.1951372169372603,1.658364489008475
body_lt_prev1=False AND upper_share_gt_prev3median=True,24,10,0.4166666666666667,13.080501577666833,0.5450208990694514,1.2558365446575352
upper_gt_prev1=True AND upper_gt_prev2max=False,17,7,0.4117647058823529,8.702704817433506,0.5119238127902063,1.2746874822154857
upper_gt_prev1=True AND balance_gate=False,10,4,0.4,6.8309129122832815,0.6830912912283281,1.3678541513680884
last_red=False AND upper_share_gt_prev3median=False,16,6,0.375,-2.981484819273666,-0.1863428012046041,0.9165382909780373
last_red=False AND last_upper_gt_lower=False,19,7,0.3684210526315789,-8.823059188373062,-0.46437153623016114,0.8054814490795305
last_red=False AND rejection_expansion_composite=False,28,10,0.35714285714285715,-2.580827817908443,-0.09217242206815868,0.959829532524376
last_red=False AND upper_localmax4=False,24,8,0.3333333333333333,-5.594971594464063,-0.23312381643600263,0.8996361758851361
last_red=False AND body_lt_prev1=False,18,6,0.3333333333333333,-7.759509359387824,-0.4310838532993235,0.8178325090545667
last_red=False AND f636_morphology=False,18,6,0.3333333333333333,-14.74536558283221,-0.8191869768240116,0.6538278224965495
last_red=False AND wick_dominant=False,18,6,0.3333333333333333,-14.74536558283221,-0.8191869768240116,0.6538278224965495
upper_gt_prev1=False AND upper_share_gt_prev3median=True,9,3,0.3333333333333333,2.7067397443814873,0.3007488604868319,1.1364197029790593
last_red=False AND body_contract3median=False,22,7,0.3181818181818182,-10.509190467624915,-0.4776904758011325,0.8101165095085792
last_red=False AND upper_gt_prev2max=False,23,7,0.30434782608695654,-11.683639661755784,-0.5079843331198167,0.7904163164663519
wick_dominant=True AND balance_gate=False,4,1,0.25,-3.5,-0.875,0.7254901960784313
last_red=False AND balance_gate=False,14,3,0.21428571428571427,-23.52333424418054,-1.6802381602986098,0.3865419813682188
last_red=False AND upper_gt_prev1=False,14,3,0.21428571428571427,-14.918440164408285,-1.065602868886306,0.599072365286028
f636_morphology=True AND balance_gate=False,3,0,0.0,-12.75,-4.25,0.0
upper_gt_prev2max=True AND balance_gate=False,1,0,0.0,-4.25,-4.25,0.0
body_contract3median=False AND rejection_expansion_composite=True,0,0,,0.0,,
body_contract3median=True AND balance_gate=False,0,0,,0.0,,
rejection_expansion_composite=True AND balance_gate=False,0,0,,0.0,,
upper_gt_prev1=False AND rejection_expansion_composite=True,0,0,,0.0,,
upper_gt_prev1=False AND upper_gt_prev2max=True,0,0,,0.0,,
upper_gt_prev1=False AND upper_localmax4=True,0,0,,0.0,,
upper_gt_prev2max=False AND rejection_expansion_composite=True,0,0,,0.0,,
upper_gt_prev2max=False AND upper_localmax4=True,0,0,,0.0,,
upper_localmax4=False AND rejection_expansion_composite=True,0,0,,0.0,,
upper_localmax4=True AND balance_gate=False,0,0,,0.0,,
wick_dominant=False AND f636_morphology=True,0,0,,0.0,,
