signal_id,partition,date_utc,k,signal_ts,signal_bar_start,structural_outcome,previous_session_high,previous_session_low,zone_name,zone_fraction,zone_px,status,activated,activation_bar_start,activation_ts,confirmed,confirmation_bar_start,confirmation_ts,confirmation_close,prior_bar_high_at_confirm,pullback_low,pullback_low_fraction,filled,entry_ts,entry_px,stop_px,target_px,nominal_rr,exit_ts,exit_px,exit_reason,net_pnl_usd
external|2020-09-23|K1|2020-09-23 13:35:00+00:00,external,2020-09-23,1,2020-09-23 13:35:00+00:00,2020-09-23 13:30:00+00:00,TARGET_BREAK,10515.0,10398.45,Z85,0.85,10497.5175,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10515.0,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-09-30|K1|2020-09-30 13:35:00+00:00,external,2020-09-30,1,2020-09-30 13:35:00+00:00,2020-09-30 13:30:00+00:00,TARGET_BREAK,10744.49,10660.05,Z75,0.75,10723.38,TRADE,True,2020-09-30 13:35:00+00:00,2020-09-30 13:40:00+00:00,True,2020-09-30 13:55:00+00:00,2020-09-30 14:00:00+00:00,10736.36,10733.37,10720.08,0.7109189957366212,True,2020-09-30 14:00:00+00:00,10736.36,10720.08,10744.49,0.49938574938568014,2020-09-30 14:00:00+00:00,10744.49,TP_PREV_HIGH,-0.021380058045794237
external|2020-09-30|K1|2020-09-30 13:35:00+00:00,external,2020-09-30,1,2020-09-30 13:35:00+00:00,2020-09-30 13:30:00+00:00,TARGET_BREAK,10744.49,10660.05,Z80,0.8,10727.601999999999,TRADE,True,2020-09-30 13:35:00+00:00,2020-09-30 13:40:00+00:00,True,2020-09-30 13:55:00+00:00,2020-09-30 14:00:00+00:00,10736.36,10733.37,10720.08,0.7109189957366212,True,2020-09-30 14:00:00+00:00,10736.36,10720.08,10744.49,0.49938574938568014,2020-09-30 14:00:00+00:00,10744.49,TP_PREV_HIGH,-0.021380058045794237
external|2020-09-30|K1|2020-09-30 13:35:00+00:00,external,2020-09-30,1,2020-09-30 13:35:00+00:00,2020-09-30 13:30:00+00:00,TARGET_BREAK,10744.49,10660.05,Z85,0.85,10731.824,TRADE,True,2020-09-30 13:35:00+00:00,2020-09-30 13:40:00+00:00,True,2020-09-30 13:55:00+00:00,2020-09-30 14:00:00+00:00,10736.36,10733.37,10720.08,0.7109189957366212,True,2020-09-30 14:00:00+00:00,10736.36,10720.08,10744.49,0.49938574938568014,2020-09-30 14:00:00+00:00,10744.49,TP_PREV_HIGH,-0.021380058045794237
external|2020-10-05|K1|2020-10-05 14:05:00+00:00,external,2020-10-05,1,2020-10-05 14:05:00+00:00,2020-10-05 14:00:00+00:00,TARGET_BREAK,10729.96,10650.0,Z75,0.75,10709.97,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-05 14:05:00+00:00,2020-10-05 14:10:00+00:00,False,,,,,10707.01,0.7129814907453832,False,,,,10729.96,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-05|K1|2020-10-05 14:05:00+00:00,external,2020-10-05,1,2020-10-05 14:05:00+00:00,2020-10-05 14:00:00+00:00,TARGET_BREAK,10729.96,10650.0,Z80,0.8,10713.967999999999,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-05 14:05:00+00:00,2020-10-05 14:10:00+00:00,False,,,,,10707.01,0.7129814907453832,False,,,,10729.96,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-05|K1|2020-10-05 14:05:00+00:00,external,2020-10-05,1,2020-10-05 14:05:00+00:00,2020-10-05 14:00:00+00:00,TARGET_BREAK,10729.96,10650.0,Z85,0.85,10717.965999999999,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-05 14:05:00+00:00,2020-10-05 14:10:00+00:00,False,,,,,10707.01,0.7129814907453832,False,,,,10729.96,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-07|K1|2020-10-07 13:35:00+00:00,external,2020-10-07,1,2020-10-07 13:35:00+00:00,2020-10-07 13:30:00+00:00,TARGET_BREAK,10628.6,10563.08,Z75,0.75,10612.220000000001,TRADE,True,2020-10-07 13:40:00+00:00,2020-10-07 13:45:00+00:00,True,2020-10-07 14:40:00+00:00,2020-10-07 14:45:00+00:00,10618.43,10612.88,10590.0,0.41086691086690924,True,2020-10-07 14:45:00+00:00,10618.44,10590.0,10628.6,0.35724331926862424,2020-10-07 14:55:00+00:00,10628.6,TP_PREV_HIGH,0.07841302488882407
external|2020-10-07|K1|2020-10-07 13:35:00+00:00,external,2020-10-07,1,2020-10-07 13:35:00+00:00,2020-10-07 13:30:00+00:00,TARGET_BREAK,10628.6,10563.08,Z80,0.8,10615.496000000001,TRADE,True,2020-10-07 13:40:00+00:00,2020-10-07 13:45:00+00:00,True,2020-10-07 14:40:00+00:00,2020-10-07 14:45:00+00:00,10618.43,10612.88,10590.0,0.41086691086690924,True,2020-10-07 14:45:00+00:00,10618.44,10590.0,10628.6,0.35724331926862424,2020-10-07 14:55:00+00:00,10628.6,TP_PREV_HIGH,0.07841302488882407
external|2020-10-07|K1|2020-10-07 13:35:00+00:00,external,2020-10-07,1,2020-10-07 13:35:00+00:00,2020-10-07 13:30:00+00:00,TARGET_BREAK,10628.6,10563.08,Z85,0.85,10618.772,TRADE,True,2020-10-07 13:35:00+00:00,2020-10-07 13:40:00+00:00,True,2020-10-07 14:50:00+00:00,2020-10-07 14:55:00+00:00,10621.14,10619.28,10590.0,0.41086691086690924,True,2020-10-07 14:55:00+00:00,10621.15,10590.0,10628.6,0.23916532905299565,2020-10-07 14:55:00+00:00,10628.6,TP_PREV_HIGH,-0.04928468197888913
