rule,level_name,pool_family,archetype,variant,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,eligible,wr_sort,pf_sort,rank
W1_VAL|CONT|RAW,W1_VAL,W1VA,CONT,RAW,156,83,0.532051282051282,30,53,0,0.3614457831325301,-0.0027710843373493807,0.5660377358490573,10,0.2663447744940311,1,0.3614457831325301,0.5660377358490573,37
W1_VAL|CONT|H1_FLOW,W1_VAL,W1VA,CONT,H1_FLOW,156,81,0.5192307692307693,29,52,0,0.35802469135802467,-0.0028395061728394887,0.5576923076923084,12,0.26223516972228395,1,0.35802469135802467,0.5576923076923084,38
W1_VAH|REV|RAW,W1_VAH,W1VA,REV,RAW,156,72,0.46153846153846156,26,45,1,0.3611111111111111,-0.0026173695461948446,0.5812208726088228,8,0.25981514475687584,1,0.3611111111111111,0.5812208726088228,39
W1_VAL|CONT|PERSIST,W1_VAL,W1VA,CONT,PERSIST,156,73,0.46794871794871795,26,47,0,0.3561643835616438,-0.002876712328767105,0.5531914893617028,11,0.2560433740070725,1,0.3561643835616438,0.5531914893617028,40
W1_VAL|CONT|FLOW3,W1_VAL,W1VA,CONT,FLOW3,156,75,0.4807692307692308,26,49,0,0.3466666666666667,-0.003066666666666648,0.5306122448979598,12,0.24882118363617925,1,0.3466666666666667,0.5306122448979598,41
W1_VAH|REV|FLOW3,W1_VAH,W1VA,REV,FLOW3,156,33,0.21153846153846154,13,19,1,0.3939393939393939,-0.001771230525031186,0.6923652245998452,5,0.24682882231508205,1,0.3939393939393939,0.6923652245998452,42
W1_VAL|CONT|MICRO,W1_VAL,W1VA,CONT,MICRO,156,49,0.3141025641025641,18,31,0,0.3673469387755102,-0.0026530612244897757,0.5806451612903238,8,0.24664982524781223,1,0.3673469387755102,0.5806451612903238,43
PWL|CONT|MICRO_PERSIST,PWL,PW,CONT,MICRO_PERSIST,156,34,0.21794871794871795,13,21,0,0.38235294117647056,-0.0023529411764705724,0.6190476190476197,8,0.23899964851608782,1,0.38235294117647056,0.6190476190476197,44
W1_VAL|REV|RAW,W1_VAL,W1VA,REV,RAW,156,84,0.5384615384615384,27,57,0,0.32142857142857145,-0.0035714285714285162,0.47368421052632137,8,0.23125977350162447,1,0.32142857142857145,0.47368421052632137,45
PWL|CONT|MICRO,PWL,PW,CONT,MICRO,156,36,0.23076923076923078,13,23,0,0.3611111111111111,-0.00277777777777776,0.5652173913043484,9,0.2247538679218132,1,0.3611111111111111,0.5652173913043484,46
