gate,scope,name,source_n,gate_pass_n,gate_pass_rate,fills_n,fill_rate_gatepass,rebreak_n,rebreak_rate_fill,t10_n,t10_rate_fill,t10_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_t10_min,retained_fills_vs_base
QUICK_RECLAIM,CLOCK_EXTERNAL,00-04,29,26,0.896551724137931,24,0.9230769230769231,20,0.8333333333333334,20,0.8333333333333334,0.6896551724137931,2,0.08333333333333333,2,0.08333333333333333,0.0,20.0,25.0,0.8888888888888888
QUICK_RECLAIM,CLOCK_EXTERNAL,04-08,43,39,0.9069767441860465,35,0.8974358974358975,30,0.8571428571428571,30,0.8571428571428571,0.6976744186046512,2,0.05714285714285714,3,0.08571428571428572,0.0,15.0,32.5,0.9210526315789473
QUICK_RECLAIM,CLOCK_EXTERNAL,08-12,40,33,0.825,33,1.0,27,0.8181818181818182,25,0.7575757575757576,0.625,4,0.12121212121212122,4,0.12121212121212122,0.0,15.0,25.0,0.825
QUICK_RECLAIM,CLOCK_EXTERNAL,12-16,32,25,0.78125,24,0.96,19,0.7916666666666666,18,0.75,0.5625,3,0.125,3,0.125,0.0,25.0,30.0,0.7741935483870968
QUICK_RECLAIM,CLOCK_EXTERNAL,16-20,31,22,0.7096774193548387,19,0.8636363636363636,14,0.7368421052631579,12,0.631578947368421,0.3870967741935484,5,0.2631578947368421,2,0.10526315789473684,0.0,15.0,27.5,0.76
QUICK_RECLAIM,CLOCK_EXTERNAL,20-00,27,25,0.9259259259259259,21,0.84,16,0.7619047619047619,15,0.7142857142857143,0.5555555555555556,3,0.14285714285714285,3,0.14285714285714285,0.0,12.5,25.0,0.9545454545454546
QUICK_RECLAIM,CLOCK_DEVELOPMENT,00-04,47,41,0.8723404255319149,38,0.926829268292683,28,0.7368421052631579,25,0.6578947368421053,0.5319148936170213,6,0.15789473684210525,7,0.18421052631578946,0.0,15.0,30.0,0.9047619047619048
QUICK_RECLAIM,CLOCK_DEVELOPMENT,04-08,43,33,0.7674418604651163,30,0.9090909090909091,24,0.8,24,0.8,0.5581395348837209,1,0.03333333333333333,5,0.16666666666666666,0.0,37.5,42.5,0.7894736842105263
QUICK_RECLAIM,CLOCK_DEVELOPMENT,08-12,58,47,0.8103448275862069,42,0.8936170212765957,34,0.8095238095238095,33,0.7857142857142857,0.5689655172413793,6,0.14285714285714285,3,0.07142857142857142,0.0,15.0,25.0,0.84
QUICK_RECLAIM,CLOCK_DEVELOPMENT,12-16,82,71,0.8658536585365854,66,0.9295774647887324,51,0.7727272727272727,49,0.7424242424242424,0.5975609756097561,14,0.21212121212121213,3,0.045454545454545456,0.0,25.0,35.0,0.868421052631579
QUICK_RECLAIM,CLOCK_DEVELOPMENT,16-20,60,49,0.8166666666666667,44,0.8979591836734694,37,0.8409090909090909,33,0.75,0.55,2,0.045454545454545456,9,0.20454545454545456,0.0,40.0,50.0,0.8148148148148148
QUICK_RECLAIM,CLOCK_DEVELOPMENT,20-00,43,38,0.8837209302325582,33,0.868421052631579,26,0.7878787878787878,23,0.696969696969697,0.5348837209302325,2,0.06060606060606061,8,0.24242424242424243,0.0,22.5,60.0,0.8918918918918919
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,29,0.90625,22,0.7586206896551724,22,0.7586206896551724,0.6111111111111112,2,0.06896551724137931,5,0.1724137931034483,0.0,20.0,25.0,0.90625
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,04-08,26,24,0.9230769230769231,18,0.75,16,0.8888888888888888,15,0.8333333333333334,0.5769230769230769,2,0.1111111111111111,1,0.05555555555555555,0.0,10.0,25.0,0.9
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,08-12,29,25,0.8620689655172413,21,0.84,18,0.8571428571428571,18,0.8571428571428571,0.6206896551724138,2,0.09523809523809523,1,0.047619047619047616,0.0,40.0,65.0,0.875
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,12-16,43,32,0.7441860465116279,30,0.9375,24,0.8,23,0.7666666666666667,0.5348837209302325,5,0.16666666666666666,2,0.06666666666666667,0.0,20.0,25.0,0.7317073170731707
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,16-20,31,21,0.6774193548387096,19,0.9047619047619048,14,0.7368421052631579,13,0.6842105263157895,0.41935483870967744,0,0.0,6,0.3157894736842105,0.0,17.5,40.0,0.7037037037037037
QUICK_RECLAIM,CLOCK_REFERENCE_VALIDATION,20-00,29,24,0.8275862068965517,24,1.0,20,0.8333333333333334,20,0.8333333333333334,0.6896551724137931,2,0.08333333333333333,2,0.08333333333333333,0.0,32.5,67.5,0.8275862068965517
QUICK_RECLAIM,CLOCK_REUSED,00-04,65,58,0.8923076923076924,53,0.9137931034482759,42,0.7924528301886793,42,0.7924528301886793,0.6461538461538462,4,0.07547169811320754,7,0.1320754716981132,0.0,20.0,25.0,0.8983050847457628
QUICK_RECLAIM,CLOCK_REUSED,04-08,69,63,0.9130434782608695,53,0.8412698412698413,46,0.8679245283018868,45,0.8490566037735849,0.6521739130434783,4,0.07547169811320754,4,0.07547169811320754,0.0,15.0,30.0,0.9137931034482759
QUICK_RECLAIM,CLOCK_REUSED,08-12,69,58,0.8405797101449275,54,0.9310344827586207,45,0.8333333333333334,43,0.7962962962962963,0.6231884057971014,6,0.1111111111111111,5,0.09259259259259259,0.0,20.0,40.0,0.84375
QUICK_RECLAIM,CLOCK_REUSED,12-16,75,57,0.76,54,0.9473684210526315,43,0.7962962962962963,41,0.7592592592592593,0.5466666666666666,8,0.14814814814814814,5,0.09259259259259259,0.0,20.0,30.0,0.75
QUICK_RECLAIM,CLOCK_REUSED,16-20,62,43,0.6935483870967742,38,0.8837209302325582,28,0.7368421052631579,25,0.6578947368421053,0.4032258064516129,5,0.13157894736842105,8,0.21052631578947367,0.0,15.0,30.0,0.7307692307692307
QUICK_RECLAIM,CLOCK_REUSED,20-00,56,49,0.875,45,0.9183673469387755,36,0.8,35,0.7777777777777778,0.625,5,0.1111111111111111,5,0.1111111111111111,0.0,20.0,30.0,0.8823529411764706
TIME_LEFT_120,PARTITION,external,202,131,0.6485148514851485,121,0.9236641221374046,101,0.8347107438016529,96,0.7933884297520661,0.4752475247524752,17,0.14049586776859505,8,0.06611570247933884,0.0,15.0,30.0,0.6612021857923497
TIME_LEFT_120,PARTITION,development,333,218,0.6546546546546547,201,0.9220183486238532,161,0.8009950248756219,153,0.7611940298507462,0.4594594594594595,27,0.13432835820895522,21,0.1044776119402985,0.0,20.0,40.0,0.6767676767676768
TIME_LEFT_120,PARTITION,reference_validation,194,128,0.6597938144329897,113,0.8828125,90,0.7964601769911505,85,0.7522123893805309,0.4381443298969072,11,0.09734513274336283,17,0.1504424778761062,0.0,20.0,30.0,0.653179190751445
TIME_LEFT_120,POOL,POOLED_REUSED_EXTVAL,396,259,0.6540404040404041,234,0.9034749034749034,191,0.8162393162393162,181,0.7735042735042735,0.45707070707070707,28,0.11965811965811966,25,0.10683760683760683,0.0,15.0,30.0,0.6573033707865169
TIME_LEFT_120,POOL,POOLED_MAJOR,729,477,0.654320987654321,435,0.9119496855345912,352,0.8091954022988506,334,0.767816091954023,0.45816186556927296,55,0.12643678160919541,46,0.10574712643678161,0.0,20.0,35.0,0.666156202143951
TIME_LEFT_120,CLOCK_EXTERNAL,00-04,29,24,0.8275862068965517,23,0.9583333333333334,19,0.8260869565217391,19,0.8260869565217391,0.6551724137931034,2,0.08695652173913043,2,0.08695652173913043,0.0,15.0,25.0,0.8518518518518519
TIME_LEFT_120,CLOCK_EXTERNAL,04-08,43,31,0.7209302325581395,27,0.8709677419354839,24,0.8888888888888888,24,0.8888888888888888,0.5581395348837209,2,0.07407407407407407,1,0.037037037037037035,0.0,15.0,37.5,0.7105263157894737
TIME_LEFT_120,CLOCK_EXTERNAL,08-12,40,24,0.6,24,1.0,21,0.875,20,0.8333333333333334,0.5,3,0.125,1,0.041666666666666664,0.0,15.0,25.0,0.6
TIME_LEFT_120,CLOCK_EXTERNAL,12-16,32,18,0.5625,18,1.0,14,0.7777777777777778,12,0.6666666666666666,0.375,4,0.2222222222222222,2,0.1111111111111111,0.0,22.5,30.0,0.5806451612903226
TIME_LEFT_120,CLOCK_EXTERNAL,16-20,31,19,0.6129032258064516,16,0.8421052631578947,14,0.875,13,0.8125,0.41935483870967744,3,0.1875,0,0.0,0.0,25.0,55.0,0.64
TIME_LEFT_120,CLOCK_EXTERNAL,20-00,27,15,0.5555555555555556,13,0.8666666666666667,9,0.6923076923076923,8,0.6153846153846154,0.2962962962962963,3,0.23076923076923078,2,0.15384615384615385,0.0,15.0,30.0,0.5909090909090909
TIME_LEFT_120,CLOCK_DEVELOPMENT,00-04,47,35,0.7446808510638298,32,0.9142857142857143,23,0.71875,21,0.65625,0.44680851063829785,7,0.21875,4,0.125,0.0,15.0,30.0,0.7619047619047619
TIME_LEFT_120,CLOCK_DEVELOPMENT,04-08,43,24,0.5581395348837209,24,1.0,20,0.8333333333333334,20,0.8333333333333334,0.46511627906976744,1,0.041666666666666664,3,0.125,0.0,37.5,42.5,0.631578947368421
TIME_LEFT_120,CLOCK_DEVELOPMENT,08-12,58,35,0.603448275862069,33,0.9428571428571428,27,0.8181818181818182,26,0.7878787878787878,0.4482758620689655,6,0.18181818181818182,1,0.030303030303030304,0.0,15.0,25.0,0.66
TIME_LEFT_120,CLOCK_DEVELOPMENT,12-16,82,53,0.6463414634146342,48,0.9056603773584906,38,0.7916666666666666,37,0.7708333333333334,0.45121951219512196,10,0.20833333333333334,1,0.020833333333333332,0.0,25.0,35.0,0.631578947368421
TIME_LEFT_120,CLOCK_DEVELOPMENT,16-20,60,43,0.7166666666666667,40,0.9302325581395349,34,0.85,32,0.8,0.5333333333333333,2,0.05,6,0.15,0.0,42.5,55.0,0.7407407407407407
TIME_LEFT_120,CLOCK_DEVELOPMENT,20-00,43,28,0.6511627906976745,24,0.8571428571428571,19,0.7916666666666666,17,0.7083333333333334,0.3953488372093023,1,0.041666666666666664,6,0.25,0.0,15.0,65.0,0.6486486486486487
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,00-04,36,25,0.6944444444444444,22,0.88,14,0.6363636363636364,14,0.6363636363636364,0.3888888888888889,4,0.18181818181818182,4,0.18181818181818182,0.0,20.0,25.0,0.6875
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,04-08,26,22,0.8461538461538461,17,0.7727272727272727,15,0.8823529411764706,14,0.8235294117647058,0.5384615384615384,2,0.11764705882352941,1,0.058823529411764705,0.0,10.0,32.5,0.85
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,08-12,29,17,0.5862068965517241,15,0.8823529411764706,13,0.8666666666666667,13,0.8666666666666667,0.4482758620689655,1,0.06666666666666667,1,0.06666666666666667,0.0,20.0,50.0,0.625
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,12-16,43,24,0.5581395348837209,22,0.9166666666666666,19,0.8636363636363636,18,0.8181818181818182,0.4186046511627907,4,0.18181818181818182,0,0.0,0.0,20.0,30.0,0.5365853658536586
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,16-20,31,23,0.7419354838709677,20,0.8695652173913043,14,0.7,11,0.55,0.3548387096774194,0,0.0,9,0.45,0.0,15.0,25.0,0.7407407407407407
TIME_LEFT_120,CLOCK_REFERENCE_VALIDATION,20-00,29,17,0.5862068965517241,17,1.0,15,0.8823529411764706,15,0.8823529411764706,0.5172413793103449,0,0.0,2,0.11764705882352941,0.0,25.0,35.0,0.5862068965517241
TIME_LEFT_120,CLOCK_REUSED,00-04,65,49,0.7538461538461538,45,0.9183673469387755,33,0.7333333333333333,33,0.7333333333333333,0.5076923076923077,6,0.13333333333333333,6,0.13333333333333333,0.0,20.0,25.0,0.7627118644067796
TIME_LEFT_120,CLOCK_REUSED,04-08,69,53,0.7681159420289855,44,0.8301886792452831,39,0.8863636363636364,38,0.8636363636363636,0.5507246376811594,4,0.09090909090909091,2,0.045454545454545456,0.0,15.0,37.5,0.7586206896551724
TIME_LEFT_120,CLOCK_REUSED,08-12,69,41,0.5942028985507246,39,0.9512195121951219,34,0.8717948717948718,33,0.8461538461538461,0.4782608695652174,4,0.10256410256410256,2,0.05128205128205128,0.0,15.0,35.0,0.609375
TIME_LEFT_120,CLOCK_REUSED,12-16,75,42,0.56,40,0.9523809523809523,33,0.825,30,0.75,0.4,8,0.2,2,0.05,0.0,20.0,30.0,0.5555555555555556
TIME_LEFT_120,CLOCK_REUSED,16-20,62,42,0.6774193548387096,36,0.8571428571428571,28,0.7777777777777778,24,0.6666666666666666,0.3870967741935484,3,0.08333333333333333,9,0.25,0.0,15.0,45.0,0.6923076923076923
TIME_LEFT_120,CLOCK_REUSED,20-00,56,32,0.5714285714285714,30,0.9375,24,0.8,23,0.7666666666666667,0.4107142857142857,3,0.1,4,0.13333333333333333,0.0,22.5,30.0,0.5882352941176471
