role,partition,dev_block,execution_start,loss_class,visit_n,lane,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,recovery_entry_ts,recovery_entry_price,recovery_break_ts,recovery_exit_ts,recovery_exit_price,recovery_exit_reason,recovery_pnl,recovery_pnl_5bps,recovery_won,recovery_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps
CENTRAL,development,0,2022-04-12 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,102.58,97.98,4.599999999999994,2022-04-12 05:45:00+00:00,2022-04-12 06:30:00+00:00,-2.095925131604559,-2.3459251316045595,2022-04-12 07:20:00+00:00,102.58,2022-04-12 07:20:00+00:00,2022-04-12 07:35:00+00:00,102.47,FAILED_BREAK,-0.5361668941313846,-0.7861668941313846,False,False,-2.6320920257359437,-3.132092025735944,False,False
CENTRAL,development,0,2022-04-13 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,104.19,100.71,3.480000000000004,2022-04-13 03:15:00+00:00,2022-04-13 03:50:00+00:00,-1.6316345138688848,-1.8816345138688848,2022-04-13 05:35:00+00:00,104.19,2022-04-13 05:50:00+00:00,2022-04-13 06:10:00+00:00,104.18,FAILED_BREAK,-0.04798925040788715,-0.29798925040788715,False,False,-1.679623764276772,-2.179623764276772,False,False
CENTRAL,development,0,2022-04-15 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,101.64,99.01,2.6299999999999955,2022-04-15 03:50:00+00:00,2022-04-15 04:55:00+00:00,-0.5411255411255644,-0.7911255411255644,2022-04-15 05:00:00+00:00,101.64,2022-04-15 05:00:00+00:00,2022-04-15 05:15:00+00:00,101.59,FAILED_BREAK,-0.24596615505706465,-0.49596615505706465,False,False,-0.7870916961826291,-1.287091696182629,False,False
CENTRAL,development,0,2022-04-16 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,102.01,100.26,1.75,2022-04-16 10:20:00+00:00,2022-04-16 10:35:00+00:00,-0.24507401235179804,-0.49507401235179804,2022-04-16 10:40:00+00:00,102.01,2022-04-16 10:50:00+00:00,2022-04-16 11:45:00+00:00,101.95,FAILED_BREAK,-0.29408881482206883,-0.5440888148220688,False,False,-0.5391628271738669,-1.0391628271738669,False,False
CENTRAL,development,0,2022-04-23 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,101.71,99.37,2.339999999999989,2022-04-23 08:45:00+00:00,2022-04-23 09:05:00+00:00,-0.9340281191623223,-1.1840281191623223,2022-04-23 09:20:00+00:00,101.71,2022-04-23 09:20:00+00:00,2022-04-23 09:30:00+00:00,101.62,FAILED_BREAK,-0.4424343722347346,-0.6924343722347346,False,False,-1.376462491397057,-1.876462491397057,False,False
CENTRAL,development,0,2022-05-03 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,88.5,86.24,2.260000000000005,2022-05-03 03:55:00+00:00,2022-05-03 04:05:00+00:00,-0.3954802259886758,-0.6454802259886758,2022-05-03 04:50:00+00:00,88.5,2022-05-03 05:50:00+00:00,2022-05-03 06:10:00+00:00,88.49,FAILED_BREAK,-0.056497175141279055,-0.30649717514127905,False,False,-0.4519774011299549,-0.9519774011299549,False,False
CENTRAL,development,0,2022-05-04 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,86.78,84.58,2.200000000000003,2022-05-04 06:55:00+00:00,2022-05-04 07:05:00+00:00,-0.17285088730123466,-0.42285088730123466,2022-05-04 15:35:00+00:00,86.78,2022-05-04 15:35:00+00:00,2022-05-04 16:20:00+00:00,87.66,TARGET,5.070292694169143,4.820292694169143,True,True,4.897441806867908,4.397441806867908,True,True
CENTRAL,development,0,2022-05-05 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,94.36,91.29,3.069999999999993,2022-05-05 03:05:00+00:00,2022-05-05 03:55:00+00:00,-0.8478168715557177,-1.0978168715557177,2022-05-05 05:10:00+00:00,94.36,,2022-05-05 13:40:00+00:00,91.15,REFERENCE_INVALIDATION,-17.009325985587076,-17.259325985587076,False,False,-17.857142857142794,-18.357142857142794,False,False
CENTRAL,development,0,2022-05-19 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,51.71,48.07,3.6400000000000006,2022-05-19 06:50:00+00:00,2022-05-19 07:15:00+00:00,-0.5801585766776474,-0.8301585766776474,2022-05-19 13:10:00+00:00,51.71,2022-05-19 13:30:00+00:00,2022-05-19 13:45:00+00:00,51.04,FAILED_BREAK,-6.4784374395668305,-6.728437439566831,False,False,-7.058596016244477,-7.558596016244479,False,False
CENTRAL,development,0,2022-05-28 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,42.59,40.3,2.2900000000000063,2022-05-28 14:00:00+00:00,2022-05-28 14:55:00+00:00,-7.983094623151055,-8.233094623151056,2022-05-28 15:30:00+00:00,42.59,2022-05-28 15:30:00+00:00,2022-05-28 15:35:00+00:00,43.50600000000001,TARGET,10.753698051185756,10.503698051185756,True,True,2.7706034280347014,2.2706034280347005,True,True
