event_type,decision_bar_start,effective_bar_start,old_floor,new_floor,zone,partition,entry_bar_start,execution_end,active_open,active_low,classification,old_floor_protects_open
RATCHET,2026-01-01 17:30:00+00:00,2026-01-01 17:35:00+00:00,88164.0,88246.0,LONDON,reference_validation,2026-01-01 15:30:00+00:00,2026-01-01 20:00:00+00:00,88323.0,88307.1,NO_IMMEDIATE_CROSS,False
RATCHET,2026-01-01 17:35:00+00:00,2026-01-01 17:40:00+00:00,88246.0,88328.0,LONDON,reference_validation,2026-01-01 15:30:00+00:00,2026-01-01 20:00:00+00:00,88397.5,88279.4,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2026-03-13 14:20:00+00:00,2026-03-13 14:25:00+00:00,,73461.3,LONDON,reference_validation,2026-03-13 13:45:00+00:00,2026-03-13 20:00:00+00:00,73781.9,73620.0,NO_IMMEDIATE_CROSS,False
ARM,2026-03-31 16:40:00+00:00,2026-03-31 16:45:00+00:00,,67630.79,LONDON,reference_validation,2026-03-31 14:15:00+00:00,2026-03-31 20:00:00+00:00,67742.1,67457.0,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2026-05-01 13:50:00+00:00,2026-05-01 13:55:00+00:00,,78538.95,LONDON,reference_validation,2026-05-01 13:50:00+00:00,2026-05-01 20:00:00+00:00,78732.3,78622.0,NO_IMMEDIATE_CROSS,False
ARM,2020-03-02 13:20:00+00:00,2020-03-02 13:25:00+00:00,,8794.0,RAW_0530,external,2020-03-02 12:00:00+00:00,2020-03-02 17:30:00+00:00,8823.01,8801.0,NO_IMMEDIATE_CROSS,False
RATCHET,2020-03-02 13:35:00+00:00,2020-03-02 13:40:00+00:00,8794.0,8811.0,RAW_0530,external,2020-03-02 12:00:00+00:00,2020-03-02 17:30:00+00:00,8844.99,8827.29,NO_IMMEDIATE_CROSS,False
ARM,2020-03-05 09:25:00+00:00,2020-03-05 09:30:00+00:00,,8991.334,RAW_2330,external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,9031.16,9024.01,NO_IMMEDIATE_CROSS,False
RATCHET,2020-03-05 09:30:00+00:00,2020-03-05 09:35:00+00:00,8991.334,9012.331,RAW_2330,external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,9033.99,9028.36,NO_IMMEDIATE_CROSS,False
RATCHET,2020-03-05 09:35:00+00:00,2020-03-05 09:40:00+00:00,9012.331,9033.328,RAW_2330,external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,9067.19,9061.58,NO_IMMEDIATE_CROSS,False
RATCHET,2020-03-05 09:55:00+00:00,2020-03-05 10:00:00+00:00,9033.328,9054.324999999999,RAW_2330,external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,9086.16,9070.0,NO_IMMEDIATE_CROSS,False
RATCHET,2020-03-05 11:05:00+00:00,2020-03-05 11:10:00+00:00,9054.324999999999,9075.322,RAW_2330,external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,9106.52,9094.0,NO_IMMEDIATE_CROSS,False
ARM,2020-04-06 05:55:00+00:00,2020-04-06 06:00:00+00:00,,6977.558,RAW_2330,external,2020-04-06 05:20:00+00:00,2020-04-06 11:30:00+00:00,6988.96,6957.73,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-04-29 12:55:00+00:00,2020-04-29 13:00:00+00:00,,8197.5,RAW_0530,external,2020-04-29 11:35:00+00:00,2020-04-29 17:30:00+00:00,8238.5,8238.39,NO_IMMEDIATE_CROSS,False
RATCHET,2020-04-29 13:00:00+00:00,2020-04-29 13:05:00+00:00,8197.5,8262.5,RAW_0530,external,2020-04-29 11:35:00+00:00,2020-04-29 17:30:00+00:00,8327.16,8260.0,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-09-16 06:50:00+00:00,2020-09-16 06:55:00+00:00,,10830.31,RAW_2330,external,2020-09-16 05:25:00+00:00,2020-09-16 11:30:00+00:00,10825.36,10817.13,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2020-10-27 11:20:00+00:00,2020-10-27 11:25:00+00:00,,13321.981,RAW_0530,external,2020-10-27 11:15:00+00:00,2020-10-27 17:30:00+00:00,13368.81,13368.8,NO_IMMEDIATE_CROSS,False
RATCHET,2020-10-27 11:25:00+00:00,2020-10-27 11:30:00+00:00,13321.981,13419.064999999999,RAW_0530,external,2020-10-27 11:15:00+00:00,2020-10-27 17:30:00+00:00,13448.37,13385.22,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-11-05 11:50:00+00:00,2020-11-05 11:55:00+00:00,,14688.72,RAW_0530,external,2020-11-05 11:15:00+00:00,2020-11-05 17:30:00+00:00,14718.65,14690.0,NO_IMMEDIATE_CROSS,False
ARM,2020-11-16 14:40:00+00:00,2020-11-16 14:45:00+00:00,,16416.5,RAW_0530,external,2020-11-16 11:15:00+00:00,2020-11-16 17:30:00+00:00,16432.48,16395.42,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-12-02 07:55:00+00:00,2020-12-02 08:00:00+00:00,,19044.063000000002,RAW_2330,external,2020-12-02 07:15:00+00:00,2020-12-02 11:30:00+00:00,19135.65,19075.95,NO_IMMEDIATE_CROSS,False
RATCHET,2020-12-02 08:15:00+00:00,2020-12-02 08:20:00+00:00,19044.063000000002,19109.016,RAW_2330,external,2020-12-02 07:15:00+00:00,2020-12-02 11:30:00+00:00,19231.01,19176.93,NO_IMMEDIATE_CROSS,False
RATCHET,2020-12-02 08:25:00+00:00,2020-12-02 08:30:00+00:00,19109.016,19238.922,RAW_2330,external,2020-12-02 07:15:00+00:00,2020-12-02 11:30:00+00:00,19346.59,19251.27,NO_IMMEDIATE_CROSS,False
ARM,2021-02-08 07:30:00+00:00,2021-02-08 07:35:00+00:00,,39300.823000000004,RAW_2330,external,2021-02-08 07:00:00+00:00,2021-02-08 11:30:00+00:00,39408.94,39344.0,NO_IMMEDIATE_CROSS,False
ARM,2021-03-22 10:15:00+00:00,2021-03-22 10:20:00+00:00,,58042.702,RAW_2330,external,2021-03-22 06:25:00+00:00,2021-03-22 11:30:00+00:00,58291.49,58150.35,NO_IMMEDIATE_CROSS,False
ARM,2021-04-05 12:05:00+00:00,2021-04-05 12:10:00+00:00,,57864.357,RAW_0530,external,2021-04-05 11:15:00+00:00,2021-04-05 17:30:00+00:00,58004.98,57955.0,NO_IMMEDIATE_CROSS,False
ARM,2021-04-09 11:30:00+00:00,2021-04-09 11:35:00+00:00,,58809.9,RAW_0530,external,2021-04-09 11:20:00+00:00,2021-04-09 17:30:00+00:00,58891.39,58754.71,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2021-06-09 11:55:00+00:00,2021-06-09 12:00:00+00:00,,34831.574,RAW_0530,external,2021-06-09 11:35:00+00:00,2021-06-09 17:30:00+00:00,34932.99,34932.99,NO_IMMEDIATE_CROSS,False
RATCHET,2021-06-09 12:00:00+00:00,2021-06-09 12:05:00+00:00,34831.574,34964.148,RAW_0530,external,2021-06-09 11:35:00+00:00,2021-06-09 17:30:00+00:00,35126.86,35069.84,NO_IMMEDIATE_CROSS,False
ARM,2021-06-29 13:10:00+00:00,2021-06-29 13:15:00+00:00,,35882.636,RAW_0530,external,2021-06-29 12:20:00+00:00,2021-06-29 17:30:00+00:00,36008.39,35966.3,NO_IMMEDIATE_CROSS,False
RATCHET,2021-06-29 13:20:00+00:00,2021-06-29 13:25:00+00:00,35882.636,36005.272,RAW_0530,external,2021-06-29 12:20:00+00:00,2021-06-29 17:30:00+00:00,36137.36,36091.46,NO_IMMEDIATE_CROSS,False
RATCHET,2021-06-29 13:25:00+00:00,2021-06-29 13:30:00+00:00,36005.272,36127.908,RAW_0530,external,2021-06-29 12:20:00+00:00,2021-06-29 17:30:00+00:00,36328.12,36198.69,NO_IMMEDIATE_CROSS,False
RATCHET,2021-06-29 13:35:00+00:00,2021-06-29 13:40:00+00:00,36127.908,36250.544,RAW_0530,external,2021-06-29 12:20:00+00:00,2021-06-29 17:30:00+00:00,36390.33,36283.4,NO_IMMEDIATE_CROSS,False
ARM,2021-09-06 11:15:00+00:00,2021-09-06 11:20:00+00:00,,52012.606,RAW_2330,external,2021-09-06 09:45:00+00:00,2021-09-06 11:30:00+00:00,51793.68,51631.55,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2021-10-01 07:15:00+00:00,2021-10-01 07:20:00+00:00,,44199.862,RAW_2330,external,2021-10-01 07:15:00+00:00,2021-10-01 11:30:00+00:00,44296.68,44213.86,NO_IMMEDIATE_CROSS,False
RATCHET,2021-10-01 07:20:00+00:00,2021-10-01 07:25:00+00:00,44199.862,44356.504,RAW_2330,external,2021-10-01 07:15:00+00:00,2021-10-01 11:30:00+00:00,44454.43,44447.73,NO_IMMEDIATE_CROSS,False
RATCHET,2021-10-01 07:25:00+00:00,2021-10-01 07:30:00+00:00,44356.504,44513.146,RAW_2330,external,2021-10-01 07:15:00+00:00,2021-10-01 11:30:00+00:00,44599.54,44567.39,NO_IMMEDIATE_CROSS,False
RATCHET,2021-10-01 07:40:00+00:00,2021-10-01 07:45:00+00:00,44513.146,44669.788,RAW_2330,external,2021-10-01 07:15:00+00:00,2021-10-01 11:30:00+00:00,44750.58,44661.94,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2021-10-20 12:40:00+00:00,2021-10-20 12:45:00+00:00,,64371.145000000004,RAW_0530,external,2021-10-20 12:35:00+00:00,2021-10-20 17:30:00+00:00,64327.98,64233.01,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2022-01-26 14:00:00+00:00,2022-01-26 14:05:00+00:00,,38307.5,RAW_0530,development,2022-01-26 12:00:00+00:00,2022-01-26 17:30:00+00:00,38244.56,38223.0,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2022-01-31 14:30:00+00:00,2022-01-31 14:35:00+00:00,,37386.963,RAW_0530,development,2022-01-31 13:45:00+00:00,2022-01-31 17:30:00+00:00,37422.0,37337.11,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2022-02-08 05:45:00+00:00,2022-02-08 05:50:00+00:00,,44670.0,RAW_2330,development,2022-02-08 05:25:00+00:00,2022-02-08 11:30:00+00:00,44750.22,44745.01,NO_IMMEDIATE_CROSS,False
RATCHET,2022-02-08 05:50:00+00:00,2022-02-08 05:55:00+00:00,44670.0,44830.0,RAW_2330,development,2022-02-08 05:25:00+00:00,2022-02-08 11:30:00+00:00,44928.83,44851.08,NO_IMMEDIATE_CROSS,False
ARM,2022-03-28 13:30:00+00:00,2022-03-28 13:35:00+00:00,,47341.28,RAW_0530,development,2022-03-28 11:20:00+00:00,2022-03-28 17:30:00+00:00,47386.9,47377.6,NO_IMMEDIATE_CROSS,False
