rule_text,conditions,atoms_repr,selected_n,event_n,event_rate,lift_vs_buy_baseline,wilson_lower,mean_r,pf_r,cum_r,eligible
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_target_distance_range_units <= 1.10860006597,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_target_distance_range_units', 'op': '<=', 'threshold': 1.1086000659690294, 'quantile': 0.5}]",0,0,,,,,,0.0,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_target_distance_range_units >= 1.10860006597,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_target_distance_range_units', 'op': '>=', 'threshold': 1.1086000659690294, 'quantile': 0.5}]",4,3,0.75,0.375,0.3006360524426366,0.29319102737393093,1.5863820547478618,1.1727641094957237,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_target_distance_range_units <= 1.22797163375,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_target_distance_range_units', 'op': '<=', 'threshold': 1.2279716337452877, 'quantile': 0.75}]",0,0,,,,,,0.0,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_target_distance_range_units >= 1.22797163375,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_target_distance_range_units', 'op': '>=', 'threshold': 1.2279716337452877, 'quantile': 0.75}]",4,3,0.75,0.375,0.3006360524426366,0.29319102737393093,1.5863820547478618,1.1727641094957237,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r <= 0.80242228366,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 0.8024222836602144, 'quantile': 0.25}]",0,0,,,,,,0.0,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r >= 0.80242228366,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 0.8024222836602144, 'quantile': 0.25}]",4,3,0.75,0.375,0.3006360524426366,0.29319102737393093,1.5863820547478618,1.1727641094957237,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r <= 1.16560173697,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 1.1656017369727043, 'quantile': 0.5}]",0,0,,,,,,0.0,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r >= 1.16560173697,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 1.1656017369727043, 'quantile': 0.5}]",4,3,0.75,0.375,0.3006360524426366,0.29319102737393093,1.5863820547478618,1.1727641094957237,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r <= 1.35285896624,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 1.3528589662436352, 'quantile': 0.75}]",1,1,1.0,0.625,0.20654329147389294,1.5025668026852472,inf,1.5025668026852472,False
source_to_opposite_structure_range_units >= 1.93762460051 AND structural_reward_r >= 1.35285896624,2,"[{'feature': 'source_to_opposite_structure_range_units', 'op': '>=', 'threshold': 1.9376246005088174, 'quantile': 0.75}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 1.3528589662436352, 'quantile': 0.75}]",3,2,0.6666666666666666,0.29166666666666663,0.2076549551264879,-0.1099342310631745,0.8350986534052383,-0.3298026931895235,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units <= 0.82384492265,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",2,0,0.0,-0.375,0.0,-1.0,0.0,-2.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units >= 0.82384492265,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",2,0,0.0,-0.375,0.0,-1.0,0.0,-2.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units <= 0.938715729547,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",3,0,0.0,-0.375,0.0,-1.0,0.0,-3.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units >= 0.938715729547,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",1,0,0.0,-0.375,0.0,-1.0,0.0,-1.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units <= 1.07291188004,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",4,0,0.0,-0.375,0.0,-1.0,0.0,-4.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_directional_body_range_units >= 1.07291188004,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",0,0,,,,,,0.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units <= 0.786541923801,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",0,0,,,,,,0.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units >= 0.786541923801,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",4,0,0.0,-0.375,0.0,-1.0,0.0,-4.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units <= 0.851580400587,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",1,0,0.0,-0.375,0.0,-1.0,0.0,-1.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units >= 0.851580400587,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",3,0,0.0,-0.375,0.0,-1.0,0.0,-3.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units <= 1.01446857606,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 1.0144685760613668, 'quantile': 0.75}]",3,0,0.0,-0.375,0.0,-1.0,0.0,-3.0,False
approach_start_distance_to_level_range_units <= 0.978378228578 AND reclaim_close_inside_range_units >= 1.01446857606,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 1.0144685760613668, 'quantile': 0.75}]",1,0,0.0,-0.375,0.0,-1.0,0.0,-1.0,False
