role,partition,dev_block,execution_start,component,parent_entry_ts,entry_ts,exit_ts,exit_reason,baseline_pnl,baseline_pnl_5bps,outcome,H,L,R,e20_ts,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mfe_R_at_E20,running_mae_R_to_E20,closes_gt_H_to_E20,closes_ge_E10_to_E20
CLOCK_SUPPORT,external,,2021-11-01 17:00:00+00:00,REC_H2,2021-11-01 20:05:00+00:00,2021-11-02 06:00:00+00:00,2021-11-02 11:15:00+00:00,TARGET,5.111548078557071,4.861548078557071,E20_TO_E40_CONTINUATION,205.965,200.701,5.26400000000001,2021-11-02 10:00:00+00:00,240.0,15.0,0.16413373860182423,-0.03586626139817578,0.28001519756838655,0.6407674772036444,4,2
CLOCK_SUPPORT,external,,2021-11-02 17:00:00+00:00,REC_H2,2021-11-02 17:05:00+00:00,2021-11-02 17:45:00+00:00,2021-11-02 18:05:00+00:00,TARGET,7.878236865286992,7.628236865286992,E20_TO_E40_CONTINUATION,212.281,203.919,8.361999999999995,2021-11-02 17:50:00+00:00,5.0,5.0,0.21083472853384433,0.010834728533844318,0.251853623535039,0.11887108347285343,2,1
CLOCK_SUPPORT,external,,2021-11-12 17:00:00+00:00,REC_H2,2021-11-12 17:55:00+00:00,2021-11-12 19:30:00+00:00,2021-11-12 21:05:00+00:00,TARGET,7.236635631342247,6.986635631342248,E20_TO_E40_CONTINUATION,229.416,221.115,8.300999999999988,2021-11-12 20:10:00+00:00,40.0,10.0,0.225876400433683,0.025876400433683,0.2934586194434418,0.1352849054330794,3,1
CLOCK_SUPPORT,external,,2021-11-20 17:00:00+00:00,REC_H2,2021-11-20 18:25:00+00:00,2021-11-20 19:50:00+00:00,2021-11-20 23:05:00+00:00,TARGET,8.485682154043438,8.235682154043438,E20_TO_E40_CONTINUATION,215.186,206.056,9.129999999999995,2021-11-20 20:50:00+00:00,60.0,55.0,0.15903614457831314,-0.04096385542168687,0.2484118291347209,0.03734939759036236,12,7
CLOCK_SUPPORT,external,,2021-12-01 17:00:00+00:00,REC_H2,2021-12-01 17:00:00+00:00,2021-12-01 19:35:00+00:00,2021-12-01 20:05:00+00:00,FAILED_BREAK,-2.3567045306175927,-2.606704530617593,E20_STALLER,229.77,220.767,9.003000000000014,2021-12-01 19:45:00+00:00,10.0,0.0,0.27679662334777144,0.07679662334777143,0.31844940575363606,0.23103409974453062,1,1
CLOCK_SUPPORT,external,,2021-12-14 17:00:00+00:00,REC_H2,2021-12-14 21:35:00+00:00,2021-12-14 23:55:00+00:00,2021-12-15 00:45:00+00:00,FAILED_BREAK,-0.7422986514908358,-0.9922986514908358,E20_STALLER,161.66,155.13,6.530000000000001,2021-12-15 00:30:00+00:00,35.0,10.0,0.15773353751914257,-0.04226646248085744,0.3047473200612571,0.23889739663093446,3,3
CLOCK_SUPPORT,external,,2021-12-15 17:00:00+00:00,REC_H2,2021-12-15 17:05:00+00:00,2021-12-15 17:25:00+00:00,2021-12-15 18:30:00+00:00,TARGET,9.91083884272459,9.660838842724589,E20_TO_E40_CONTINUATION,164.87,156.7,8.170000000000016,2021-12-15 17:30:00+00:00,5.0,0.0,0.20318237454100285,0.0031823745410028415,0.20318237454100285,0.24357405140758936,1,1
CLOCK_SUPPORT,external,,2021-12-30 17:00:00+00:00,REC_H2,2021-12-30 17:25:00+00:00,2021-12-31 08:20:00+00:00,2021-12-31 08:30:00+00:00,TARGET,2.8247622301953434,2.5747622301953434,E20_TO_E40_CONTINUATION,175.59,173.11,2.4799999999999898,2021-12-31 08:30:00+00:00,10.0,5.0,0.35887096774193145,0.15887096774193143,0.4919354838709693,0.9233870967741942,2,1
CLOCK_SUPPORT,reference_validation,,2025-01-23 17:00:00+00:00,REC_H2,2025-01-23 20:25:00+00:00,2025-01-24 00:25:00+00:00,2025-01-24 06:20:00+00:00,TARGET,11.03302881236823,10.783028812368228,E20_TO_E40_CONTINUATION,256.14,242.01,14.129999999999995,2025-01-24 05:10:00+00:00,285.0,5.0,0.1663128096249132,-0.0336871903750868,0.23920736022646827,0.640481245576786,2,2
CLOCK_SUPPORT,reference_validation,,2025-02-13 17:00:00+00:00,REC_H2,2025-02-13 18:55:00+00:00,2025-02-13 20:00:00+00:00,2025-02-13 20:30:00+00:00,TARGET,4.506604506604561,4.256604506604561,E20_TO_E40_CONTINUATION,193.05,188.7,4.350000000000023,2025-02-13 20:15:00+00:00,15.0,15.0,0.25747126436780926,0.05747126436780925,0.268965517241375,0.13333333333333552,4,2
