role,partition,dev_block,execution_start,component,outcome,entry_ts,e20_ts,trigger_ts,baseline_exit_ts,baseline_exit_reason,H,L,R,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mae_R_to_e20,closes_gt_H_to_e20,trigger_close_R,trigger_close_vs_E10_R,trigger_high_R,trigger_low_R,trigger_body_R,trigger_upper_wick_R,trigger_lower_wick_R,trigger_traded_E25,trigger_traded_E30,post_e20_peak_R,giveback_peak_to_trigger_close_R,running_mfe_R_to_trigger
CENTRAL,reference_validation,,2025-09-17 18:00:00+00:00,REC_H2,TRIGGERED_E40_RECOVERY,2025-09-17 18:25:00+00:00,2025-09-17 19:25:00+00:00,2025-09-17 19:30:00+00:00,2025-09-17 20:00:00+00:00,TARGET,236.95,231.76,5.189999999999998,60.0,0.0,0.15606936416185022,-0.043930635838149795,0.8670520231213876,1,0.07707129094412445,-0.02292870905587556,0.20231213872832599,0.013487475915225748,0.07899807321772577,0.04624277456647576,0.06358381502889869,False,False,0.20231213872832599,0.12524084778420153,0.20231213872832599
CENTRAL,reference_validation,,2025-11-27 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2025-11-27 19:30:00+00:00,2025-11-27 19:45:00+00:00,2025-11-27 19:50:00+00:00,2025-11-27 20:40:00+00:00,FAILED_BREAK,142.48,140.8,1.6799999999999784,15.0,5.0,0.0773809523809676,-0.12261904761903242,0.14880952380952572,2,0.09523809523809443,-0.004761904761905578,0.11904761904763073,-0.017857142857143765,0.01190476190475123,0.023809523809536295,0.10119047619048696,False,False,0.21428571428572515,0.11904761904763073,0.21428571428572515
CENTRAL,reference_validation,,2026-01-17 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2026-01-17 20:15:00+00:00,2026-01-17 20:20:00+00:00,2026-01-17 20:25:00+00:00,2026-01-17 21:20:00+00:00,FAILED_BREAK,144.29,143.52,0.7699999999999818,5.0,5.0,0.19480519480520678,-0.005194805194793234,0.16883116883116692,2,0.05194805194807975,-0.04805194805192026,0.19480519480520678,0.03896103896104136,0.12987012987012556,0.012987012987001481,0.012987012987038393,False,False,0.24675324675324964,0.1948051948051699,0.24675324675324964
CENTRAL,reference_validation,,2026-05-12 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2026-05-13 02:00:00+00:00,2026-05-13 02:20:00+00:00,2026-05-13 02:25:00+00:00,2026-05-13 02:40:00+00:00,FAILED_BREAK,95.2,93.55,1.6500000000000057,20.0,0.0,0.1333333333333322,-0.06666666666666782,0.14545454545455047,1,0.048484848484847284,-0.05151515151515272,0.13939393939394132,0.006060606060600528,0.0848484848484849,0.006060606060609141,0.04242424242424676,False,False,0.20606060606060742,0.15757575757576014,0.20606060606060742
CENTRAL,reference_validation,,2026-06-01 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2026-06-01 20:20:00+00:00,2026-06-01 23:15:00+00:00,2026-06-01 23:20:00+00:00,2026-06-01 23:30:00+00:00,FAILED_BREAK,81.2,79.06,2.140000000000001,175.0,30.0,0.14953271028037057,-0.05046728971962944,0.42990654205607537,7,0.06542056074766378,-0.034579439252336225,0.15420560747663464,0.06074766355139972,0.08411214953270679,0.004672897196264071,0.004672897196264071,False,False,0.21495327102803435,0.14953271028037057,0.21495327102803435
CENTRAL,reference_validation,,2026-07-02 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2026-07-03 08:40:00+00:00,2026-07-03 10:50:00+00:00,2026-07-03 10:55:00+00:00,2026-07-03 11:15:00+00:00,FAILED_BREAK,81.5,80.03,1.4699999999999989,130.0,0.0,0.1904761904761914,-0.009523809523808602,0.5918367346938811,1,0.00680272108843886,-0.09319727891156114,0.20408163265305945,-0.013605442176868052,0.17687074829931368,0.020408163265306912,0.020408163265306912,False,False,0.24489795918367327,0.23809523809523442,0.24489795918367327
CENTRAL,reference_validation,,2026-07-14 18:00:00+00:00,REC_H2,TRIGGERED_E40_RECOVERY,2026-07-15 05:50:00+00:00,2026-07-15 05:55:00+00:00,2026-07-15 06:00:00+00:00,2026-07-15 06:30:00+00:00,TARGET,78.0,76.63,1.3700000000000043,5.0,5.0,0.1678832116788345,-0.03211678832116552,0.08029197080291904,2,0.0948905109489015,-0.005109489051098509,0.2700729927007324,0.043795620437957726,0.06569343065693659,0.10948905109489432,0.05109489051094376,True,False,0.2700729927007324,0.17518248175183088,0.2700729927007324
CLOCK_SUPPORT,external,,2021-01-17 17:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-01-17 17:15:00+00:00,2021-01-17 17:20:00+00:00,2021-01-17 17:25:00+00:00,2021-01-17 17:35:00+00:00,FAILED_BREAK,3.7056,3.449,0.2566000000000001,5.0,5.0,0.1975837879968821,-0.0024162120031179235,0.12548713951675758,2,0.04559625876851059,-0.054403741231489416,0.19836321122369416,0.040140296180826075,0.14224473889321973,0.01052221356196385,0.0054559625876845095,False,False,0.2034294621979735,0.15783320342946291,0.2034294621979735
CLOCK_SUPPORT,external,,2021-04-16 17:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-04-17 07:50:00+00:00,2021-04-17 08:05:00+00:00,2021-04-17 08:10:00+00:00,2021-04-17 08:35:00+00:00,FAILED_BREAK,26.1245,24.9098,1.2147000000000006,15.0,15.0,0.12620400098789653,-0.07379599901210349,0.0545813781180553,4,0.0516176833786116,-0.04838231662138841,0.13698855684531108,0.001811146785213159,0.0725281962624522,0.012842677204247274,0.04980653659339843,False,False,0.2033423890672592,0.1517247056886476,0.2033423890672592
CLOCK_SUPPORT,external,,2021-06-12 17:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-06-12 21:10:00+00:00,2021-06-12 21:10:00+00:00,2021-06-12 21:15:00+00:00,2021-06-12 21:25:00+00:00,FAILED_BREAK,37.27,36.124,1.1460000000000008,0.0,0.0,0.13263525305409582,-0.06736474694590419,0.1614310645724277,1,0.08202443280976791,-0.017975567190232092,0.19808027923210872,0.07329842931936825,0.05584642233856894,0.060209424083771876,0.008726003490399654,False,False,0.2722513089005213,0.1902268760907534,0.2722513089005213
CLOCK_SUPPORT,external,,2021-07-03 17:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-07-04 05:40:00+00:00,2021-07-04 05:45:00+00:00,2021-07-04 05:50:00+00:00,2021-07-04 06:00:00+00:00,FAILED_BREAK,35.028,34.455,0.5730000000000004,5.0,5.0,0.0157068062827231,-0.18429319371727693,0.4066317626526995,2,0.0645724258289686,-0.0354275741710314,0.07678883071553928,-0.0802792321116917,0.04537521815008068,0.012216404886570676,0.09947643979057962,False,False,0.2774869109947623,0.2129144851657937,0.2774869109947623
CLOCK_SUPPORT,external,,2021-08-04 17:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-08-04 21:35:00+00:00,2021-08-04 22:10:00+00:00,2021-08-04 22:15:00+00:00,2021-08-04 22:40:00+00:00,FAILED_BREAK,36.311,34.731,1.5799999999999983,35.0,20.0,0.19936708860759372,-0.0006329113924062879,0.10822784810126554,5,0.09683544303797396,-0.003164556962026041,0.22531645569620382,0.0949367088607587,0.09746835443038204,0.031012658227847812,0.001898734177215264,False,False,0.22531645569620382,0.12848101265822987,0.22531645569620382
