partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_executed_b,tp_hit_b,time_exit_b,zone,trade_key,regime_available_ts,regime_at_signal,touch_elapsed_min,no_bear,touch_first_half,rr_ge_050
external,2020-10-19,480,2020-10-19 08:00:00+00:00,2020-10-19 13:30:00+00:00,2020-10-19 13:30:00+00:00,2020-10-19 20:00:00+00:00,11700.0,11442.62,257.3799999999992,11661.393,11532.703,11751.476,2020-10-19 15:15:00+00:00,2020-10-19 15:20:00+00:00,2020-10-19 15:20:00+00:00,2020-10-19 15:25:00+00:00,2020-10-19 15:40:00+00:00,,2020-10-19 15:30:00+00:00,True,True,2020-10-19 15:35:00+00:00,11672.11,0.8916388219752914,0.5693114406019814,2020-10-19 15:40:00+00:00,2020-10-19 15:40:00+00:00,11751.476,TP_E20,0.006799627488089,2.999813744044522,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-10-19 15:35:00+00:00,2020-10-19 12:00:00+00:00,BULL,120.0,True,True,True
external,2020-11-12,480,2020-11-12 08:00:00+00:00,2020-11-12 13:30:00+00:00,2020-11-12 13:30:00+00:00,2020-11-12 20:00:00+00:00,16176.22,15609.0,567.2199999999993,16091.137,15807.527,16289.664,2020-11-12 17:00:00+00:00,2020-11-12 17:05:00+00:00,2020-11-12 17:05:00+00:00,2020-11-12 17:10:00+00:00,,,2020-11-12 17:10:00+00:00,True,True,2020-11-12 17:15:00+00:00,16122.34,0.9050104016078432,0.531502828663361,2020-11-12 20:00:00+00:00,2020-11-12 20:00:00+00:00,16058.82,TIME_EXIT_EXEC_END,-0.0039398747328242,-2.3699373664121,False,True,TRADE_EXECUTED,True,False,True,LONDON,LONDON|external|2020-11-12 17:15:00+00:00,2020-11-12 16:00:00+00:00,BULL,220.0,True,False,True
external,2020-12-16,210,2020-12-16 03:30:00+00:00,2020-12-16 09:00:00+00:00,2020-12-16 09:00:00+00:00,2020-12-16 15:30:00+00:00,19487.5,19294.82,192.6800000000003,19458.598,19362.258,19526.036,2020-12-16 09:15:00+00:00,2020-12-16 09:20:00+00:00,2020-12-16 09:20:00+00:00,2020-12-16 09:25:00+00:00,2020-12-16 09:55:00+00:00,,2020-12-16 09:25:00+00:00,True,True,2020-12-16 09:30:00+00:00,19464.84,0.882395681959727,0.5965569008208146,2020-12-16 09:55:00+00:00,2020-12-16 09:55:00+00:00,19526.036,TP_E20,0.0031439251491407,1.1719625745703737,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-12-16 09:30:00+00:00,2020-12-16 08:00:00+00:00,BULL,25.0,True,True,True
external,2021-01-13,210,2021-01-13 03:30:00+00:00,2021-01-13 09:00:00+00:00,2021-01-13 09:00:00+00:00,2021-01-13 15:30:00+00:00,35200.0,32827.5,2372.5,34844.125,33657.875,35674.5,2021-01-13 11:35:00+00:00,2021-01-13 11:40:00+00:00,2021-01-13 11:40:00+00:00,2021-01-13 11:45:00+00:00,,,2021-01-13 14:15:00+00:00,True,True,2021-01-13 14:20:00+00:00,35089.46,0.95340779768177,0.408665919243357,2021-01-13 15:30:00+00:00,2021-01-13 15:30:00+00:00,34666.11,TIME_EXIT_EXEC_END,-0.0120648764614786,-6.432438230739345,False,True,TRADE_EXECUTED,True,False,True,ALT_0330,ALT_0330|external|2021-01-13 14:20:00+00:00,2021-01-13 08:00:00+00:00,SIDEWAYS,315.0,True,False,False
external,2021-01-14,480,2021-01-14 08:00:00+00:00,2021-01-14 13:30:00+00:00,2021-01-14 13:30:00+00:00,2021-01-14 20:00:00+00:00,38850.0,37760.0,1090.0,38686.5,38141.5,39068.0,2021-01-14 13:30:00+00:00,2021-01-14 13:35:00+00:00,2021-01-14 13:35:00+00:00,2021-01-14 13:40:00+00:00,2021-01-14 13:45:00+00:00,,2021-01-14 13:40:00+00:00,True,True,2021-01-14 13:45:00+00:00,38732.91,0.8925779816513794,0.5665950863191264,2021-01-14 13:50:00+00:00,2021-01-14 13:50:00+00:00,39068.0,TP_E20,0.0086512993730654,3.925649686532706,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2021-01-14 13:45:00+00:00,2021-01-14 12:00:00+00:00,BULL,10.0,True,True,True
external,2021-02-03,480,2021-02-03 08:00:00+00:00,2021-02-03 13:30:00+00:00,2021-02-03 13:30:00+00:00,2021-02-03 20:00:00+00:00,36776.89,35598.79,1178.0999999999983,36600.175,36011.125,37012.51,2021-02-03 14:00:00+00:00,2021-02-03 14:05:00+00:00,2021-02-03 14:05:00+00:00,2021-02-03 14:10:00+00:00,2021-02-03 15:20:00+00:00,,2021-02-03 14:10:00+00:00,True,True,2021-02-03 14:15:00+00:00,36610.01,0.8583481877599545,0.6720822862486098,2021-02-03 16:00:00+00:00,2021-02-03 16:00:00+00:00,37012.51,TP_E20,0.0109942608592568,5.097130429628405,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2021-02-03 14:15:00+00:00,2021-02-03 12:00:00+00:00,BULL,40.0,True,True,True
external,2021-02-12,210,2021-02-12 03:30:00+00:00,2021-02-12 09:00:00+00:00,2021-02-12 09:00:00+00:00,2021-02-12 15:30:00+00:00,47990.0,46817.47,1172.5299999999988,47814.1205,47227.8555,48224.506,2021-02-12 11:30:00+00:00,2021-02-12 11:35:00+00:00,2021-02-12 11:35:00+00:00,2021-02-12 11:40:00+00:00,2021-02-12 12:30:00+00:00,,2021-02-12 11:40:00+00:00,True,True,2021-02-12 11:45:00+00:00,47815.99,0.8515944154946976,0.6945962190621418,2021-02-12 13:10:00+00:00,2021-02-12 13:10:00+00:00,48224.506,TP_E20,0.0085435018703994,3.871750935199714,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2021-02-12 11:45:00+00:00,2021-02-12 08:00:00+00:00,BULL,160.0,True,True,True
external,2021-02-24,210,2021-02-24 03:30:00+00:00,2021-02-24 09:00:00+00:00,2021-02-24 09:00:00+00:00,2021-02-24 15:30:00+00:00,51380.0,49519.33,1860.6699999999985,51100.8995,50170.5645,51752.134,2021-02-24 09:40:00+00:00,2021-02-24 09:45:00+00:00,2021-02-24 09:45:00+00:00,2021-02-24 09:50:00+00:00,,2021-02-24 13:30:00+00:00,2021-02-24 12:20:00+00:00,True,True,2021-02-24 12:25:00+00:00,51165.54,0.8847404429587196,0.5895562252537847,2021-02-24 13:15:00+00:00,2021-02-24 13:20:00+00:00,49613.69,CLOSE_INVALIDATION_F35,-0.0303299838133243,-15.56499190666215,False,False,TRADE_EXECUTED,True,False,False,ALT_0330,ALT_0330|external|2021-02-24 12:25:00+00:00,2021-02-24 08:00:00+00:00,BEAR,200.0,False,False,True
external,2021-03-01,480,2021-03-01 08:00:00+00:00,2021-03-01 13:30:00+00:00,2021-03-01 13:30:00+00:00,2021-03-01 20:00:00+00:00,48448.63,46287.32,2161.3099999999977,48124.4335,47043.7785,48880.892,2021-03-01 14:30:00+00:00,2021-03-01 14:35:00+00:00,2021-03-01 14:35:00+00:00,2021-03-01 14:40:00+00:00,2021-03-01 15:05:00+00:00,,2021-03-01 14:50:00+00:00,True,True,2021-03-01 14:55:00+00:00,48185.0,0.8780230508349114,0.6097782069475558,2021-03-01 15:25:00+00:00,2021-03-01 15:25:00+00:00,48880.892,TP_E20,0.0144420877866555,6.821043893327783,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2021-03-01 14:55:00+00:00,2021-03-01 12:00:00+00:00,SIDEWAYS,80.0,True,True,True
external,2021-04-16,480,2021-04-16 08:00:00+00:00,2021-04-16 13:30:00+00:00,2021-04-16 13:30:00+00:00,2021-04-16 20:00:00+00:00,61737.97,60100.0,1637.9700000000012,61492.2745,60673.2895,62065.564,2021-04-16 16:00:00+00:00,2021-04-16 16:05:00+00:00,2021-04-16 16:05:00+00:00,2021-04-16 16:10:00+00:00,2021-04-16 16:45:00+00:00,,2021-04-16 16:10:00+00:00,True,True,2021-04-16 16:15:00+00:00,61500.0,0.8547165088493678,0.6841137254214115,2021-04-16 20:00:00+00:00,2021-04-16 20:00:00+00:00,61783.99,TIME_EXIT_EXEC_END,0.0046177235772357,1.908861788617889,False,True,TRADE_EXECUTED,True,False,True,LONDON,LONDON|external|2021-04-16 16:15:00+00:00,2021-04-16 16:00:00+00:00,SIDEWAYS,160.0,True,True,True
external,2021-04-20,210,2021-04-20 03:30:00+00:00,2021-04-20 09:00:00+00:00,2021-04-20 09:00:00+00:00,2021-04-20 15:30:00+00:00,55458.32,53330.82,2127.5,55139.195,54075.445,55883.82,2021-04-20 09:15:00+00:00,2021-04-20 09:20:00+00:00,2021-04-20 09:20:00+00:00,2021-04-20 09:25:00+00:00,2021-04-20 10:15:00+00:00,,2021-04-20 09:25:00+00:00,True,True,2021-04-20 09:30:00+00:00,55270.38,0.9116615746180952,0.5133668358529991,2021-04-20 10:15:00+00:00,2021-04-20 10:15:00+00:00,55883.82,TP_E20,0.0110988923904631,5.149446195231566,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2021-04-20 09:30:00+00:00,2021-04-20 08:00:00+00:00,SIDEWAYS,25.0,True,True,True
external,2021-04-20,480,2021-04-20 08:00:00+00:00,2021-04-20 13:30:00+00:00,2021-04-20 13:30:00+00:00,2021-04-20 20:00:00+00:00,56450.0,54248.41,2201.5899999999965,56119.7615,55018.9665,56890.318,2021-04-20 14:00:00+00:00,2021-04-20 14:05:00+00:00,2021-04-20 14:05:00+00:00,2021-04-20 14:10:00+00:00,2021-04-20 19:00:00+00:00,,2021-04-20 14:15:00+00:00,True,True,2021-04-20 14:20:00+00:00,56124.34,0.852079633355891,0.6929585339254168,2021-04-20 20:00:00+00:00,2021-04-20 20:00:00+00:00,56575.75,TIME_EXIT_EXEC_END,0.0080430344481556,3.621517224077842,False,True,TRADE_EXECUTED,True,False,True,LONDON,LONDON|external|2021-04-20 14:20:00+00:00,2021-04-20 12:00:00+00:00,SIDEWAYS,45.0,True,True,True
