rule,source_tf,family,side_type,mode,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,WIN,event_key,p_hold,route,partition
W1|R3_HIGH|SUPPORT|HOLD,W1,R3_HIGH,SUPPORT,HOLD,26498,2023-01-09 02:00:00+00:00,LONG,17181.1,W1|R3_HIGH|2023-01-02T00:00:00+00:00,2023-W02,2023-01-09 03:00:00+00:00,2023-01-09 18:00:00+00:00,17182.9,17380.503350000003,17036.845350000003,TP,0.010000000000000066,16,1,W1|R3_HIGH|LONG|W1|R3_HIGH|2023-01-02T00:00:00+00:00,0.7471623971254138,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_HIGH|SUPPORT|HOLD,H4,PREV_HIGH,SUPPORT,HOLD,26664,2023-01-16 00:00:00+00:00,LONG,20970.0,H4|PREV_HIGH|2023-01-15T20:00:00+00:00,2023-W03,2023-01-16 01:00:00+00:00,2023-01-16 01:00:00+00:00,20981.5,21222.78725,20803.15725,TP,0.010000000000000066,1,1,H4|PREV_HIGH|LONG|H4|PREV_HIGH|2023-01-15T20:00:00+00:00,0.6142663874418006,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_LOW|SUPPORT|HOLD,H4,PREV_LOW,SUPPORT,HOLD,26839,2023-01-23 07:00:00+00:00,LONG,22645.6,H4|PREV_LOW|2023-01-23T00:00:00+00:00,2023-W04,2023-01-23 08:00:00+00:00,2023-01-23 10:00:00+00:00,22692.4,22953.362600000004,22499.514600000002,TP,0.010000000000000066,3,1,H4|PREV_LOW|LONG|H4|PREV_LOW|2023-01-23T00:00:00+00:00,0.5674820652674603,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|RESISTANCE|HOLD,H1,R3_LOW,RESISTANCE,HOLD,27001,2023-01-30 01:00:00+00:00,SHORT,23685.0,H1|R3_LOW|2023-01-30T00:00:00+00:00,2023-W05,2023-01-30 02:00:00+00:00,2023-01-30 09:00:00+00:00,23672.7,23400.46395,23873.91795,TP,0.009999999999999955,8,1,H1|R3_LOW|SHORT|H1|R3_LOW|2023-01-30T00:00:00+00:00,0.5828063833209876,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,27168,2023-02-06 00:00:00+00:00,LONG,22999.4,H1|PREV_HIGH|2023-02-05T23:00:00+00:00,2023-W06,2023-02-06 01:00:00+00:00,2023-02-06 03:00:00+00:00,23050.0,23315.075,22854.075,SL,-0.009999999999999952,3,0,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2023-02-05T23:00:00+00:00,0.5661524557361834,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_OPEN|RESISTANCE|HOLD,D1,PREV_OPEN,RESISTANCE,HOLD,27336,2023-02-13 00:00:00+00:00,SHORT,21851.2,D1|PREV_OPEN|2023-02-12T00:00:00+00:00,2023-W07,2023-02-13 01:00:00+00:00,2023-02-13 09:00:00+00:00,21800.0,21549.3,21985.3,TP,0.010000000000000066,9,1,D1|PREV_OPEN|SHORT|D1|PREV_OPEN|2023-02-12T00:00:00+00:00,0.5704083781764119,LEVEL_SURVIVAL_TRIGGER,development
H1|SWING2_LOW|RESISTANCE|HOLD,H1,SWING2_LOW,RESISTANCE,HOLD,27504,2023-02-20 00:00:00+00:00,SHORT,24242.4,H1|SWING2_LOW|2023-02-19T20:00:00+00:00,2023-W08,2023-02-20 01:00:00+00:00,2023-02-20 01:00:00+00:00,24208.0,23929.608,24413.768,TP,0.009999999999999955,1,1,H1|SWING2_LOW|SHORT|H1|SWING2_LOW|2023-02-19T20:00:00+00:00,0.5696450834515768,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,27672,2023-02-27 00:00:00+00:00,LONG,23444.1,H1|PREV_LOW|2023-02-26T23:00:00+00:00,2023-W09,2023-02-27 01:00:00+00:00,2023-02-27 13:00:00+00:00,23482.3,23752.34645,23282.70045,TP,0.010000000000000066,13,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2023-02-26T23:00:00+00:00,0.5784778947176906,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_HIGH|RESISTANCE|HOLD,H4,PREV_HIGH,RESISTANCE,HOLD,27848,2023-03-06 08:00:00+00:00,SHORT,22429.6,H4|PREV_HIGH|2023-03-06T04:00:00+00:00,2023-W10,2023-03-06 09:00:00+00:00,2023-03-07 15:00:00+00:00,22406.1,22148.42985,22596.551849999996,TP,0.009999999999999955,31,1,H4|PREV_HIGH|SHORT|H4|PREV_HIGH|2023-03-06T04:00:00+00:00,0.5711262040164168,LEVEL_SURVIVAL_TRIGGER,development
H1|SWING2_HIGH|SUPPORT|HOLD,H1,SWING2_HIGH,SUPPORT,HOLD,28086,2023-03-16 06:00:00+00:00,LONG,24440.0,H1|SWING2_HIGH|2023-03-16T02:00:00+00:00,2023-W11,2023-03-16 07:00:00+00:00,2023-03-16 09:00:00+00:00,24569.4,24851.9481,24360.560100000002,TP,0.010000000000000066,3,1,H1|SWING2_HIGH|LONG|H1|SWING2_HIGH|2023-03-16T02:00:00+00:00,0.5655233564411584,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|RESISTANCE|HOLD,H1,R3_LOW,RESISTANCE,HOLD,28176,2023-03-20 00:00:00+00:00,SHORT,27860.6,H1|R3_LOW|2023-03-19T21:00:00+00:00,2023-W12,2023-03-20 01:00:00+00:00,2023-03-20 02:00:00+00:00,27815.0,27495.127500000002,28051.427499999998,TP,0.009999999999999955,2,1,H1|R3_LOW|SHORT|H1|R3_LOW|2023-03-19T21:00:00+00:00,0.5717901593284516,LEVEL_SURVIVAL_TRIGGER,development
H1|SWING2_HIGH|RESISTANCE|HOLD,H1,SWING2_HIGH,RESISTANCE,HOLD,28345,2023-03-27 01:00:00+00:00,SHORT,27934.7,H1|SWING2_HIGH|2023-03-26T18:00:00+00:00,2023-W13,2023-03-27 02:00:00+00:00,2023-03-27 14:00:00+00:00,27813.9,27494.040150000004,28050.31815,TP,0.009999999999999844,13,1,H1|SWING2_HIGH|SHORT|H1|SWING2_HIGH|2023-03-26T18:00:00+00:00,0.5911610067859325,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,28516,2023-04-03 04:00:00+00:00,SHORT,27706.8,H1|PREV_OPEN|2023-04-03T03:00:00+00:00,2023-W14,2023-04-03 05:00:00+00:00,2023-04-03 07:00:00+00:00,27692.7,27374.23395,27928.08795,SL,-0.009999999999999952,3,0,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2023-04-03T03:00:00+00:00,0.5698832895361144,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|SUPPORT|HOLD,H1,PREV_OPEN,SUPPORT,HOLD,28680,2023-04-10 00:00:00+00:00,LONG,28365.2,H1|PREV_OPEN|2023-04-09T23:00:00+00:00,2023-W15,2023-04-10 01:00:00+00:00,2023-04-10 16:00:00+00:00,28368.1,28694.333150000002,28126.97115,TP,0.010000000000000066,16,1,H1|PREV_OPEN|LONG|H1|PREV_OPEN|2023-04-09T23:00:00+00:00,0.6678609299733032,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,28854,2023-04-17 06:00:00+00:00,SHORT,29921.0,H1|PREV_LOW|2023-04-17T05:00:00+00:00,2023-W16,2023-04-17 07:00:00+00:00,2023-04-17 11:00:00+00:00,29890.1,29546.36385,30144.165849999998,TP,0.009999999999999955,5,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2023-04-17T05:00:00+00:00,0.630942353458145,LEVEL_SURVIVAL_TRIGGER,development
H1|R12_HIGH|RESISTANCE|HOLD,H1,R12_HIGH,RESISTANCE,HOLD,29017,2023-04-24 01:00:00+00:00,SHORT,27869.2,H1|R12_HIGH|2023-04-24T00:00:00+00:00,2023-W17,2023-04-24 02:00:00+00:00,2023-04-24 07:00:00+00:00,27739.8,27420.7923,27975.5883,TP,0.009999999999999955,6,1,H1|R12_HIGH|SHORT|H1|R12_HIGH|2023-04-24T00:00:00+00:00,0.5754732315238095,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,29189,2023-05-01 05:00:00+00:00,SHORT,28470.1,H1|PREV_LOW|2023-05-01T04:00:00+00:00,2023-W18,2023-05-01 06:00:00+00:00,2023-05-01 15:00:00+00:00,28467.9,28140.519150000004,28709.87715,TP,0.009999999999999955,10,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2023-05-01T04:00:00+00:00,0.603954120832571,LEVEL_SURVIVAL_TRIGGER,development
H1|R12_LOW|RESISTANCE|HOLD,H1,R12_LOW,RESISTANCE,HOLD,29353,2023-05-08 01:00:00+00:00,SHORT,28345.0,H1|R12_LOW|2023-05-08T00:00:00+00:00,2023-W19,2023-05-08 02:00:00+00:00,2023-05-08 07:00:00+00:00,28208.0,27883.608,28447.768,TP,0.009999999999999955,6,1,H1|R12_LOW|SHORT|H1|R12_LOW|2023-05-08T00:00:00+00:00,0.5984850476105705,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_HIGH|SUPPORT|HOLD,D1,PREV_HIGH,SUPPORT,HOLD,29523,2023-05-15 03:00:00+00:00,LONG,27200.0,D1|PREV_HIGH|2023-05-14T00:00:00+00:00,2023-W20,2023-05-15 04:00:00+00:00,2023-05-15 06:00:00+00:00,27216.4,27529.388600000002,26985.060600000004,TP,0.010000000000000066,3,1,D1|PREV_HIGH|LONG|D1|PREV_HIGH|2023-05-14T00:00:00+00:00,0.6499340835770032,LEVEL_SURVIVAL_TRIGGER,development
D1|R3_LOW|SUPPORT|HOLD,D1,R3_LOW,SUPPORT,HOLD,29688,2023-05-22 00:00:00+00:00,LONG,26611.2,D1|R3_LOW|2023-05-19T00:00:00+00:00,2023-W21,2023-05-22 01:00:00+00:00,2023-05-22 13:00:00+00:00,26641.7,26948.079550000002,26415.245550000003,TP,0.010000000000000066,13,1,D1|R3_LOW|LONG|D1|R3_LOW|2023-05-19T00:00:00+00:00,0.5850988682995854,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_HIGH|RESISTANCE|HOLD,D1,PREV_HIGH,RESISTANCE,HOLD,29856,2023-05-29 00:00:00+00:00,SHORT,28252.8,D1|PREV_HIGH|2023-05-28T00:00:00+00:00,2023-W22,2023-05-29 01:00:00+00:00,2023-05-29 04:00:00+00:00,28188.6,27864.4311,28428.2031,TP,0.009999999999999844,4,1,D1|PREV_HIGH|SHORT|D1|PREV_HIGH|2023-05-28T00:00:00+00:00,0.6158398649973841,LEVEL_SURVIVAL_TRIGGER,development
H4|R3_LOW|RESISTANCE|HOLD,H4,R3_LOW,RESISTANCE,HOLD,30024,2023-06-05 00:00:00+00:00,SHORT,27026.0,H4|R3_LOW|2023-06-04T20:00:00+00:00,2023-W23,2023-06-05 01:00:00+00:00,2023-06-05 09:00:00+00:00,27018.7,26707.984950000002,27248.358949999998,TP,0.009999999999999955,9,1,H4|R3_LOW|SHORT|H4|R3_LOW|2023-06-04T20:00:00+00:00,0.6858198596408502,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,30192,2023-06-12 00:00:00+00:00,SHORT,26021.1,H4|PREV_OPEN|2023-06-11T20:00:00+00:00,2023-W24,2023-06-12 01:00:00+00:00,2023-06-12 02:00:00+00:00,25955.3,25656.81405,26175.920049999997,TP,0.009999999999999955,2,1,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2023-06-11T20:00:00+00:00,0.5679927707085876,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,30360,2023-06-19 00:00:00+00:00,SHORT,26390.4,H1|PREV_OPEN|2023-06-18T23:00:00+00:00,2023-W25,2023-06-19 01:00:00+00:00,2023-06-19 17:00:00+00:00,26356.1,26053.00485,26580.126849999997,SL,-0.009999999999999952,17,0,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2023-06-18T23:00:00+00:00,0.5711851000023694,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,30528,2023-06-26 00:00:00+00:00,SHORT,30420.0,H4|PREV_OPEN|2023-06-25T20:00:00+00:00,2023-W26,2023-06-26 01:00:00+00:00,2023-06-26 01:00:00+00:00,30378.9,30029.542650000003,30637.12065,TP,0.009999999999999955,1,1,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2023-06-25T20:00:00+00:00,0.5783883984930273,LEVEL_SURVIVAL_TRIGGER,development
H4|SWING2_HIGH|SUPPORT|HOLD,H4,SWING2_HIGH,SUPPORT,HOLD,30697,2023-07-03 01:00:00+00:00,LONG,30650.0,H4|SWING2_HIGH|2023-07-02T00:00:00+00:00,2023-W27,2023-07-03 02:00:00+00:00,2023-07-03 15:00:00+00:00,30660.3,31012.89345,30399.68745,TP,0.010000000000000066,14,1,H4|SWING2_HIGH|LONG|H4|SWING2_HIGH|2023-07-02T00:00:00+00:00,0.5841374724772783,LEVEL_SURVIVAL_TRIGGER,development
H4|R3_LOW|SUPPORT|HOLD,H4,R3_LOW,SUPPORT,HOLD,30864,2023-07-10 00:00:00+00:00,LONG,30042.0,H4|R3_LOW|2023-07-09T20:00:00+00:00,2023-W28,2023-07-10 01:00:00+00:00,2023-07-10 18:00:00+00:00,30077.7,30423.59355,29822.03955,TP,0.010000000000000066,18,1,H4|R3_LOW|LONG|H4|R3_LOW|2023-07-09T20:00:00+00:00,0.610497130225351,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|RESISTANCE|HOLD,H1,R3_LOW,RESISTANCE,HOLD,31041,2023-07-17 09:00:00+00:00,SHORT,30220.2,H1|R3_LOW|2023-07-17T06:00:00+00:00,2023-W29,2023-07-17 10:00:00+00:00,2023-07-17 18:00:00+00:00,30163.5,29816.61975,30419.88975,TP,0.009999999999999955,9,1,H1|R3_LOW|SHORT|H1|R3_LOW|2023-07-17T06:00:00+00:00,0.6036866388702209,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,31200,2023-07-24 00:00:00+00:00,SHORT,30004.4,H1|PREV_LOW|2023-07-23T23:00:00+00:00,2023-W30,2023-07-24 01:00:00+00:00,2023-07-24 03:00:00+00:00,30000.9,29655.88965,30255.90765,TP,0.010000000000000066,3,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2023-07-23T23:00:00+00:00,0.5915590974108411,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_HIGH|RESISTANCE|HOLD,D1,PREV_HIGH,RESISTANCE,HOLD,31369,2023-07-31 01:00:00+00:00,SHORT,29442.5,D1|PREV_HIGH|2023-07-30T00:00:00+00:00,2023-W31,2023-07-31 02:00:00+00:00,2023-07-31 19:00:00+00:00,29442.4,29103.812400000003,29692.6604,TP,0.009999999999999955,18,1,D1|PREV_HIGH|SHORT|D1|PREV_HIGH|2023-07-30T00:00:00+00:00,0.5876514815615058,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,31536,2023-08-07 00:00:00+00:00,SHORT,29077.0,H4|PREV_OPEN|2023-08-06T20:00:00+00:00,2023-W32,2023-08-07 01:00:00+00:00,2023-08-07 16:00:00+00:00,29046.5,28712.46525,29293.395249999998,TP,0.009999999999999955,16,1,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2023-08-06T20:00:00+00:00,0.5840033806877042,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|SUPPORT|HOLD,H1,R3_LOW,SUPPORT,HOLD,31704,2023-08-14 00:00:00+00:00,LONG,29256.6,H1|R3_LOW|2023-08-13T22:00:00+00:00,2023-W33,2023-08-14 01:00:00+00:00,2023-08-14 15:00:00+00:00,29260.7,29597.198050000003,29011.984050000003,TP,0.010000000000000066,15,1,H1|R3_LOW|LONG|H1|R3_LOW|2023-08-13T22:00:00+00:00,0.664077938488605,LEVEL_SURVIVAL_TRIGGER,development
H1|R6_LOW|SUPPORT|HOLD,H1,R6_LOW,SUPPORT,HOLD,31887,2023-08-21 15:00:00+00:00,LONG,25861.0,H1|R6_LOW|2023-08-21T10:00:00+00:00,2023-W34,2023-08-21 16:00:00+00:00,2023-08-21 21:00:00+00:00,25925.1,26223.23865,25704.73665,TP,0.010000000000000066,6,1,H1|R6_LOW|LONG|H1|R6_LOW|2023-08-21T10:00:00+00:00,0.5677351472500896,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,32048,2023-08-28 08:00:00+00:00,LONG,25940.0,H1|PREV_HIGH|2023-08-28T07:00:00+00:00,2023-W35,2023-08-28 09:00:00+00:00,2023-08-29 14:00:00+00:00,25952.9,26251.358350000002,25732.30035,TP,0.010000000000000066,30,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2023-08-28T07:00:00+00:00,0.5834505164501522,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_LOW|RESISTANCE|HOLD,H4,PREV_LOW,RESISTANCE,HOLD,32208,2023-09-04 00:00:00+00:00,SHORT,25915.0,H4|PREV_LOW|2023-09-03T20:00:00+00:00,2023-W36,2023-09-04 01:00:00+00:00,2023-09-05 03:00:00+00:00,25900.2,25602.347700000002,26120.3517,TP,0.009999999999999955,27,1,H4|PREV_LOW|SHORT|H4|PREV_LOW|2023-09-03T20:00:00+00:00,0.596575242408778,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_LOW|RESISTANCE|HOLD,H4,PREV_LOW,RESISTANCE,HOLD,32376,2023-09-11 00:00:00+00:00,SHORT,25758.0,H4|PREV_LOW|2023-09-10T20:00:00+00:00,2023-W37,2023-09-11 01:00:00+00:00,2023-09-11 14:00:00+00:00,25715.6,25419.8706,25934.182599999996,TP,0.009999999999999955,14,1,H4|PREV_LOW|SHORT|H4|PREV_LOW|2023-09-10T20:00:00+00:00,0.605453595260531,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,32544,2023-09-18 00:00:00+00:00,LONG,26435.5,H1|PREV_LOW|2023-09-17T23:00:00+00:00,2023-W38,2023-09-18 01:00:00+00:00,2023-09-18 07:00:00+00:00,26450.0,26754.175000000003,26225.175000000003,TP,0.010000000000000066,7,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2023-09-17T23:00:00+00:00,0.5720708358580524,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,32713,2023-09-25 01:00:00+00:00,SHORT,26240.0,H1|PREV_HIGH|2023-09-25T00:00:00+00:00,2023-W39,2023-09-25 02:00:00+00:00,2023-09-25 16:00:00+00:00,26151.7,25850.95545,26373.98945,SL,-0.009999999999999952,15,0,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2023-09-25T00:00:00+00:00,0.6019436524127304,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,32881,2023-10-02 01:00:00+00:00,LONG,27870.0,H1|PREV_LOW|2023-10-02T00:00:00+00:00,2023-W40,2023-10-02 02:00:00+00:00,2023-10-02 03:00:00+00:00,27907.4,28228.335100000004,27670.187100000003,TP,0.010000000000000066,2,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2023-10-02T00:00:00+00:00,0.6146943375240507,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,33048,2023-10-09 00:00:00+00:00,SHORT,27880.3,H4|PREV_OPEN|2023-10-08T20:00:00+00:00,2023-W41,2023-10-09 01:00:00+00:00,2023-10-09 09:00:00+00:00,27808.8,27488.9988,28045.174799999997,TP,0.009999999999999955,9,1,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2023-10-08T20:00:00+00:00,0.5658740163937456,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,33217,2023-10-16 01:00:00+00:00,LONG,27179.9,H1|PREV_HIGH|2023-10-16T00:00:00+00:00,2023-W42,2023-10-16 02:00:00+00:00,2023-10-16 05:00:00+00:00,27181.2,27493.7838,26950.1598,TP,0.010000000000000066,4,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2023-10-16T00:00:00+00:00,0.6440519978107548,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_HIGH|SUPPORT|HOLD,H4,PREV_HIGH,SUPPORT,HOLD,33384,2023-10-23 00:00:00+00:00,LONG,30060.2,H4|PREV_HIGH|2023-10-22T20:00:00+00:00,2023-W43,2023-10-23 01:00:00+00:00,2023-10-23 01:00:00+00:00,30107.3,30453.53395,29851.38795,TP,0.010000000000000066,1,1,H4|PREV_HIGH|LONG|H4|PREV_HIGH|2023-10-22T20:00:00+00:00,0.6707335690224697,LEVEL_SURVIVAL_TRIGGER,development
H1|R12_LOW|RESISTANCE|HOLD,H1,R12_LOW,RESISTANCE,HOLD,33554,2023-10-30 02:00:00+00:00,SHORT,34336.6,H1|R12_LOW|2023-10-29T14:00:00+00:00,2023-W44,2023-10-30 03:00:00+00:00,2023-10-30 09:00:00+00:00,34328.5,33933.72225,34620.29225,SL,-0.009999999999999952,7,0,H1|R12_LOW|SHORT|H1|R12_LOW|2023-10-29T14:00:00+00:00,0.5795307513853516,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_LOW|RESISTANCE|HOLD,H4,PREV_LOW,RESISTANCE,HOLD,33753,2023-11-07 09:00:00+00:00,SHORT,34835.5,H4|PREV_LOW|2023-11-07T04:00:00+00:00,2023-W45,2023-11-07 10:00:00+00:00,2023-11-07 18:00:00+00:00,34799.2,34399.0092,35094.9932,SL,-0.009999999999999952,9,0,H4|PREV_LOW|SHORT|H4|PREV_LOW|2023-11-07T04:00:00+00:00,0.565005137261393,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_HIGH|RESISTANCE|HOLD,D1,PREV_HIGH,RESISTANCE,HOLD,33889,2023-11-13 01:00:00+00:00,SHORT,37258.4,D1|PREV_HIGH|2023-11-12T00:00:00+00:00,2023-W46,2023-11-13 02:00:00+00:00,2023-11-13 06:00:00+00:00,37213.6,36785.6436,37529.9156,TP,0.009999999999999844,5,1,D1|PREV_HIGH|SHORT|D1|PREV_HIGH|2023-11-12T00:00:00+00:00,0.612311080745792,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|SUPPORT|HOLD,H1,PREV_OPEN,SUPPORT,HOLD,34058,2023-11-20 02:00:00+00:00,LONG,37315.0,H1|PREV_OPEN|2023-11-20T01:00:00+00:00,2023-W47,2023-11-20 03:00:00+00:00,2023-11-20 14:00:00+00:00,37319.9,37749.078850000005,37002.680850000004,SL,-0.009999999999999952,12,0,H1|PREV_OPEN|LONG|H1|PREV_OPEN|2023-11-20T01:00:00+00:00,0.5928590315755514,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|RESISTANCE|HOLD,H1,R3_LOW,RESISTANCE,HOLD,34226,2023-11-27 02:00:00+00:00,SHORT,37306.5,H1|R3_LOW|2023-11-26T23:00:00+00:00,2023-W48,2023-11-27 03:00:00+00:00,2023-11-27 11:00:00+00:00,37299.7,36870.75345,37616.747449999995,TP,0.010000000000000066,9,1,H1|R3_LOW|SHORT|H1|R3_LOW|2023-11-26T23:00:00+00:00,0.6390505197795094,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|SUPPORT|HOLD,H1,PREV_OPEN,SUPPORT,HOLD,34392,2023-12-04 00:00:00+00:00,LONG,40079.9,H1|PREV_OPEN|2023-12-03T23:00:00+00:00,2023-W49,2023-12-04 01:00:00+00:00,2023-12-04 01:00:00+00:00,40217.7,40680.20355,39875.84955,TP,0.010000000000000066,1,1,H1|PREV_OPEN|LONG|H1|PREV_OPEN|2023-12-03T23:00:00+00:00,0.5795410202257223,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_OPEN|RESISTANCE|HOLD,D1,PREV_OPEN,RESISTANCE,HOLD,34560,2023-12-11 00:00:00+00:00,SHORT,43734.2,D1|PREV_OPEN|2023-12-10T00:00:00+00:00,2023-W50,2023-12-11 01:00:00+00:00,2023-12-11 02:00:00+00:00,43642.3,43140.413550000005,44013.25955,TP,0.009999999999999955,2,1,D1|PREV_OPEN|SHORT|D1|PREV_OPEN|2023-12-10T00:00:00+00:00,0.6141805062817857,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,34733,2023-12-18 05:00:00+00:00,SHORT,41056.5,H1|PREV_LOW|2023-12-18T04:00:00+00:00,2023-W51,2023-12-18 06:00:00+00:00,2023-12-18 10:00:00+00:00,41032.2,40560.3297,41380.973699999995,TP,0.009999999999999844,5,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2023-12-18T04:00:00+00:00,0.6047498983289301,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,34896,2023-12-25 00:00:00+00:00,SHORT,42994.3,H1|PREV_OPEN|2023-12-24T23:00:00+00:00,2023-W52,2023-12-25 01:00:00+00:00,2023-12-25 06:00:00+00:00,42946.9,42453.010650000004,43311.94865,SL,-0.009999999999999952,6,0,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2023-12-24T23:00:00+00:00,0.6243535426536835,LEVEL_SURVIVAL_TRIGGER,development
H1|R6_HIGH|SUPPORT|HOLD,H1,R6_HIGH,SUPPORT,HOLD,35073,2024-01-01 09:00:00+00:00,LONG,42630.0,H1|R6_HIGH|2024-01-01T03:00:00+00:00,2024-W01,2024-01-01 10:00:00+00:00,2024-01-01 18:00:00+00:00,42688.8,43179.72120000001,42325.9452,TP,0.010000000000000066,9,1,H1|R6_HIGH|LONG|H1|R6_HIGH|2024-01-01T03:00:00+00:00,0.5680240082356575,LEVEL_SURVIVAL_TRIGGER,development
H4|SWING2_HIGH|SUPPORT|HOLD,H4,SWING2_HIGH,SUPPORT,HOLD,35243,2024-01-08 11:00:00+00:00,LONG,44486.9,H4|SWING2_HIGH|2024-01-07T12:00:00+00:00,2024-W02,2024-01-08 12:00:00+00:00,2024-01-08 12:00:00+00:00,44637.2,45150.5278,44257.7838,TP,0.010000000000000066,1,1,H4|SWING2_HIGH|LONG|H4|SWING2_HIGH|2024-01-07T12:00:00+00:00,0.5982089834136242,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_HIGH|RESISTANCE|HOLD,H4,PREV_HIGH,RESISTANCE,HOLD,35436,2024-01-16 12:00:00+00:00,SHORT,43164.9,H4|PREV_HIGH|2024-01-16T08:00:00+00:00,2024-W03,2024-01-16 13:00:00+00:00,2024-01-16 14:00:00+00:00,43160.1,42663.75885,43526.960849999996,TP,0.009999999999999955,2,1,H4|PREV_HIGH|SHORT|H4|PREV_HIGH|2024-01-16T08:00:00+00:00,0.569555077596778,LEVEL_SURVIVAL_TRIGGER,development
