partition,entry_ts,exit_ts_norm,pnl,side,source,clock_min_norm,candidate_id,blocked_by_long,side_order,portfolio,accepted_portfolio,blocked_by_side,blocked_by_id,set,scenario
development,2024-10-14 12:05:00+00:00,2024-10-14 13:55:00+00:00,0.7119696359802589,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-10-14 12:05:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-10-24 12:20:00+00:00,2024-10-24 13:35:00+00:00,0.45140593225241366,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-10-24 12:20:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-11-20 05:45:00+00:00,2024-11-20 06:15:00+00:00,0.6484144356270874,LONG,LONG_RAW_2330,-1,development|LONG|RAW_2330|2024-11-20 05:45:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-04 12:30:00+00:00,2024-12-04 13:45:00+00:00,1.6986503169749816,SHORT,SHORT_0430,270,development|SHORT|270|2024-12-04 12:30:00+00:00,,1,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-09 10:20:00+00:00,2024-12-09 12:00:00+00:00,1.6335038750087243,SHORT,SHORT_0430,270,development|SHORT|270|2024-12-09 10:20:00+00:00,,1,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-11 05:15:00+00:00,2024-12-11 08:50:00+00:00,2.635233969160056,LONG,LONG_RAW_2330,-1,development|LONG|RAW_2330|2024-12-11 05:15:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-19 09:35:00+00:00,2024-12-19 10:15:00+00:00,1.0410779439900657,LONG,LONG_ALT_0330,-1,development|LONG|ALT_0330|2024-12-19 09:35:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-23 11:15:00+00:00,2024-12-23 11:30:00+00:00,-1.3354176811630643,LONG,LONG_RAW_2330,-1,development|LONG|RAW_2330|2024-12-23 11:15:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-12-31 14:55:00+00:00,2024-12-31 17:40:00+00:00,-12.413291523725933,LONG,LONG_LONDON,-1,development|LONG|LONDON|2024-12-31 14:55:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-01-01 12:40:00+00:00,2025-01-01 14:20:00+00:00,1.370886967905061,LONG,LONG_RAW_0530,-1,reference_validation|LONG|RAW_0530|2025-01-01 12:40:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-01-02 14:45:00+00:00,2025-01-02 15:05:00+00:00,1.3140351185305215,LONG,LONG_LONDON,-1,reference_validation|LONG|LONDON|2025-01-02 14:45:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-01-17 08:50:00+00:00,2025-01-17 11:30:00+00:00,1.9620322709589915,LONG,LONG_RAW_2330,-1,reference_validation|LONG|RAW_2330|2025-01-17 08:50:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-01-20 06:00:00+00:00,2025-01-20 07:00:00+00:00,25.11104170616303,LONG,LONG_RAW_2330,-1,reference_validation|LONG|RAW_2330|2025-01-20 06:00:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-02-20 11:20:00+00:00,2025-02-20 12:30:00+00:00,0.21132928385521088,LONG,LONG_RAW_0530,-1,reference_validation|LONG|RAW_0530|2025-02-20 11:20:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-05 09:00:00+00:00,2025-03-05 09:45:00+00:00,2.983189056138658,LONG,LONG_RAW_2330,-1,reference_validation|LONG|RAW_2330|2025-03-05 09:00:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-07 13:25:00+00:00,2025-03-07 13:45:00+00:00,1.8779537321392374,LONG,LONG_RAW_0530,-1,reference_validation|LONG|RAW_0530|2025-03-07 13:25:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-10 05:40:00+00:00,2025-03-10 09:30:00+00:00,4.680238255705915,LONG,LONG_RAW_2330,-1,reference_validation|LONG|RAW_2330|2025-03-10 05:40:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-11 11:20:00+00:00,2025-03-11 13:10:00+00:00,-7.342378988777421,LONG,LONG_RAW_0530,-1,reference_validation|LONG|RAW_0530|2025-03-11 11:20:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-19 14:20:00+00:00,2025-03-19 16:05:00+00:00,1.4080182297229853,LONG,LONG_LONDON,-1,reference_validation|LONG|LONDON|2025-03-19 14:20:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
reference_validation,2025-03-21 12:55:00+00:00,2025-03-21 12:55:00+00:00,1.1502162272615362,SHORT,SHORT_0430,270,reference_validation|SHORT|270|2025-03-21 12:55:00+00:00,,1,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
