partition,horizon_min,from_state,to_state,n,share,from_total_n
development,30,HIGHLOC_SELL_UNWIND_LIKE,DOWN_POSITION_BUILD,9,0.002540937323546019,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,DOWN_UNWIND_LIKE,73,0.020609824957651044,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,EVENT_CONFLICT,4,0.001129305477131564,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,HIGHLOC_BUY_BUILD,607,0.17137210615471485,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,HIGHLOC_BUY_EXHAUSTION_LIKE,122,0.034443817052512704,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,HIGHLOC_SELL_ABSORPTION_LIKE,105,0.029644268774703556,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,HIGHLOC_SELL_UNWIND_LIKE,490,0.1383399209486166,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,NEUTRAL_TRANSITION,1609,0.45426312817617165,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,PRESSURE_BUILD,151,0.042631281761716544,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,UP_POSITION_BUILD,130,0.03670242800677583,3542
development,30,HIGHLOC_SELL_UNWIND_LIKE,UP_UNWIND_LIKE,19,0.005364201016374929,3542
development,30,POST_BREAKDOWN_UNWIND_30M,DELEVERAGING,38,0.1412639405204461,269
development,30,POST_BREAKDOWN_UNWIND_30M,DOWN_POSITION_BUILD,3,0.011152416356877323,269
development,30,POST_BREAKDOWN_UNWIND_30M,DOWN_UNWIND_LIKE,29,0.10780669144981413,269
development,30,POST_BREAKDOWN_UNWIND_30M,EVENT_CONFLICT,1,0.0037174721189591076,269
development,30,POST_BREAKDOWN_UNWIND_30M,NEUTRAL_TRANSITION,99,0.3680297397769517,269
development,30,POST_BREAKDOWN_UNWIND_30M,POST_BREAKDOWN_UNWIND_30M,19,0.07063197026022305,269
development,30,POST_BREAKDOWN_UNWIND_30M,PRESSURE_BUILD,59,0.21933085501858737,269
development,30,POST_BREAKDOWN_UNWIND_30M,UP_POSITION_BUILD,15,0.055762081784386616,269
development,30,POST_BREAKDOWN_UNWIND_30M,UP_UNWIND_LIKE,6,0.022304832713754646,269
development,30,PRESSURE_BUILD,DELEVERAGING,734,0.1423032183016673,5158
development,30,PRESSURE_BUILD,DOWN_POSITION_BUILD,36,0.006979449398991857,5158
development,30,PRESSURE_BUILD,DOWN_UNWIND_LIKE,217,0.042070569988367584,5158
development,30,PRESSURE_BUILD,EVENT_CONFLICT,7,0.0013571151609150834,5158
development,30,PRESSURE_BUILD,HIGHLOC_BUY_BUILD,226,0.04381543233811555,5158
development,30,PRESSURE_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,37,0.007173322993408298,5158
development,30,PRESSURE_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,52,0.010081426909654904,5158
development,30,PRESSURE_BUILD,HIGHLOC_SELL_UNWIND_LIKE,178,0.03450949980612641,5158
