partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__max_reclaim_fraction_of_mae,control__max_reclaim_fraction_of_mae,case__half_reclaim_latency_fraction,control__half_reclaim_latency_fraction,case__longest_half_reclaim_run_fraction,control__longest_half_reclaim_run_fraction,case__post_half_reclaim_hold_fraction,control__post_half_reclaim_hold_fraction,case__late_mae_extension_fraction,control__late_mae_extension_fraction
development,120,2024-10-02 16:05:00+00:00,2024-10-02 15:00:00+00:00,5.0,2024-10-02 19:00:00+00:00,2024-10-02 18:55:00+00:00,2024-10-02 16:10:00+00:00,2024-10-02 18:00:00+00:00,-19.988117180801122,2024-07-01 16:00:00+00:00,2024-07-01 15:00:00+00:00,5.0,2024-07-02 02:55:00+00:00,,,2024-07-01 16:05:00+00:00,2024-07-01 17:55:00+00:00,0.880690030723219,0.6258940033009369,0.5932088285229207,0.032685174778016246,0.3173161441547011,0.6576989124212889,1.0,0.625,0.0,0.2222222222222222,0.0,0.75,0.17990038089657265,0.3365769891242067
development,120,2024-12-08 16:00:00+00:00,2024-12-08 15:00:00+00:00,5.0,2024-12-09 01:40:00+00:00,2024-12-09 01:35:00+00:00,2024-12-08 16:05:00+00:00,2024-12-08 17:55:00+00:00,-9.649344096871848,2024-07-01 16:00:00+00:00,2024-07-01 15:00:00+00:00,5.0,2024-07-02 02:55:00+00:00,,,2024-07-01 16:05:00+00:00,2024-07-01 17:55:00+00:00,0.880690030723219,0.5964523281596459,0.5932088285229207,0.003243499636725211,0.6171003717472111,0.6576989124212889,0.2222222222222222,0.625,0.3,0.2222222222222222,0.625,0.75,0.20446096654274473,0.3365769891242067
development,120,2024-12-26 16:55:00+00:00,2024-12-26 15:00:00+00:00,5.0,2024-12-26 21:15:00+00:00,2024-12-26 21:10:00+00:00,2024-12-26 17:00:00+00:00,2024-12-26 18:50:00+00:00,-10.246331236897333,2024-09-10 15:25:00+00:00,2024-09-10 15:00:00+00:00,5.0,2024-09-10 18:15:00+00:00,,,2024-09-10 15:30:00+00:00,2024-09-10 17:20:00+00:00,4.014705882352865,1.0416666666666625,0.8542124542124551,0.18745421245420746,0.5085714285714289,1.0523156089193888,1.0,0.8571428571428571,0.058823529411764705,0.2,1.0,1.0,0.0,0.0
external,60,2020-09-23 17:35:00+00:00,2020-09-23 15:00:00+00:00,,2020-09-23 19:35:00+00:00,2020-09-23 19:30:00+00:00,2020-09-23 17:40:00+00:00,2020-09-23 18:30:00+00:00,-32.58333333333335,2021-09-18 16:15:00+00:00,2021-09-18 15:00:00+00:00,,2021-09-18 23:15:00+00:00,,,2021-09-18 16:20:00+00:00,2021-09-18 17:10:00+00:00,8.976078762238382,0.5248940677966097,0.5054097917230176,0.019484276073592155,0.34611503531786086,0.10329141022210228,1.0,1.0,0.0,0.0,0.0,0.0,0.0393541876892008,0.06689858175006702
external,60,2020-09-28 16:00:00+00:00,2020-09-28 15:00:00+00:00,,2020-09-28 19:40:00+00:00,2020-09-28 19:35:00+00:00,2020-09-28 16:05:00+00:00,2020-09-28 16:55:00+00:00,-12.24774511712412,2021-02-05 15:00:00+00:00,2021-02-05 15:00:00+00:00,,2021-02-05 16:00:00+00:00,,,2021-02-05 15:05:00+00:00,2021-02-05 15:55:00+00:00,9.126955518708124,0.2631578947368376,0.2521327014218023,0.01102519331503532,0.6473684210526295,1.9486215538846983,0.0,0.1111111111111111,0.3333333333333333,0.9,0.4444444444444444,1.0,0.0,0.0
external,60,2020-10-24 17:35:00+00:00,2020-10-24 15:00:00+00:00,,2020-10-24 21:55:00+00:00,2020-10-24 21:50:00+00:00,2020-10-24 17:40:00+00:00,2020-10-24 18:30:00+00:00,-20.036615134255477,2021-11-14 22:15:00+00:00,2021-11-14 15:00:00+00:00,,2021-11-15 00:20:00+00:00,,,2021-11-14 22:20:00+00:00,2021-11-14 23:10:00+00:00,4.3258499897402825,0.3762057877813481,0.3829622458857719,0.006756458104423768,0.31196581196580786,0.07381193124368775,1.0,1.0,0.0,0.0,0.0,0.0,0.47863247863247615,0.20020222446916744
external,60,2020-11-25 16:05:00+00:00,2020-11-25 15:00:00+00:00,,2020-11-25 22:30:00+00:00,2020-11-25 22:25:00+00:00,2020-11-25 16:10:00+00:00,2020-11-25 17:00:00+00:00,-46.244643867733856,2020-12-02 15:10:00+00:00,2020-12-02 15:00:00+00:00,,2020-12-02 17:20:00+00:00,,,2020-12-02 15:15:00+00:00,2020-12-02 16:05:00+00:00,8.580174240640392,0.45518763796909645,0.45225027442370935,0.002937363545387095,0.7953443258971868,0.8009708737864076,0.0,0.5,0.625,0.2857142857142857,0.75,0.5,0.0,0.0
external,60,2020-12-07 15:25:00+00:00,2020-12-07 15:00:00+00:00,,2020-12-07 19:00:00+00:00,2020-12-07 18:55:00+00:00,2020-12-07 15:30:00+00:00,2020-12-07 16:20:00+00:00,-15.815214502152951,2021-03-09 20:05:00+00:00,2021-03-09 15:00:00+00:00,,2021-03-10 01:20:00+00:00,,,2021-03-09 20:10:00+00:00,2021-03-09 21:00:00+00:00,11.662602690956426,0.05254237288135773,0.09653265752793468,0.04399028464657695,5.677419354838541,2.6825775656324566,0.2,0.2222222222222222,0.8181818181818182,0.8,1.0,1.0,0.0,0.0
external,60,2020-12-22 15:15:00+00:00,2020-12-22 15:00:00+00:00,,2020-12-22 22:05:00+00:00,2020-12-22 22:00:00+00:00,2020-12-22 15:20:00+00:00,2020-12-22 16:10:00+00:00,-30.790762771168655,2021-07-02 15:00:00+00:00,2021-07-02 15:00:00+00:00,,2021-07-02 22:55:00+00:00,,,2021-07-02 15:05:00+00:00,2021-07-02 15:55:00+00:00,8.899808899808903,0.3164426059979336,0.3115201090661221,0.004922496931811515,0.026143790849677422,1.0700218818380822,1.0,0.75,0.0,0.1111111111111111,0.0,0.6666666666666666,0.6274509803921566,0.0
external,60,2021-03-03 19:05:00+00:00,2021-03-03 15:00:00+00:00,,2021-03-04 00:10:00+00:00,2021-03-04 00:05:00+00:00,2021-03-03 19:10:00+00:00,2021-03-03 20:00:00+00:00,-30.195303480965386,2020-10-16 15:00:00+00:00,2020-10-16 15:00:00+00:00,,2020-10-16 16:30:00+00:00,,,2020-10-16 15:05:00+00:00,2020-10-16 15:55:00+00:00,4.699333880828549,0.7959440735609028,0.633009708737868,0.1629343648230348,0.4964393100174091,1.1656441717791344,1.0,0.5,0.0,0.5714285714285714,0.0,1.0,0.0,0.0
