year,side,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
2024,LOWER,LONG,TF60,S1_WALL_CLOSE5,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,17,0.4722222222222222,35.0,9,0.36,8,0.7272727272727273,-0.06913893563476314,0.09023311850943051,-0.060705522943498444,-0.257353088229202,0.4444444444444444
2024,LOWER,LONG,TF60,S2_WALL_ACCEPT2,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,16,0.4444444444444444,52.5,9,0.36,7,0.6363636363636364,-0.025095901055397746,0.08775036431995953,-0.1284845715085604,-0.26224310132005946,0.4444444444444444
2024,LOWER,LONG,TF60,S3_WALL_CLOSE15,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,15,0.4166666666666667,90.0,8,0.32,7,0.6363636363636364,-0.00586916829016948,0.11151334775391837,-0.06732530498693227,-0.26912229976901314,0.4722222222222222
2024,LOWER,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,10,0.2777777777777778,87.5,5,0.2,5,0.45454545454545453,-0.14239196033605045,0.10996309615264963,0.10004265334082629,-0.3624594517829751,0.5555555555555556
2024,LOWER,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,10,0.2777777777777778,92.5,5,0.2,5,0.45454545454545453,-0.17025795950756528,0.096926499463008,0.10004265334082629,-0.3631214299873177,0.5555555555555556
2025,UPPER,SHORT,TF05,D0_WALL_TOUCH,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,26,0.7027027027027027,5.0,10,0.47619047619047616,16,1.0,0.20182600778417545,0.044660796490294905,-0.019313234840026065,-0.11352565890360518,0.2972972972972973
2025,UPPER,SHORT,TF05,S1_WALL_CLOSE5,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,22,0.5945945945945946,7.5,6,0.2857142857142857,16,1.0,0.16846923238146563,0.06794254527409742,-0.040227188092614205,-0.21116779681860837,0.40540540540540543
2025,UPPER,SHORT,TF05,S2_WALL_ACCEPT2,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,20,0.5405405405405406,15.0,4,0.19047619047619047,16,1.0,0.11644932119168955,0.05275966968094877,-0.04104388064338502,-0.2634674730914275,0.4594594594594595
2025,UPPER,SHORT,TF05,S3_WALL_CLOSE15,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,22,0.5945945945945946,15.0,6,0.2857142857142857,16,1.0,0.12331390498118099,0.05215447929918156,-0.044506203752286255,-0.25477023966538237,0.40540540540540543
2025,UPPER,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,24,0.6486486486486487,5.0,8,0.38095238095238093,16,1.0,0.14938546569684552,0.04239859927150062,-0.045410250924591965,-0.1479907614536657,0.35135135135135137
2025,UPPER,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,37,21,16,0.010183736280069128,0.076322245034142,-0.6817523666007579,19,0.5135135135135135,10.0,4,0.19047619047619047,15,0.9375,0.10988035668316831,0.052194132251167494,-0.04228570447764666,-0.27490846088896614,0.4594594594594595
2025,LOWER,LONG,TF60,D0_WALL_TOUCH,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,17,0.5666666666666667,35.0,8,0.4444444444444444,9,0.75,0.11460514724157733,0.04753002748580615,-0.04864076874224757,-0.26604363127021086,0.3333333333333333
2025,LOWER,LONG,TF60,S1_WALL_CLOSE5,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,16,0.5333333333333333,60.0,7,0.3888888888888889,9,0.75,0.0,0.024104680586230498,-0.10733434629921922,-0.29613641136564894,0.36666666666666664
